미 의사당 난입 시위대에 총 겨누는 경찰," 미국 워싱턴DC 국회의사당에서 6일 경찰이 하원 본회의장에 난입하려는 시위대에 총을 겨누고 있다.	 도널드 트럼프 대통령 지지 시위대는 이날 경찰의 저지를 뚫고 의사당 경내로 난입했으며 일부는 의사당 안 일부 시설까지 점거했다.	     <저작권자 연합뉴스, 무단 전재-"
미 의사당 경비 경찰차 지붕 위에 올라선 시위대," 도널드 트럼프 미국 대통령 지지 시위대가 6일 워싱턴DC 연방의사당 경비 경찰차의 지붕 위에 올라 서 있다.	 시위대는 경찰의 저지를 뚫고 의사당 경내로 난입했으며 일부는 의사당 안 일부 시설까지 점거했다.	 미 국 민주주의의 상징인 의사당의 시위대 난입ㆍ점거 사태는 사상 초유의 일이다.	      <저작권자 연합뉴스, 무단 전재-"
연기 자욱한 의사당 안에서 경찰과 대치한 트럼프 지지자들," 6일 미국 워싱턴DC 연방의회 의사당의 상원 회의장 밖 복도가 흰 연기로 가득 찬 가운데 도널드 트럼프 대통령 지지자들이 의회 경찰과 대치하고 있다.	 상ㆍ하원은 이날 합동회의를 개최해 조 바이든 대통령 당선인의 승리를 인증할 예정이었으나 시위대가 의사당에 난입하는 초유의 사태로 회의가 전격 중단됐다.	     <저작권자 연합뉴스, 무단 전재-"
Hong Kong Crackdown,"Andrew Wan, Lam Cheuk-	ting, Helena WongFormer Democratic Party legislators Andrew Wan, left, Lam Cheuk-	ting, second left, and Helena Wong, right, attend a press conference after being released on bail in Hong Kong, Friday, Jan.	 8, 2021.	 Some former Hong Kong legislators and pro-	democracy activists were released on bail late Thursday, after being arrested under Hong Kong's national security law as part of Wednesday's mass arrests of 53 people.	 The Chinese in the background reads ""Totalitarian government suppresses dissidents, fearless of indiscriminate arrest, we walk forward together."""
Virus Outbreak India Kashmir,"A health worker takes a nasal swab sample of a Kashmiri man to test for COVID-19 in Srinagar, Indian-	controlled Kashmir, Friday, Jan.	 8, 2021."
Britain Congress World Reaction,"Armed police officers stand guard as they maintain their usual level of security at the entrance to 10 Downing Street in London, Friday, Jan.	 8, 2021.	 The American Congress confirmed Democrat Joe Biden as the presidential election winner early Thursday after a violent mob loyal to President Donald Trump stormed the U.	S.	 Capitol in a stunning attempt to overturn America's presidential election, undercut the nation's democracy and keep Trump in the White House."
"""미ㆍ영 코로나19 백신 신뢰 안해"" 주장하는 이란 최고지도자"," 이란 최고지도자 아야톨라 알리 하메네이가 8일 테헤란에서 TV방송으로 대국민 연설을 하고 있다.	  하메네이는 이날 연설에서 미국과 영국산 신종코로나바이러스감염증 백신을 신뢰하지 않으며 수입을 금지해야 한다고 주장했다.	      <저작권자 연합뉴스, 무단 전재-"
Syria US,"Syrian graffiti artist Aziz Al-	Asmar, center, finishes work on his depiction of the events in Washington after the US president Donald Trump's supporters stormed the Capital, on a wall of a house destroyed in an airstrike, in Binish, Idlib province, Syria, Friday, Jan.	 8, 2020."
Pakistan Minority Persecution,"FILE -	 In this Monday, July 28, 2014 file photo, Pakistani police officers examine a house of a family belonging to the Ahmadi sect, which was torched by angry mob following rumors about blasphemous postings on Facebook, in Gujranwala, Pakistan.	 The U.	S.	 Commission on International Religious Freedom on Friday, Jan.	 8, 2021, adopted 55-	year-	old Ramazan Bibi, jailed on blasphemy charges in Pakistan, as a prisoner of conscience.	 According to a December report by the U.	S.	 Commission for International Religious Freedoms, Pakistan recorded the most cases of blasphemy in the world even though 84 countries have criminal blasphemy laws on their books."
"""백신이 인간 DNA 변형"" 음모론 믿고 코로나19 백신 오염시킨 미 약사"," 미국 위스콘신주 그래프턴 경찰이 현지 약사인 스티븐 브랜던버그를 모더나 신종 코로나바이러스 감염증 백신 57병을 오염시킨 혐의로 체포했다고 4일 AP통신은 전했다.	 브랜던버그는 코로나19 백신이 인간의 DNA에 돌연변이를 일으킬 것이라는 음모론을 믿고 병에 들어있던 수백 회 접종분을 상온에 노출해 오염시켰다.	      <저작권자 연합뉴스, 무단 전재-"
미 워싱턴주 의회 합동 경비하는 주 방위군ㆍ경찰," 미국 워싱턴주 주도인 올림피아의 주의회 의사당 주변에서 10일 주 방위군과 경찰이 합동 경비를 서고 있다.	 제이 인슬리 워싱턴 주지사는 새해 첫 회의를 앞둔 주의회 의사당 주변에서 산발적인 집회가 시위가 벌어지자 경찰과 함께 주 방위군 배치를 지시했다.	 지난 6일 수도 워싱턴DC에서 발생한 연방의회 의사당 난입과 같은 사태를 사전에 방지하기 위해서다.	     <저작권자 연합뉴스, 무단 전재-"
CORRECTION Switzerland Alpine Skiing World Cup,"Slovenia's Stefan Hadalin speeds down the course during an alpine ski, men's World Cup giant slalom, in Adelboden, Switzerland, Friday, Jan.8, 2021."
"대형 성조기 들고 ""코로나19 봉쇄"" 항의하는 미 시위대"," 미국이 신종 코로나바이러스 감염증 확산으로 비상인 가운데 1일 오리건주 주도인 세일럼에서 시위대가 코로나19 봉쇄 조치가 자신들이 누릴 자유를 침해한다며 대형 성조기를 들고 항의 시위를 벌이고 있다.	 경찰은 이날 시위 과정에서 서너 명을 연행해 조사를 벌이고 있다고 밝혔다.	 오리건주는 코로나19 확산을 막기 위해 식당과 술집의 실내 영업을 금하는 등 봉쇄령을 시행 중이다.	      <저작권자 연합뉴스, 무단 전재-"
"백악관에 내걸린 ""의회 폭동 순직 경찰 추모"" 조기"," 10일 미국 워싱턴DC 백악관 지붕 위에 나흘 전 의회 폭동 사태 진압 과정에서 순직한 경찰관을 추모하기 위한 조기가 내걸려 있다.	 도널드 트럼프 미국 대통령은 의회 폭동을 선동했다는 비판 속에 당시 순직한 경찰관을 추모하기 위한 조기를 게양하라는 포고령에 이날 뒤늦게 서명했다.	     <저작권자 연합뉴스, 무단 전재-"
미 뉴욕 타임스스퀘어 작년과 올해 세밑 풍경," 매년 성대한 새해맞이 행사가 열리던 미국 뉴욕 타임스스퀘어의 작년과 올해 세밑 풍경을 위아래로 배치한 사진.	 위 사진은 작년 12월 31일 타임스스퀘어 7번가를 가득 메운 관중 사이로 경찰이 경찰견을 데리고 순찰하는 모습.	 아래 사진은 올해 31일 신종 코로나바이러스 감염증 확산 방지를 위한 행사 축소와 출입 통제로 인적이 끊긴 타임스스퀘어의 세밑 풍경을 담고 있다.	     <저작권자 연합뉴스, 무단 전재-"
"중국 상하이 법원에 도착한 ""시민기자"" 장잔 변호인"," 올해 초 신종 코로나바이러스 감염증이 처음 확산한 중국 후베이성 우한 지역 상황을 취재해 실상을 알린   장잔의 변호인이 28일 상하이 푸동신구 인민법원 앞에 도착한 가운데 경찰이 취재진의 접근을 막고 있다.	 이날 법원은 '공중소란' 혐의를 받는 장잔에 대해 징역 4년을 선고했다.	     <저작권자 연합뉴스, 무단 전재-"
