MALAYSIA CHINESE NEW YEAR,"Lunar New Year preparations in MalaysiaA Chinese couple looks at new year decorations at a shop in Kuala Lumpur, Malaysia, 08 January 2021.	 The Chinese New Year, or year of the Ox, begins on 12 February 2021."
"경찰에 체포된 미 극우단체 ""프라우드 보이스"" 대표자"," 미국의 극우단체이자 도널드 트럼프 대통령의 열혈 지지단체인 '프라우드 보이스'의 대표자 엔리케 타리오가 4일 경찰에 체포됐다.	 워싱턴DC 경찰 대변인은 타리오가 지난달 12일 한 교회에 붙어있던 '흑인 목숨도 소중하다' 현수막을 불태운 일에 연루됐으며, 이 사건이 증오범죄 가능성이 있는지 조사 중이라고 설명했다.	 사진은 지난달 12일 워싱턴DC 자유 광장에서 시위에 참석한 타리오.	     <저작권자 연합뉴스, 무단 전재-"
INDIA PANDEMIC CORONAVIRUS COVID19 VACCINATION TEST RUN,"Covid-19 vaccination dry run in New DelhiCandidates are examined by health workers in the observation area after a mock vaccination process during a dry run at a Covid-19 vaccination centre, in New Delhi, India, 08 January 2021.	 According to news reports, Drug Controller General of India  has approved the emergency use of coronavirus vaccine developed by AstraZeneca and Oxford University.	 Indian health authorities conducted a dry run of Covid-19 vaccination across India.	 India is world's second-	hardest hit nation by the coronavirus disease pandemic."
이스라엘 총리 퇴진 요구 시위대 연행하는 경찰, 이스라엘 텔아비브의 하비마 광장에서 3일 경찰이 베냐민 네타냐후 총리의 퇴진을 요구하는 시위 참가자를 연행하고 있다.	 이스라엘에서는 신종 코로나바이러스 감염증 확산 방지를 위한 봉쇄 조치가 강화됐음에도 부패 등의 혐의로 기소된 네타냐후 총리의 퇴진을 요구하는 시위가 수개월째 이어지고 있다.
인종차별 항의 시위대 진압하는 켄터키주 경찰, 23일 미국 켄터키주 루이빌에서 경찰이 '흑인 여성 브레오나 테일러 총격사망 사건'에 대한 대배심 평결에 항의하는 시위대를 진압하고 있다.	 이날 켄터키주 대배심이 지난 3월 주택 급습 과정에서 총격으로 테일러를 숨지게 한 3명의 경찰관 중 1명에 대해서만 테일러 사망과 직접 관련이 없는 별건의 혐의로 기소 평결을 내리자 시민들이 거리로 쏟아져나와 항의 시위를 벌였다.
대선 불복 시위대 제압하는 벨라루스 경찰, 벨라루스 수도 민스크에서 13일 경찰이 대선 불복 시위대를 제압하고 있다.	 벨라루스에서는 국제사회 감시 속에 대선 재실시를 요구하는 집회와 시위가 한 달 넘게 이어지고 있다.
PAKISTAN PROTEST RAPE,"Protest against the alleged rape of a woman in PeshwarSupporters of Islamic political party Jamaat-	e-	Islami shout slogans and hold placards reading in Urdu 'Spread the decency Culture' during a protest against an alleged gang rape of a woman, Peshwar, Pakistan, 11 September 2020.	 According to reports, two persons allegedly raped a woman at gunpoint in Gujjarpura area on 09 September, while she was waiting for help on the motorway after her car developed a fault."
ITALY VENICE FILM FESTIVAL,"I Predatori -	 Photocall -	 77th Venice Film FestivalItalian filmmaker Pietro Castellitto , Italian actors Massimo Popolizio  and Manuela Mandracchia  pose at a photocall for 'I Predatori' during the 77th annual Venice International Film Festival, in Venice, Italy, 11 September 2020.	 The movie is presented in Orizzonti section at the festival running from 02 September to 12 September.	 The event is the first major in-	person film fest to be held in the wake of the Covid-19 coronavirus pandemic.	 Attendees have to follow strict safety measures like mandatory face masks indoors, temperature scanners, and socially distanced screenings to reduce the risk of infection.	 The public is barred from the red carpet, and big stars are expected to be largely absent this year."
RUSSIA CHINA DIPLOMACY,"Chinese Foreign Minister Wang Yi visits MoscowA handout photo made available by Russian Foreign Affairs Ministry shows Chinese Foreign Minister Wang Yi  and Russian Foreign Minister Sergei Lavrov  attending a joint news conference following their talks in Moscow, Russia, 11 September 2020.	 Chinese Foreign Minister is on a working visit in Moscow."
PAKISTAN PROTEST,"Protest against an alleged gang rape of a woman in LahoreSupporters of Islamic political party Jamaat-	e-	Islami hold banners reading in Urdu 'Hang publicly those who commit rape of women and children' as they shout slogans during a protest against an alleged gang rape of a woman in Lahore, Pakistan, 11 September 2020.	 According to reports, two persons allegedly raped the woman at a gunpoint in Gujjarpura area on 09 September, while she was waiting for help on the motorway after her car developed a fault."
GERMANY EU FINANCE MINISTERS INFORMAL MEETING,"Informal Meeting of EU Ministers for Economic and Financial Affairs European Commissioner for Economy Paolo Gentiloni, Eurogroup President and Minister for Finance of Ireland Paschal Donohoe, President of the European Central Bank Christine Lagarde and Managing Director of the European Stability Mechanism Klaus Regling hold a press conference during the Informal Meeting of European Union  Ministers for Economic and Financial Affairs at the InterContinental Hotel Berlin, in Berlin, Germany, 11 September 2020.	 The meeting runs from 11 to 12 September."
GREECE MIGRATION REFUGEES MORIA CAMP,"Tents sent to Kara Tepe camp for thousands of homeless from MoriaA helicopter transfers packages with tents in order to make an improvised camp for homeless refugees to the shooting range of Kara Tepe, Lesbos island, Greece, 11 September 2020.	 Tents and other equipment to set up a camp, started to be shuttled by helicopter to a Greek state property near the Kara Tepe refugee camp in Mytilene.	 Additionally, a number of police vehicles from the mainland that arrived on the morning ferry, were manned by the required officers and lined up along the route being occupied by refugees and migrants from the burnt-	out Moria camp.	 Thousands of migrants and refugees were still without shelter for a third day, following the successive fires at the Moria Reception and Identification Centre."
GERMANY EU MIGRATION MORIA,"Press conference of German Interior Minister Horst Seehofer and EU Commission Vice President Margaritis SchinasGerman Minister of the Interior Horst Seehofer arrives for a joint press conference with EU Commission Vice President Margaritis Schinas  at the Federal Ministry of the Interior, Building and Community in Berlin, Germany, 11 September 2020.	 Seehofer announced that Germany will take 100 to 150 unaccompanied minor year old refugees from the burned down refugee camp Moria on the Greek island of Lesbos."
IRAN DEFENCE,"IRGC inaugurates new missile military base in Persian GulfA handout picture made available by Iranian revolutionary guard official website  shows, head of Iranian revolutionary guard corps  Hossein Salami  and other officials visit during an inauguration of a new missiles military base in an unknown location in Persian Gulf, 08 January 2021.	 Media reported that following Iran and US tension, Iran IRGC has inaugurated a new missile military base in Persian Gulf."
epaselect GREECE MIGRATION REFUGEES MORIA CAMP,"Tents sent to Kara Tepe camp for thousands of homeless from Moriaepaselect epa08661004 People set up tents in order to make an improvised camp for homeless refugees to the shooting range of Kara Tepe, Lesbos island, Greece, 11 September 2020.	 Tents and other equipment to set up a camp, started to be shuttled by helicopter to a Greek state property near the Kara Tepe refugee camp in Mytilene.	 Additionally, a number of police vehicles from the mainland that arrived on the morning ferry, were manned by the required officers and lined up along the route being occupied by refugees and migrants from the burnt-	out Moria camp.	 Thousands of migrants and refugees were still without shelter for a third day, following the successive fires at the Moria Reception and Identification Centre."
SPAIN DAY OF CATALONIA,"Diada Day of Catalonia celebrationsOmnium Cultural's president Marcel Mauri  and Catalonia's President Quim Torra  participate in the main event of Omnium Cultural's 20th 'Festa per la llibertat'  on the occasion of the Day of Catalonia, or 'Diada', at Lluis Companys promenade in Barcelona, Catalonia, north-	eastern Spain, 11 September 2020.	 The empty chairs symbolize the Spain's 'repression', since the named organization.	 In all, Omnium Cultural placed 2,850 empty chairs with posters with the names of sovereignists 'persecuted by Justice' that they claim they have accounted."
epaselect BELGIUM EU GREENPEACE PROTEST,"Greenpeace protest outside the European Commission in Belguimepaselect epa08660696 Greenpeace activists roll down a banner outside the European Commission building to protest against the ongoing damage to the Amazon rain forest; in Brussels, Belgium, 11 September 2020.	 According to a statement released by Greenpeace, due to the European Union's use of agrucultural products, it is responsible for over 10 percent of global forest destruction.	 Forests, including the Amazon, are often burned to clear land for agricultural use, destroying fragile ecosystems and displacing or eliminating numerous species of flora and fauna."
