"한샘, 부정청탁·비자금 조성 의혹… 경찰 압수수색",국내 가구업체 한샘의 불법 비자금 조성과 부정청탁 의혹을 수사 중인 경찰이 지난 7일 한샘 본사를 압수수색했습니다 경찰에 따르면 서울경찰청 금융범죄수사대는 지난 7일 서울 마포구 상암동 한샘 본사 21층 예산담당부서와 대외협력실 등을 수색했습니다.	 한샘은 2018년부터 지난해 말까지 페이퍼컴퍼니로 의심되는 4개 광고대행사에 44억원이 넘는 돈을 각종 대금 명목으로 보낸 뒤 일부를 비자금으로 빼돌린 의혹을 받고 있습니다.	 경찰은 압수수색을 통해 광고비 집행 문건과 부정청탁 내용을 확인할 수 있는 관련 서류 등을 확보한 것으로 전해졌습니다.	  경찰은 압수물 분석을 마친 뒤 한샘 관계자들을 불러 조사할 예정입니다.
"美 의회경찰 ""경찰 사망 소식 사실 아냐"" CNN 보도 부인","미국 워싱턴DC 의회경찰이 도널드 트럼프 대통령 지지자들의 의사당 난입 사태와 관련해 사망했다는 CNN 보도에 대해 경찰 측이 즉각 부인했습니다.	현지 시간으로 오늘 로이터 통신에 따르면 의회 경찰은 성명을 통해 난입 사태로 여러 경찰관이 다쳐 병원으로 후송됐지만 이로 인해 사망한 경찰관은 없다고 밝혔습니다.	앞서 CNN은 의사당 난입 사태로 인해 의회경찰 한 명이 사망해 사망자 수가 5명으로 늘었다고 보도한 바 있습니다.	한편 이번 사태로 지금까지 확인된 사망자는 모두 4명으로, 시위에 참여한 여성 한 명이 경찰이 쏜 총에 맞아 병원으로 이송됐다 숨졌고, 나머지 3명은 '의료 응급 상황'으로 숨졌습니다."
"멕시코 대통령, 위키리크스 어산지에 망명 제안 방침…""그를 보호할 것""","안드레스 마누엘 로페스 오브라도르 멕시코 대통령이 줄리안 어산지에게 망명을 제안하겠다는 뜻을 밝혔습니다.	 로페스 오브라도르 대통령은 현지시간으로 어제 열린  회견에서 ""영국 정부에 어산지의 석방을 요청하고 멕시코 망명을 제안하기 위한 절차를 진행할 것을 외교부에 요청하겠다""고 밝혔습니다.	로페스 오브라도르 대통령은 ""어산지는 언론인이며 기회를 가질 자격이 있다""며 ""우리는 그를 보호할 것""이라고 덧붙였습니다.	어산지는 지난 2010년 위키리크스를 통해 미 정부 기밀문서등을 폭로하며 미국 등의 수배 대상이 됐고, 이후 영국 주재 에콰도르 대사관에서 7년간 도피생활을 하다 지난2019년 영국 경찰에 체포돼 복역 중입니다.	 영국 법원은 최근 어산지에 대한 미국의 송환 요청을 받아들이지 않았습니다."
"쌍용자동차, 해외에서 정부기관 관용차로 잇달아 선정","쌍용자동차가 최근 동유럽, 중동 등 글로벌 시장에서 현지 정부기관의 관용차로 잇달아 선정되고 있습니다.	쌍용자동차는 지난달 25일 불가리아의 국민재난안전청과 지휘차량 조달 공급 계약을 체결하고 내년 1월까지 총 32대의 G4 렉스턴을 납품하기로 했습니다.	불가리아 국민재난안전청은 자연재해 현장에서 이뤄지는 업무 특성상 탁월한 오프로드 주행능력과 뛰어난 내구성을 갖춘 렉스턴이 지휘차량으로서 최적의 조건을 갖췄다고 평가했습니다.	또 지난 8월에는 팔레스타인 행정자치부와 렉스턴 스포츠 칸 15대를 관용차로 납품하는 계약을 체결한 데 이어 최근 팔레스타인 정부로부터 100대를 추가 공급해달라는 요청을 받았다고 밝혔습니다.	이들 차량들은 팔레스타인 경찰청, 총리실, 장관실 등에서 전용차로 사용될 예정입니다.	이에 앞선 지난 4월 영국 노스 웨일스 소방구조국에도 렉스턴 스포츠를 업무용 차량로 공급하는 등 해외 공공부문 및 특장차 분야에서 꾸준히 판매를 늘리고 있다고 쌍용차는 밝혔습니다."
[핫이슈 키워드] 추미애 힘 실어주기·월성 감사 저항·독감 주사 사망·홍남기 바보형?·인간고기 먹고 싶다,"이슈의 흐름을 살펴보는 핫이슈 키워드 시간입니다.	인터넷과 SNS를 뜨겁게 달군 오늘의 키워드 알아봅니다.	추미애 법무부 장관의 수사지휘권 발동에 대해 별다른 말이 없던 청와대가 하루 만에 입장을 밝혔습니다.	청와대는 ""현재 상황에서 불가피한 것으로 본다""며 추 장관의 판단이 명분이 있다고 봤습니다.	강민석 청와대 대변인은 법무부 장관의 수사 지휘에 관해 청와대가 이를 지시하거나, 행사 여부를 보고 받지 않았다고 말했습니다.	다만 신속하고 성역을 가리지 않는 엄중한 수사가 필요하다고 언급했는데요.	추 장관에게 힘을 실어줬다는 분석이 나옵니다.	월성 원전 1호기 조기 폐쇄 결정에 대한 감사 과정에서 산업통상자원부 공무원들이 감사 저항을 했던 사실이 드러났습니다.	산업부 공무원들은 월성 1호기 조기 폐쇄 결정 감사가 착수되자 관련 자료 4백 44개의 파일을 조직적으로 삭제했는데요.	다른 직원 눈을 피해 일요일 밤 11시 등 심야에 사무실에 들어가 컴퓨터 파일 이름을 바꾼 뒤 지웠습니다.	담겨있던 문건 중 120여 개는 복구에 실패한 것으로 알려집니다.	감사원은 감사를 방해한 산업부 국장과 직원들에 대해서 중징계를 요구했습니다.	최근 독감 백신을 맞은 뒤 사망하는 사례가 잇따라 보고되면서 국민들의 불안이 커지고 있습니다.	질병관리청에 따르면, 올해 독감 예방접종 사업이 시작된 이후 사망한 사례는 모두 3건입니다.17세 고등학생에 이어 어제 전북 고창의 70대와 대전 80대가 독감 백신을 맞고 숨진 것으로 전해집니다.	사망자들이 맞은 백신은 모두 다른 회사들이 생산한 제품인데요.	질병청은 ""백신과 사망 간 연관성이 확인되지 않은 것으로 보고 있다""며, ""최종 부검 결과를 통해 종합적으로 검토할 예정""이라고 밝혔습니다.'	전세 난민' 처지가 될 위기에 처한 홍남기 부총리에게 전세를 제공하겠다는 청와대 국민청원이 올라왔습니다.	이 청원인은 자신이 홍 부총리가 거주하는 마포구 바로 옆, '중구 서울역 센트럴자이' 보유자라고 소개하면서, 신축아파트를 전세 시세보다 저렴하게 제공하고 싶다고 밝혔습니다.	이 청원인은 요즘 한 나라의 경제수장인 홍남기 부총리가 부동산 문제로 '동네 바보형' 취급받는 현실에 심한 통탄과 슬픔을 금할 수 없다고 적었는데요.	이어 지금의 부동산 급등 문제는 임대차 3법 실책뿐만 아니라 서울 아파트 공급 부족 누적, 3기 신도시의 느린 진행, 임대사업자 폐지 등 다양한 문제가 겹치면서 나타난 현상이라며, 부동산 문제를 홍 부총리 1명의 개인적인 책임으로 몰아가는 현실은 너무 가혹하다고 했습니다.	미국의 한 총영사관에서 근무하는 외교관이 엽기적인 발언과 폭언을 일삼아 논란이 되고 있습니다.	하지만 이를 두고도 외교부에서 가벼운 경고 조치만 내려 지적이 제기됐습니다.	국민의당 이태규 의원실에 제보된 내용에 따르면 부영사 A 씨 공관 행정직원들에게 '인간 고기가 맛있을 것 같다'라고 말한 것으로 전해집니다.	꼭 인육을 먹어보려 한다고 하는가 하면, 일본인인 자신의 할머니 덕에 조선인들이 빵을 먹고 살 수 있었다며 망언을 했다는 겁니다.	또 직원에게 퇴사하면 끝까지 괴롭힐 것이라고 폭언하고, 자신의 재산을 과시하며 그 월급으로 생활이 가능하냐며 조롱까지 했다는데요.	직원들이 신고했지만 장관 명의의 경고 처분에 그쳐 안이한 처분이라는 비판이 나옵니다.	금태섭 더불어민주당 전 의원이 탈당한다고 밝혔습니다.	금 전 의원은 앞서 고위공직자범죄수사처 설치 법안에 기권표를 행사했다는 이유로 당의 징계 처분을 받은 바 있는데요.	금 전 의원은 탈당 의사를 밝히면서 자신의 SNS에 더 이상은 당이 나아가는 방향을 승인하고 동의할 수 없는 지경에 이르렀다고 밝혔습니다.	이어 징계 처분을 받고 재심을 청구했지만, 당이 책임을 회피하고 있다고 적었습니다.	금 전 의원은 그러면서 이런 부분이 탈당 이유의 전부는 아니라며 ""편 가르기로 국민들을 대립시키고, 윽박지르는 오만한 태도가 가장 큰 문제""라고 언급했습니다.	공군 사병이 건강을 이유로 휴가를 낸 뒤 제때 복귀하지 않고 무단 출국했습니다.	충북 청주에 있는 한 공군부대 소속인 A 사병은  지난 14일 1박 2일 청원 휴가를 나갔는데요.	이후 무단으로 인천공항을 통해 밀라노로 간 것으로 확인됐습니다.	군 규정상 복무 중 출국하려면 미리 지휘관 승인을 얻어야 하지만 사전 허가를 받진 않은 것으로 알려집니다.	공군 군사경찰은 A 사병을 탈영 혐의로 입건해 조사할 예정입니다.	한편 출입국관리사무소에서는 A 씨가 군인이라는 점을 알지 못한 사실이 알려지면서 관리가 허술하다는 지적이 나옵니다.	신동빈 롯데그룹 회장의 장남 '유열' 씨가 최근 일본 롯데 계열사에 입사한 것으로 전해집니다.	신유열 씨는 일본 게이오대를 졸업하고, 미국 컬럼비아대에서 MBA 과정을 마친 후 노무라증권 싱가포르 지점에서 근무하다 최근 일본의 한 롯데 계열사에 입사해 근무 중이라는데요.	신 씨의 입사 사실이 알려지면서 롯데가 3세 경영 체제 준비에 들어간 게 아니냐는 해석이 나옵니다."
바람 잘 날 없는 넥슨…운영자 리스크에 출시연기·집단소송,"국내 최대 게임업체 넥슨이 잇단 구설과 악재가 겹쳤습니다.	게임운영자가 사익을 챙기는가 하면 버그와 운영 미숙까지 드러나며 신뢰도에 타격을 입고 있습니다.	 , 넥슨의 PC 온라인 게임 '던전앤파이터'가 2005년 출시 이후 최대 위기를 맞고 있다고요?	네, 게임 계정을 만든 지 두 달 만에 15년 던파 역사상 최고 수준 아이템을 독식한 캐릭터가 운영자의 부정 계정이었던 것으로 드러났습니다.	처음 이용자들이 제기됐던 의혹이 넥슨 자체 조사로도 드러난건데요.	서버 점검으로 게임이 닫힌 시간대에 캐릭터를 업데이트하고 아이템을 불법 습득한 데다, 아이템을 팔아 5천만 원 상당의 이득을 챙겼습니다.	이 직원은 지난 1월 강화 이벤트를 사전 유출했던 전력도 있어, 그 이후에도 운영자 관리가 허술했음이 밝혀진 겁니다.	회사는 문제가 된 직원을 해고하고 경찰에 고발했습니다.	중국 출시 일정도 갑자기 제동이 걸렸죠?	네, 지난달 던전앤파이터 모바일이 중국 출시를 하루 앞두고 돌연 연기됐었습니다.	앞서 넥슨은 미성년자 게임 과몰입 방지를 위한 업그레이드가 필요하기 때문이라고 해명했지만, 그 이후로도 한 달 반이나 기약 없이 지연되고 있습니다.	현재는 중국 앱스토어 목록에 있던 이름까지 최근 사라지면서, 출시 여부 자체가 불투명해진 게 아니냐는 관측도 나옵니다.	여기에다 '바람의나라:	 연' 이용자들은 집단 소송까지 나섰죠?	네, 고가의 게임 아이템을 쉽게 얻을 수 있는 버그를 이용해 수천만 원을 벌었다는 글들이 올라오며 정상적으로 구매한 이용자들의 불만이 속출했습니다.	넥슨은 뒤늦게 점검에 나서 ""문제가 된 버그 이용자는 125명이고 고가 아이템을 얻은 경우는 19명뿐""이라며 모두 회수하겠다고 했지만, 이용자들은 여전히 축소 의혹을 제기하고 있습니다.	현재 소송을 준비하는 온라인 카페에는 1,635명이 모였습니다.	SBSCNBC 오수영입니다."
"""경쟁사 비방글 유포 지시"" 남양유업 회장, 검찰 송치","홍보대행사를 동원해 온라인 카페에 경쟁사를 비방하는 글을 올리게 한 혐의를 받은 홍원식 남양유업 회장 외 임직원이 검찰 송치됐습니다.	서울 종로경찰서는 홍 회장 등 남양유업 임직원 6명 및 홍보대행사 직원 2명을 기소 의견으로 검찰에 송치했다고 오늘 밝혔습니다.	이들은 지난해 초 홍보대행사에 경쟁사를 비방하는 내용의 글과 댓글을 맘카페에 꾸준히 올리게 한 혐의를 받고 있습니다.	경찰 조사에서 홍 회장은 홍보대행사에 돈을 전달한 사실은 인정했지만, 경쟁사 비방 댓글을 달게 할 의도는 아니었다고 진술했지만, 경찰은 홍 회장에 대해 지시 혐의가 있다고 판단했습니다.	앞서 경찰은 지난해 7월 해당 홍보대행사를 압수수색해 글을 게시한 아이다 50여 개를 입수한 바 있으며, 지난 6월에는 홍 회장의 사무실을 압수수색하기도 했습니다.	남양유업 관계자는 ""불미스러운 일로 물의를 일으켜 죄송하다""며 ""남은 조사에 성실히 임하겠다""며 ""이번 일을 계기로 앞으로 투명하고 공정한 바이럴 마케팅 문화가 자리 잡을 수 있도록 노력하겠다""고 밝혔습니다."
[조간브리핑] 시진핑 ‘건강이상설’…연설 중 연거푸 기침에 4차례 중단,"오늘 자 조간신문 펼쳐보겠습니다.	중앙일보 기사입니다.	옵티머스 자산운용과 관련한 수사가 속도를 내고 있습니다.	검찰이 옵티머스에 대한 투자를 가장해 150억원을 횡령했다는 의혹이 제기된 관련 회사 임원들에게 구속영장을 청구했습니다.	앞서 검찰은 지난 6월 스킨앤스킨의 자금 150억원이 마스크 구매 명목으로 '이피플러스'라는 회사로 송금된 사실을 확인했습니다.	그리고 이 돈은 이피플러스를 거쳐 옵티머스로 흘러들어간 것으로 알려집니다.	옵티머스로 흘러간 돈은 주로 펀드 환매 중단을 막는 용도로 사용된 것으로 조사됐습니다.	검찰이 수사팀을 확대 개편 한 이후 첫 사법처리라 앞으로 정관계 의혹 등의 수사로 확대될 수 있을지 주목됩니다.	한국경제신문 기사입니다.	한미 국방장관이 안보협의회를 마친 뒤 발표한 공동성명에서 처음으로 주한미군을 유지한다는 내용이 빠졌습니다.	우리는 기존대로 해당 문구를 넣자고 했지만 미국이 거부했다고 국방부 고위 관계자는 전했는데요.	에스퍼 미 국방장관은 한반도에서 미군의 안정적 주군을 보장하기 위해 방위비 분담금 협상이 타결돼야 한다며 주한미군 주둔과 방위비를 연계하는 듯한 발언을 했습니다.	 전시작전통제권과 관련해선 서욱 국방장관은 전작권 조기 전환에 방점을 찍었지만 에스퍼 장관은 모든 조건을 충족하는 데 시간이 걸릴 것이라며 선을 그었습니다.	두 장관이 회의 직후 열기로 한  회견도 돌연 취소하는 바람에 일각에서는 양국의 이견이 컸다는 해석이 나옵니다.	이 가운데 서훈 청와대 국가안보실장이 취임 이후 처음으로 미국을 방문했는데요.	오늘 새벽 폼페피오 미 국무장관을 만나 한반도 정세와 현안에 대해 논의할 것으로 알려집니다.	매일경제 기사입니다.'	수소경제 확대'에 힘이 실리는 모습입니다.	정부는 어제 제 2차 수소경제위원회를 열고 다양한 복합 지원프로그램을 발표했습니다.	정부는 오는 2022년부터 '수소발전 의무화 제도'를 도입해 기존의 신재생에너지 공급 의무화 제도에서 연료전지만 분리해 별도 시장으로 육성하기로 했습니다.	이에 따라 수소연료전지로 생산한 전력을 일정량 의무적으로 구매하는 제도가 도입됩니다.	수소 제조 사업자중심으로 천연가스 공급체계를 바꿔 가격도 최대 43%까지 인하하기로 했습니다.	그리고 일명 '수소 시티'도 본격 추진하기로 했는데요.	  안산과 울산, 전수 등에 수소 도시를 시범 구축하고 수소 연구개발과 인프라를 지원합니다.	한편 현대차가 정부와 손잡고 2035년까지 상용차 수소충전소 35개를 설치한다고 밝혔습니다.	 조선일보 기사입니다.	시진핑 중국 국가주석이 연설 도중 기침을 여러 번 하는 모습이 포착돼 '건강 이상설'이 제기됐습니다.	현지시간 14일 선전특구 40주년 기념식에 참석한 시 주석은 약 1시간 가량 연설을 이어갔습니다.	중국 관영 매채들이 시 주석을 연설을 생방송으로 보도했는데요.	연설 시작 45분이 지났을 무렵 시 주석이 연거푸 기침을 하면서 연설이 4차례나 중단됐습니다.	연설을 생방송하던 중국 매체 CCTV는 시 주석의 기침이 이어지자 중계화면을 청중쪽으로 돌리기도 했습니다.	이를 두고 대만 매체와 일부 반중매체는 시 주석이 심하게 기침했고 연설 후반부에 원고 읽는 속도가 느려졌다며 건강 이상설을 연상시키는 보도를 내놓기도 했습니다.	 동아일보 기사입니다.	올해 2월 입양된 16개월 아기가 온몸에 멍이 들고 골절이 있는 채로 응급실에 실려왔다가 결국 숨지는 사건이 있었는데요.	아이의 양부모들이 입양 8개월 동안 3번이나 학대 혐의로 경찰 조사를 받았던 것으로 드러났습니다.	수사에 착수했던 경찰은 모두 내사 종결하거나 '혐의 없음'으로 겸찰에 넘겼고 아동 관련 기관들은 경찰 신고 외엔 별다른 대처를 하지 않은 것으로 전해지는데요.	입양기관 측은 '신고 외엔 관여할 권한이 없었다'고 해명했습니다.	이에 서울지방경찰청은 점검단을 구성해 사망 이전의 신고 3건이 규정에 맞게 처리됐는 지 확인하겠다고 밝혔습니다.	경찰은 숨진 A양 부검 결과 아동 학대 사실이 확인될 경우 부모를 입건할 방침입니다."
신규 확진자 다시 세자리…가족·지인모임 집단감염 이어져,"코로나19 확진자가 엿새 만에 다시 100명대로 늘었습니다.	곳곳에서 크고 작은 집단감염 사례가 이어지고 있는데요.	  연결합니다.	우선, 국내 상황 전해주시죠.	어제 하루 신규 확진자가 102명 추가돼 누적 확진자는 모두 2만 4800여 명으로 늘었습니다.	중대본은 하루 60명 대 국내 확진자가 발생하고 있다면서 ""지난주에 비해 급증했다고 보긴 어려울 것 같다""고 말했습니다.	가족과 지인모임 등을 통해 집단 감염이 확산되고 있는데요.	지난 10일 첫 확진자가 발생한 대전 유성구 일가족 모임과 관련해선 최소 20명 이상의 확진자가 확인됐습니다.	특히, 가족 중 손자가 다니는 어린이집에도 전파돼 원생과 교사 등 추가 확진자가 이어지고 있습니다.	경기 동두천시 친구 모임 관련 확진자도 계속 나오면서 누적 확진자가 모두 16명으로 늘었고 서울 서대문구 장례식장에선 10명이 넘는 확진자가 나오는 등 크고 작은 집단 감염 사례가 이어지고 있습니다.	한편, 경북 상주시에서 기독교 선교단체 인터콥이 지난 9~10일 3000여 명이 참석하는 대규모 종교 행사를 열었는데요.	상주시는 현재 참석자 명단을 확보 중이며 조사가 끝나는 대로 경찰 수사 의뢰와 연수원 폐쇄 등을 논의할 계획이라고 밝혔습니다.	해외 상황은 어떤가요?	미국 내 코로나19 누적 확진자 수가 800만 명을 넘어섰습니다.	이런 가운데 코로나19에 걸렸던 도널드 트럼프 미국 대통령이 음성 판정을 받았다고 백악관이 밝혔습니다.	숀 콘리 주치의는 다만 언제부터 음성이 나왔는지에 대한 자세한 시간 기록은 밝히지 않았습니다.	국경절 이후 확진자가 발생한 중국에선 신규 확진자 13명이 추가됐는데요.	이중 6명은 중국 본토에서 발생한 것으로 알려졌습니다.	일본에선 신규 확진자 수가 일주일만에 200명대로 떨어졌지만, 누적 확진자 수가 10만 명에 육박하고 있습니다.	SBSCNBC 엄하은입니다."
[송재경의 인사이트] 美국채금리로 보는 대선 결과…시장은 이미 블루웨이브?,"-	 美증시, 13일 대형 이벤트 기대 속에 급등-	 다우 0.9%, S&P500 1.6%, 나스닥 2.6% 상승-	 애플 · 아마존 덕에 美증시 4거래일 연속 상승-	 애플, 새 아이폰 공개 앞두고 급등하며 주요 지수 견인-	 아마존, 프라임데이 기대감 속에 급등하며 증시 활력 제공-	 코로나19 확산세 지속, 부양책 협상 교착 등은 여전히 악재-	 바이든으로 돌아선 월가…""블루 웨이브가 불확실성 제거""-	 트럼프든 바이든이든 美주식 계속 잘 나갈 것-	 트럼프 승률 동조화했던 증시, 9월부터는 바이든에 동조화-	 바이든 압승+민주당 상원까지 장악…대규모 부양책 기대감-	 美 대선 경합주 부재자 투표 4년 전보다 20% 급증-	 美 대선 '우편투표' 급증…트럼프 불복 가능성↑-	 美 연방대법관 인준 전쟁…대선 판도에 큰 영향-	 트럼프의 대선 불복, 그리고 재선 시나리오는?	-	 간접선거 방식…美 경찰 '대선 불복' 폭동 대비 훈련-	 트럼프 측근 ""대선 패배 시 계엄령 선포해야""-	 美총기회사 주가 상승세…중소도시에서 총알 판매 급증-	 테슬라·니콜라·아마존·구글 등 들썩-	 시총 비중 23% 美 5대 테크 공룡 주가 버블 논란-	 시총 톱5 기업의 독주, 20년 전 '닷컴버블'과 닮아-	 美 하원 반독점 소위원회, 의회에 '공룡 IT' 해체 촉구-	 바이든 후보 당선시 美IT기업 규제 강화되나?	-	 美대선서 바이든 뜨니…빅테크 관련주 '바짝 긴장'-	 환율 1140원대 진입…외국인 부를 원화강세 이어질까-	 뛰는 위안화에 원화도 올라탔다…1140원대 진입-	 中 경기 회복세…위안화 가치, 작년 5월 이후 최고-	 中 위안화 절상 가속···고시환율 1% 내린 6.7126위안-	 해외투자가, 9월 중국국채 보유고 사상최대-	 미중 금리차 확대…중국 국채 美국채보다 매력적-	 치솟던 달러화, 7월 이후 급락세-	 美 부양책 협상 주시하며 달러 3주간 최저-	 美 재정적자, 중국과 갈등도 한몫…달러 약세 지속-	 달러화, 최대 35% 폭락설도 등장-	 위안화 강세이지만…""안전자산은 아냐""-	 WTI 2.9%↓…브렌트유 2.9% 내려-	 골드만삭스 ""바이든 승리하면 유가 상승…배럴당 5달러↑""-	 골드만삭스 ""바이든 당선시 석유산업 규제→유가 상승""-	 올해 국제유가 34% 하락-	 바이든 그린에너지 정책 기대감…관련 종목 베팅↑-	 바이든 에너지 공약, 셰일 생산업체엔 '악재'-	 美에너지 주가, 민주당이 공화당 보다 나을까?	-	 미국의 셰일억제책, 내년 유가·에너지 업종에 긍정적 변수-	 경제성장률 높아지면 가치주·경기민감주 '아웃퍼폼'-	 장단기 금리차 확대…금융·산업재·에너지株 '주목'-	 기술주 반짝 상승했지만…'변곡점' 도달했나?	-	 모건스탠리 ""금리 상승 공포로 약세 예상…기술주 주의""-	 WSJ ""바이든 탄소 제로·재생에너지 수혜주 뜬다""-	 UBS ""민주당 승리로 2주 만에 월가 전망 바뀌어""-	 전기차 핵심부품 '희토류'…중장기적 수요 증가 전망-	 니켈·알루미늄 14배, 인·철은 13배 수요 증가 예상-	 희토류 등 광물자원 생산기업 ETF 투자 유효-"
