"매연저감장치 보조금 수백억원 편취 적발…환경부 ""부당이득 환수""","환경부는 국민권익위원회가 8일 발표한 &apos;매연저감장치 보조금 수백억 편취 적발&apos; 조사 결과에 대해 권익위로부터 관련 자료 일체를 넘겨받아 검토할 예정이라고 밝혔다.	 향후 경찰 수사 등을 통해 명확한 사실관계가 확인되면 적법하게 조치할 계획이다.	권익위에 따르면 제조사들은 DPF의 표준제조원가가 자신들이 제출하는 원가자료를 기초로 결정된다는 점을 악용, 품목별 조원가를 2배 가량 부풀려 환경부에 제출해 수백억원의 보조금을 가로챘다.	일례로, A사가 생산하는 1종 DPF 대형복합재생 특정 모델의 실제 제조원가는 405만원이지만, A사는 환경부 제조원가로 870만원을 제출했다.	이에 환경부는 A사 등 13개 제조업체의 제출원가를 기초로 대당 975만원의 보조금을 책정해 지원했다.	 이러한 방법으로 A사는 지난해에만 수백억원을 편취했다.	일부 제조사들은 부풀린 제조원가를 바탕으로 차량 소유자가 부담해야 할 자기부담금을 대납 또는 후납하는 등 방식으로 부당하게 보조금을 수령했다.	환경부 출신 공무원이 한국자동차환경협회 간부로 재직하고, 협회 간부였던 자가 부착지원센터의 실질적인 대표로 활동하는 등 한국자동차환경협회-	부착지원센터-	제작사 간의 유착관계도 확인됐다.	 협회는 제조사로부터 수억원의 회비를 받고, 센터는 소개 수수료 명목으로 수십억원을 제작사로부터 받기도 했다.	권익위가 의혹을 제기한 사항에 대해 환경부는 ""현재 사실관계가 확인되지 않지만, 권익위로부터 관련 자료를 협조받아 검토할 계획""이라며 ""위법사항이 발견된다면 보조금을 환수하는 등 조치할 예정""이라고 말했다.	   © 메가뉴스 & ZDNET, A RED VENTURES COMPANY, 무단전재-"
"文대통령, 한상혁 방통위원장 지명...청문 통과시 연임","문재인 대통령이 26일 방송통신위원회 위원장에 한상혁 현 방통위원장을 지명했다.	문 대통령은 이날 한상혁 방통위원장, 경찰청장 후보자에 김창룡 현 부산경찰정장을 내정하고 국민권익위원회 위원장에 전현희 전 더불어민주당 의원을 내정했다고 강민석 청와대 대변인이 전했다.	한상혁 방통위원장 후보자는 지난해 9월 이효성 전 위원장이 사퇴한 뒤 잔여 임기를 맡고 있다.	 국회 인사청문회를 거쳐 5기 위원장으로 3년 임기를 시작하게 된다.	한 후보자는 1961년생으로 대전고를 졸업한 뒤 고려대 법학과에서 학사, 중앙대 언론학 석사 학위를 취득했다.	사법고시 40회 출신으로 4기 방통위원장을 맡기 전까지 법무법인 정세 대표 변호사를 지냈다.	그는 또 방송문화진흥회 이사, 민주언론시민연합 공동대표 등을 역임했다.	 방송통신융합추진위원회 전문위원, 방송위원회 방송발전기금관리위원, 한국PD연합회 자문변호사, 한국케이블TV협회 자문변호사 등으로 활동했다.	강민석 대변인은 “한 위원장은 방송통신 미디어의 공공성과 공익성 제고, 공정한 시장환경 조성을 강력하게 추진해왔다”며 “그간 전문성과 국정경험을 바탕으로 방송통신, 미디어 분야의 국정과제를 흔들림없이 추진해나갈 적임자라고 판단했다”고 설명했다.	이어.	 “급변하는 방송통신미디어 융합 환경에 능동적으로 대응해나갈 것으로 기대한다”고 밝혔다.	한편, 김창룡 청장 후보자는 부산 가야고를 나와 경찰대 법학과를 졸업했다.	경찰청 정보1과장, 서울 은평경찰서장, 주미합중국대한민국대사관 주재관, 경찰청 생활안전국장, 경상남도지방경찰청장을 거쳐 지난해 7월부터 부산광역시지방경찰청장으로 일했다.	경찰청장 후보자도 국회 인사 청문 대상자다.	국민권익위원장은 대통령 지명으로 임명된다.	 권익위원장에 내정된 전현희 전 의원은 부산 데레사여고와 서울대 치의학과를 졸업했고, 고려대에서 의료법학 석사를 취득했다.	대한의료법학회 이사, 민주사회를위한변호사모임 환경위원회 및 여성인권위원회 위원, 녹색소비자연대 녹색시민권리센터 소장 등을 역임했고 18대와 20대 국회에서 국회의원으로 활동했다."
"SK하이닉스, 경기·충북에 행복나눔기금 29억원 전달","SK하이닉스가 7일 경기도 이천 본사에서 임직원들의 자발적인 참여로 조성된 &apos;행복나눔기금&apos; 29억원을 경기·충북 사회복지공동모금회에 전달했다고 밝혔다.	이석희 SK하이닉스 대표이사는 이날 전달식에 참석해 ""행복나눔기금은 지난 10년간 회사 실적과 관계없이 구성원들의 자율적인 기부로 조성된 만큼 더 특별한 의미가 있다""며 ""구성원들의 정성은 물론, 그간 함께해 주신 사회복지공동모금회와 지역 정부의 도움이 소중히 사용될 수 있도록 우리만이 가진 ICT 역량을 활용해 더 큰 행복으로 만들어 가겠다""고 전했다.	행복나눔기금은 SK하이닉스가 2011년부터 지역 취약계층을 지원하기 위해 조성해온 기금이다.	 이는 임직원의 기부 금액에 맞춰 회사가 동일한 금액을 지원하는 방식으로 현재까지 누적된 기탁금액은 총 224억원에 달한다.	SK하이닉스는 행복나눔기금을 통해 조성된 기금을 아동과 청소년 대상의 미래인재 육성 사업고 노인 및 장애인 대상의 사회문제 해결을 위한 사업 등 8개 분야에 활용한다.	특히 올해부터는 &apos;행복GPS&apos;, &apos;실버프렌드&apos; 등 정보통신기술을 기반으로 한 사회공헌활동의 비중을 높여나간다는 계획이다.	행복GPS는 SK하이닉스가 2017년부터 치매 노인과 발달장애인 등 실종 위험 대상자에게 배회감지기를 제공하는 사업이다.	 경찰청에 따르면 이를 통해 해결된 실종사고만 지금까지 총 207건에 달한다."
암호화폐 사기 피해 회복 법률서비스 출시,"블록체인 보안 전문 업체 웁살라시큐리티는 법무법인 바른과 함께 분실·도난당한 암호화폐를 환수하기 위한 법률 서비스를 출시했다고 23일 밝혔다.	양사가 공동 출시한 이번 서비스는 암호화폐 해킹·사기 피해자가 사건을 의뢰하면, 웁살라시큐리티가 암호화폐 추적 기술을 통해 현재 어떤 거래소로 얼만큼의 자금이 흘러갔는지 증적자료를 제공하고, 바른이 이를 바탕으로 민·형사 소송을 통해 관련 암호화폐의 환수절차를 진행한다.	암호화폐 관련 해킹, 사기 피해 사례를 경찰에 신고할 경우 탈취된 자산이 현재 어느 거래소에 있는지, 정황을 파악하여 증거자료로 제출해야 하는데 이미 자금세탁을 거쳤을 가능성이 높은 암호화폐를 개인이 추적하기는 쉽지 않다.	또한 경찰에 수사를 의뢰한다 해도 의뢰인 소유의 자산인지 확인절차 및 증적자료 제출이 필요하고 조사과정과 구제절차가 복잡하여 의뢰인 개인이 경찰 수사를 통해 실질적인 도움을 받기는 어려운 것이 현실이다.	이번에 출시된 법률 서비스는 법적효력이 있는 증거자료를 통해 편취 자금이 유입된 경로를 즉시 파악하고, 해당 거래소 지갑에 대해 동결, 가압류 등 즉각적인 조치를 취함으로써 궁극적으로는 피해 금액을 회수할 수 있는 근거를 마련할 수 있다고 양사는 설명했다.	구민우 웁살라시큐리티 한국지사장은 “개인이나 소규모 사업자의 경우 관련기술과 법적대응에 이해도가 높지 않아 스스로 증적자료를 활용해 법적대응을 하기 어려운 경우가 많았다""며 ""이번에 출시한 서비스를 이용하면 웁살라시큐리티가 제공하는 법적효력이 증명된 자료를 바탕으로 법무법인 바른의 전문 법률자문을 받음으로써 암호화폐 피해자금 회복을 위한 적극적인 법적대응이 가능할 것”이라고 말했다.	바른의 한서희 변호사는 “사후 대응뿐 아니라, 사전에 투자사의 사기 시도를 투자자가 인지하고 안정적 투자 환경을 구축할 수 있는 ‘암호화폐 투자사기 예방 서비스’도 함께 확대해 나갈 계획""이라고 포부를 밝혔다."
"코스포 ""농어촌 빈집 활용 숙박 사업, 기재부 시범사업 추진 환영”","코리아스타트업포럼은 21일 기획재정부 제3차 혁신성장전략회의에서 ‘한걸음 모델’의 첫 번째 성공사례로 스타트업 다자요의 ‘농어촌 빈집 활용 숙박 사업’ 시범사업 추진이 의결된 것에 환영의 뜻을 밝혔다.	다자요는 흉물로 방치된 농어촌 빈집을 장기 임차한 뒤 리모델링을 거쳐 숙박 서비스를 운영하는 스타트업으로 여러 정부 부처에서 혁신사례로 소개됐다.	 그러나 지난해 5월 농어촌정비법 중 실거주자만 농어촌 민박업을 할 수 있다는 요건을 위반한 혐의로 경찰 조사를 받으며 사업을 중단했었다.	이에 기획재정부는 지난 6월 제2차 혁신성장전략회의에서 신산업 영역의 갈등해결 메커니즘으로 ‘한걸음 모델’을 발표했었다.	 농어촌 빈집 활용 숙박 사업을 한걸음 모델 3대 우선 추진과제로 선정해 이해관계자 간 갈등 조정을 추진해왔다.	상생조정기구는 다자요의 서비스가 향후 농어촌 빈집 문제 해결에 기여할 수 있다는 가능성에 공감하며, 향후 사업 수행 과정에서 지역사회에 미칠 영향을 다각도로 검증하기 위해 규제 샌드박스를 통한 시범사업을 추진하기로 합의했다.	최성진 코리아스타트업포럼 대표는 ""한걸음 모델의 상생조정기구 운영을 통해 이해관계자 모두 한 걸음씩 양보해 합의를 끌어낸 것에 큰 의의가 있다""며 ""이번 합의를 통해 다자요는 영업이 정지됐던 기존 빈집을 포함해 더 진전된 형태로 사업을 재개할 수 있을 것으로 보인다.""	고 말했다.	또 ""스타트업의 혁신적인 기술과 서비스를 통해 농어촌 지역과 상생하며 지역에 새로운 활력을 불어넣는 계기가 될 것으로 기대한다""면서 ""한걸음 모델이 이해관계 충돌로 어려움을 겪는 스타트업의 돌파구가 돼주길 바란다""고 덧붙였다."
"해긴 홈런클래시, 시즌3 콘텐츠 업데이트","해긴은 24일 모바일 스포츠 게임 홈런클래시의 시즌3 대규모 콘텐츠 업데이트를 진행했다.	이번 업데이트를 통해 신규 게임 모드 배틀로얄 월드시리즈가 추가됐다.	 해당 모드는 무작위로 선택되는 경기장에서 최대 4인의 이용자가 대결을 펼치는 방식으로, 모든 참가자에게 동일한 스탯과 스킬이 적용된다.	월드 챔피언십 개최 일주일 후 열리는 ‘배틀로얄 월드시리즈’는 하루 2시간씩 2일간 진행되며, 매일 전 세계 이용자와 랭킹 대결도 펼칠 수 있다.	수집욕구를 자극하는 신규 콘텐츠도 대거 등장한다.	 와일드 웨스트 파크에 모습을 드러낸 올스타 타자 나희는 자국 리그를 제패하고 해외 리그에 도전하는 야구 영재로, 크리티컬 홈런과 우측 사이클링 홈런에 유리한 능력을 보유했다.	 이와 함께 리볼버 배트·바람막이 고글·별장식 모자·보안관 뱃지 등 레전드 등급의 신규 장비 4종도 추가됐다.	아울러 애니 맥클레인과 퍼시벌이 승격 콘텐츠에 추가되면서 캐릭터 능력치 강화를 통해 엘리트 타자 육성도 노려볼 수 있다.	 또한 경찰 특공대 요원 콘셉트를 내세운 애니 맥클레인의 첫 번째 스타일 ‘SWAT’도 새롭게 더해졌다.	이외에도 스토리 모드 타자 5인 추가, 월드 챔피언십 신규 개최지 공개, 배틀로얄 모드 및 보상 시스템 개편, 타이틀 화면 변경 등 다양한 인게임 요소들의 업그레이드 작업이 진행됐다.	해긴 박민규 PD는 “홈런클래시 시즌3 업데이트는 실시간 홈런 대결의 짜릿함과 다양한 캐릭터 육성의 즐거움을 강화하는데 초점을 맞췄다”며 “전 세계 이용자가 홈런클래시와 함께 즐거운 겨울을 보내기를 바란다”고 말했다.	   © 메가뉴스 & ZDNET, A RED VENTURES COMPANY, 무단전재-"
매출 兆 단위 독립 IT서비스 기업 시대 열렸다,"아이티센이 쌍용정보통신을 인수했다.	 대기업 계열 IT서비스회사가 공공 소프트웨어 시장에서 사라진 빈자리를 꿰찬 아이티센은 공격적인 행보로 인수합병 전략으로 국내 IT서비스 시장에서 중량급 회사로 성장했다.	 이른바 &apos;빅3&apos;로 굳어졌던 한국 IT서비스 시장이 강력한 전문업체의 등장으로 재편의 전기를 맞았다.	 아이티센은 지난 19일 쌍용정보통신의 지분 40%를 274억원에 인수해 최대주주 지위를 확보했다.	쌍용정보통신은 1981년 설립된 한국 1호 IT서비스 회사이며, IT서비스업계 첫 상장기업이다.	 국방, 스포츠, 네트워크 통합 등의 영역에서 상징적 성과를 다수 내며 성장했지만, 모기업 쌍용양회 매각 등으로 내리막길을 걸었다.	 작년 쌍용정보통신의 매출액은 1천82억5천989만원이다.	 과거의 지위는 아니지만, 쌍용정보통신의 이름값은 여전히 높다.	 스포츠 이벤트, 국방 등 쌍용정보통신의 강점은 여전하며, 40년 가까이 국내 IT서비스업계 인력양성소 역할도 해왔다.	쌍용정보통신 인수로 아이티센을 향한 업계의 주목도는 더 높아졌다.	 2005년 5월 설립된 아이티센은 수년 사이 급격히 규모를 키워 중견급 기업으로 성장했다.	 그동안 IT서비스업계는 삼성SDS, LG CNS, SK CNC 등 그룹계열사 이외의 기업이 메이저로 성공한 사례가 없었다.	 아이티센의 성장이 주목받는 이유다.2005년 IBM 서버 스토리지 총판으로 시작한 아이티센의 성장 계기는 2013년 소프트웨어 산업진흥법 개정이었다.	 정부는 지난 2013년 SW산업진흥법을 개정하고 공공SW 사업에 대기업 참여를 제한했다.	대기업 계열 IT서비스업체의 공공기관 시장 입찰이 막히자.	 아이티센은 공공 시장에서 사업기회를 획득했다.	 빠른 상승세를 바탕으로 아이티센은 2016년 처음으로 공공 IT서비스 시장 1위에 올랐으며 공공사업 만으로 매출 1천억 원을 넘어섰다.	아이티센은 작년 3분기 4천331억원 매출로, 연간 누적매출 1조1천137억원을 기록했다.	 누적매출은 전년동기 대비 320% 증가한 것이다.	 작년 3분기 영업이익은 149억원이다.	 매출액 증가율과 영업이익 증가율은 코스닥 상장사 가운데 상위 4%와 2%에 해당한다.4분기 실적을 합치면 아이티센의 작년 연매출 규모는 2조원에 육박할 것으로 보인다.	 계열사인 한국금거래소의 실적을 반영한 것이기 때문에 실제 완전히 IT서비스 매출이라 보기 어렵긴 하다.	 한국금거래소와 한국금거래소쓰리엠, 한국금거래소인터내셔널 등 3개 계열사는 작년 3분기까지 9천840억원 매출을 기록했다.	현재 아이티센은 외교부, 국세청, 안전행정부, 교육부, 경찰청 등 주요 공공기관을 비롯해 금융기관과 국내 주요 대학교 등 교육기관에 IT서비스를 공급하고 있다.	아이티센 스스로 강조하는 경쟁력은 대규모 전문인력을 기반으로 한 양질의 서비스다.	 전문인력 양성을 위한 맞춤 교육으로 인재를 양성하고 있다는 설명이다.	 대기업의 전문 IT 기술인력과 재정, 세금 등 각 산업 분야 전문가를 300명 이상 확보하기도 했다.	자체 제작한 소프트웨어만 고집하지 않고 다양한 기업의 IT자원을 조합해 최적의 IT 환경을 제공하면서 경쟁관계를 최소화한 것도 주효했다.	아이티센은 또한 한국IT서비스산업협회 회장사기도 하다.	 박진국 대표가 올해 회장으로 재선임되면서 업계 영향력을 공고히 하는 모습이다.	협회는 올해 ▲투입인력 관리 금지 ▲공공 통합유지보수사업의 예산항목에 통합 비용 반영 ▲기술평가 컨소시엄 구성 합리화 ▲기술위주 사업자 선정을 위한 제도 개선 ▲기술협상시 발주자 측의 추가 요구 사항이나 과업 내용 변경에 따른 낙찰차액 허용 ▲부정당업자 제재에 따른 이중 처벌 조항 완화 및 폐지 등 6개 전략과제를 세웠다.	아이티센이 국내 IT서비스 시장에서 지금같은 기세를 유지하기 쉽진 않은 상황이다.	 아이티센의 성장 발판이었던 공공SW시장은 작년말부터 변화를 보이고 있다.	 빅3의 공공 시장 귀환이 속속 일어나고 있기 때문이다.	작년들어 대기업의 공공 시장 참여를 허용하는 예외규정 적용 프로젝트가 나타났다.	 클라우드, 블록체인, 인공지능 등 신기술의 경우 대기업 계열 회사도 참여를 허용하고 있는 것이다.	삼성SDS는 작년 7월 196억원 규모의 행안부 차세대 지방세정보시스템 1단계 사업을 수주하면서 공공 시장에 6년만에 재등장했다.	 작년말 1천200억원 규모의 기획재정부 차세대 디지털회계예산시스템 사업을 수주했고, 올해초 행정안전부의 &apos;전자정부 클라우드 플랫폼 구축&apos; 사업에서 우선협상대상자로 선정됐다.	LG CNS는 기재부 디브레인 사업에서 삼성SDS에 고배를 마셨지만, LG그룹사 디지털 트랜스포메이션 프로젝트에 주력하면서, 국내 대기업 클라우드 전환 프로젝트와 공공 시장 등의 대외사업 성장을 노리고 있다.	 작년 8월 농협의 300억원 규모 NH농협캐피탈 차세대 시스템 구축사업도 수주했다.	SK C&C는 주요 사업부서를 기술 분야로 나누고, 디지털 사업 조직을 각 부서에 전진 배치했다.	 공공, 금융 분야 신규 프로젝트를 적극 수주한다는 전략이다.	올해 공공 IT서비스 시장은 1조원 규모로 추산된다.	 행안부 차세대 지방세정보시스템, 보건복지부 차세대 사회보장정보시스템, 외교부 전자여권 차세대 사업, 우정사업본부 우체국 금융차세대 시스템 등이 대표적인 프로젝트로 꼽힌다.	올해 IT서비스 시장 규모는 소폭 증가할 전망이다.	 다만, 신기술 도입 프로젝트가 시장의 새 모멘텀으로 작용할 것으로 보인다.	 KRG는 올해 국내 IT시장 전망에서 ▲클라우드 6천8억원 ▲빅데이터 3천670억원 ▲AI 3천283억원 ▲사물인터넷 1천987억원 ▲5G 1천111억원 ▲블록체인 113억원 등 신산업 분야의 사업 규모 확대를 전망했다.	빅3 외에 롯데정보통신, 아시아나IDT, 포스코ICT, 현대오토에버 등 기존 중견 업체의 대외 사업 행보도 변수다.	 작년 상장한 현대오토에버는 국내 시장 4위로 꼽히는데, 올해 현대자동차그룹 각 계열사의 IT자원과 서비스를 통합하는 ‘One-	IT’ 전략을 본격적으로 수행할 예정이다.	국내 IT서비스업계 관계자는 ""대기업 계열 IT서비스회사들이 성과 확대를 위해 그룹사 사업 외에 대외 사업 규모 확장에 본격적으로 나서고 있다""며 ""치열해진 경쟁 속에 중견, 중소 IT서비스업체의 공공 시장 참여가 더 어려워질 것으로 우려된다""고 말했다."
"손보협회, 어린이 보호구역 안전운전 캠페인 실시","손해보험협회가 행정안전부, 경찰청, SK텔레콤 T맵과 이달말까지 어린이 보호구역 안전운전 캠페인을 실시한다고 17일 밝혔다.	행정안전부는 어린이 교통사고 예방과 감축을 위해 연초 범정부 차원의 &apos;어린이보호구역 교통안전 강화대책&apos;을 마련한 바 있다.	이에 어린이 보호구역 내 안전운전의 중요성에 대한 국민적 공감대를 형성하고, 안전운전 문화의 정착을 지원하고자 캠페인을 진행하게 됐다고 협회 측은 설명했다.	캠페인은 &apos;어린이 보호구역, 함께 지켜요&apos;라는 슬로건으로 진행된다.	 이벤트 응모 후 어린이 보호구역 내에서 제한속도를 위반하지 않은 3천명을 추첨해 주유권을 지급한다.	 자세한 내용은 T맵 모바일 앱 운전습관 캠페인 페이지에서 확인할 수 있다.	손보협회 관계자는 ""캠페인을 계기로 어린이 보호구역에서 만큼은 제한속도를 준수하고, 보행자의 안전을 우선하는 교통안전 문화가 정착되기를 바란다""면서 ""앞으로도 어린이, 보행자 등 교통약자의 사고 예방 및 감축을 위해 더욱 노력해 가겠다""고 말했다."
"中 텐센트 ""AI로 하루 30억 장 이미지 처리""","중국 인터넷 기업 텐센트가 인공지능 &apos;신 인프라 아키텍처&apos;를 처음 공개하고 하루 수 십억 장의 이미지와 천억 개의 언어 구문 처리를 하고 있다고 밝혔다.28일 중궈신원왕에 따르면 텐센트의 AI 컴퓨터비전상품센터 총경리인 왕레이는 ""텐센트 클라우드 AI를 통해 하루 30억 장의 이미지, 250만 시간의 음성, 천억 개의 구문을 처리하고 있다""며 ""고객 기업 수는 200만 명이 넘으며 세계 12억 명의 사용자에 서비스하고 있다""고 밝혔다.	 중국 최대 AI 서비스 공급기업이 됐다고도 설명했다.	이 발표는 앞서 지난 달 20일 중국 국가발전개혁위원회가 인공지능을 &apos;신인프라&apos; 중점 영역으로 포함시킨 이후 나왔다.	 기존 사업 구조를 변화시킬 수 있는 AI 산업과 인프라 중요성이 대두되고 있는 것과 맥락을 같이 한다.	텐센트의 AI 서비스는 &apos;하나의 클라우드 기반 세 플랫폼&apos; 구조를 기반으로 한다.	 세 플랫폼이란 컴퓨팅, 서비스, 오픈 플랫폼이다.	 컴퓨팅 플랫폼은 알고리즘 코어 프레임, 딥러닝 툴, AI 미들 기능을 보유했으며 데이터를 알고리즘 모델로 응용한다.	 AI 서비스 플랫폼은 텐센트 내부에 축적된 음성, 사진, 영상, 신경망처리 등 AI 기술을 클라우드 방식으로 사용자에 제공한다.	 AI 오픈 플랫폼은 AI 기술을 산업에 연동해 기술과 애플리케이션 개발을 지원하는 플랫폼이다.	 텐센트에 따르면 이미 1만 개의 협력사에 연동됐다.	 기술 개발도 협력하면서 AI 생태계를 꾸리고 있다.	이미 6500개 이상의 AI 특허를 보유했으며 800편 이상의 논문이 국제 정상급 AI 학회의 학술 성과로 인정받았다고도 전했다.	상용 서비스로 얼굴 인식 알고리즘 기반 인물 분류 서비스 &apos;선투&apos;, 이미지 문자 인식 서비스 &apos;후이옌&apos;, 이미지 분석 서비스와 OCR 등이 있다.	 또 스마트 음성 서비스로 음성인식, 음성합성, 기계번역 등도 제공한다.	 자연어 처리 상품으로는 감정분석, 어휘분석, 교정교열 등 서비스도 있다.	이와 관련해 텐센트는 인공지능 서비스 플랫폼 &apos;TI 매트릭스&apos;를 운영하면서 기업의 디지털화와 AI 생태계를 지원한다.	 여기서 AI 애플리케이션 개발에 필요한 알고리즘, 장비, 데이터 등을 매칭하할 수 있다.	이같은 AI 서비스가 제조, 행정, 의료, 교육, 금융, 기업과 여행과 레저 등 다양한 현장에 적용되고 있다.	최근 중국 TCL그룹 산하 디스플레이 기업인 차이나스타옵토일렉트로닉스의 경우 텐센트를 통해 자동 오류 분석 시스템을 도입해, 디스플레이 패널의 검측 효율을 높였다.	 기존에 사람이 판단할 때 대비 AI 인식 속도가 5~10배 높아 인력을 50% 줄일 수 있으면서 검측 주기는 60% 단축시켰다.	행정 방면에서도 중국 선전 경찰에 이미지 문자를 인식하는 서비스인 후이옌을 통해 온라인 신분 인증 서비스를 제공한다.	 여러 시민들이 스마트폰을 통해 온라인에서 신분 인증을 해 손쉽게 전입, 운전면허 발급 등을 할 수 있다.	또 스마트 시티를 위해 교통, 수도, 건축 등 영역의 데이터 구조화 능력을 높일 수도 있다고 부연했다."
"이재용 재판, 정경심 재판부가 맡는다","삼성그룹 불법합병 및 회계부정 의혹으로 기소된 이재용 삼성전자 부회장 관련 사건이 정경심 동양대 교수 사건을 심리 중인 재판부에 배당됐다.3일 법조계에 따르면, 삼성 합병의혹 사건이 형사합의25-2부에 배당됐다.	 이 부회장과 전·현직 삼성 임원 등 11명은 지난 1일 자본시장법상 부정거래·시세조종행위, 업무상 배임, 외부감사법 위반 등 혐의로 불구속 기소됐다.	형사합의25부는 부장판사 3명이 재판장을 교대로 맡는 재판부로 경제·식품·보건 분야를 전담하고 있다.	 정 교수 사건과 김은경 전 환경부 장관의 &apos;환경부 블랙리스트&apos; 관여 사건, 경찰총장 윤 총경과 버닝썬 연결고리 의혹을 받는 큐브스 전 대표 사건, 인보사 성분조작 의혹 관련 조정종 코오롱생명과학 이사 등 사건을 심리 중이다.	서울중앙지법은 이 부회장 사건이 경제 사건에 해당해 경제 사건 전담 합의부 중 무작위로 배당한 것으로 전해졌다.	이 부회장의 혐의는 법정형 하한이 징역 1년을 넘지 않아 법원조직법에 따라 단독판사 관할에 속하지만, 사실관계나 쟁점이 복잡한 사건인 점 등을 고려해 재정합의 결정이 내려졌다.	 재정합의는 사안의 중요성이나 사회에 미칠 중대한 영향 등을 고려해 단독 재판부의 사건을 법관 3명으로 구성된 합의부에서 심리하도록 하는 절차다.	검찰은 2015년 삼성물산과 제일모직 합병과 삼성바이오로직스 회계 변경이 이 부회장의 경영권 승계를 위해 치밀하게 계획된 지배구조 개편 작업의 일환으로 이뤄졌다고 보고 있다.	 삼성물산 경영진들은 이 부회장과 미래전략실 승계 계획안에 따라 회사와 주주 이익을 보호해야 할 의무를 위반했다고도 보고 있다.	이에 검찰은 지난 6월 외부 전문가로 구성된 검찰 수사심의위원회가 수사 중단 및 불기소를 권고에도 불구속 기소 결정을 내렸다.	삼성 측은 삼성물산 합병이 ▲정부규제 준수 ▲불안한 경영권 안정 ▲사업상 시너지 효과 달성 등 경영상 필요에 의해 합법적으로 이뤄졌다고 주장, 검찰의 기소 부당성을 밝혀나가겠다는 입장인 만큼 치열한 법정 공방이 예상되고 있다."
