괴상한 시뮬레이터 열풍은 올해도 이어진다,   
"[사이버펑크 2077] 신체개조, 과연 어디까지 가능한가?",   
"페르소나 5 스크램블, 무쌍 콜라보지만 무쌍 게임이 아니다",   
"인종차별 반대시위 동참한 소니, PS5 발표 행사도 연기",   
상어로 GTA를 한다면 이런 느낌? 맨이터 메타크리틱 69점,   
"데브시스터즈 신작 파티파티, 안드로이드에 먼저 나왔다",   
"[순정남] 둠가이가 우습다, 게임 속 상남자 캐릭터 TOP5",   
"발로란트, 빅데이터 분석에 AI까지 동원해 핵 잡는다",   
"이윤열의 모바일 마피아, 마피아3D 구글·애플 출시",   
"존 로메로 신작 ""엠파이어 오브 신"" 콘솔판 내년 초 나온다",   
"해당 직원 해고 및 형사고소, 던파 사태 최종 결과 발표",   
"이윤열의 마피아 게임, ""마피아 3D"" 사전예약 시작",   
"대리게임금지법 첫 위반 사례, 업체 운영자 6명 검거",   
"16살 생일 맞은 카트라이더, 유니크 카트바디 쏜다",   
발로란트 캐릭터 디자인에는 숨겨진 의도가 있다,   
"4시간 플레이 한 사이버펑크 2077, 인상 깊었던 33가지",   
