"과기정통부, 국방·치안·항공 등 공공목적 주파수 공급"," 내년도 국방, 치안, 항공·해상 안전, 기후 관측 등 공공 목적으로 총 9.13㎓폭의 주파수가 추가로 공급된다.	    29일 과학기술정보통신부는 공공용 주파수 정책협의회를 열고 '2021년 공공용 주파수 수급계획'을 발표했다.	    2021년에는 국방부, 국토교통부, 해양경찰청 등 16개 기관이 신규 수요 49건을 제출했다.	 과기정통부는 적정성 조사·분석, 전문가 자문 및 평가, 의견청취 등을 거쳐 수급계획을 최종 확정했다.	    과기정통부는 적정성 평가 결과 적정 25건, 조건부 적정 17건으로, 중앙행정기관, 공공기관 등에 약 9.13㎓폭을 공급할 예정이다.	   특히, 무인무기체계, 드론탐지레이다 주파수를 신규 공급한다.	 최근 공항·원전 등 국가중요시설에 대한 불법 드론 위협으로 드론탐지레이다 구축 수요가 지속적으로 늘어남에 따라, 드론탐지레이다 전용 대역을 발굴·공급하고 이용자 준수사항을 마련했다.	    이와 관련 과기정통부와 국방부는 지난 2월 주파수 이용 효율화를 위한 업무협약을 체결하는 등 효율적인 주파수 이용환경을 위해 노력하고 있다.	    오용수 전파정책국장은 ""공공용 주파수는 국민의 생명·안전 서비스와 직결되는 핵심자원""이라며 ""공공용 주파수를 적기적소에 공급할 수 있도록 전파 자원 확보, 이용 효율 개선을 위해 지속적으로 노력해 나가겠다""고 밝혔다.	    한편, 과기정통부는 수급계획을 관계기관에 통보하고, 각 기관의 사업 추진 및 무선국 개설 일정에 맞춰 주파수를 공급할 예정이다.	 내년에는 레이다 운용 기관 간 정보공유, 주파수 공동사용, 분야별 이용 가이드라인 마련 등 레이다 이용 효율 개선을 중점적으로 추진해나갈 계획이다.	    < > <저작권자 ©   무단전재-"
[Special Column] 고위공직자 대상 ‘강화된 자금세탁방지 ’ 대응 시급해졌다,<저작권자 ©   무단전재-
"[IT클로즈업] 美 ITC 소송, 불확실성 커진 SK이노베이션…왜?", LG화학과 SK이노베이션 미국 국제무역위원회 소송이 SK이노베이션에게 불리한 방향으로 흘러가고 있다.	 SK이노베이션이 제기한 소송 최종판결이 LG화학이 낸 2건의 소송 다음에 나는 것으로 정해졌다.	 운신의 폭이 좁아졌다.	   ITC는 지난 5일 SK이노베이션이 LG화학 등을 특허침해로 고소한 소송 최종판결을 2021년 11월30일 하기로 했다.	 예비판결은 2021년 7월30일이다.	   양사는 ITC에서 총 3건의 소송을 진행하고 있다.	 ▲LG화학이 SK이노베이션을 영업비밀침해로 고소한 1차 소송 ▲SK이노베이션이 LG화학을 특허침해로 고소한 2차 소송 ▲LG화학이 SK이노베이션을 특허침해로 고소한 3차 소송이다.	 소송을 제기한 시점에 따라 1차 2차 3차를 구분한다.	 1차는 작년 4월 2차와 3차는 작년 9월 접수했다.	   판세는 SK이노베이션이 불리하다.	 소송도 협상도 마찬가지다.	 이번 ITC 결정으로 일정까지 SK이노베이션에게 도움이 되지 않을 가능성이 높아졌다.	   1차 소송은 예비판결까지 진행했다.	 SK이노베이션이 조기패소했다.	 2차 소송은 ITC 산하 불공정수입조사국 논의까지 이뤄졌다.	 LG화학 입장에 동의했다.	 SK이노베이션 입장은 반대하지 않았다.	 예비판결은 최종판결에서 뒤집힌 경우가 없다.	 OUII 의견은 참고사항이다.	 LG화학은 법리 다툼 없이 유리한 결과를 얻었다.	ITC 소송은 서로가 서로에게 자료를 요구해 이 자료를 바탕으로 자신의 주장을 입증하는 구조다.	 증거인멸은 정당한 소송을 방해한다는 점에서 제재 대상이다.	 LG화학은 SK이노베이션이 ‘증거인멸’을 했다는 점을 잡아냈다.	 1차 소송 예비판결과 2차 소송 OUII 결과 모두 증거인멸이 결정적 원인이 됐다.	   협상은 지지부진하다.	 양사 기대치 간격이 크다.	 그룹 차원 감정 싸움으로 번졌다.	   SK이노베이션은 소송 초기 ‘양사 소송은 국익에 도움이 되지 않는다’는 태도를 견지했다.	 LG화학은 ‘기업 사이에 벌어진 일을 국익으로 덮으려 한다’고 반박했다.	 국익 논란이 커지자 정부가 양사 고위급 만남을 주선했다.	 작년 9월 LG화학 신학철 대표와 SK이노베이션 김준 대표가 자리를 가졌다.	 성과는 없었다.	   LG화학은 경찰과 검찰 고소를 병행했다.	 이번 일의 발단은 LG화학 직원의 SK이노베이션 대량 이직.	 LG화학은 ‘직업 선택의 자유 저해’와 ‘임직원에 대한 통제 강화’ 비난을 받았다.	 대신 도덕적 비판을 받더라도 법적 실리를 취하겠다는 의지를 명확히 했다.	   SK이노베이션은 톱다운 협상 기대를 버리지 않았다.	 ‘2014년 양사 합의문’을 공개했다.	 LG 권영수 부회장을 소환했다.	 권 부회장은 2014년 당시 LG화학 배터리 사업을 맡았었다.	 ‘ITC 3차 소송이 2014년 합의를 위배했기 때문에 권 부회장이 책임을 져야 한다’는 논리를 펼쳤다.	 관련 국내 소송도 냈다.	 LG화학은 대응하지 않았다.	 국내 소송은 지난 8월 1심 판결이 났다.	 SK이노베이션이 패소했다.	   SK이노베이션은 다시 ‘국익’ 카드를 꺼냈다.	 LG화학은 SK이노베이션 협상 자세에 의구심을 표했다.	 협상에 무게를 뒀다면 상대에 대한 비난을 자제해야 하는 것 아니냐고 했다.	 국익 거론 자체가 본질을 흐린다고 판단했다.	   기업간 영업비밀침해와 특허소송은 대개 협상으로 끝난다.	 소송은 협상에서 유리한 패를 쥐기 위한 수단이다.	 양사는 ITC에 상대 제품 미국 수입 및 판매금지를 요구한 상태.	 최종판결은 60일 이내 미국 대통령 재가 여부로 확정한다.	 LG화학은 1차 소송 예비판결로 확실한 패를 1개 쥐었다.	 SK이노베이션이 이를 상쇄하려면 2차 소송 승리가 필요하다.	   그러나 일정상 SK이노베이션이 원하는 패를 받더라도 LG화학을 압박하기가 힘들어졌다.	 1차 소송 최종판결은 12월10일이다.	 2021년 2월8일 효력이 발생한다.	 2차 소송 예비판결은 7월30일이다.	 최소 5개월 이상 사업 차질이 불가피하다.	 오히려 LG화학이 원고인 3차 소송 최종판결은 2021년 7월19일이다.	 SK이노베이션보다 먼저 LG화학이 1장의 패를 더 볼 수 있는 셈이다.	 가뜩이나 기울어진 운동장이 더 기울어질 위험이 높다.	 주주와 고객사가 인내할지 미지수다.	   한편 시간은 LG화학의 편이라는 평가다.	 LG화학은 지난 10월30일 전지사업 분사를 확정했다.	 12월1일 LG에너지솔루션이 출범한다.	 LG화학 100% 자회사다.	 LG화학 전지사업은 지난 2분기부터 흑자를 기록 중이다.	 재원 운용 선택지가 늘어났다.	   SK이노베이션은 1차 소송 최종판결 확정 전이 골든타임이다.	 하지만 협상 급진전은 쉽지 않아 보인다는 것이 업계 관측이다.	 인사와 마감 등이 겹친 시기기 때문이다.	 SK이노베이션은 지난 3분기까지 3분기 연속 적자다.	 배터리 사업은 2022년 손익분기점이 목표다.	 사업 차질과 협상 지연 둘 다 악재다.	    < > <저작권자 ©   무단전재-
긴급구조 위치정보 품질…SKT > KT > LGU+," SK텔레콤이 긴급구조에 활용되는 위치정보 품질이 가장 우수한 것으로 나타났다.	   방송통신위원회는 긴급구조에 활용되는 위치정보의 2019년도 품질 평가 결과를 발표했다.	   119ㆍ122ㆍ112와 같은 긴급전화 신고 시 위치정보법에 따라 소방청ㆍ해경청ㆍ경찰청은 이동통신 3사로부터 위치정보를 제공 받아 긴급구조 활동에 활용하고 있다.	    방통위는 위급상황에서 활용되는 긴급구조 위치정보의 품질 정보를 일반에 제공함으로써, 제공 사업자에게 긴급구조 위치정보의 품질 향상을 유도하고 긴급구조기관 등의 보다 신속하고 정확한 구조 활동을 지원하기 위해 긴급구조 위치정보 품질 평가를 실시했다.	    이번 품질평가는, 기지국ㆍGPSㆍ와이파이 위치정보에 대해 이뤄졌다.	 전국 22개 지역의 69개 지점에서, 긴급구조기관 등의 긴급구조 위치정보제공 요청 시 ▴위치정보사업자가 얼마나 빠른 시간 내에 어느 정도의 정확한 위치정보를 제공하는지를 측정한 ‘긴급구조 위치정보 품질 측정 시험’과 기지국 외의 GPSㆍ와이파이 측위를 통한 위치정보 제공이 원활하지 않은 ‘긴급구조 위치정보 사각지대 단말기 시험’을 대상으로 진행됐다.	    조사결과 GPS 위치성공률은 SK텔레콤이 91.24%로 가장 높았으며 KT 90.95%, LG유플러스 59.74% 순이었다.	 와이파이 위치성공률도 SK텔레콤이 93.87%로 가장 높았다.	 KT 90.68%, LG유플러스는 50%대인 57.41%에 머물렀다.	    또한, 긴급구조 위치정보 사각지대 단말기 시험 진행결과 기지국 위치정보는 외산 단말기ㆍ자급제 단말기ㆍ알뜰폰 단말기ㆍUSIM이동 단말기 모두 제공되고 있었다.	 하지만 GPSㆍ와이파이 위치정보는 이용하는 단말기와 이동통신사 특성 등에 따라 부분적으로 제공되고 있는 것으로 나타났다.	   특히, 애플의 아이폰11프로맥스 등을 대상으로 긴급구조 위치정보를 측정한 결과 기지국은 모두 제공 가능했지만 GPS와 와이파이는 모두 제공하지 않았다.	    자살방지 등을 위해 항상 기지국 정보와 함께 GPS와 와이파이 긴급구조 위치정보를 제공해야 하는 우리나라와 달리, 미국은 긴급구조 전화 통화 시에만 기지국 정보이외에 GPS만을 제공하고 있는 점 등을 이유로 기능이 제한적으로 제공되고 있는 것으로 파악됐다.	    또한, 자급제와 USIM이동 단말기 등의 긴급구조 위치정보 측정을 위해 삼성전자 갤럭시S10+와 LG전자 G8를 대상으로 평가를 진행한 결과 기지국은 모두 제공 가능했으며 GPS는 부분적 제공이 가능했다.	 반면, 와이파이는 미제공이거나 부분적으로 제공이 가능한 것으로 나타났다.	 이는 일부 단말기의 경우 긴급구조 위치정보 요청 시 이동통신사 자체 측위서버로 GPS측위 하도록 긴급측위 모듈이 설정되어 있으나, 일부 이동통신사는 자체 측위서버가 없어 GPS 정보를 미제공하고 있는 것 등이 원인인 것으로 조사됐다.	     방통위는 “이번 평가 결과를 토대로 미흡한 부분에 대해서는 보완해 정상화할 수 있도록 지속적인 노력을 기울일 것”이라며 “향후 이용자의 선택권을 보장하고 긴급구조 활동의 효율적 지원을 위해 매년 긴급구조 위치정보의 품질을 평가하고 그 결과를 투명하게 공개하겠다”고 밝혔다.	   < > <저작권자 ©   무단전재-"
"행정안전부, n번방 피해자 주민등록변경 ‘긴급처리 안건’ 상정"," 행정안전부 주민등록번호변경위원회는 텔레그램 ‘n번방’ 피해자로 인지되는 주민등록번호 변경 신청이 있을 경우 사안의 중대성과 시급성을 감안해 ‘긴급처리 안건’으로 상정해 3주 내 신속 심의하겠다고 26일 밝혔다.	 주민등록변경 신청 법정처리기한은 6개월이며 통상 3개월가량 소요된다.	   주민등록번호 변경제도는 주민등록번호 유출로 생명·신체, 재산 등의 피해를 입거나 성폭력·가정폭력 피해자처럼 주민등록번호 유출로 피해를 입을 우려가 있는 사람의 경우 위원회의 심의·의결을 거쳐 주민등록번호 뒤 6자리를 변경해 준다.	   변경이 결정되면 위원회는 변경결정서를 관할 시군구에 통보하고 읍·면·동에서 주민번호를 변경해 신청인에게 통지된다.	    변경위원회는 향후 n번방 피해자들의 부안감 해소와 2차 피해를 예방하기 위해 경찰청 및 여성가족부 등에 협조 요청하는 등 주민등록번호 변경제도를 이용할 수 있도록 적극 지원할 방침이다.	   한편 변경위원회는 앞서 이와 유사한 사건 피해자의 주민등록번호 변경 신청을 각각 3주, 7주 이내에 변경심사를 완료한 바 있다.	   < > <저작권자 ©   무단전재-"
"늘어나는 악의 도피처 ··· 디지털 성범죄, 왜 잡기 어렵나"," 익명성 기능이 강화된 인터넷 서비스를 이용한 사이버범죄가 늘고 있다.	 특히 미성년자를 포함한 여성을 협박해 성착취물을 제작한 뒤 ‘텔레그램’을 통해 유포한 ‘n번방’ 사건은 사회에 큰 파문을 던지고 있다.	   n번방 같은 디지털 성범죄가 이토록 큰 범위로, 많은 사람이, 오랫동안 이어져 올 수 있었던 것은 높은 보안성을 제공하는 텔레그램의 특성 때문이다.	    일반적으로 메신저를 이용할 경우, 메신저의 사용 내역은 ▲발신자인 본인의 디바이스 ▲메신저의 서버 ▲수신자의 디바이스 등 3곳에 남는다.	 본인 디바이스의 사용 내역을 지우는 것은 비교적 간단하다.	 앱을 삭제하거나 대화를 삭제하면 된다.	 텔레그램은 여기에 더해 수신자의 디바이스에 남은 본인이 보낸 메시지도 삭제할 수 있다.	 최근 카카오톡 등도 해당 기능을 도입했으나 발송한 지 5분이 넘을 경우 삭제되지 않는 차이점이 있다.	    본래 러시아 기업이었던 텔레그램은 러시아 정부의 서버 정보 제공 요청을 피해 독일, 영국, 싱가폴, 두바이 등으로 본사를 옮겨 다녔다.	 보안에 가장 큰 방점을 둔 기업인만큼 데이터 제공 요청에 응할 확률은 높지 않다.	 해외에 있는 서버를 압수수색하기도 어렵다.	   또 ‘비밀채팅방’에는 한층 더 보안성이 강화된다.	 별도로 설정된 비밀번호를 통해 접속할 수 있는 채팅방은 서로 주고받은 대화를 일정 시간이 초과될 경우 자동 삭제·암호화되는 기능을 제공한다.	    이 같은 보안 기능들은 총 참여자가 26만명에 달하는 것으로 알려진 텔레그램 n번방의 운영자·참여자를 추적하는 데 걸림돌이 된다.	    이런 디지털 성범죄에 대한 국민 반응은 뜨겁다.	 지난 18일 ‘텔레그램 n번방 용의자 신상공개 및 포토라인 세워주세요’라는 청와대 국민청원에는 26일 기준 262만명이 참여했다.	 역대 청와대 국민청원 중 가장 많은 인원이, 빠르게 참여한 청원이 됐다.	   도를 넘은 범죄에 대통령도 나섰다.	 지난 23일 문재인 대통령은 청와대 대변인을 통해 “경찰은 n번방 운영자 등에 대한 조사에 국한하지 말고 n번방 회원 전원에 대한 조사가 필요하다”며 “필요하면 경찰청 사이버안전과 외에 특별조사팀이 강력하게 구축됐으면 한다”고 의견을 밝혔다.	   민갑룡 경찰청장은 24일 국민청원 답변 생방송에서 “디지털 성범죄는 사람의 영혼을 파괴할 뿐만 아니라 사회 공동체마저 위협하는 중대한 범죄”라며 “이런 악질적인 범죄행위를 완전히 뿌리 뽑겠다는 각오로 가능한 모든 수단을 강구해 생산자, 유포자는 물론 가담·방조자도 끝까지 추적·검거하겠다”며 강력한 수사의지를 전했다.	   이들에 대한 수사는 체포된 ‘박사방’ 운영자 조주빈과 ‘와치맨’이라는 닉네임을 사용하던 또다른 운영자의 스마트폰을 디지털 포렌식할 것으로 보인다.	 이들의 스마트폰에 저장돼 있는 연락처 등과 돈을 주고받은 내역을 추적하는 방식이다.	   n번방 운영자·이용자는 안전성을 위해 암호화폐를 이용했는데, 보안 전문가들은 오히려 이 부분을 노려 수사해야한다고 지적한다.	 음지에서의 악질 사이버범죄를 막기 위해서는 ‘돈줄’을 막아야 한다는 게 그들의 주장이다.	   한 전문가는 “다크웹, 텔레그램 등 익명성을 이용해 사이버범죄를 행하는 이들 대다수가 암호화폐를 이용하고 있다.	 암호화폐이니만큼 일반 자금흐름보다 추적이 어려운 것은 사실이나, 거래소가 협조할 경우 충분히 추적 가능하다”며 “국내 4대 암호화폐 거래소가 수사기관에 정보 제공을 협조하기로 한 만큼 대대적인 n번방 운영자 및 이용자 추적이 이뤄질 것이라고 본다”고 말했다.	  한편 n번방 같은 디지털 성범죄가 텔레그램에서만 벌어지는 것은 아니다.	 토르 등 익명성이 강화된 특정 브라우저를 통해 접속할 수 있는 ‘다크웹’에서는 사이버범죄가 만연하다.	 세계 최대 아동 음란물 웹사이트라 불리던 ‘웰컴투비디오’의 운영자와 유료 이용자 다수가 한국인이었다.	    또한 일각에서는 사이버범죄자들이 이번 사건으로 표면화된 텔레그램 대신 ‘디스코드’로 이주하고 있다는 소문이 돌고 있다.	 디스코드는 게이머들이 정보공유 및 채팅을 위해 자주 활용하는 메신저로 텔레그램처럼 보안성이 강한 것으로 유명하다.	   보안업계 관계자는 “표면화되지 않은 악질적인 사이버범죄의 규모는 상상할 수 없을 정도”라며 “국내에서도 다크웹이나 텔레그램, 디스코드 등을 통해 마약을 거래하는 것은 흔한 일”이라고 말했다.	   이어서 그는 “다크웹이나 암호화폐를 통한 사이버범죄가 늘어나는 만큼 수사기관이나 보안업계서도 이를 추적하는 기술 연구개발에 박차를 가하고 있는 상황”이라며 “표현의 자유를 위한 익명성이 이렇게 악용되는 것을 보면 안타깝다”고 말했다.	   < > <저작권자 ©   무단전재-"
"행정안전부, ‘제21대 총선 투·개표소 안전 유관기관 회의’ 개최"," 행정안전부는 3월26일 ‘제21대 국회의원선거 투·개표소 안전 유관기관 영상회의’를 개최한다고 25일 밝혔다.	   이번 회의를 유관기관은 통해 제21대 국회의원선거를 20일 앞두고 투·개표소 경비·소방·전기·통신 등 안전관리 상황을 공유·점검하고 지원체계를 구축할 예정이다.	 행정안전부, 경찰청, 소방청, 우정사업본부, 한국전력공사, KT 등이 참석한다.	   행정안전부는 지난 3월19일 모의 사전투표시험 현장 방문을 시작으로 투·개표소 선거 안전관리대책 현장점검을 3월25일부터 4월3일까지 진행할 계획이다.	    또 각종 사건·사고 발생 시 신속한 대응을 위해 사전투표기간부터 투표일까지 ‘투·개표 지원 상황실’을 운영한다.	 4월30일까지 선거관련 해킹 등 사이버공격에 대비하는 한편 지진 등 재난 발생 시 초동대응을 위하 비상대비체계를 유지한다.	   경찰청은 선거기간 개시일인 4월2일부터 경계를 강화해 선거일인 4월15일 ‘갑호비상’을 발령, 선거경비체제에 돌입할 예정이다.	 소방청은 투·개표소 소방·방화시설 사전점검을, 우정사업본부는 3월24일부터 선거일까지를 ‘선거우편물 특별소통’으로 설정해 선거우편물을 송달할 방침이다.	   투·개표 시 안정적인 전력·통신 공급을 위해 한국전력은 무정전 전력공급 설비를 구축하고 KT는 ‘선거통신 안정지원 상황실’을 운영해 선거통신회선 품질 확보를 위한 사전정밀점검을 실시한다.	   이재관 행정안전부 지방자치분권실장은 “선거일이 얼마 남지 않은 만큼 투·개표소 사전 안전관리 점검을 철저히 하겠다”며 “유관기관 간 투·개표 안전 추진체계를 상시 긴밀하게 유지해 투·개표 사무가 차질 없이 진행되도록 최선을 다하겠다”고 말했다.	   < > <저작권자 ©   무단전재-"
"국민적 공분 ‘n번방’, 방통위원장 “26만명 전원 신상공개 가능”"," 방송통신위원회 한상혁 위원장이 ‘텔레그램 n번방’ 참여자 전원에 대한 신상공개가 가능할 것이라는 의견을 개진했다.	    25일 국회 과학기술정보방송통신위원회는 긴급현안 질의를 위한 전체회의를 열고 과학기술정보통신부, 방송통신위원회, 방송통신심의위원회 등 정부 대책을 점검하는 한편, 디지털성범죄에 대한 강력한 처벌규정 및 재발방지 대책 마련을 촉구했다.	    텔레그램 n번방은 여성과 미성년자에게 가학적 행위를 요구하고 성착취 영상물을 유포한 사건으로, 국민적 공분을 사고 있다.	 74명 피해여성 중 16명의 아동‧청소년이 포함됐다.	 n번방에 참여한 수는 중복 추산 26만명에 달한다.	    이날 과방위는 여야를 막론하고 텔레그램 n번방에 대한 강력 처벌과 전원 신상공개에 입을 모았다.	    이에 박광온 의원은 “관계자 전원 처벌과 26만명 전원 신상공개가 가능하냐”고 질문했고, 한 위원장은 “가능할 것이라고 생각한다”고 답변했다.	    박 의원은 “동영상을 촬영하고 유포하는 행위도 성범죄에 포함시켜야 하고, 인터넷 사업자에게 법적책임을 부과하는 것도 필요하다”고 말했다.	    김성태 의원은 “n번방은 성착취물을 유포하고 수많은 이가 관전한 파렴치한 사건으로, 피해자들은 헤아릴 수 없는 상처를 입었다”며 “이는 인격 살해와 다름없으며, 이를 시청한 26만명 모두 공범에 해당한다.	 엄중하고 지속적인 수사로 성착취 범죄를 하면, 누구도 빠져나갈 수 없다는 점을 알게 해야 한다”고 목소리를 높였다.	    이날 방통위는 웹하드 사업자가 성범죄물 등 불법음란정보 유통방지 조치를 이행하지 않을 경우, 현행 최대 2000만원 과징금을 5000원까지 상향하는 제도를 신설하겠다고 밝혔다.	 또, 웹하드 사업자 모니터링 인력을 18명에서 30명으로 늘리고, 필터림 점검도 주1회에서 상시로 확대한다.	 상습 유포자는 매월 경찰청에 수사를 의뢰할 예정이다.	    방통위는 n번방 2차피해 방지를 위해 구글, 네이버, 카카오 등 주요 인터넷 사업자에게 삭제‧차단을 요청했다.	 피해자 정보가 연관검색어로 노출된 구글 또한 이를 삭제 조치 중이고 지속적으로 모니터링을 강화하겠다고 방통위에 전했다.	   이와 관련 과방위는 정부에게 늑장 대응이라고 질타했다.	 매년 국정감사 때마다 지적해온 사안으로, 정부 대책마련이 늦었다는 지적이다.	    이원욱 의원은 “지난해 초부터 공론화된 문제였는데, 국가는 아무것도 찾아내지 못했다.	 대학생 2명이 잠입 르포를 하면서 만천하에 공개된 것”이라고 언급했다.	 박대출 의원도 “2017년 9월 정부 합동으로 발표한 디지털성범죄 피해 방지책의 재탕 수준”이라고 꼬집었다.	    한 위원장은 “방지대책 등에도 결과적으로 이런 일이 발생해 대책이 미흡했다는 점을 인정하고, 국민께 송구한다는 말씀을 드린다”며 “철저한 대책 마련을 위해 노력하겠다”고 전했다.	    그러면서도, 한 위원장은 텔레그램 규제에 대해서는 대책을 찾기 어렵다고 밝혀 과방위 여야위원들의 비난을 받았다.	 국내에 사업을 펼치고 있는 구글과 달리 텔레그램은 국내에서 수익을 내지 않고 있어 간접적으로 규제할 수 있는 방법이 없다는 것이다.	 연락처도 없어 이메일로 소통하고 있는 실정이다.	   한편, 이날 과방위는 텔레그램 n번방 사태로 촉발된 디지털성범죄를 근절하기 위한 결의안을 채택했다.	 과방위는 결의안을 통해 “청소년에 대한 성착취 행위이자 성범죄물 유포행위인 N번방 사건이 우리 사회에 큰 충격과 분노를 안겨 주고 있다”며 “디지털 성범죄에 대해 그동안 우리 사회가 관대하게 대응한 점을 인정하며, 이런 범죄를 추방하기 위해 엄격한 규제와 처벌의 필요성을 인식한다”고 말했다.	    이어 “2017년 9월 관련 부처가 합동으로 발표한 디지털 성범죄 피해 방지 종합대책도 근원적이고 실효적인 방안이 되도록 개선방안을 마련하라”며 “국회와 정부가 긴밀히 협력해 디지털 성범죄 행위에 대한 강력한 처벌 규정 및 재발 방지 대책을 마련할 것”을 주문했다.	    과방위는 아동학대 및 가정폭력 중범죄에 대해서는 심신장애에 의한 감형 규정을 적용하지 않도록 ‘아동학대범죄의 처벌 등에 관한 특례법’과 ‘가정폭력범죄 처벌 등에 관한 특례법’ 개정을 함께 요청했다.	 과방위는 소관 법률을 검토해 사각지대 해소에 노력할 방침이다.	     < > <저작권자 ©   무단전재-"
"‘중국판 트위터’ 웨이보, 개인정보 5억건 유출··· 다크웹으로 판매"," ‘중국판 트위터’라고 불리는 웨이보의 개인정보 5억3800만건이 유출된 것으로 알려졌다.	 개인정보는 사용자의 이름, 성별, 위치 등이며 이중 1억7200만명의 정보에는 전화번호까지 포함됐다.	   미국 지디넷은 해커가 다크웹 등에서 웨이보 이용자의 개인정보를 판매하는 광고가 포착됐다고 23일 보도했다.	 해커는 1799위안에 해당 데이터를 판매한다고 광고했다.	   해당 광고에는 해커가 SQL 데이터베이스 덤프에서 수집했음을 보여주는 자료를 첨부했다.	 또 패스워드가 포함돼 있지 않아 1799위안에 판매한다고도 설명했다.	   웨이보는 당국에 해당 사고에 대해 알렸으며 경찰 조사 중이라고 밝혔다.	   < > <저작권자 ©   무단전재-"
"SKT 빅데이터 서비스, 경찰 순찰활동 지원 ‘코로나19 방지’"," SK텔레콤이 코로나19 확산 방지를 위해 뛰어다니는 경찰들의 순찰 활동에 정보통신기술로 힘을 보탠다.	   SK텔레콤은 빅데이터 기반 실시간 유동인구 분석 서비스 ‘지오비전’을 경북경찰청에 무상 제공한다고 23일 밝혔다.	    SK텔레콤은 지난 9일 경북 경산경찰서에 지오비전 기반 해당 지역 유동인구 데이터를 시범 제공해 코로나19 확산 방지와 국민 체감안전 향상을 위한 핀포인트 순찰을 지원한 바 있다.	 경북경찰청은 이를 경북지역 전체로 확대 적용하기로 했다.	    SK텔레콤은 정부가 코로나19 공식 종결을 선언할 때까지 지오비전 서비스를 지속 제공할 예정이며, 경찰청과 전국 모든 경찰서로 확대하는 방안을 협의 중이다.	   지오비전은 전국 유동인구를 5분 단위로 확인할 수 있는 서비스다.	 60테라바이트에 이르는 방대한 양의 데이터를 5분 단위로 분석하고 시각화 작업까지 완료해 고객에게 제공한다.	 또, 기존 셀ID 측위 방식 대비 5배 이상 정밀한 위치 정보를 제공할 수 있다.	   이에 따라 경북경찰청은 지오비전 데이터를 활용해 현재 인구 밀집도가 높은 지역을 확인, 실시간 핀 포인트 순찰을 시행할 수 있게 됐다.	    SK텔레콤 장홍성 광고/Data사업단장은 “국가적인 위기 상황에서 국민의 안전을 지키는데 조금이라도 힘을 보태기 위해 기술을 지원한다”며 “SK텔레콤은 앞으로도 ICT를 활용해 국민 안전과 행복에 기여하기 위해 노력할 것”이라고 말했다.	   박건찬 경북경찰청장은 “이번 SK텔레콤과의 협업을 통한 ICT 활용 치안 활동이 시민의 체감 안전 향상에 크게 기여할 것으”이라며 “경찰은 시민 안전을 지키기 위해 존재하는 만큼, 모두가 힘들고 어려울 때 시민 마음까지 잘 살펴, 꼭 필요한 곳에는 반드시 경찰관이 있다는 생각을 할 수 있도록 최선을 다하겠다”고 전했다.	   < > <저작권자 ©   무단전재-"
