"경찰, 탐정 민간자격증 발급 허용…영리활동 가능","민간업체가 탐정이라는 이름을 내걸고 합법적으로 영리활동을 할 수 있는 길이 열렸다.	 경찰이 탐정 명칭이 담긴 민간자격증 발급을 허용한 것으로 4일 확인됐다.	경찰청은 탐정업과 관련해 등록된 민간자격 발급기관에 대한 현장 지도·점검을 거쳐 작년 연말 이들이 탐정 명칭을 담은 민간자격증을 발급할 수 있도록 했다고  밝혔다.	경찰청 관계자는 ""작년 8월부터 시행된 개정 신용정보법에서는 '탐정'이라는 명칭 사용을 금지하던 조항이 삭제됐다""며 ""이에 그동안 음성적으로 이뤄진 탐정업에 따른 폐해를 줄이기 위해 관련 민간자격증에 탐정이라는 단어를 쓸 수 있도록 했다""고 말했다.	이 관계자는 ""국민은 실종 가족 찾기, 민·형사 분쟁에 필요한 증거자료 수집 등을 위해 탐정업 서비스를 이용하지만, 아직 탐정업이 제도화하지 않아 흥신소 등을 찾고 있는 것이 현실""이라며 ""이번 조치는 법제화를 위한 제반 작업""이라고 설명했다.	경찰이 작년 9∼10월 탐정업과 관련된 민간자격 발급기관을 점검한 결과 총 12개 업체에서 민간조사사, 사실조사분석사 등 14개의 민간자격증을 발급 중인 것으로 나타났다.	 일부 업체는 '공인'이라는 단어를 쓰거나 '국가등록자격증', '경찰청 승인' 등 사실과 다른 문구를 사용하는 것으로 드러나 시정 명령했다.	문재인 대통령은 대선 후보 시절 탐정을 합법화하는 공인탐정제도 도입을 공약한 바 있다.	 정부는 작년 8월 새로운 일자리를 창출하고 법 통제 밖의 활동에 따른 폐해를 없애기 위해 공인탐정법에 관한 법률을 제정하고 국가에 의한 관리·감독 체계를 마련하겠다고 발표했다."
"경찰청장 ""그 어린 생명 못구해 사죄…양천서장 대기발령""","김창룡 경찰청장이 6일 생후 16개월 여아가 양부모의 학대로 숨진 '정인이 사건'과 관련해 대국민 사과문을 발표했다.	 초기 수사 부실의 책임을 물어 서울양천경찰서장은 대기발령됐다.	 김 청장은 6일 경찰청사에서 예정에 없던 브리핑을 열고 ""서울 양천에서 발생한 아동학대 사건과 관련해 숨진 정인양의 명복을 빈다""며 ""학대 피해를 본 어린아이의 생명을 보호하지 못한 점에 깊은 사죄의 말씀을 드린다""고 밝혔다.	그는 ""초동 대응과 수사 과정에서 미흡했던 부분들에 대해 경찰 최고 책임자로서 깊은 책임감을 느낀다""며 ""엄정하고 철저한 진상조사를 바탕으로 재발 방지 대책을 마련해 경찰의 아동학대 대응체계를 전면 쇄신하는 계기로 삼겠다""고 했다.	김 청장은 그러면서 ""이번 사건에 대한 지휘책임을 물어 현 양천경찰서장을 대기발령 조치했다""며 ""후임으로 여성·청소년 분야에 정통한 서울경찰청 총경을 발령했다""고 밝혔다.	그는 ""사안의 중대성을 고려해 사건담당 관계자도 엄정하고 철저한 진상조사를 바탕으로 국민들께서 납득할 수 있도록 책임 있는 조치를 취하겠다""며 ""이번 사건을 계기로 사회적 약자 보호에 한 치의 소홀함이 없도록 최선의 노력을 다하겠다""고 강조했다.	경찰은 신고 당시 사건을 담당했던 경찰관에 대한 징계 절차도 진행 중이다.	 지난달 2차 신고사건 담당자 2명에게는 경고, 1차 신고사건 담당자 3명에게는 주의 처분이, 학대예방경찰관 감독책임으로 해당 여청계장에게는 경고 및 인사조치, 총괄책임으로 전현직 여청과장에게는 주의 처분이 내려졌다.	지난해 10월 발생한 16개월 입양아 학대 사망 사건은 지난 2일 SBS '그것이 알고 싶다'를 통해 재조명되면서 사회적 분노가 확산했다.	지난 4일 청와대 국민청원 게시판에 올라온 '아동학대 방조한 양천경찰서장 및 담당 경찰관의 파면을 요구합니다'라는 제목의 글은 게시 하루 만에 정부의 공식 답변 요건인 20만명 이상의 동의를 얻었다."
"서울 송파구의원 등 2명 천안서 숨진 채 발견…경찰 ""경위 조사""",더불어민주당 소속 서울 송파구의원 A씨 등 남성 2명이 충남 천안에서 숨진 채 발견됐다.	 경찰은 A씨 실종 신고를 받고 주변을 수색하다 4일 오전 10시 40분께 충남 천안시 동남구 한 건물에 주차된 차량에서 A씨 등이 숨져있는 것을 발견했다.	 일단 타살 정황 등 범죄 혐의는 없는 것으로 알려졌다.	경찰은 정확한 경위를 조사하고 있다.
공수처법 개정안 국무회의 통과…즉시 공포·시행,"정부는 15일 오전 청와대에서 문재인 대통령 주재로 국무회의를 열어 고위공직자범죄수사처법 개정안을 비롯한 '권력기관 개혁 3법'의 법률공포안을 의결했다.	 지난 10일 국회 본회의에서 통과된 공수처법 개정안은 공수처장 후보 추천위원회의 의결 정족수를 '7명 중 6명'에서 '5분의3'으로 완화하는 내용을 담고 있다.	 이로써 추천위원 7명 가운데 야당 추천몫 2명이 모두 반대하더라도 공수처장 추천이 가능해졌다.	회의에서는 현행 경찰조직을 국가경찰과 자치경찰로 나뉘고 국가수사본부를 설치하는 내용의 경찰법 개정안, 국가정보원의 대공수사권을 경찰로 이관하는 내용의 국정원법 개정안의 법률공포안도 각각 처리됐다.	공수처법과 국정원법의 경우, 국무회의 의결 즉시 대통령 긴급재가를 거쳐 곧바로 공포·시행된다.	 경찰청법은 내주 공포·시행될 전망이다."
"방탄소년단 ""인종차별 반대 … 존중받을 권리 있다""","""우리는 인종차별에 반대합니다.	 우리는 폭력에 반대합니다.	 우리 모두는 존중받을 권리가 있습니다.""	미국에서 흑인 사망 사건으로 촉발된 반 인종차별 시위가 전세계적으로 확산하고 있는 가운데 방탄소년단도 인종차별과 폭력 반대 대열에 합류했다.	 방탄소년단은 4일 공식 트위터에 ""우리는 인종차별에 반대합니다.	 우리는 폭력에 반대합니다.	 나, 당신, 우리 모두는 존중받을 권리가 있습니다.	 함께 하겠습니다""라는 글을 한국어와 영어로 올렸다.	 이들은 해당 글에서 'BlackLivesMatter'를 해시태그로 달아 인종 차별 반대 운동을 지지한다고 강조했다.	 인종 차별 반대 운동 확산 속에서 방탄소년단의 이런 지지 표명은 온라인에서 큰 주목을 받고 있다.	 온라인에는 'BlackLivesMatter'는 내용의 해시태그를 단 게시물이 잇달아 올라오며 인종 차별에 비판을 가하고 있다.	앞서 레이디 가가, 아리아나 그란데, 비욘세 등 팝스타들도 SNS에서 조지 플로이드를 추모했다.	 이들은 흑인 사회와의 연대, 인종 차별 반대 표명한 게시물을 올렸으며 일부 가수들은 시위에 직접 참여하기도 했다.	 유니버설 뮤직, 소니 뮤직, 워너 레코즈 등 대형 음반사들은 지난 2일을 '블랙아웃 화요일'로 명명하고 하루 동안 업무를 중단하기도 했다.	 '블랙아웃화요일'은 이날 하루 동안 모든 음반 작업을 중단하겠다는 의미다.	국내 연예계 스타들도 인종차별을 반대하는 '블랙아웃화요일' 캠페인에 동참하고 있다.	박재범이 이끄는 국내 힙합 레이블 하이어뮤직도 해당 운동에 함께 했다.	 박재범은 화요일인 지난 2일 예정돼 있던 음원 발매 일정을 6월 4일로 변경했다.	 더불어 해당 운동 관련 캠페인 단체에 2만1000달러를 기부하기도 했다.	 티파니 영은 '블랙아웃화요일' 해시태그와 함께 ""나는 인종 평등과 정의를 위한 싸움에 기여하기 위한 기초를 찾고 있다.	 흑인 공동체를 위한 사랑과 지원을 위해 기금에 기부할 계획이다""라며 기부 단체의 링크를 공유했다.	배우 수현 역시 ""인종주의와 경찰의 희생양이 된 조지 플로이드와 다른 수많은 흑인 미국인들에게 마음이 아프다.	 이 혼란과 폭력 속에서 희생자들을 기리며 성찰해 주기 바란다""라며 조지 플로이드를 추모했다.	 이 외에도 타이거JK, 빅뱅 태양, 현아, 싸이, 세븐, 헨리, 배우 배두나, 임수정, 줄리엔 강 등이 SNS에 검은색 화면과 '#BlackOutTuesday' 혹은 '#BlackLivesMatter'라는 해시태그를 달며 인종차별 반대에 뜻을 모았다."
훈육법 바꾼다더니… 7시간 여행가방 감금,"'훈육방법을 바꾼다더니 …'여행 가방에 7시간 감금돼 결국 숨진 9살 초등학생이 친부과 그의 동거녀에게 맞아 지난 어린이날 한 차례 경찰 조사까지 받았던 사실이 새롭게 알려졌다.	당시 친부와 동거녀는 경찰에서 ""말을 안 들어 때렸다""며 ""훈육법을 바꾸겠다""고 한 것으로 전해졌다.	 경찰이 좀더 관심만 기울였어도, 친부와 동거녀가 훈육법을 바꾸지만 않았어도 어린 생명이 숨지는 일을 막을 수 있었다는 것이어서 주위의 안타까움을 더하고 있다.4일 충남지방경찰청 등에 따르면 숨진 A군은 어린이날인 지난달 5일에도 머리를 다쳐 병원 치료를 받았다.	 당시 A군 몸에서 학대 정황을 발견한 의료진이 이틀 뒤 경찰에 신고해 친부와 그 동거녀를 상대로 지난 5월 13일 경찰 조사가 이뤄졌다.	경찰 조사에서 친부와 동거녀는 ""아이가 말을 듣지 않아 지난해 10월부터 4차례에 걸쳐 때렸다""며 ""많이 후회하고, 훈육 방법을 바꾸겠다""는 취지로 진술했다.	 경찰 관계자는 ""A군이 친부 등과 떨어져 지내겠다는 의사를 밝히지 않아 분리조치를 하지 않았다""고 말했다.	하지만 친부의 동거녀는 마지막 경찰 조사 8일 뒤인 지난달 1일 A군을 7시간 동안 여행용 가방에 가뒀다.	 좁고 어두운 여행 가방 속에서 A군은 심정지 상태에 빠졌고 사경을 헤매다 3일 오후 6시 30분께 끝내 숨졌다.	A군이 가방 속에서 공포의 시간을 보내고 있는 동안 동거녀는 3시간가량 외출까지 했다.	 경찰은 전날 구속한 동거녀의 혐의를 아동학대중상해에서 '아동학대치사'로 바꿔 적용할 방침이다."
"오바마 ""흑인사망에 분노했다면 이젠 바꾸자""","""조지 플로이드 사망으로 표출된 미국 사회의 분노는 인종차별 철폐와 경찰 개혁이란 목표를 이뤄낼 동력이 될 것입니다.""	오바마 전 대통령은 3일 온라인 타운홀미팅을 갖고 흑인 사망으로 촉발된 항의 시위에 대해 언급하며 이 같이 말했다.	 이날 타운홀 미팅은 화상회의 플랫폼인 '줌'을 이용해 오바마 전 대통령과 미국의 젊은이들이 문답하는 형식으로 70여분간 진행됐다.	그는 ""중요한 것은 실제로 변화를 이뤄내는 것""이라며 플로이드 사망에 대한 분노가 흑인 사회에 대한 경찰의 공정한 법 집행과 신뢰를 증진할 정책 변화로 이어져야 한다고 강조했다.	오바마 전 대통령은 이어 ""언젠가는 이번 사건에 대한 관심도 사라지고 시위대의 규모도 줄어들 것""이라며 ""그렇기 때문에 현재 모인 사회적 동력을 실제 변화로 연결하는 것이 중요하다""고 지적했다.	그러면서 그는 미국의 각 주지사에게 공권력 집행과 관련한 규정들에 문제가 없는지 검토하고, 개혁에 착수하라고 촉구하기도 했다.	오바마 전 대통령은 이번 폭력 시위에 대해선 반대 입장을 분명히 하면서도 ""거리에서 평화적이고 절제된 모습을 보여주는 시위대에 대해선 미국인들도 감사해할 것""이라고 지지 의사를 밝혔다.	오바마 전 대통령이 타운홀 미팅 개최를 결정한 배경에는 도널드 트럼프 대통령의 시위사태 대응 방식에 대한 비판 의식도 작용한 것으로 알려졌다.	전·현직 대통령이 충돌하는 모습을 피하면서도 현안에 대한 입장을 피력하기 위해선 타운홀 미팅이란 형식이 최선이란 판단을 내린 것으로 보인다.	 오바마 전 대통령은 그동안 대선 레이스에서 발언을 자제해왔지만 최근 사실상 민주당 대선후보로 확정된 조 바이든 전 부통령을 도와 대선 전면전에 뛰어드는 모양새다.	 한편 지미 카터 전 대통령도 흑인 조지 플로이드가 경찰의 과잉진압으로 숨진 것과 관련해 평화적 시위와 사회 시스템의 변화를 촉구하는 성명을 냈다.	 조지아주 출신인 카터 전 대통령은 ""우리는 국민처럼 훌륭한 정부가 필요하다.	 국민이 정부보다 더 낫다""고 밝혔다.	 그러면서 ""남부 출신 백인 남성으로서 흑인이 겪는 불평등을 잘 알고 있다""며 정부가 국민을 위해 제 역할을 해야 한다고 지적했다.	조지 부시 전 대통령도 성명을 통해 거리의 시위대에 대한 연대 입장과 함께 인종차별 철폐를 위한 여론 수렴을 촉구했다.	 부시 전 대통령은 ""지속적인 정의는 오직 평화로운 방법으로만 얻을 수 있다""며 ""공동체 내에서 평화를 유지하려면 진정 평등한 정의가 요구된다.	 법치주의는 궁극적으로 우리 법체계의 공정과 합리성에 달려 있다""고 말했다."
서울서도 `흑인 사망` 항의시위 열린다…6일 도심 행진,"서울에서도 미국 경찰의 과잉진압으로 숨진 흑인 '조지 플로이드' 사건에 대해 항의하며 추모하는 시위가 열린다.	 4일 사회관계망서비스 등에서는 조지 플로이드를 추모하는 시민들이 이달 6일 오후 자발적으로 모여 서울시청 인근에서 주한 미국대사관까지 침묵 행진을 하자는 논의가 확산하고 있다.	행사 제안자인 심지훈씨는 ""한국 등 아시아 지역에서는 아직 관련 시위가 열린 적이 없어 제안하게 됐다""며 ""인종차별주의로 희생된 플로이드를 추모하고 미국 시위와 연대하고자 한다""고 밝혔다.	참여를 원하는 시민들은 6일 오후 4시까지 검은색 옷을 입고 시청역 5번 출구 앞으로 모이면 된다.	지난달 25일 미국 미네소타주에서는 백인 경찰이 흑인인 조지 플로이드를 체포하는 과정에서 그의 목을 무릎으로 8분 넘게 짓눌러 결국 숨지게 하는 사건이 벌어졌다."
훈육법 바꾼다더니 9살 초등생을 때리는 대신 `여행 가방`에 가둬 결국 숨지게 해,"'훈육방법을 바꾼다더니 …'여행 가방에 7시간 감금돼 결국 숨진 9살 초등학생이 친부과 그의 동거녀에게 맞아 지난 어린이날 한 차례 경찰 조사까지 받았던 사실이 새롭게 알려졌다.	당시 친부와 동거녀는 경찰에서 ""말을 안 들어 때렸다""며 ""훈육법을 바꾸겠다""고 한 것으로 전해졌다.	 경찰이 좀더 관심만 기울였어도, 친부와 동거녀가 훈육법을 바꾸지만 않았어도 어린 생명이 숨지는 일을 막을 수 있었다는 것이어서 주위의 안타까움을 더하고 있다.4일 충남지방경찰청 등에 따르면 숨진 A군은 어린이날인 지난달 5일에도 머리를 다쳐 병원 치료를 받았다.	 당시 A군 몸에서 학대 정황을 발견한 의료진이 이틀 뒤 경찰에 신고해 친부와 그 동거녀를 상대로 지난 5월 13일 경찰 조사가 이뤄졌다.	경찰 조사에서 친부와 동거녀는 ""아이가 말을 듣지 않아 지난해 10월부터 4차례에 걸쳐 때렸다""며 ""많이 후회하고, 훈육 방법을 바꾸겠다""는 취지로 진술했다.	 경찰 관계자는 ""A군이 친부 등과 떨어져 지내겠다는 의사를 밝히지 않아 분리조치를 하지 않았다""고 말했다.	하지만 친부의 동거녀는 마지막 경찰 조사 8일 뒤인 지난달 1일 A군을 7시간 동안 여행용 가방에 가뒀다.	 좁고 어두운 여행 가방 속에서 A군은 심정지 상태에 빠졌고 사경을 헤매다 3일 오후 6시 30분께 끝내 숨졌다.	A군이 가방 속에서 공포의 시간을 보내고 있는 동안 동거녀는 3시간가량 외출까지 했다.	경찰은 전날 구속한 동거녀의 혐의를 아동학대중상해에서 '아동학대치사'로 바꿔 적용할 방침이다."
"""軍 투입"" → ""상황에 달려""… 말바꾼 트럼프","도널드 트럼프 미국 대통령은 3일 확산하는 '흑인 사망' 시위 사태의 진압을 위해 군 병력을 투입하는 문제와 관련, 꼭 그럴 필요는 없다고 말했다.	 '흑인 사망'으로 촉발된 전국적 항의 시위가 새 국면을 맞을지 주목된다.	 트럼프 대통령은 이날 보수성향 매체인 인터넷매체 뉴스맥스와의 인터뷰에서 '법과 질서를 회복하기 위해 어느 도시에나 군을 보낼 것인가'라는 질문을 받고 ""그것은 상황에 달려있다.	 반드시 그럴 필요는 없다""고 답했다.	다만 트럼프 대통령은 이날 인터뷰에서 ""30만명이 넘는 매우 강력한 주 방위군이 있다""면서 ""필요하다면 무엇이든 할 수 있다""고 강조했다.	그는 이어 ""우리 도시들에서 안전이 필요하다""며 조지 플로이드 사망 사건이 발생한 미니애폴리스 및 워싱턴DC에 주 방위군을 투입해 시위를 진압한 것을 거론, ""그들은 상황을 매우 쉽사리 처리했다.	 칼로 버터를 자르는 것처럼 매우 쉬웠다""고 말했다.	다만 트럼프 대통령의 이날 인터뷰가 정확히 몇시에 이뤄졌는지는 확인되지 않았다.	트럼프 대통령은 또한 인터뷰에서 ""흑인들은 모든 면에서 과거보다 좋은 상태이며 꽤 조만간 그들은 다시 그렇게 될 것""이라면서"" 오바마 대통령도,  부시 대통령도, 그 누구도 그렇게 하지 않았다.	 내가 그 상황을 해결했다""고 말했다.	 11월 대통령 재선을 앞두고 흑인 표심을 의식한 발언으로 풀이된다.	 그러면서 트럼프 대통령은 언론이 제대로 보도하지 않는다고 불만을 터트렸다.	트럼프 대통령은 또한 집회 참석자들을 겨냥, ""우리는 일상으로 돌아가길 원한다.	 그러나 약간 이르다""며 ""시위자들은 사회적 거리두기를 주장하는 이들이다.	 정말로 흥미롭다.	 그들은 사회적 거리 두기를 주장하면서 수천명이 모인 가운데로 뛰어들어 소리 지르고 고함을 친다.	 이는 좋은 일이 아니다""고 비꼬았다.	반면, 민주당 소속의 앤드루 쿠오모 뉴욕 주지사와 빌 더블라지오 뉴욕시장을 향해서는 ""뉴욕에서 벌어지고 있는 상황은 재앙""이라며 ""그들이 조만간 바로 잡지 않는다면 내가 해결할 것""이라며 직접 개입 가능성을 시사했다.	트럼프 대통령은 지난 1일 기자회견에서 주 정부가 너무 약하게 대응한다는 불만을 표시하면서 주지사가 주 방위군을 동원하지 않으면 대통령 권한을 활용해 자신이 직접 군대를 배치하겠다며 강경 대응 방침을 천명한 바 있다.	앞서 마크 에스퍼 국방장관이 ""법 집행에 병력을 동원하는 선택지는 마지막 수단""이라면서 지금은 그런 상황에 있지 않다며 공개적으로 반기를 들어 트럼프 대통령과 불화설을 낳았다.	 트럼프 대통령의 '예스맨'으로 통하는 에스퍼 장관은 이날 오전 브리핑을 자청, 시위 진압에서 군 동원은 마지막 수단으로, 가장 시급하고 심각한 상황에서만 사용돼야 한다면서 ""우리는 지금 그런 상황에 있지 않다.	 나는 폭동진압법 발동을 지지하지 않는다""라고 말했다.	  또한 조지 플로이드 사망 사건이 ""끔찍한 범죄""였다며 ""당일 사건 현장에 있던 경찰관들은 살인에 대해 책임을 져야 한다""고 말했다.	에스퍼 장관이 트럼프 대통령과의 마찰을 피하는 '충성파' 라인으로 분류돼 온 점을 고려하면 이같은 발언은 상당히 이례적이다.	 그는 이날 브리핑에서 트럼프 대통령의 '교회 방문 이벤트'에서 거리를 두는 발언도 했다.	 교회 방문에 동행하게 될 것은 알았지만 사진촬영이 이뤄지는지는 몰랐다고도 말했다.	 트럼프 대통령은 지난 1일 평화 시위대를 해산시키고 백악관 앞 교회를 방문, 에스퍼 장관 등 핵심 참모들과 카메라 앞에 섰다가 비난을 샀다.	 에스퍼 장관은 시위 확산을 초래한 흑인 사망 사건에 대해 ""끔찍한 범죄다.	 인종주의는 미국에 실재하고 우리는 이를 인정하고 대응하고 뿌리뽑는 데 최선을 다해야 한다""고 강조, 시위대를 폭도로 규정하는 트럼프 대통령과 결이 다른 발언을 하기도 했다.	 이와 관련, 블룸버그통신은 ""트럼프 대통령과 다른 고위 보좌관들은 에스퍼 장관이 트럼프가 내놓은 현역 군 투입을 공개적으로 반대했다고 분개했으며 국방장관의 발언은 도를 넘은 것이라고 봤다""고 전했다.	워싱턴포스트는 ""국방부 수장이 트럼프 대통령과 현역 군 사용 여부를 놓고 결별했다""며 에스퍼 장관이 이번 발언으로 트럼프 대통령과 불화를 빚고 있다고 전했다."
