[에듀윌] 2022년 경찰공무원 과목개편 완벽 대비하는 ‘독한경찰 평생패스’ 선보여,"최근 경찰시험에 대한 경시생들의 이목이 집중되고 있는 가운데, 2022년부터 경찰시험이 개편된다.	 고교 과목이 완전히 폐지되고, 영어 및 한국사 과목은 검정제로 대체된다.	 이에 실제 시험장에서는 헌법, 형사법, 경찰학개론 단 세 개의 과목으로만 필기시험이 치러진다.	 종합교육기업 에듀윌 경찰이 개편되는 시험에도 합격하기 위한 ‘독한경찰 평생패스’를 오픈하고 수강생을 모집 중이다.	 해당 과정은 합격할 때까지 전 과목을 무제한 수강할 수 있고, 2022년까지 합격 시 제세공과금 22%를 제외한 수강료를 전액 환불해 주는 혜택으로 무장했다.	 독한경찰 평생패스는 ‘독한 학습 서비스’를 통해 경찰공무원 수험생들 사이에서 이목을 끌었다.	 기초 이론 강좌, 3법 입문 강좌, 체력 훈련 강좌, 면접 특강, 합격생 콘텐츠, 판례 개정 특강, 기초 영어 프로그램, 기출문제&해설특강을 제공해 필기부터 실기까지 지원하고 있다.	 에듀윌 경찰 ‘독한경찰 평생패스’는 6회독 자동완성 커리큘럼이 강점이다.	 1회독 ‘기초이론’, 2회독 ‘기본이론’, 3회독 ‘심화이론’, 4회독 ‘기출분석특강’, 5회독 ‘동형 모의고사’, 6회독 ‘마무리 특강’으로 진행된다.	 더불어 다양한 추가 혜택도 마련돼 있다.	 2021년 시험 대비 합격 완성 패키지, 2022년 개편 대비 공인영어 및 한능검 강의로 개편 사항에도 끄떡없는 합격을 지원한다.	 자세한 사항은 에듀윌 경찰 홈페이지를 통해 확인할 수 있다.	  / -	 Copyrights ⓒ  무단 전재 및 재배포 금지 -"
올해부터 맹견 책임보험 가입 의무화,"지난해 7월 서울 은평구 한 골목에서 맹견 로트와일러가 소형견 스피츠를 순식간에 물어 죽여 큰 파문이 일었다.	 날쌘 로트와일러는 불과 15초 만에 스피츠를 공격해 숨지게 했다.	 스피츠와 함께 산책하던 반려인도 로트와일러의 공격을 말리려다 부상을 당했다.	  이 사건에 대해 청와대 청원을 한 목격자는 “2017년에 같은 패턴의 사고가 2건 더 발생했고, 그 사건으로 1마리가 사망했다”며 “이 같은 패턴의 사건이 벌써 5번째”라고 말했다.	 여러 차례 되풀이된 사고였다.	  로트와일러의 견주 A씨는 같은 달 SBS와의 인터뷰에서 “내가 죽더라도 개는 안락사 못 시키겠다”고 애착을 보이기도 했다.	 결국 A씨는 법정에 서게 됐다.	 지난달 30일 서울서부지검은 견주 A씨를 재물손괴와 동물보호법 위반 혐의로 기소했다.	  경찰은 A씨가 사고 가능성을 인지하고도 입마개를 채우지 않아 미필적 고의에 의한 재물손괴 혐의가 있다고 봤다.	 맹견에 속하는 로트와일러에 입마개를 착용하지 않아 사람을 다치게 하면 동물보호법 위반에 해당한다.	  올해부터는 동물보호법상 맹견인 아메리칸 스턴퍼드셔 테리어, 아메리칸 핏풀테리어, 스텐퍼드셔 불테리어, 도사견, 로트와일러 등의 보호자는 책임보험 가입이 의무화됐다.	 맹견 번식이나 동물 판매 때도 의무적으로 등록해야 한다.	  맹견의 소유자나 판매업 대상자는 생후 2개월령 이상 강아지의 맹견보험 의무화 규정을 지켜야 한다.	 맹견 보호자는 외출 시 입마개 착용, 목줄과 리드줄, 2미터 이내의 짧은 줄을 매줘야 한다.	 안전관리 의무 위반 시 1회 100만 원, 2회 200만 원, 3회 300만 원 이하의 과태료를 부과한다.	김호승     / -	 Copyrights ⓒ  무단 전재 및 재배포 금지 -"
"[DAY컷] 이준혁, B컷도 남다른 화보 장인","이준혁의 화보 비하인드 컷이 공개됐다.	OCN ‘다크홀’의 주연 ‘유태한’으로 돌아오는 배우 이준혁의 화보 비하인드 컷이 공개됐다.	 ‘지큐’ 11월 호를 통해 공개된 화보의 비하인드 컷으로 치명적인 독보적 아우라가 시선을 압도했다.	앞서 공개된 화보에서 이준혁은 치명적인 비주얼과 절제된 섹시함으로 시선을 압도했던 바.	 지난 28일 소속사 에이스팩토리 공식 포스트를 통해 공개된 화보 비하인드 컷 속 이준혁은 나른한 눈빛으로 카메라를 응시하며 몽환적인 분위기를 발산하는가 하면, 어둠 속에서도 빛나는 비주얼로 비하인드 컷마저 레전드 컷으로 만들며 화보 장인의 위엄을 드러냈다.	한편, 이준혁은 내년 상반기 방영 예정인 OCN 드라마틱 시네마 ‘다크홀’로 돌아온다.	 ‘다크홀’은 싱크홀에서 나온 의문의 검은 연기를 마신 변종 인간들 사이에서 살아남은 자들의 처절한 생존기를 그린 크리처 액션 스릴러.	 이준혁은 극중 경찰 출신의 무지시 토박이 렉카 기사 유태한 역을 맡아 촬영에 돌입했다.	 이준혁이 ‘다크홀’에서 그려낼 유태한에 대한 기대가 쏠린다.	동아닷컴     / -	 Copyrights ⓒ  무단 전재 및 재배포 금지 -"
"성산대교 SUV 추락, 현장 목격자 “갑자기 인도로 돌진”","성산대교 SUV 추락, 현장 목격자 “갑자기 인도로 돌진”성산대교 위를 달리던 차량이 추락해 운전자가 사망하는 사고가 발생했다.	소방당국과 경찰에 따르면 오늘 낮 12시 28분께 성산대교에서 북단 방향으로 달리던 SUV 차량이 다리 아래로 추락했다.	 이 사고로 사고 SUV 차량의 운전자 A씨가 구조돼 병원으로 이송됐지만 결국 숨졌다.	당국은 동승자가 있었는지 계속 수색했으나 발견하지 못해 차량을 인양했다.	 아직 정확한 사고 원인은 나오지 않은 가운데 현장 목격자는 “직진 중이던 차량이 갑자기 우측으로 방향을 틀어 난간으로 돌진했다”고 말했다.	경찰은 차량을 옮긴 뒤 실내 정밀수색을 진행하고, CCTV를 통해 사고 원인을 파악할 계획이다.	동아닷컴    -	 Copyrights ⓒ  무단 전재 및 재배포 금지 -"
성산대교 난간 뚫고 차량 추락 충격→40대 운전자 사망,"성산대교에 SUV 차량이 추락했다.	경찰과 소방당국에 따르면 21일 낮 12시30분경 서울 성산대교에서 검정색 SUV 차량이 난간을 뚫고 한강으로 떨어졌다.	 이 사고로 운전자가 숨졌다.	사고 차량은 성산대교에서 마포구청역 방향으로 달리다가 교량 보강 공사를 위해 설치한 다리 중반부의 임시 교량을 지나던 중 우측 인도로 돌진해 난간을 뚫고 강으로 추락했다.	차량 운전자는 40대 남성으로, 구조 후 심폐소생술을 실시하고 인근 병원으로 이송했으나 1시 38분께 사망했다.	이날 현장에는 소방대원 30여 명과 경찰관 20여 명, 장비 19대가 투입됐다.	 추락한 차량에는 운전자 외에도 추가 인원이 있는 것으로 전해졌으나, 수색 결과 차량에는 운전자 1명만 탑승한 것으로 추정된다.	 이에 따라 경찰과 소방 당국은 차량 인양 작업에 돌입했다.	경찰은 운전자 음주 여부 등 다각도로 사고 원인을 조사 중이다.	 동아닷컴 온라인뉴스팀  -	 Copyrights ⓒ  무단 전재 및 재배포 금지 -"
[DA포토]개그우먼 박지선 사망.. 경찰 조사중,"개그맨 박지선이 모친과 자택에서 숨진 채 발견됐다.	 2일 오후 경찰 감식반 차량이 박지선의 자택으로 이동하고 있다.	경찰은 박지선과 그의 모친이 극단적인 선택을 한 것으로 추정하며 정확한 사망 경위를 조사 중이다.	※우울감 등 말하기 어려운 고민으로 전문가의 도움이 필요하면 자살예방 핫라인 1577-0199, 자살예방 상담전화 1393, 희망의 전화 129, 생명의 전화 1588-9191, 청소년 전화 1388 등에서 24시간 상담을 받을 수 있습니다.	동아닷컴     / -	 Copyrights ⓒ  무단 전재 및 재배포 금지 -"
[DA포토]개그우먼 박지선 사망.. 자택 들어서는 앰뷸런스 차량,"개그맨 박지선이 모친과 자택에서 숨진 채 발견됐다.	 2일 오후 앰뷸런스 차량이 박지선의 자택으로 이동하고 있다.	경찰은 박지선과 그의 모친이 극단적인 선택을 한 것으로 추정하며 정확한 사망 경위를 조사 중이다.	 ※우울감 등 말하기 어려운 고민으로 전문가의 도움이 필요하면 자살예방 핫라인 1577-0199, 자살예방 상담전화 1393, 희망의 전화 129, 생명의 전화 1588-9191, 청소년 전화 1388 등에서 24시간 상담을 받을 수 있습니다.	동아닷컴     / -	 Copyrights ⓒ  무단 전재 및 재배포 금지 -"
“경찰 수사 매뉴얼 개정”…동물 학대 줄어들까?,"자신의 스트레스를 애꿎은 동물에게 돌리는 사람이 많아지고 있다.	 화가 나거나 홧김에 동물을 학대하거나 심지어 죽이는 사건이 증가해 사회적 문제로 비화되고 있다.	  한 유기견 보호단체가 경기도 화성의 한 공장에서 4개월 강아지를 구조했다.	 강아지는 사람의 발길질에 의해 구타를 당해 턱뼈가 부러지고 안구가 심하게 다쳐 적출해야 했다.	  지난 7월 부산에서는 출산을 앞둔 만삭의 길고양이를 가스토치 등의 화기로 지지고 학대해 사망에 이르게 한 사건이 발생하기도 했다.	 이 길고양이를 학대한 동물학대범을 찾는다는 포스터의 마지막 문구는 “동물학대범의 범행대상 마지막은 사람입니다”라고 쓰여 있었다.	  연쇄살인범들이 사람을 해치기 전에 동물을 대상으로 학대·살해 행위를 선행해서 저지른다는 것은 잘 알려진 사실이다.	 비단 사람을 해치는 행동으로 이어지지 않더라도, 동물 학대는 동물권 차원에서 각별히 들여다봐야 할 이슈이다.	  동물학대가 늘어나고 있는 가장 큰 이유로 동물학대에 대한 처벌이 약하다는 지적도 끊이지 않는다.	 현행법상 동물학대는 최고 2년 이하의 징역이나 2000만 원 이하의 벌금형이다.	 하지만 지난 10년간 동물보호법 위반으로 검찰에 송치된 3360명 중 단 4명만 구속됐다.	 지난해에는 973명이 송치됐지만, 구속자는 없었다.	 처벌뿐만 아니라 수사가 미흡하다는 지적이 끊이지 않자 경찰이 행동에 나섰다.	 경찰은 최근 동물학대범죄에 대한 수사 매뉴얼 개정 작업에 착수한 것으로 알려졌다.	 경찰청은 지난 8일 국회 행정안전위원회 국정감사에서 동물학대사범 수사 매뉴얼에 대한 지적을 받고 개정 작업에 나섰다.	  이은주 정의당 의원은 경찰청 국감에서 “동물보호법이 다섯 번이나 개정되는 동안 경찰의 수사 매뉴얼은 그대로였다”면서 개정을 주문했다.	 김창룡 경찰청장도 “충분하게 검토해 매뉴얼에 반영하겠다”고 약속했다.	  경찰청은 동물보호단체와 머리를 맞대고 새 수사 매뉴얼에 담길 구체적 내용을 논의할 것으로 보인다.	 동물보호단체가 매뉴얼 마련에 관여할 경우 동물권이 대폭 강화된 내용이 담길 것으로 기대된다.	  수사 매뉴얼이 개선되면 동물학대에 대한 수사는 다소 개선되겠지만, 여전히 처벌의 문제가 남는다.	 전문가들은 “현 동물보호법을 제대로 집행하면 된다”면서 “동물보호법을 강화하는 방향으로 개선할 필요가 없다”고 강조했다.	  동물을 학대할 경우 실제로 징역형에 처해지거나 수천만 원에 달하는 벌금형을 받는 사례가 나오면 동물학대는 극적으로 줄어들 것이라는 관측이 나온다.	 결국 관계당국이 얼마나 동물권에 민감하게 반응하는지가 관건으로 보인다.	 김호승     / -	 Copyrights ⓒ  무단 전재 및 재배포 금지 -"
“공포와 스릴을 골라서 즐기자”…롯데월드 어드벤처 ‘할로윈 스페셜 주간’ 진행,"롯데월드 어드벤처는 23일부터 11월1일까지 ‘할로윈 위크’를 운영한다.	 이 기간 동안 환상의 나라에 출몰한 좀비 서커스단 ‘좀비 트레인:	피에로의 저주’를 비롯해  좀비감옥 호러 체험관 ‘좀비 프리즌’, 좀비 영화를 골라볼 수 있는 호러 전용극장 ‘좀비 씨어터’, ‘할로윈 스페셜 그리팅’ 등의 프로그램을 운영한다.	  우선 관객과의 거리를 유지하면서 매직캐슬에서 진행하는 ‘캐슬 좀비M’은 호러 분위기 물씬 풍기는 데코와 사운드, 매직캐슬을 감싸는 화려한 불기둥이 매력이다.	 실내 어드벤처에서 매직 아일랜드로 이어지는 메인 브릿지, 좀비에게 습격 받은 경찰차, 좀비가 거꾸로 매달린 호러 공중전화박스 등 할로윈 분위기를 물씬 풍기는 할로윈 분위기가 물씬 풍기는 포토 스폿을 준비했다.	 귀여운 인형들이 반기던 ‘환타지 드림’은 할로윈 위크 기간 동안 오후 2시부터 9시까지 피에로 좀비들이 등장하는 라이드 어트랙션 ‘좀비 트레인:	피에로의 저주’로 변신한다.	 흉악한 좀비들이 감옥에서 탈출하는 콘셉트의 ‘좀비 프리즌’은 약 6분 동안 12개의 구간으로 구성된 감옥 내부를 통과하는 워크스루형 어트랙션이다.	 16만 명의 구독자를 보유한 공포 라디오 인플루언서 ‘왓섭’이 프리퀄에 참여해 스토리를 구성하고, 국내 유명 영화 세트 제작사가 실감나는 감옥 환경을 구현했다.	호러 극장 ‘좀비 씨어터’는 시간대에 맞춰 영상 콘텐츠를 교차 상영해 ‘좀비 병동’과 ‘좀비 실황 라이브’ 중 보고 싶은 영상을 선택해서 볼 수 있다.	 특히 체험 스릴의 강도에 따라 ‘호러 순한맛’과 ‘호러 매운맛’으로 좌석을 나누어 운영한다.	 1만원에 평일 오후 6시부터 운영종료 때까지 매직아일랜드를 즐길 수 있는 ‘매직 아일랜드 전용권’을 구입하면 어트랙션을 모두 무제한으로 이용할 수 있고, 원하는 어트랙션을 별도의 대기없이 바로 탑승할 수 있는 매직 패스 1장과 ‘좀비 프리즌’ 30% 할인권을 함께 제공한다.	 또한 별도의 대기 없이 ‘좀비 프리즌’, ‘좀비 씨어터’, ‘좀비 트레인’ 등 할로윈 콘텐츠 3종을 바로 이용할 수 있는 ‘호러 매직패스’를 할로윈 위크 기간에 1만원에 특별 운영한다.	 삼성카드나 KT 회원이라면 종합이용권 본인과 동반 1인까지 50% 할인을 받을 수 있다.	 현장 키오스크에서 엘페이로 티켓을 결제해도 본인 50% 할인으로 입장이 가능하다.	 이밖에도 SKT 회원은 본인 40%, 동반 3인까지 30% 할인 혜택을 받을 수 있다.	       / -	 Copyrights ⓒ  무단 전재 및 재배포 금지 -"
"이진호 자생한방병원장, 서울지방경찰청장 감사장 수상","이진호 자생한방병원이 21일 경찰의 날 75주년을 맞아 서울지방경찰청장으로부터 감사장을 수여 받았다.	 이진호 병원장은 서울강남경찰서 경찰발전위원회 및 청소년문화발전위원회 소속으로 활동하며 경찰 행정발전에 이바지한 공로를 인정받았다.	 위원회 활동을 통해 환자, 노인 등 사회적 약자 돌봄 정책을 지속적으로 제언했으며, 청소년 비행·범죄 예방에도 힘써 지역 순찰 등 각종 청소년 선도 캠페인 전개에 앞장서왔다.	 이진호 병원장은 “신종 코로나바이러스 감염증의 장기화로 인해 사회·경제적으로 각박해져 가는 요즘 가장 필요한 것은 가족과 이웃, 동료에 대한 관심이라 생각한다”며, “양질의 의료서비스 제공을 통한 주민들의 건강 증진뿐만 아니라 지역 사회와 함께 발전해나가는 자생한방병원이 되도록 앞으로도 최선을 다하겠다”고 말했다.	 한편 자생한방병원은 코로나19 확산 방지를 위한 출근길 마스크 배부, 지역아동센터 손 소독제 기부 등을 진행했다.	 또한 제한된 야외활동으로 신체·정서적 어려움을 호소하는 노인들을 대상으로 논현노인종합복지관과 함께 언택트 온라인 건강강좌를 제작·공개했다.	     / -	 Copyrights ⓒ  무단 전재 및 재배포 금지 -"
