"용인시, 수지산성교인 295명 GPS 정보 경찰에 요청",  Copyright ⓒ  &
"중고나라에 ""아들, 딸 판매"" 게시글 올라...경찰, 내사 착수","회원수 1800만여명인 중고거래 커뮤니티 '중고나라'에 자신의 아들과 딸을 판다는 한 네티즌의 글이 올라와 논란이 되고 있다.	 닉네임 '용***'라는 이 네티즌은 3일 오후 1시 43분쯤 한 남자 아이의 사진과 함께 ""제 아들 팝니다""라는 제목의 글을 게재했다.	 그는 ""사정상 힘들어서 제 아들을 팔기로 마음먹었다""면서 ""협의 후 가격을 맞추겠다""고 작성했다.	 그는 5분 뒤 ""우리 집 내 딸 팝니다""라는 제목의 글을 또 올려 다른 여자 아이의 사진을 올렸다.	 해당 게시글에서 ""형편상 돈이 부족해 우리집 아들 딸을 판매하도록 마음먹었다""며여아를 성적으로 대상화하는 표현과 함께 휴대전화 연락처를 남기기도 했다.	 현재 중고나라에서 해당 게시글은 삭제된 상태다.	 일부 네티즌들은 댓글에서 게시글에 대한 신고를 마쳤다고 밝혔다.	 경찰은 자녀 판매 글을 올린 네티즌에 대해 허위의 글을 게시한 혐의로 내사에 착수했다."
"경찰, ""이춘재 사건""으로 억울한 옥살이한 윤성여씨에게 사과","17일 오후 경기 수원시 영통구 수원지방법원에서 열린 이춘재 연쇄살인 8차 사건 재심 선고공판에 참석한 윤성여 씨가 법정에 들어서고 있다.	 사진| 연합뉴스 이춘재 연쇄살인 8차 사건의 범인으로 몰려 20년간 억울한 옥살이를 한 윤성여 씨에게 경찰이 17일 공식 사과했다.	 경찰청은 이날 수원지법 형사12부가 이 사건 재심 공판에서 윤씨에게 무죄를 선고한 직후 입장문을 통해 ""머리 숙여 사과드린다""고 밝혔다.	 입장문에서 ""뒤늦게나마 재수사로 연쇄 살인 사건의 진범을 검거하고 청구인의 결백을 입증했지만, 무고한 청년에게 살인범이라는 낙인을 찍어 20년간의 옥살이를 겪게 해 큰 상처를 드린 점을 깊이 반성한다""고 전했다.	 이어 ""'모든 개인이 가지는 불가침의 기본적 인권 보호'는 준엄한 헌법적 명령으로, 경찰관의 당연한 책무""라며 ""경찰은 이 사건을 반면교사로 삼아 억울한 피해자가 다시는 없도록 각고의 노력을 기울이겠다""고 밝혔다.	 그러면서 ""앞으로 내·외부 심사체계를 필수적 수사절차로 정착하고 수사단계별 인권 보호 장치를 더욱 탄탄히 마련해 수사 완결성을 높이고 공정한 책임 수사가 이뤄질 수 있도록 최선을 다하겠다""고 덧붙였다.	 이춘재 8차 사건은 1988년 9월 16일 경기 화성군 태안읍 진안리에서 박모 양이 성폭행을 당한 뒤 살해된 사건이다.	이듬해 범인으로 검거된 윤씨는 1심에서 무기징역을 선고받고 상소하면서 ""경찰의 강압 수사로 허위 자백을 했다""며 혐의를 부인했으나, 2심과 3심 재판부는 이를 모두 기각했다.	 20년을 복역하고 2009년 가석방된 윤씨는 이춘재의 범행 자백 이후인 지난해 11월 법원에 재심을 청구했다.	  이번 재판 과정에서는 윤씨에 대한 당시 경찰의 불법체포 및 감금, 폭행·가혹행위, 유죄 증거로 쓰인 국립과학수사연구원 감정서 조작 등이 드러났다."
피라미드 앞 외설적인 사진 찍었다가 이집트 당국에 체포된 女 모델 [B급통신],  Copyright ⓒ  &
"전남경찰, 수능 대비 특별 교통대책 추진",  Copyright ⓒ  &
"경찰, ""명도집행 막으려 화염병 투척"" 사랑제일교회 압수수색","경찰이 1일 서울 성북구 사랑제일교회에서 압수수색을 시도하던 중  대화를 하고 있다.	연합뉴스 경찰이 1일 서울 성북구 사랑제일교회에 대한 압수수색에 들어갔다.	지난달 교회에 대한 서울북부지법 집행인력의 명도집행에 저항하는 과정에서 일부 관련자들이 화염병을 동원한 일 등 불법행위를 수사하기 위한 것이다.	이날 오전 7시 30분께 교회에 도착한 서울 종암경찰서 전담수사팀은 교회 측 변호인들이 도착한 뒤인 9시 25분께부터 교회 본관·별관 등에 대한 압수수색 영장을 집행하고 있다.	투입된 인원은 45명이다.	경찰 관계자는 ""명도집행 과정의 불법행위를 수사하는 과정""이라며 ""연루된 사람들의 명단·서류와 당시 폐쇄회로TV 등을 확보할 계획""이라고 설명했다.	사랑제일교회에 대한 제3차 강제집행은 지난달 26일 오전 1시께 서울북부지법 집행인력 570여명이 투입돼 시작됐으나, 예배당을 지키려는 신도 50여명이 화염병을 던지거나몸에 인화물질을 뿌리며 철거반이 진입하지 못하도록 위협하는 등 강하게 반발하면서 7시간여만에 중단됐다.	경찰은 사건 당일 종암경찰서에 전담수사팀을 구성했고, 강제집행 상황을 담은 영상 등 자료를 분석해왔다.	전담수사팀은 불법행위 연루자들에 대해 특수공무집행방해와 화염병 사용 등의 처벌에 관한 법률 위반 혐의 등을 적용할 방침이다.	장위10구역 한복판에 있는 사랑제일교회는 보상금 등 문제에 이견을 보이며 철거에 반발하고 있다.	 부동산 권리자인 재개발조합은 명도소송에서 승소한 뒤 지난 6월에도 두 차례에 걸쳐 강제집행을 시도했지만 신도들과 충돌하면서 실패했다."
"경기도, 공직부패 청산 ""남양주시"" 감사 계속",  Copyright ⓒ  &
"""아버지는 19세기 사람"" 인니서 코로나19로 사망한 130세 노인 진위 논란 [B급통신]",  Copyright ⓒ  &
"전남경찰, 생활주변 ‘길거리 폭력배’ 특별단속 실시",  Copyright ⓒ  &
"전남경찰, 어린이 통학버스 위반행위 단속 실시",  Copyright ⓒ  &
"안양시, 시민 안전 최우선 ""스마트도시 통합 플랫폼"" 구축",  Copyright ⓒ  &
레바논서 교도소 60여명 집단탈옥…40여명 도주 중,  Copyright ⓒ  &
"광주광역시 서구청 간부A씨 ""지속된 뇌물비리"" 실형선고",  Copyright ⓒ  &
"경기도, 집합금지시설 도·시·군-경찰 합동 단속반 투입",  Copyright ⓒ  &
아동 성 범죄자에게 146대 공개 태형 진행한 인도네시아[B급통신],  Copyright ⓒ  &
"""부천 링거 살인사건"" 간호조무사, 징역 30년 확정",  Copyright ⓒ  &
내달 13일 출소하는 조두순 거주지 변경할 듯…방법 대책도 수정 불가피,  Copyright ⓒ  &
"인터넷방송서 후배폭행 구속기소 전 프로야구 선수 ""영화 ""범죄도시"" 따라한 것""",  Copyright ⓒ  &
