"상생 노사 관계 이끈 정의선 회장, 인색했던 안전관리시스템 개선 최대 숙제로","  임금동결 등으로 노사 상생협력 관계를 이끌어냈던 정의선 현대차그룹 회장에게 안전관리시스템 확충이 올해 최대 과제로 떠올랐다.	 여야가 8일 합의 처리하기로 한 중대재해기업처벌법 제정안에 따르면 경영책임자의 처벌이 한층 강화되기 때문에 현대차를 비롯한 대기업 총수들의 발등에 불이 떨어졌다.	      국회 법사위원회 법안소위에서는 사망사고가 발생한 경우 경영책임자에게 1년 이상 징역형 또는 10억원 이하 벌금형을 물리는 중대재해법에 합의했다.	 8일 국회 본회의에서 중대재해법이 처리될 전망이다.	    만약 중대재해법이 원안대로 통과될 경우 지난 3일 현대차 제1공장에서 사망사고가 난 정 회장도 안전관리 책임에서 자유로울 수 없다.	 하청업체 마스터씨스템 소속 노동자 김 모 씨는 프레스공정에서 나오는 철판 조각을 압착하는 베일러 머신 주변에서 청소하던 중 상반신이 끼여 사망했다.	 현재 경찰은 자세한 사고 경위를 조사하고 있다.	      정 회장은 4일 신년사에서 “울산공장에서 협력업체 직원분이 작업 중 사망하는 사고가 발생했다.	 삼가 고인의 명복을 빈다""며 ""진심으로 깊은 애도를 표하며 회사는 이런 안타까운 사고가 발생하지 않도록 모든 수단을 동원해 안전한 환경조성과 안전사고 예방에 총력을 기울이겠다""고 밝혔다.	     총수가 직접 안전관리 시스템을 강화하겠다는 의지를 공개적으로 표명함에 따라 현대차는 대책 마련과 안전사고 방지에 만전을 기울이고 있다.	     그렇지만 현대차의 안전관리 시스템 매뉴얼에 허점이 있는 게 사실이다.	 매뉴얼 상 철판 조각 청소 중에는 베일러 머신이 작동하지 않아야 한다.	       현대차 관계자는 “사고 장소는 안전펜스와 출입문 안전플러그를 장치해 운영 중이다.	 출입문에 설치된 안전플러그를 뽑으면 설비가 자동으로 멈추게 되어 있다""며 ""안전플러그를 뽑지 않으면 출입문 자체가 열리지 않도록 해 혹시 있을지 모를 안전사고를 예방하고 있다”고 설명했다.	     사측은 노동자가 기본 동선대로 움직이지 않고 출입문이 아닌 다른 통로로 들어가면서 사고가 일어난 것으로 추정하고 있다.	      산업안전보건법에서도 설비 점검·정비·청소 등의 작업 시 전원 차단 조치를 규정하고 있다.	 이번 사망사고에서는 이런 안전조치가 제대로 작동하지 않았다.	     이에 금속노조는 지난 5일 현대차 울산공장  회견을 열고 ""현대차 안전보건시스템을 전면 개선하고, 고용부는 전체 공장에 대한 특별감독을 실시하라""고 요구했다.	    현대차의 안전보건시스템을 보완할 필요성이 대두되고 있다.	 현대차의 2020년 지속가능성 보고서의 안전보건 부분을 보면 ‘1차 협력사 안전보건경영시스템 인증’만 포함됐다.	 1차 협력사의 안전보건경영시스템 인증은 2019년 100% 달성된 것으로 보고됐다.	 하지만 2차 협력사에 대한 내용은 전무하다.	 사고를 당한 김 씨는 현대차의 2차 협력사다.	 “생산과 이윤만을 위한 위험의 외주화 속에 이번 참사는 예견돼 있었다”고 현대차 노조가 지적한 이유도 바로 여기에 있다.	      현대차는 협력사의 안전보건 현장 순회 지원, 안전관리 가이드 배포 등을 시행하고 있지만 제대로 이뤄지지 않고 있다.	 국내 화학업체들이 ‘안전사고 제로화’를 선언하며 한해 수천억 원씩 안전시스템 확충을 위해 투자하고 있는 모습과 대비된다.	 정 회장은 협력사와의 상생 협력 강화를 누누이 언급해왔다.	 회사는 회장 취임 후 보름 만에 공장을 찾아서 노사 관계를 비롯해 협력사와의 상생 협력을 강조했던 점을 잊지 말아야 한다."
"하나은행, 영업점 직원 30억원 횡령 사실 확인","     하나은행 영업점 직원이 30억원 가량을 횡령한 사실이 적발됐다.	    6일 금융권에 따르면 최근 하나은행은 부산 한 지점의 여신 담당 직원이 약 30억원을 횡령한 혐의를 자체 감사 과정에서 적발했다.	    하나은행은 자체 조사를 마친 후, 해당 직원을 경찰에 넘겼고 내부 징계 절차에 돌입할 예정인 것으로 전해졌다.	    하나은행은 문제가 된 30억원 가량 대부분이 변제가 가능한 것으로 파악됐고, 이에 따른 고객 피해는 없을 것으로 예상하고 있다."
"쌍용차, 해외서 정부기관 관용차로 잇달아 선정","  쌍용자동차는 최근 동유럽, 중동 등 글로벌 시장에서 제품의 우수성을 인정받아 해외정부기관의 관용차로 잇달아 선정되며 수출시장을 확대하고 있다고 27일 밝혔다.	 쌍용차는 지난달 25일 불가리아의 국민재난안전청과 지휘차량 조달 공급 계약을 체결했다.	 이에 따라 총 32대의 G4 렉스턴이 내년 1월 일괄 납품될 예정이다.	    불가리아 국민재난안전청은 자연재해 현장에서 이뤄지는 업무 특성상 탁월한 오프로드 주행능력과 뛰어난 내구성을 갖춘 렉스턴이 지휘차량으로서 최적의 조건을 갖췄다고 평가했다.	    또한 쌍용차는 지난 8월 팔레스타인 행정자치부와 렉스턴 스포츠 칸 15대를 관용차로 납품하는 계약을 체결한 데 이어 최근 팔레스타인 정부로부터 100대의 추가 공급 요청을 받았다.	 차량은 팔레스타인 경찰청, 총리실, 장관실 등에서 전용차로 사용될 예정이다.	    쌍용차 관계자는 ""앞선 지난 4월 영국 노스 웨일스 소방구조국에 렉스턴 스포츠를 업무용 차량로 공급하기도 했다""며 ""공공부문 및 특장차 분야에서의 시장 확대를 통해 현지시장에서 브랜드 인지도를 제고하고 판매 물량을 확보함으로써 코로나19 사태로 크게 위축된 시장상황을 타개하고 포스트 코로나 시장에 대응해 나갈 것""이라고 말했다."
"몰래 타이어 휠 박살낸 타이어뱅크 가맹점…본사 ""가맹점 계약 해지""","  타이어 전문 업체 타이어뱅크의 한 가맹점에서 타이어를 교체하러 온 고객의 타이어 휠을 고의로 파손한 뒤 교체를 권유한 사실이 알려져 파장이 일고 있다.	    21일 자동차 커뮤니티 '보배드림'에는 타이어뱅크 광주 가맹점에서 피해를 입었다고 주장하는 A씨의 글과 블랙박스 영상이 올라왔다.	    A씨는 ""20일 타이어뱅크에서 타이어 4개를 교체하던 중 휠이 손상되었다면서 교체를 권유받았다""며 ""다음에 교체하겠다고 했더니  그냥 가시면 안 된다면서 중고라도 구매하시라고 하더라""라고 말했다.	    실제 A씨가 보배드림에 올린 영상을 보면 타이어 수리점으로 보이는 곳의 한 직원이 기다란 도구를 휠과 타이어 사이에 끼워 벌어지게 하는듯한 모습이 담겨 있다.	     A씨는 글에서 “고객의 생명을 담보로 저런 장난을 칠 수 있는지 정말 어이가 없다”고 말했다.	     논란이 커지자 A씨는 또 다른 글을 올려 가맹점을 경찰에 고소하겠다고 전했다.	 온라인에서는 A씨와 비슷한 피해를 보았다는 글이 잇따르고 있다.	    타이어뱅크는 이날 입장문을 통해 “본사 차원에서 사실관계를 확인하고 있다”며 ""사실로 밝혀질 경우 해당 사업주와 가맹 계약을 즉시 해지하고 피해 고객에게 보상하겠다”고 말했다.	    이어 “불미스러운 일이 발생해 타이어뱅크를 믿고 찾아주신 고객님들께 고개숙여 사과드린다”며 ""추후 이런 일이 발생하지 않도록 가맹사업주들에게 지속적으로 교육을 강화하는 등 재발방지에 만전을 기하도록 하겠다”며 고개를 숙였다."
"""레깅스룸""을 아시나요…레깅스 기업 간부도 성적으로 접근하는 한국","  유명 레깅스 브랜드를 운영하는 국내 기업 고위직 간부가 자신의 수행 기사에게 접대부가 레깅스를 입고 나오는, 이른바 '레깅스룸' 사진 촬영 지시를 내린 것으로 알려져 파문이 일고 있다.	 레깅스가 건강한 운동복이자 일상복으로 자리매김하는 단계에 레깅스 판매 기업마저 자신들의 주력 제품을 성적으로 바라보고 있다는 것이다.	      레깅스 브랜드 '젝시믹스'를 운영하는 브랜드엑스코퍼레이션은 지난 12일 젝시믹스 공식 SNS에 입장문을 올렸다.	 까만색 배경의 사진과 함께 장문의 글을 올린 브랜드엑스코퍼레이션 측은 ""'유흥업소에 운전기사를 보내 불법 도촬을 지시한 업체'는 브랜드엑스코퍼레이션과 일체 무관함을 명백히 밝힌다""고 썼다.	      사연은 이렇다.	 지난 9일 한 지상파 방송사는 저녁8시 뉴스에서 '기사가 찍어 보낸 레깅스 사진…이사는 아무 말도 없었다'는 제목의 보도를 했다.	 이에 따르면 국내 한 레깅스 업체 임원의 수행기사로 일했던 A 씨는 ""해당 임원이 레깅스바에 가서 경쟁사 브랜드인 'OOOO 사' 레깅스를 입은 접대부 사진을 도촬해 오라고 시켰다""고 주장했다.	 수치심에 시달리던 A씨는 양심의 가책을 느낀다면서 경찰에 자수서를 제출했다.	 도촬을 지시한 해당 임원은 사진을 찍어오라고 했던 사실은 인정하면서도 ""A 씨의 의사를 묻고 일을 시켰으며 수고비도 지급했다""고 해명했다.	 레깅스룸은 최근 강남에서 인기를 끌고 있는 신종 유흥주점이다.	 접대부들이 몸매를 고스란히 드러내는 레깅스와 브라 톱을 입고 나온다고 해서 '레깅스바', 레깅스룸 등으로 불린다.	       국내 레깅스 업계는 발칵 뒤집혔다.	 레깅스 기업 고위 간부가 직원에게 '레깅스룸' 출입과 도둑 촬영까지 지시한 것을 인정한 사안이기 때문이다.	 이는 레깅스를 유통하는 업체가 레깅스를 성적으로 소비하고 있다는 방증이기도 하다.	 각 업체는 서로 어떤 기업인지 알면서도 입을 다무는 분위기다.	 혹여 명예 훼손 등으로 불똥이 튈 수도 있어서다.	        이번 사건에서 가장 큰 피해를 본 곳은 젝시믹스다.	 젝시믹스는 과거 레깅스룸이나 바에 출입하는 여성들이 즐겨입는 브랜드라는 소문의 중심에 선 바 있다.	 또 8시뉴스에서 'OOOO 브랜드'라는 단어가 나오면서 브랜드 글자상 ""젝시믹스가 이번에 도촬을 지시한 기업 아니냐""는 소문이 돌았다.	    젝시믹스는 즉각 입장문을 내고 ""대표이사를 비롯한 임직원 모두 수행 기사 기사를 고용한 적 없다"", ""해당보도에 언급된 임원과 운전기사 A씨 모두 당사 임직원이 아니다""라고 반박 했다.	       브랜드엑스코퍼레이션 관계자는 14일 ""우리는 그런 사실이 전혀 없으며 오히려 '도촬'의 피해자""라고 한숨 쉬었다.	 브랜드엑스코퍼레이션 측은 나름대로 도촬을 지시한 업체를 추측하고 있다.	 또 사안이 더 커질 경우에 대비, 법무팀과 함께 대응 방법을 찾고 있는 것으로 알려졌다.	         요가복으로 잘 알려진 레깅스는 3~4년 전부터 국내에 본격 상륙했다.	 처음에는 몸매를 고스란히 드러내는 스타일 때문에 편견의 벽에 부딪혔다.	 하지만 직접 착용해 본 20~30대 젊은층 사이에 큰 인기를 끌면서 급속도로 성장을 일궜다.	     국내에서는 젝시믹스 외 '안다르', '뮬라웨어', 'STL'등 토종 브랜드가 경쟁 중이다.	 하나같이 빠른 외형적 성장을 일구며 몸집을 키웠다.	 시장조사업체 유로모니터에 따르면 국내 레깅스 시장은 2013년 4345억원이었지만 2018년 6958억원으로 성장했다.	 2020년에는 8000억원에서 1조원에 달하는 시장을 형성한 것으로 파악된다.	       국내 패션업계는 레깅스 업계가 이번 사건으로 부정적인 영향을 받지 않을지 우려하고 있다.	 B 업체 관계자는 ""과거 레깅스바나 룸에 출입하는 여성에게 할인이나 제품 협찬을 하는 방식으로 마케팅한다는 말을 들은 적 있었다""며 ""문제를 일으킨 임원이 도촬한 사진을 보고 즐기려는 것보다는 협찬이나 마케팅을 하려고 했던 것이 아닌가 싶다""고 귀띔했다.	 또 다른 패션업계 관계자는 ""레깅스 업체끼리 레깅스룸이나 바의 존재를 잘 알고 있고, 이곳에서 타 브랜드를 경쟁 상대로 의식하는 것으로 볼 수 있다는 걸 확인하는 계기가 됐다""고 말했다.	 이어 ""패션에는 유행이 있다.	 제품 개발 대신 이런 식의 마케팅이나 협찬에 골몰하면 결국 그 시장은 오래가지 못하고 도태되는 것이 섭리""라고 경고했다."
서울 곳곳서 개천절 차량시위…광화문광장 폐쇄,"  개천절인 3일 서울 시내 곳곳에서 '드라이브 스루' 차량시위가 진행됐다.	    보수단체 '애국순찰팀' 관계자들이 모는 차량 9대는 이날 오전 경기도청을 출발해 정오께 전광훈 사랑제일교회 목사가 수감 중인 의왕시 서울구치소  회견을 열고 정부의 방역조치 등을 규탄했다.	    방송차를 비롯한 차량 9대에는 추미애 법무부 장관과 더불어민주당 윤미향 의원 등을 비판하는 내용의 종이가 붙었다.	    이들은 이어 오후 2시께 우면산터널을 통해 서울 서초구로 진입했다.	 경찰은 터널 입구 갓길에 시위차량을 잠시 세우고 탑승 인원과 번호판 등이 미리 신고된 내역과 일치하는지 꼼꼼히 확인했다.	     차량시위 참가자들은 조국 전 법무부 장관의 방배동 자택 부근을 지나 추미애 법무부 장관 자택이 있는 광진구 구의동의 한 아파트 앞까지 차량시위를 진행했다.	    진입이 막힌 조 전 장관 집 인근에는 시민들과 유튜버, 취재진 등 수십명이 모였다.	 시위차량들은 연속해서 경적을 울리며 지나갔다.	    다른 보수단체인 '새로운 한국을 위한 국민행동'도 이날 오후 2∼4시 서울 강동구 굽은다리역에서 출발해 강동 공영차고지에 이르는 경로로 9대 규모의 '드라이브 스루' 차량시위에 나섰다.	    참가자들은 추미애 법무부 장관 사퇴를 촉구하는 내용의 종이와 깃발을 차에 부착한 채 오후 2시께 강동구민회관 앞에 모여 출발했다.	 이 단체는 당초 시위 시작 전 기자회견을 할 계획이었으나 법원이 이를 제한해 인쇄된 성명서를 배포하는 것으로 대신했다.	    시위차량들과 동행한 경찰은 시위 참가자 중 1명이 운행 도중 창문을 내리자 경적을 울려 경고했다.	 다만 통행 차량이 많은 번화가 일대에서는 시위차량 행렬 사이로 일반 차가 끼어들어도 제지하지 못해 혼란을 보이기도 했다.	    경찰은 이날 광화문광장 등 도심에서 돌발적인 집회·시위가 열리는 것을 차단하기 위해 서울 시내 진입로 90곳에 검문소를 설치하고 도심으로 들어오는 차량을 점검 중이다.	     광화문 광장은 경찰차량 차벽에 촘촘하게 둘러싸여 안으로 들어가기 어려운 상황이고, 외부 인도에는 사람 1~2명이 겨우 지나갈 수 있을 정도로 펜스가 처져 있다.	 지하철도 오전 광화문역과 시청역, 경복궁역을 정차하지 않고 통과했다.	    경찰은 차량시위 참가자들이 법원이 제시한 조건을 지키지 않을 경우 엄정 대응한다는 방침이다."
"문재인 대통령 추석 인사 ""소중한 날들 우리 곁에 꼭 돌아올 것""","  문재인 대통령이 연휴 첫 날 추석 인사 영상 메시지를 보냈다.	      문 대통령은 30일 청와대가 공개한 영상 메시지에서 ""예년만 못하더라도 내일은 오늘보다 나으리라는 마음으로 행복한 추석을 보내시길 바란다""고 말했다.	 그는 ""우리는 만나야 흥이 나는 민족이다.	 좋은 일은 만나서 두 배가 되고, 슬픈 일은 만나서 절반으로 나누는 민족""이라며 ""많은 분들이 만남을 뒤로 미루게 됐지만 평범하고 소중한 날들이 우리 곁에 꼭 돌아올 것""이라고 강조했다.	 이어 ""각자의 자리에서 불편을 참아주셔서 감사하다.	 덕분에 우리 모두 조금씩 일상을 되찾아가고 있다""고 덧붙였다.	    문 대통령은 ""건강을 되찾지 못하고 우리 곁을 떠난 분들이 너무 안타깝다.	 유가족에게 위로의 마음을 전한다""며 ""의료진과 방역 요원, 경찰, 소방대원들께 깊이 감사드린다""고 말했다.	 그러면서 ""이제 우리는 이웃의 안전이 나의 안전이라는 것을 확인하며 새로운 시대를 준비하고 있다""며 ""정부는 방역에 성공하고 경제를 지켜 어려움을 견뎌주신 국민들께 반드시 보답할 것""이라고 약속했다.	    김정숙 여사는 ""고향집 마당에도 아파트 앞 주차장에도 또 우리 마음에도 보름달이 뜰 것""이라며 ""다음 명절에는 기쁨이 두 배가 될 것""이라고 말했다.	    이번 영상메시지는 국민들이 문 대통령 부부와 휴대전화 영상통화를 직접 하는 것처럼 느끼도록 구성됐다."
"줄줄이 사라진다… 좁아지는 ""대출 구멍""","  ‘빚투’나 ‘영끌’ 등의 영향으로 5대 시중은행의 신용대출 잔액이 하루 1조원 넘게 불어나는 등 ‘패닉 대출’ 사태가 불거졌다.	 그러다가 최근 시중은행들이 신용대출 관리에 나서면서 하루 새 2400억원 넘게 줄어들며 주춤하는 모습이다.	 금융권에서는 한도를 축소하기 전에 미리 신용대출을 받으려는 이른바 ‘막차’ 수요가 한풀 꺾였다는 분위기다.	 하지만 신규 마이너스통장 대출 수요까지 고려하면 안정세로 전환됐다고 단정할 수는 없다는 목소리도 나온다.	 금융당국이 주요 은행에 ‘신용대출 관리 계획서’를 오는 25일까지 제출하라고 하면서 대출길이 좁아질 것으로 보인다.	     22일 은행권에 따르면 올해 1월부터 8월까지 은행에서 신규 취급된 개인신용대출 금액은 27조원을 기록했다.	 지난해 같은 기간보다 38.5% 늘어났다.	 1년 전 증가율은 9.9%에 불과했다.	 또 9월 들어 5대 시중은행의 신용대출 잔액은 2조원 넘게 증가했다.	     신용대출은 특히 20대와 30대에서 많이 늘었다.	 이 기간 20대와 30대의 신규 신용대출 금액은 1년 전보다 각각 39.3%, 46.3% 늘어 전체 증가율을 넘어섰다.	 그 결과 20·30세대를 합친 대출 증가율은 지난해의 5배 수준인 44.7%에 달했다.	      여기에는 부동산·주식 투자 자금을 위한 것뿐만 아니라 코로나19로 어려워진 살림살이에 생활자금을 신용대출로 메우는 가계도 늘고 있기 때문이라는 분석이다.	    시중은행 관계자는 “나중에 필요할 때 못 받을 수 있다는 생각에 신용대출 수요가 급증하고 있다”며 “또 인터넷은행에서는 비대면으로 5분 만에 신용대출 받는 게 가능해졌고, 정부도 금융권 비대면 영업을 적극적으로 장려하는 것도 한몫한 것 같다”고 설명했다.	    하지만 금융당국 측은 이렇게 받은 신용대출 자금이 부동산 투자용으로 사용될 가능성도 크다고 판단하고 급증하는 신용대출을 규제하기 위한 움직임에 나섰다.	 일단 금융당국은 10일과 14일 주요 은행 여신 담당자와 회의를 열고 과도한 신용대출 증가세를 억제하기 위한 방안을 논의했으며, 신용대출 수요 조절 방안을 오는 25일까지 제출하라고 요구했다.	    이에 은행들은 관행적으로 연봉의 두 배까지 한도로 설정했던 신용대출에 제동을 걸 것으로 보인다.	 낮은 금리로 수억 원씩 자금을 빌리는 고신용·고소득 전문직의 신용대출부터 줄이라는 당국의 메시지를 받은 것으로 전해졌다.	    은행권의 신용대출은 보통 연 소득의 100∼150% 범위에서 이뤄지고, 특수직 등은 현재 은행에서 많게는 연 소득의 200%까지 빌리는 경우도 적지 않다는 게 은행 측의 설명이다.	      실제로 시중은행들은 서울시와 경찰청 등 일부 기관 소속 직원들에게 최대 2억원 이상 한도로 1%대 중반대 금리의 신용대출을 제공하고 있다.	    은행 관계자는 “신용대출 관리 방안으로서 먼저 우대금리 하향 조정을 검토 중이다”고 밝혔다.	     금융당국은 다만 저소득·저신용자를 대상으로 한 대출까지 막을 경우 코로나19 사태 극복을 위한 생활자금 수요까지 차단할 수 있어 전면 규제책은 내놓지 않기로 했다.	     금융당국의 구두 개입으로 시중은행에서 돈을 빌리지 못한 주택자금이나 주식 투자자금을 P2P에서 충당하려는 움직임도 있지만, 역시 앞으로는 여의치 않을 것으로 보인다.	      온라인투자연계금융업 및 이용자 보호에 관한 법률 시행으로 P2P 금융업체들은 법령상 요건을 갖춰 금융당국의 심사를 거쳐 등록해야 하며, 그렇지 못한 업체들은 영업할 수 없게 되기 때문이다.	       P2P 업체는 온라인 플랫폼을 통해 차주와 투자자를 연결해주고 수수료를 받는다.	    한국P2P금융협회 공시를 보면, 협회 회원사 중 주택담보대출을 취급하는 27개사의 개인 주담대 잔액은 지난달 말 현재 4583억원으로 집계됐다.	    잔액 규모는 은행권과 비교해 미미한 수준이지만, 증가 폭이 상당하다.	 최근 3개월의 전월 대비 증가율을 보면 6월 6.9%, 7월 6.5%, 8월 7.4%다.	 8월은 올해 들어 최대 증가율이다.	      P2P 금융의주담대는 보통 매달 이자만 갚다가 한 번에 원금을 상환하는 만기 일시상환으로 부담이 적다.	 만기는 1년이지만 연장도 가능하다.	 은행 신용대출과 돈 갚는 방식이 유사한 방식이다.	    P2P 금융 통계회사 미드레이트에 따르면 9월 초 기준으로 P2P 업체 135개사의 대출 잔액은 2조2953억원에 달했다.	    하지만 최근 온투법으로 당국이 P2P 업체 중 옥석 가리기에 나섰고, 대출의 부실이 수면 위로 드러나면서 우려가 커지고 있다.	    실례로 창고에 온라인쇼핑 판매업자의 재고를 보관하고, 그 가치를 평가해 운전자금을 대출해주는 ‘동산담보 대출’을 주로 취급해 온 ‘팝펀딩’은 지난 6월 폐업 절차를 밟게 됐다.	 금감원이 ‘팝펀딩’의 대출 취급 실태를 점검하는 과정에서 불법 혐의가 드러나 검찰의 수사를 받게 되면서 대규모 손실이 났기 때문이다.	    이처럼 P2P 업체의 부실이 계속되며 6월에만 4곳이 문을 닫았고, 7월 3곳, 8월 7곳 등 폐업이 잇따르고 있다.	    이외에도 온투법의 규제로 대출이 막히는 경우도 발생했다.	 최근 ‘1금융권 제휴 은행 대출’로 인기를 끌었던 ‘피플펀드’는 은행 연계형 신용대출 서비스를 종료했다.	 온투법으로 인해 대출 계약 등 핵심 업무를 제3자에게 위탁할 수 없게 됐기 때문이다.	      피플펀드는 다른 P2P 업체들과 달리 전북은행을 낀 신용대출을 제공한다는 점을 내세워 대부업 대출 등에 거부감을 갖는 이용자들을 공략해 왔지만, 해당 서비스 모델을 종료하게 됐다.	    피플펀드의 대출 잔액은 지난달 기준 2852억9000만원으로 업계 1위 수준이었고, 누적 대출액은 9857억1700만원이었다.	    이에 피플펀드는 온투법 취지와 내용에 따라 10월 중 온투업 라이센스 기반의 신용대출 ‘피플펀드론 2.0’을 출시할 계획이라고 밝혔다.	 P2P 업계 관계자는 “당국이 전수조사했던 전체 237개 가운데 제도권에 진입할 업체들로 대출 루트가 좁아지겠지만, 부실은 확실히 줄어들 것”이라며 “온투법에 맞춰 P2P 업체는 새롭게 대출 등 서비스를 업데이트해야 하는 상황”이라고 말했다."
"롯데월드 어드벤처에서 ""신규 할로윈 콘텐트""와 함께해요","   청명한 하늘을 만끽할 수 있는 가을, 롯데월드 어드벤처가 가족, 친구, 연인 등 다양한 방문객들을 만족시킬 즐길거리를 준비했다.	 심쿵 큐티부터 짜릿함까지 다채로운 할로윈 신규 콘텐트와 함께 코로나로 지친 마음을 신나게 힐링 해보는 건 어떨까.	    할로윈을 앞두고 실내 어드벤처 전역이 남녀노소 누구나 심쿵하게 만드는 신비한 할로윈 콘셉트로 변신했다.	 실내 어드벤처에 입장하자마자 만나볼 수 있는 호박유령 포토존과 만남의 광장에 위치한 ‘할로윈 빅로티’ 포토존은 크고 작은 호박과 귀여운 캐릭터들로 화려하게 꾸며져 할로윈 분위기를 물씬 풍긴다.	      해저 왕국 테마를 입힌 새로운 어트랙션도 만나볼 수 있다.	 스릴 어트랙션이 많은 야외 매직아일랜드에 '머킹의 회전목마'가 오픈했다.	 말을 타는 일반적인 회전목마와 달리 돌고래, 해마, 물고기 등 귀여운 바다 생물로 꾸며져 있어 이색적인 재미를 선사할 예정이다.	   실내 어드벤처에서 진행되는 할로윈 공연도 빼놓을 수 없는 볼거리다.	      할로윈 호박, 유령, 드라큐라 등 로티, 로리와 큐티 할로윈 캐릭터들이 총 출동하는 '로티스 할로윈 파티 퍼레이드'는 시즌 별로 색다른 콘셉트로 진행되는 퍼레이드 중 가장 인기가 높다.	 다양한 할로윈 캐릭터들과 함께 율동을 즐기다 보면 어느새 행복한 기분에 빠져든다.	 저녁 6시 30분엔 메인 무대인 가든 스테이지에서 오랜 잠에서 깨어난 할로윈 고스트를 주인공으로 한 뮤지컬 쇼 '드라큐라의 사랑'도 진행된다.	    롯데월드를 찾은 방문객들의 수많은 인생샷을 책임진 셀프 포토 스튜디오  ‘그럴싸진관‘ 역시 가을을 맞아 새단장을 마치고 16일부터 재오픈했다.	 할로윈 분위기를 반영한 ‘할로윈 마녀의 숲 부스’,  캠핑장에 온 듯한 분위기를 연출하는 ‘가을 캠핑 부스’ 등 가을 시즌에 걸맞는 컬러와 트렌드를 반영한 부스들을 새로 추가했다.	      매직 아일랜드에도 오감을 자극하는 할로윈 콘텐트들이 가득 차 있다.	 올해는 ‘언택트’ 트렌드에 맞춰 관객과 직접 접촉하는 콘텐트를 줄이고 멋진 인증샷을 남길 수 있는 포토존과 공연 등 볼거리를 강화했다.	 먼저, 실내 어드벤처에서 매직아일랜드로 이어지는 메인브릿지부터 좀비에게 습격받은 경찰차, 좀비가 거꾸로 매달린 호러 공중전화박스 등 할로윈 분위기를 물씬 풍기는 포토존들이 있으니 그냥 지나치지 말자.	 해가 진 뒤부터는 매직아일랜드에서 본격적인 공연과 퍼포먼스가 진행된다.	 마치 해외 테마파크에 온 듯한 이색적인 분위기와 화려한 연출을 경험할 수 있다.	 ‘빅 대디’와 좀비들이 매직캐슬을 점령하며 화려한 불기둥과 함께 퍼포먼스를 선보이는 '캐슬 좀비 M' 공연은 매일 2회 진행되며, 1회차는 일몰 시간을 고려하여 유동적으로, 2회차는 저녁 8시에 진행된다.	     워크스루형 호러 어트랙션 '좀비프리즌'은 다양한 협업을 통해 리얼함을 극대화했다.	 매니아들 사이에서 인기가 많은 인플루언서 ‘왓섭’이 프리퀄 스토리를 구성했고, 국내 유명 영화 세트 제작사와 함께 실감나는 감옥 시설을 제작했다.	 호러 영상관 '좀비 씨어터'는 총 2가지 호러 영상 콘텐트를 교차 상영해 손님들이 보고 싶은 영상을 선택할 수 있으며, 상영 도중 예기치 못한 특수효과들이 몰입도를 더해준다."
"검찰, ""결함 은폐 의혹"" BMW코리아 압수수색","  검찰이 BMW의 '차량 결함 은폐 의혹'과 관련해 BMW 서울 사무실 등을 전격 압수수색했다.	    16일 검찰에 따르면 서울중앙지검 형사 5부는 이날 자동차 관리법 위반 혐의로 서울 중구에 있는 BMW 사무실과 강남에 있는 이 회사 서버 보관소 등을 압수수색했다.	    지난해 11월 경찰이 사건을 송치한 지 11개월 만이다.	 당시 경찰은 BMW 본사와 BMW코리아 등 법인 2곳, 김효준 BMW코리아 회장을 비롯한 임직원 등 8명을 자동차관리법 위반 혐의로 기소 의견을 냈다.	 이들은 BMW 차량에 들어가는 EGR 결함을 알고도 이를 축소·은폐한 혐의를 받는다.	    BMW의 결함 은폐 의혹은 2018년 이 회사 차에서 연이어 불이 나면서 불거졌다.	     의혹이 확산하자 BMW는 그해 7월 ""2016년부터 유럽에서 비슷한 엔진 사고가 있어 원인 규명을 위해 실험해왔는데 최근에야 EGR 결함이라는 결론이 나왔다""면서 리콜을 시행했다.	     국토교통부는 민·관 합동조사단을 꾸려 결함은폐 의혹을 조사하고, BMW가 2015년부터 결함을 인지하고도 은폐·축소했다고 발표했다.	    피해를 본 BMW 차주 등 소비자들은 이 회사 독일 본사와 한국지사, 회장 등 관계자들을 고소했다.	 이들은 BMW코리아 등을 상대로 집단 손해배상 소송도 법원에 제기한 상태다."
