‘안전한 커뮤니티’가 돌아올 때까지 좀더 힘내요,"감염병에 취약한 근무 환경과 주거 환경        “너무 힘들어…” 유달리 지인들의 연락이 늘었다         안전한 커뮤니티가 없다는 것        코로나 시대를 버텨내고, 다시 만날 그날까지"
연이은 지자체장 성폭력…재발방지책은 무엇인가?,"고위공직자범죄수사처 수사 대상에 권력형 성폭력도 포함해야 한다는 의견을 내고 있는 기본소득당 용혜인 의원과 기본소득당 젠더정치특별위원회가 국회토론회 <고위공직자 성폭력을 말하다>를 개최한 것.	 여성노동법률지원센터, 한국여성민우회 성폭력상담소, 젠더정치연구소 여.	세.	연이 참여한 이 토론회는 지난 26일 기본소득당 사무실에서 열렸고 온라인으로 중계되었다.	              서울시 공무원 대상 실태조사 결과에서도 제도적 허점이 드러난다.	 신민주 위원장은 “2019년 3월 발간된 서울시 본청 사업소 자치구 공무원을 대상으로 조사한 <직장 내 성평등 및 성희롱 실태조사 결과 보고>에 따르면, 서울시 젠더 자문관 인지율이 15.9%밖에 되지 않는다”고 지적했다.	       “특히, 고위공직자 성폭력 사건은 범죄 과정에서 피해자와 조직 구성원에 대한 인사상의 불이익을 주거나 지속적으로 발생할 가능성이 높다”는 점에서, 공수처법에 성범죄가 포함되어야 예방효과가 있을 것이라는 거다.	     최미진 대표는 공수처법 개정에 대해서는 효과가 있겠지만 한계도 분명히 있다고 말했다.	 일단 “권력형 성범죄를 ‘권력형 부패범죄’의 범위 안에 묶어서 다루는 것이 타당한지 의문이 있다”고 했다.	 최 대표는 “공수처법 개정에선 ‘고위공직자 범죄’의 범위에 수많은 성희롱 성폭력 유형 중 ‘위력에 의한 성폭력 범죄’만을 포함시키고 있어, 여타의 성폭력 범죄와 여성노동권을 심각하게 침해하면서도 범죄 구성요건에 해당하지 않는 성희롱 행위를 포괄하고 있지 못하는 점에 있어 한계가 있다”고 우려를 표했다."
“다시는 나같은 일을 겪는 태국 여성들이 없길”,태국에서 한국인 남자친구와 3년간 동거하며 출산            생활비로 일주일에 만원?
일제 전범기업 연속폭파사건…여성 서사로 조명하다,"일용직 노동자들이 전해준 ‘동아시아반일무장전선’ 이야기          동아시아반일무장전선 연속폭파사건 타임라인을 보면 늑대, 대지의 엄니, 전갈 세 부대가 모두 관여한 작전이 있다.	 아시아⸳태평양전쟁 말기에 기소다니 발전소를 건설하기 위해 중국인과 조선인에게 혹독한 노동을 강요하고, 1975년 당시에도 말레이시아에서 댐을 건설하는 데 열을 올리고 있었던 하자마구미에 대한 공격이다.	 과거 전범기업의 수탈이 현재진행형의 문제이며, 지금-	당장 멈추어야 한다는 절박함을 드러내는 작전이었다.	  밝혀진 동아시아반일무장전선의 부대원은 총9명.	 다이도지 아야코와 사사키 노리오는 국제 지명수배 중이며, 마스나가 도시아키는 사형수로 지금도 수감되어 있다.	 사이토 가즈는 체포되었을 당시 청산가리를 삼켜 사망했고, 구로카와 요시마사는 무기징역으로 복역 중이며, 우가진 히사이치는 1982년에 체포되어 18년을 구형받고 2003년에 출소한 후 지금까지 재판투쟁과 관련된 신문, <구원>을 펴내고 있다.	      다이도지 지하루, 우먼리브 운동과 지원 운동의 접점      다이도지 지하루는 동아시아반일무장전선과 어떤 관계도 맺고 있지 않았다.	 그녀는 미츠비시중공업 폭파사건 당시 고등학생이었다.	 형이 확정되고 나면 사형수는 가족만 면회할 수 있고, 편지를 주고받을 수도 없게 된다.	 훗날 그녀는 다이도지 마사시의 법적 여동생이 되었고, 소식지 『기타코부시』를 발행하여 감옥 안의 마사시와 감옥 밖의 지지자들을 이어주는 역할을 했다.	         료코는 수십 년간 출간해 온 소식지 『지원련 뉴스』를 매개로  아직 수감 중인 이들의 소식과 감옥 밖 동료들의 활동을 전한다.	 히라노 료코와 같은 ‘곁의 존재들’은 사건 ‘이후’ 동아시아반일무장전선의 토대를 넓히고 더욱 깊이 있게 만들어 주었다.	          마리코가 수감되었을 때, 공안의 미행과 감시에 시달리던 그녀의 언니가 달리는 기차에서 뛰어내려 자살을 했다.	 영화 속에는 아라이 마리코의 어머니가 딸을 잃은 커다란 상실감 속에서도, 자신을 찾아와 응원해주는 지원자들이 딸이 되어주고 손자가 되어주었으니 “새로운 가족을 얻게 됐다”고 말하는 장면이 있다.	 지원 운동은 국가를 이루는 가장 작은 단위의 제도라 할 수 있는 가족제도조차 넘어서는 새로운 관계성을 제안하고 있다.	 실제로 다큐 상영 운동을 하는 과정에서 만나게 된 사려 깊은 동료들 사이에서도 유사가족과 같은 유대감이 생겨났다."
"캐나다의 이면, ‘환경인종차별’ 현실을 고발하다","폐기물처리장이 만들어 지고 제지공장의 오수, 강에 버려질 대량의 소금의 영향을 직격탄으로 받는 건, 백인들이 모여 사는 동네가 아니다.	 오랫동안 흑인들이 모여 공동체를 이룬 동네이고, 캐나다라는 국가가 생기기 이전부터 자신들의 땅과 자연을 지켜온 원주민인 미그마 부족이 살아가는 곳이다.	      산처럼 쌓인 쓰레기가 땅을 오염시키고 물을 오염시키면서, 중금속과 세균이 잠식한 물을 쓰고 마셨던 사람들의 건강은 당연히 나빠질 수 밖에 없었다.	         강을 바라보며 강을 지키기 위해 미그마 부족의 노래를 부르고 기도를 하는 풀뿌리 대모들의 모습은 어떤 결기를 넘어서 신성함을 드러낸다.	 실제로 그들은 “여성이 ‘물의 사자’임을 인지하는 게 중요하다”고 말하며 “여성은 생명을 주는 존재”라고 강조한다.	 그건 꼭 출산을 의미하진 않는다.	 모든 생명을 지킬 수 있는 존재라는 뜻이다.	      기후위기는 이미 와버린건지 모른다.	 하지만 미래가 사라졌다고 단정하기도 이르다.	 그렇게 단정해 버리는 건 지금 이토록 열심히 투쟁하고 있는 이들의 피와 땀, 상처와 눈물을 지워버리는 일이기도 하다."
성폭력 생존자의 ‘살아남은 힘’에 박수를!,"작년 세계여성의날에 도쿄에서 열린 여성행진을 계기로 데이트폭력, 성폭력 피해 생존자인 야하타 마유미 씨를 알게 되었다.	 그녀는 “집회나 구호는 저에게 잘 안 맞아요”라고 말하며, 9일 뒤에 자신이 주최하는 행사에 대해 안내해주었다.	 성폭력, 가정폭력/데이트폭력 피해자의 ‘살아남은 힘’을 격려하는 <대단했어, 졸업식> 행사였다.	 개방적인 공간에 간단하지만 맛있는 음식과 카페가 있고, 토크가 있고 요가가 있고 예술이 있고 비눗방울이 있는, 눈 부신 빛이 가득한 행사처럼 보였다.	 “축제를 지향해요.	 우리의 라이벌은 휴일의 쇼핑과 즐거운 이벤트들이거든요.	” 당일 행사에는 피해 당사자 등 60명 정도가 참가했다고 한다.	 “단 한 번이라도 이 행사를 열고 싶었어요.	 그 즐거워 보이는 사진을 보고 누군가 ‘아아, 내가 안전하고 안심할 수 있는 세계가 정말로 있구나’ 하고 생각했으면 해서요”.	  야하타 마유미 씨의 어머니는 여성운동가이자 싱글맘이었다.	 그 영향으로 철이 들 무렵부터 가정폭력과 성폭력 피해자를 지원하는 현장에 눈을 떴다.	 “나는 페미니스트다”라는 자각도 있었다.	 하지만 어떤 날들은 자신에 대한 어머니와 주위 사람들의 기대가 너무 크게 느껴졌다.	 사실 마유미 씨는 열두 살까지는 어머니와 따로 살았다.	 함께 살 때도 외부 활동에 열중하는 어머니 곁에서 고독을 느낀 적도 있었다.	 사춘기 때는 페미니스트인 어머니의 마음을 헤아리느라 색깔이 있는 립스틱을 사는 일도 망설였다.	 “어머니와의 관계에 대해 자주 질문을 받는데요.	 어머니는 제 활동을 전면적으로 응원해주시고, 저도 어머니를 존경합니다.	” 마침내 야하타 씨도 폭력피해자를 지원하는 현장에 뛰어들었다.	 그런데, 막상 자신이 동거인으로부터 폭력을 당했을 때, 모두 아는 사람들뿐인 폭력피해자 지원 현장에서는 자신이 겪은 데이트 폭력에 관해 상의할 수 없었다.	 스물네 살 때 도쿄에 온 야하타 씨는 30대에는 프리랜서 웹영상 제작자로 일을 했다.	 그 일을 시작한 지 얼마 되지 않아 미팅 요청을 받고 나간 곳에서, 같은 업종의 중년 남성으로부터 강간 피해를 입었다.	 일로 얽힐 수밖에 없는 사람이었기 때문에 그 후에도 피해는 이어졌다.	 커리어나 일에서 신뢰를 잃을지도 모른다는 두려움 때문에 혼자서 피해를 떠안고 있던 야하타 씨는 결국 성폭력 피해에서 벗어나기 위해 일을 그만둘 수밖에 없었다.	 프리랜서였기 때문에 산업재해보상도, 고용보험도, 상병수당도 없었다.	 또한 성폭력 피해 과정에서 촬영된 영상이나 사진까지 있어서, 보복성으로 해당 이미지가 유포될 위험도 있었다.	 폭력피해자 상담 지원 현장에서 일하며 자신도 심리치료를 받고, 변호사를 통해 가해자와의 교섭도 진행했지만, 야하타 마유미 씨는 건강이 악화되었다.	 휴직을 했고, 복합성 외상후증후군이라는 진단을 받았다.	 그때, 독일인 친구에게 자신의 경험을 털어놓자 친구는 바로 “마유미의 잘못이 아니야.	”라고 말했다.	 ‘외상후 스트레스 장애’에 이르기까지 성폭력의 피해는 장기간 이어졌다.	 피해를 ‘원만하게’ 처리하고 싶은 순간도 있었다.	 하지만 독일 친구의 주저함 없는 말 한마디에 “세상에는 내가 알고 있는 것과는 다른 감각이 있다”는 생각이 들었다.	 분명 페미니즘을 통해 “당신은 나쁘지 않다”, “목소리를 내도 된다” 같은 메시지는 받아들이고 있다고 생각했다.	 하지만 자신이 성폭력 피해자가 되어 보니, 목소리를 높이거나 아니면 조용히 회복에 힘쓰는 ‘피해자 상’ 두 가지밖에 없다는 생각이 들었다.	 페미니즘은 저 건너편에 있었고 나와의 사이에는 깊은 강이 흐르고 있다.	 어떻게 하면 그 강을 건널 수 있을까.	 건너편은 안전한 곳일까.	  일본에도 전해진 미투 운동에 야하타 씨도 동참했다.	 하지만 자신이 겪은 폭력을 이야기했어도 주위에서 반응이 없어서 고독했다.	 해외에서 온 친구가 유일하게 “I’m proud of you”라고 답해줬다.	 “감동했어요.	 ＃MeToo를 하든 말든, 경찰에 피해를 호소하든 하지 않든, 지금 여기에 있는 것만으로 엄청나게 위대한 일이라고 스스로를 자랑스럽게 여기게 되었어요.	” 2018년, 야하타 씨는 가정폭력/데이트폭력과 성폭력 피해자들을 대상으로 ‘Praise the brave’라는 프로젝트를 시작했다.	 SNS에 넘쳐나는 #MeToo에 ‘#remetoo’라고 답함으로써 성폭력 피해를 용감하게 밝힌 사람들을 고립시키지 않고자 떠올린 프로젝트다.	 폭력 생존자가 비눗방울을 통해 편안한 기분을 느끼는 ‘Bubble off’라는 세레모니도 제안하여 실행하고 있다.	 “비눗방울을 불 때 심호흡을 하게 되고, 비눗방울이 터지는 것은 고통스러운 기분도 영원히 남는 것은 아니라는 이미지와 연결되죠.	 문턱이 높은 페미니즘 관련 행사나 집회가 아니라, 생존자가 강한 결의와 용기를 쥐어짜기 전에 가볍고 따듯한 마음으로 선택할 수 있는 무엇인가가 필요해요.	 제 컨셉은 시대와 우리의 거리를 제로로 만드는 것입니다.	” 작년 9월, 프리랜서 노동자를 대상으로 ‘갑질’ 경험 실태조사 결과를  회견 자리에서 야하타 씨는 자신의 경험을 이야기했다.	 “생존자에게 목소리를 내거나 혹은 내지 않는 선택지가 있음을 알려주기 위해 이야기했습니다.	 제가 어떻게 눈앞의 강을 건넜는지를 자세하게 이야기해두면, 다음 사람이 선택할 수 있을 테니까요.	 페미니스트인 아이들이 자라나고 있습니다.	 제가 알게 된 감각을 뒤따르는 사람들에게 전달하고 싶어요”."
"손정우 송환 불허, 이대로 손 놓고 볼 순 없다","BBC 로라  가 “배고파서 달걀 18개를 훔쳤다고 한 사람에 대해서도 한국 검찰은 1년 6월을 구형했다”고 말하며 손정우에 대한 형량이 얼마나 어처구니 없는지를 지적했듯이, 이번 사태는 한국 검찰과 재판부가 가진 문제를 여실히 드러냈다.	       한국 재판부가 손정우의 송환을 불허하며 든 이유들                 또한 범죄인도법을 개정하도록 목소리 내야 한다고 말하며, 여성의당은 “7월 7일 더불어민주당 송영길 의원이 대표 발의한 범죄인도법 개정안에 찬성하는 국민의견 제출 운동을 적극적으로 알리는 활동을 하고 있다”고 밝혔다.	     하지만 충분하진 않다.	 특히 최근엔 온라인그루밍을 통해 성적 촬영물을 만들게 하는 경우가 많은데 ‘그루밍’은 지금의 법으론 처벌이 어렵다.	 서승희 대표는 “ 법률지원을 할 때, 가해자가 피해자에게 접근하여 성적 촬영물을 받아내는 과정을 아동·청소년 성착취물 ‘제작’으로 간주하여 아청법 제11조 1항에 적용하고자 노력한다”고 전했다."
디지털 플랫폼에서 ‘안전’을 이야기할 때,"PC통신 시절부터 ‘여성혐오’ 일상화, 디지털 성범죄의 토양     “디씨인사이드 게시판에서 아침에 ‘오늘 하루도 잘 보내시라’는 안부인사를 하는 글에 전혀 상관 없는 여성의 사진을 올리는 일들이 있었다.	 여성의 비키니 사진 등 신체가 드러나는 사진을 올리며 아무렇지 않게 여성 신체를 대상화하는 문화가 생긴 거다."
서울시장 성추행 고발인 “법의 심판과 인간적 사과” 원했다,"“그저 인간답게 살 수 있는 세상을 꿈꾼다”는 피해자의 목소리가 대독된 한국여성의전화 교육장에서, 법무법인 온·세상 김재련 변호사의 사건관련 경과 보고에 이어 한국성폭력상담소와 한국여성의전화 활동가들의 연대발언도 이어졌다.	      김 변호사는 상세한 피해사실을 알려드리긴 어렵다고 했지만 “박 전 시장이 피해자에게 셀카를 찍자고 요구하고, 셀카를 촬영할 때 신체적인 밀착을 한 일, 피해자의 무릎에 나 있는 멍을 보고 ‘호~ 해주겠다’고 하면서 피해자 무릎에 자신의 입술에 접촉한 일, 그리고 집무실 안에 있는 내실, 즉 침실로 피해자를 불러서 신체적 접촉한 일, 텔레그램 비밀대화방으로 초대해서 피해자에게 지속적으로 음란한 문자를 전송하고 속옷만 입은 사진을 전송하는 일 등”을 언급했다."
"트랜스젠더 여성, 에디가 사는 동네","내가 트랜스젠더 정체성을 가지고 부모님과 함께 살았던 지역에서 편하게 이웃과 만날 수 있을까?	 원하는 옷을 입을 수 있을까?	 이태원에서는 가능했다.	 내가 사람답게 살 수 있는 곳, 소속감과 편안함을 느낄 수 있는 곳이었다.	       집을 집으로 만드는 건 하나의 건물에서 끝이 아니다.	 그 집을 둘러싼 동네가 집을 안전하고 편안하게 쉴 수 있는 공간으로 만든다.	       이태원에서는 내가 살아가기 위해 필요한 일상들에서 나를 증명해야 할 필요가 덜했다.	 집을 구할 때 부동산 주인이 내 주민등록증을 보더니 “여기에는 그런 분들 많이 산다”며 알아서 집주인에게 잘 말해주셨던 기억이 난다.	 이태원이 아니었으면 나도 쉽게 말할 수 없었을 텐데.	 사실 살면서 ‘본인 증명’을 요구하는 순간들이 참 많다.	 집을 계약할 때도, 군대와 관련해서 서류를 처리할 때도, 하물며 핸드폰을 개통하거나 인터넷을 설치할 때도.	 정신과 진단서, 의료기록서, 호르몬진단서 등 나는 언제나 나를 증명할 서류들을 갖고 있지만, 그래도 이런 순간들에는 늘 묵묵히 견디면서 시간이 빨리 지나가기를 기다리게 된다.	           글에서 쭉 내가 이태원에서 살아 좋은 점을 많이 이야기했지만, 이태원 같은 곳이 아니면 퀴어로서 안전하게 살기 어렵다는 뜻이기도 하다.	 이런 동네가 더 많이 생겼으면 좋겠다.	 아니, 모든 동네가 이렇게 되었으면 좋겠다.	 퀴어, 장애인, 이주민, 외국인 등 다양한 사람들이 다양한 모습으로 살고, 그래서 이렇게 색색깔의 사람들이 우리들 삶에 공존하고 있구나, 자연스럽게 생각할 수 있는 동네 말이다."
