"정총리 ""경찰, 정의와 공정 세우는 인권수호기관 자리매김해야""","정세균 국무총리는 내년에 도입되는 국가수사본부 등 경찰개혁과 관련해 경찰에게 정의와 공정을 바로 세우는 인권수호기관으로 자리매김해야 하는 막중한 임무가 주어졌다고 강조했다.	 정 총리는 30일 오후 서울 서대문구 경찰청을 방문해 경찰개혁 준비사항을 점검하는 자리에서 이같이 밝혔다.	 정 총리는 ""문재인 정부는 특권 없는 공정한 사회를 위해 권력기관 개혁을 최우선 국정과제로 추진해 왔다""고 강조한 뒤, ""최근 관련 입법을 통해 제도개선을 마무리하여 마침내 국민들과의 약속을 지키게 됐다""고 말했다.	 이어 ""권력기관 개혁은 기관간 권한 배분과 조정이 아니며, 권력기관을 국민을 위한 인권수호 기관으로 완전히 변모시키는 것으로, 국민들께서 변화를 체감할 수 있도록 철저한 준비가 중요하다""고 당부했다.	 정 총리는 또 경찰개혁 준비와 관련해서는 ""경찰은 국민께 봉사하는 민생경찰, 방역경찰을 넘어서 정의와 공정을 바로 세우는 인권수호기관으로 자리매김해야 하는 막중한 임무가 주어졌다""고 강조했다.	 이를 위해 ""명실상부한 수사 주체로 새롭게 출범하는 국가수사본부를 중심으로 수사의 전문성을 강화하여 수사의 공정성과 수사역량을 높여 나가기 바란다""고 덧붙였다.	 정 총리는 ""자치경찰제는 지자체와 긴밀한 협조를 통해 사회적 약자를 두텁게 보호하고 주민밀착형 서비스를 적극적으로 제공할 수 있도록 내년 상반기 시범운영기간 동안 최적의 모델을 설계해 주기를 기대하며, 국가 안보에는 잠시의 공백도 있어서는 안되기 때문에 경찰의 안보수사역량을 기르고, 조직체계도 완벽히 구축하는 등 3년후의 대공수사권 이관도 철저히 준비해 달라""고 주문했다.	 정 총리는 또한 ""새로운 경찰상에 대한 기대와 함께 경찰권 비대화에 대한 우려도 만만치 않으므로 인권을 최우선 가치로 삼고 권한남용 방지를 위한 민주적 통제도 대폭 강화해서 우려를 불식시켜 나가야 한다""고 덧붙였다.	 정 총리는 특히 ""지난 12월에 교통근무 중 순직한 부산 해운대경찰서 소속 故 이성림 경사에 대해 마음 깊은 애도를 표한다""며 ""금년도 코로나19 극복 과정에서 헌신적인 모습을 보이며 소임을 다한 경찰관 여러분들에게 진심으로 감사하고, 내년에는 금년보다 형편이 좋아져서 너무 힘들지 않고 적정한 일을 다할 수 있는 2021년이 되기를 바란다""고 말했다.	 이 자리에는 김창룡 경찰청장을 비롯해 송민헌 경찰청 차장과 서영교 국회 행정안전위원장 등이 참석했다.	 경찰청은 수사권 개혁, 자치경찰제, 정보·보안개혁 등 경찰개혁 진행사항을 보고하였으며, 전국 지방경찰청장들도 화상으로 참석했다.	 정 총리는 보고 이후 수사구조개혁단, 자치경찰추진단 등도 방문해 근무자 격려와 기념촬영을 진행했다.	 ▶  / ▶ 염재중저작권자 ⓒ  ."
"법무법인 세종, 김정훈 전 서울지방경찰청장 영입","법무법인 세종이 검경 수사권 조정 본격화를 앞두고 경찰 출신 전문가를 잇따라 영입하며 형사 분야 역량 강화에 나서고 있다.	세종은 22일 김정훈 전 서울지방경찰청장을 고문으로 영입했다고 밝혔다.	 김 고문은 경찰대학를 졸업한 뒤 경찰에 입문해 경기 평택경찰서장, 경기 용인경찰서장, 경찰청 경무담당관실, 서울지방경찰청 정보관리부장, 경찰청 경무인사기획관, 충북지방경찰청장 등을 거쳐 2017년 12월 서울지방경찰청장을 끝으로 약 32년간의 경찰 경력을 마무리했다.	 세종 관계자는 ""김 고문의 풍부한 현장 경험과 노하우가 더해져 향후 검경 수사권 조정 등으로 달라지는 법률 수요에 더욱 민첩하게 대응할 수 있게 되었다""며 ""경찰 수사 단계에서부터 실질적인 변호인의 조력이 중요해진만큼 앞으로도 경찰 수사에 전문성 있고 실력 있는 경찰출신 변호사를 계속 보강해 나갈 예정""이라고 말했다.	 세종은 2020년 수원남부경찰서 간부 출신의 김주형 변호사를 영입하여, 기존 경찰출신 변호사들과 함께 '경찰팀'을 출범시킨 바 있다.	 특히 지난해 김진태 전 검찰총장에 이어 올해에는 여성 최초로 서울중앙지검 차장검사를 역임한 이노공 전 성남지청장과 서울중앙지검과 법무부 검사를 역임한 박기태 변호사, 뉴욕주 검찰청 금융범죄부 검사 출신인 장우진 외국변호사를 영입해 지속적으로 경쟁력을 강화하고 있다.	또한 형사 사건의 핵심 경쟁력으로 떠오른 디지털 포렌식 분야 강화를 위해 올해 초 대검찰청 과학수사 포렌직 분석관 출신인 성기범 전문위원을 영입하고 관련 시설을 대폭 확대하는 등 전방위적 노력을 기울이며 기업에 대한 컴플라이언스 자문에서부터 조사 및 수사 대응까지 형사 분야 토탈 서비스를 제공하고 있다.	▶  / ▶ 염재중저작권자 ⓒ  ."
"바이든 ""시위가 아닌 내란…트럼프 나와 중단 촉구해라""","◆…도널드 트럼프 미국 대통령 지지자들이 6일 워싱턴DC 의사당에 난입해 원형 홀에서 성조기를 흔들고 있다.	 조 바이든 대통령 당선인이 워싱턴DC 의사당에서 벌어진 트럼프 지지자들의 총격 난입 사태에 “시위가 아닌 내란”이라고 비난하며 트럼프 대통령에게 TV에 나와 지지자들의 시위를 중단시킬 것을 촉구했다.6일 파이낸셜타임스에 따르면, 시위대 수천 명이 이날 바이든 당선인의 승리 인증에 항의하기 위해 미국 워싱턴DC 의사당 내부로 난입했다.	분노한 시위대가 경찰을 밀어내고 의사당을 덮쳐 내부를 휩쓸었으며 이에 국회의사당 경찰이 국회의원, 직원, 기자들을 긴급히 대피시켰다.	바이든 당선인은 생방송 연설에 나와 “미국 민주주의가 전례 없던 공격을 받고 있다.	 의사당에서 나타난 혼란한 모습은 진정한 미국을 반영하는 것이 아니다.	 이것은 반대가 아니라 무질서이자 혼란이며 난동에 가깝다.	 지금 당장 끝내야 한다”고 강도 높게 비판했다.	이어 “트럼프 대통령이 선서를 이행하고 헌법을 지키기 위해 이 공격의 중단을 요구해야 한다.	 이는 시위가 아니라 내란이다”라고 덧붙였다.	한편, 시위 해산을 위해 주 방위군과 연방요원을 투입했다고 백악관이 밝혔다.	 	▶  / ▶ 강대경저작권자 ⓒ  ."
"흑인 유권자 대거 참여, ""反트럼프"" 표 늘어날까","26일 미국 대선 사전투표에 참여한 유권자가 5천800만 명을 넘어섰다.	 이는 4년 전 2016년 대선 당시의 전체 사전투표수를 뛰어넘은 것이다.	 이 가운데 전반적으로 민주당을 지지하는 흑인 층의 투표율 또한 지난 선거에 비해 크게 늘어 바이든 민주당 후보에게 유리한 상황이다.	 11월 3일 대선까지 8일 남은 현재 민주당이 앞서고 있지만, 공화당 또한 격차를 줄이고 있다.	NBC는 26일 사전투표가 이 추세로 간다면 11월 3일 이전에 투표자 수 최대 1억 명을 기록할 수도 있는데, 이는 2016년 사전투표자 수인 약 5천만 명보다 2배 많은 것이라고 보도했다.	 중요한 경합 주 미시간주와 위스콘신주는 올해 총 사전투표율이 2016년 전체 사전투표의 두 배 가까이 증가했다.	트럼프 대통령은 2016년 펜실베이니아와 미시간, 위스콘신주에서 근소한 차이로 승리하면서 백악관에 입성했다.	여론 조사 결과 바이든 민주당 후보가 사전투표의 표심을 압도적으로 가져갔지만 트럼프는 아직 투표하지 않은 후보들에게서 상당한 지지율을 가지고 있는 것으로 나타났다.	한편, 26일 CNN은 현재까지 흑인 유권자들이 4년 전 대선에 비해 엄청난 기세로 투표에 참여하고 있다고 보도했다.	 워싱턴포스트는 흑인 투표율이 2016년 대선 당시 20년 만에 처음으로 하락했다고 보도했다.	 2016년 대선은 흑인인 버락 오바마 전 대통령을 대신해 힐러리 클린턴 민주당 후보로 출마한 선거였다.	여론조사기관 카탈리스트에 따르면 2016년 선거 당시 메릴랜드주에서 1만8천명이 사전투표에 참여했지만 올해 19만명이 이미 투표해 10배 가량 증가했다.	 조지아주에서는 29명에서 60만1천명으로 2배 이상으로 늘었으며 캘리포니아주는 올해 30만명이 사전투표에 참여해 2016년보다 약3배로 늘었다.	CNN과의 인터뷰에서, 흑인 유권자들은 인종차별과 경찰의 잔혹성에 위협을 느끼고 있으며 백인 우월주의에 대해 비난하기를 주저한 대통령에 대해 좌절감을 느낀다고 말했다.	 또한, 대법원이 오바마 케어를 기각할 경우 의료혜택을 잃게 될 것을 우려한다고 말했다.	 많은 흑인 유권자들은 이번 선거가 그들의 생애에서 가장 중요한 선거처럼 느껴진다고 말했다.	 캔자스의 한 흑인 유권자는 ""우리에게는 너무 많은 거짓말을 하는 인종차별주의 대통령이 있다""고 말했다.	하지만 25일 AP통신에 따르면 현재 민주당이 앞서고 있지만, 공화당 또한 격차를 빠르게 줄이고 있다.	 공화당 유권자들도 도널드 트럼프 대통령의 '근거 없는' 우편투표 사기에 대한 경고에 일찌감치 투표장에 모습을 드러내기 시작했다.10월 15일, 투표 등록자들 중 51%가 민주당, 25%가 공화당이었지만 25일 공화당이 31%로 늘어나며 격차가 줄어들었다.	 AP통신은 사전투표 통계는 불완전한 지표라며 ""어느 당이 선두를 달리고 있는지를 보여주는 불완전한 지표다.	 이 자료는 정당등록만 보여주며 실제 어느 후보에게 투표했는지는 나타나지 않는다.	 대부분의 공화당 유권자들은 선거일에 투표할 것으로 예상된다""고 전했다.	 ▶  / ▶ 정수민저작권자 ⓒ  ."
"백신 맞고 사망한 고교생의 형 ""자살이라니…억울함 풀어주세요""","백신 맞고 사망한 17세 고등학생의 부검 결과 독극물이 검출되며 자살로 수사가 진행 중인 가운데 유족은 청와대 국민청원 게시판을 통해 억울함을 호소했다.27일 청와대 국민청원 게시판에는 '제 동생의 죽음의 억울함을 풀어주세요'라는 글이 게재됐다.	자신을 최근 이슈가 된 독감을 맞고 이틀 뒤 사망한 인천의 17세 고등학생의 형이라고 밝힌 청원인은 “제 동생은 10월 14일 12시경 독감 백신을 맞고 16일 날 오전에 사망한 채로 자택에서 발견됐다”고 말했다.	그는 “18일 날 오전에 국과수에서 부검이 진행되었고 한 달 정도 걸릴 것이라고 하였는데 일주일도 안돼서 결과가 나왔고 국과수에서는 독감과 관련일수가 전혀 없다는데 사망에 영향을 끼치는 정도가 하나도 없다는 것은 믿을 수가 없다”고 털어놨다.	청원인은 “독감주사를 맞고 난 다음날 몸에 힘이 없고 기운이 없다며 저녁조차 먹지 않은 동생인데 국과수 검수결과 치사량의 독극물이 위에서 다량 검출되었다는 이유로 해당 사례는 독감백신과의 상관관계를 조사하지 않고 자살 혹은 타살로 사건을 종결을 지으려한다”고 주장했다.	또한 “19일 날 갑자기 질병관리청에서 '인천 17세 고등학생 독감을 맞은 후 사망' 이라는 브리핑을 유족의 동의 없이 했고 저는 브리핑 사실을 모르고 다음날 삼우제를 가기위한 준비를 하던 중 삼촌께서 기사를 봤냐고 하며 기사를 보여주시는데 당황스러웠고 담당 형사분 또한 브리핑에 관해 일절 듣지 못했다고 했다”고 밝혔다.	그러면서 “이후 질병관리청 대변인과의 통화에서 이에 대한 사과를 받았으나 다음 날 경찰이 추가 조사를 한다고 집에 와서는 국과수로부터 사인을 들었다며 동생이 평소에 자살을 할 징후가 있었는지, 독극물을 복용했는지에 대해 수사를 하고 동생의 책상위에 있던 물병의 행방을 물어 어머니가 버렸다고 하니까 아파트 재활용쓰레기장을 찾아서 19개의 **** 물병을 찾았는데 그중에 한 개의 페트병에서 ****이 검출되었다고 한다”며 “그것이 저희 집에서 나왔는지도 확실하지 않다”고 말했다.	이어 “경찰이 동생의 행적을 조사한 결과 독서실의 폐쇄회로, 아파트의 cctv, 학교 등에서 평소와 이상한 점을 찾지 못하였고 죽기전날 독서실에서 집에 오는 장면에서도 친구와 웃으며 대화하면서 왔다는데 경찰은 동생의 사인이 국과수를 통해서 나왔다고 하며 자살, 타살, 사고사 셋 중 하나라며 타살과 사고사가 아닌 거 같아서 자살의 비중을 두고 수사를 하고 있다고 한다”며 억울함을 호소했다.	끝으로 그는 “학교에서도 성적도 전교 상위권이고 대학교 입시도 거의 다 마치고 대학 생활을 준비하며 성실하게 공부만 한 제 동생이 자살로 사건이 종결된다면 너무 억울한 죽음이 될 것 같다”며 “제 하나뿐인 동생의 억울함을 풀어주고 싶다”고 말했다.	한편 앞서 지난 26일 국과수에서 부검 결과를 통보 받은 질병청은 “사망과 백신 접종간의 인과성이 매우 낮다”고 발표한 바 있다.	안녕하세요.	 저는 최근에 이슈가 된 독감을 맞고 2일후에 죽은 인천 17세 고등학생의 형입니다.	 제 동생은 10월 14일 12시경 독감 백신을 맞고, 16일날 오전에 사망한채로 자택안에서 발견되었습니다.18일날 오전에 국과수에서 부검이 진행되었고 한달 정도 걸릴 것이라고 하였는데, 일주일도 안돼서 결과가 나왔습니다.	 국과수에서는 독감과 관련일수가 전혀 없다는데, 사망하는데 영향을 끼치는 정도가 하나도 없다는 것은 믿을 수가 없습니다.	 독감주사를 맞고 난 다음날 몸에 힘이 없고 기운이 없다며 저녁조차 먹지 않은 동생이었습니다.	 국과수 검수결과 ****이 치사량으로 위에서 다량 검출됐다고 합니다.	 이에 독감백신과의 상관관계를 조사하지 않고, 자살 혹은 타살로 사건을 종결을 지으려 합니다.	 19일날 갑자기 질병관리청에서 '인천 17세 고등학생 독감을 맞은 후 사망' 이라고 브리핑을 유족의 동의 없이 갑자기 하였습니다.	 저는 브리핑 사실을 모르고 다음날 삼우제를 가기위한 준비를 하던 중 삼촌께서 기사를 봤냐고 하며 기사를 보여주시는데, 당황스러웠습니다.	 담당 형사분 또한 브리핑에 관해 일절 듣지 못했다고 하였습니다.	경찰에서 나온 후 집에 올라가는데 여성분이 공동현관을 제가 들어올 때 같이 들어오고, 엘리베이터를 타는데 층을 안누르시길래 제가 몇층 가시냐고 하니까, 같은 층을 간다고 하셨습니다.	 층에 도착 후에 도어락을 누르는데, 갑자기 그 여성분이 ** 라고 하면서 명함을 주시더라고요.	 도대체 어떻게 저희 집 주소를 알고 찾아왔는지 모르겠습니다.	기자를 쫓아내기 위해 경찰을  가 왔었다고 신고를 했습니다.	 브리핑이 왜 진행된 것이고, 유족들에게 왜 동의를 구하지 않았는지에 대해 알고싶어 인천시 역학조사관부터 시작해서 질병관리청까지 전화를 하였습니다.	담당자분들이 다 퇴근해서 다음날 연락준다는 것을 듣고, 다음날 동생의 삼우제를 다녀온 뒤에 연락을 받았습니다.	 질병관리청의 대변인이라는 분이였고, 질병관리청까지 보고된 것은 행정적인 절차라고 하였습니다.	 그러면서 동의없이 진행된 브리핑에 대해 사과하시고, 사인이 독감이면 나라에게 책임지고, 사인이 독감이 아니여도 피해보상을 한다는 것과 질병관리청 청장님의 사과를 받는 것을 구두로 약속 받았습니다.	그런데 대변인과의 통화한 그날 저녁 담당형사로부터 연락이 왔습니다.	 집에와서 추가로 수사를 진행해도 되냐고 연락이 왔습니다.	 그 당일은 너무 힘들어서 다음날 연락을 달라고 했음에도 불구하고, 저녁9시 까지 계속 전화가 왔습니다.	 그래서 다음날 경찰들이 집으로 왔습니다.	 그러면서 국과수로부터 사인을 들었다며 동생이 평소에 자살을 할 징후가 있었는지, ****을 복용했는지에 대해 수사를 하고, 데스크탑과 아이폰과 아이패드를 가지고 갔습니다.	 또한 동생의 책상위에 있던 물병의 행방을 묻고, 어머니가 버렸다고 하니까, 아파트 재활용쓰레기장을 찾아서, 19개의 **** 물병을 찾았는데, 그중에 한 개의 페트병에서 ****이 검출되었다고 합니다.	 그런데 그것이 저희 집에서 나왔는지도 확실하지 않다고 합니다.	 그 다음날 경찰은 집에있는 모든 **** 물과 소금, 설탕 등을 가져갔습니다.	 경찰이 동생의 행적을 찾아서 독서실의 폐쇄회로 텔레비전과, 아파트의 cctv를 찾아보았다고 합니다.	 동생 친구들과 학교에 가서 수사를 진행한 결과, 평소에 이상한 점을 찾지 못하였다고 합니다.	 죽기전날 독서실에서 집에 오는 장면에서도 친구와 웃으며 대화하면서 왔다고 합니다.	그런데 경찰은 동생의 사인이 국과수를 통해서 나왔다고 하며, 자살, 타살, 사고사 셋중 하나인데, 타살과 사고사가 아닌거 같아서 자살의 비중을 두고 수사를 하고 있다고 합니다.	평소에 제 동생은 우한폐렴을 걸릴수 있다고 하며, 마스크도 kf80 이상의 마스크만 착용하고, 물병 같은 것도 재사용하면 바이러스가 증식된다고 하면서 재사용 하지 않고, 비위생적인 것은 섭취하지 않습니다.	 또한 혹시 코로나에 걸릴까봐, 이동경로도 다 체크하고 다녔습니다.	학교에서도 성적도 전교상위권이고, 대학교 입시도 거의 다 마치고, 대학 생활을 위해 필요한 평소에 관심을 가지던 전자기기 등을 알아보며 심리적인 압박감이나 스트레스가 최소인 상태였습니다, 평소 행동반경은 집, 독서실, 학교를 크게 벗어나지 않습니다.	 자살을 할 이유가 전혀 없습니다.	장례식장에서, 동생이 중고등학교 시절, 따돌림을 당하던 친구들을 도와줬는데, 그 친구들이 장례식장에 와서 이야기를 해주었고, 다른 친구들의 공부를 알려줄 정도로 심성 또한 착하였습니다.	 이렇듯 타살의 이유도, 부검결과 타살의 상흔도 없었습니다.	시험기간이 아닐 때도 독서실을 다니며 성실하게 공부만 하는 제 동생이 자살로 사건이 종결된다면 너무 억울한 죽음이 될 것 같습니다.	제 하나뿐인 동생의 억울함을 풀어주고 싶습니다.	▶  / ▶ 김은지저작권자 ⓒ  ."
"총리실, 조세심판원 정기감사서 ""전관예우""도 들여다 봐","국무총리실이 산하 조직인 조세심판원의 업무 전반에 대해 자체 정기감사를 실시하면서 조세심판원에서 퇴직한 공직자가 세무대리인으로 나선 특정 사건의 인용률까지 감사한 것으로 전해졌다.	 총리실, 조세심판원 등 관계자에 따르면 총리실 법무감사담당관실은 지난 9월 중순 심판원을 대상으로 사건배정·처리부터 회계, 복무 등 업무 전반에 대해 종합감사를 실시한 것으로 전해졌다.	 심판원 관계자는 ""총리실은 통상 2~3년 주기로 자체 감사를 실시하고 있는데, 이번 심판원에 대한 감사도 같은 성격""이라고 말했다.	당시 감사직원들이 심판원 출신들이 대리인으로 나선 사건의 인용비율을 요구한 것으로 전해졌다.	 심판원이 총리실 산하로 배속된 이후 단 한 차례도 들여다보지 않았던 영역이었다.	 심판원 내부사정에 밝은 정부 관계자는 ""총리실이 전-	현직 유착을 의심한 것으로 보여진다""고 말했다.	이 과정에서 심판원은 개인정보보호법에 저촉되는 사안이기에 해당 자료를 공개하지 않은 것으로 알려졌다.	특히 조세불복 사건의 처리를 맡는 상임·비상임심판관들에게 사건이 어떤 방법으로 배정되는지에 대해서도 들여다 본 것으로 전해졌다.	 특정 조세심판관에 이해관계가 있는 사건이 배정되는 것 아니냐는 일각의 의심 때문에서다.	 현재 심판원에선 각 심판부별 비상임심판관 4명 중 심판관회의에 참석할 비상임심판관 2명을 1주 전에 무작위 선정해 사건 심리를 진행하고 있다고 밝히고 있다.	 지난해 심판원은 '감사 악몽'에 시달린 바 있다.	 당시 전·현직 심판원장의 특정업무경비 유용 의혹으로 감사원 감사부터 경찰 수사까지 진행된 사안인데, 해당 건에 대해선 '무혐의'로 결론이 났다.	 하지만 연이은 외부기관들의 '간섭'으로 심판원의 업무가 정상궤도에 오르기까진 꽤 시간이 걸렸다.	 총리실에서도 자체 감사를 실시한다는 계획이었지만, 수사가 진행되는 사안이라는 점을 감안해서 감사 계획을 올해로 미룬 것으로 알려졌다.	 총리실 관계자는 ""감사는 마무리에 있으며 평가 작업이 진행 중에 있다""고 말했다.	 ▶  / ▶ 강상엽저작권자 ⓒ  ."
"교촌치킨, 보이스피싱 검거 기여 직원에 ‘교촌 드림히어로’ 표창","치킨 프랜차이즈 교촌에프앤비가 보이스피싱 조직원 검거를 도운 교촌치킨 배달 직원에게 '교촌 드림히어로' 표창 및 격려금을 전달했다고 27일 밝혔다.	 부산지역에 위치한 교촌치킨 배달 직원 A군의 룸메이트인 B군은 지난 9월 금융기관을 사칭한 보이스피싱 의심 전화를 받았다.	 A군 및 친구들은 보이스피싱범의 '저금리 대환대출을 해줄 테니 기존 대출금 800만원을 상환하라'는 요구에 속은 척 빈 쇼핑백을 들고 접선 장소로 나가 돈을 받으러 온 조직원을 붙잡아 경찰에 넘겼다.	 부산 남부경찰서는 보이스피싱 조직원 검거에 큰 공을 세운 A군 및 친구들에게 지난 달 표창장을 수여했다.	 이에 교촌치킨은 사회에 귀감이 되는 용기있는 선행을 한 A직원에게 '교촌 드림히어로'로 선발해표창 및 격려금을 전달했다.	 한편, '교촌 드림히어로'는 정의실현, 기부천사 두 부문에서 사회의 모범이 된 가맹점 직원들을 격려하기 위해 마련된 사회공헌제도이다.	 사회에 귀감이 되는 정의로운 행동을 실천한 직원을 대상자로 선발한다.	 선발기준은 점주의 추천이나 온라인 SNS 등 미디어 매체에서 소개되는 활약을 통해서도 선발될 수 있다.	 비정기적으로 수시 접수를 받고 있으며 최종 선발자에게는 표창장과 격려금이 전달된다.	교촌 관계자는 “보이스피싱범을 직접 검거해 경찰에 신고한 용기있는 선행을 한 배달 직원의 소식을 듣고 자랑스러웠다”며, “앞으로도 전국 곳곳에서 사회의 귀감이 될 수 있는 다양한 선행을 실천하는 교촌의 드림히어로들을 지속 발굴해 격려하겠다”고 말했다▶  / ▶ 박병우저작권자 ⓒ  ."
무면허로 전동 킥보드 운전한 고교생 사망…규정은 오히려 완화,무면허로 공유형 전동 킥보드를 타다가 택시와 충돌해 크게 다친 고등학생 2명 가운데 1명이 치료를 받던 도중 끝내 숨졌다.27일 인천 계양경찰서에 따르면 지난 24일 오후 9시 10분께 고등학생 A 군과 B 양은 계양구청 인근 도로에서 전동 킥보드를 타고 달리다가 60대 남성 C 씨가 몰던 쏘나타 택시와 충돌했다.	이 사고로 A 군과 B 양은 크게 다쳐 병원으로 옮겨졌으나 3일 만인 이날 오전 A 군은 끝내 숨을 거뒀고 B 양은 중상을 입고 치료를 받고 있다.	 사고 당시 A 군 등은 무면허 상태에 안전 장비를 제대로 착용하지 않은 것으로 알려졌다.	경찰은 인근 폐쇄회로와 도로교통공단의 분석 등을 통해 정확한 사고 경위를 조사 중이다.	한편 현행법에서는 전동 킥보드는 도로교통법상 오토바이와 유사한 '원동기장치 자전거'로 분류돼 이용하려면 운전면허가 필요하다.	그러나 문제는 도로교통법에 관한 법률이 개정돼 올해 12월 10일부터는 만 13세 이상이면 별도의 운전면허 없이 전동 킥보드 대여와 운전이 가능해 진다.	올해 상반기 전동킥보드 관련 교통사고는 886건으로 지난해에 비해 2.6배에 달하는 상황에서 이용 규정은 오히려 완화되고 있어 일각에서는 제도적 정비가 필요하다는 우려의 목소리가 커지고 있다.	▶  / ▶ 김은지저작권자 ⓒ  .
"홍준표 ""윤석열 자가당착 말고 당당하게 정치판 오라""","홍준표 무소속 의원은 23일 국회 법제사법위원회 대검찰청 국정감사에서 윤석열 검찰총장이 추미애 법무장관의 수사지휘권 발동에 반박한 것과 대권도전 가능성을 내비친데 대해 ""자가당착""이라고 지적한 뒤 ""사퇴하고 당당하게 정치판으로 오라""고 촉구했다.	 홍 의원은 이날 자신의 SNS 글을 통해 먼저 윤 총장의 추 장관 수사지휘권 조치에 반발에 대해서 ""상식에 어긋나는 어처구니없는 장관의 수사지휘권 발동을 두 번이나 수용하고도, 대통령이 아직도 신임하고 있다는 것을 이유로 계속 총장을 하겠다는 것은 자가당착""이라고 지적했다.	검사 출신인 홍 의원은 또 ""때 아닌 '부하' 논쟁""이라며 ""참 법조인답지 않은 말들을 하고 있다""고 추 장관과 윤 총장을 싸잡아 비판했다.	 그는 또 ""법무부는 유일하게 장관급이 둘이나 있는 특이한 조직이다.	 법무부 장관과 장관급인 검찰총장이 그것이다""라고 설명했다.	이어 ""경찰은 행안부 소속이지만 예산과 인사가 독립된 차관급인 경찰청장을 정점으로 한 조직으로 이루어져 있지만, 검찰은 경찰과 달리 예산과 인사권을 법무부 장관이 가지고 있고 특히 인사에서는 관례상 총장과 협의를 하곤 있지만 이는 장관의 전권""이라며 ""장관은 구체적인 사건에 관해서는 일선 검찰을 지휘 할 수가 없고 총장을 통해서 구체적인 사건을 지휘할 권한을 갖는다""고 부연설명했다.	그러면서 ""장관과 총장의 관계는 군대처럼 부하 개념이 아닌, 특이한 지휘·복종 구조를 갖고 있다""며 ""같은 편끼리 서로 영역 싸움을 하는 것도 한두 번이지, 아무런 명분 없이 이전투구를 하는 것은 보는 국민만 짜증나게 한다""고 추 장관과 윤 총장을 싸잡아 비판했다.	그는 2005년 당시 천정배 법무부 장관의 강종구 교수 불구속 수사 지시가 부당하다면서 그를 구속 기소하고 사표를 낸 김종빈 검찰총장 사례를 들면서 윤 총장에게 사퇴를 촉구했다.	홍 의원은 ""2005년 강종구 교수 국가보안법 사건에서 천정배 법무부장관이 불구속 수사 지시를 김종빈 총장에게 했으나 김 총장은 이를 거부하고 강 교수를 구속 기소했고, 법조인답게 부당한 지시라도 장관에게 항명했으니 사표를 제출하고 검찰을 떠났다""며 ""추미애 장관의 연이은 수사 지휘권 발동이 부당하다고 생각했다면 당당하게 이를 거부했어야 한다""고 윤 총장을 처신을 잘못됐음을 지적했다.	그러면서 ""둘 다 물러나라""며 ""추 장관은 이제 그만 정계 은퇴하고 윤 총장은 사퇴하고 당당하게 정치판으로 오라.	 그게 공직자의 올바른 태도""라고 윤 총장에게 총장직 사퇴를 촉구했다.	 아울러 ""잘 모시겠다""고도 비꼬기도 했다.	▶  / ▶ 허헌저작권자 ⓒ  ."
"Sh수협은행 포항지점, 보이스피싱 예방 공로로 감사장 받아",Sh수협은행은 23일 포항지점 직원들이 남다른 눈썰미와 빠른 대처로 기지를 발휘해 보이스피싱 피해를 당한 고객의 소중한 자산을 지켜냈다고 밝혔다.	수협은행 포항지점에 따르면 지난 16일 지점을 방문한 한 고객이 정기예금 해지를 요청하면서 불안한 모습을 보였다.	 당시 고객을 응대한 A직원은 “허리통증 치료를 위한 병원비 용도로 예금 전액해지를 요청했다”며 치료비용에 해당하는 금액만큼 일부해지를 권해드리고 ”경찰‧검찰을 사칭하거나 심지어 가족인 척 연락해 돈을 송금하라는 보이스피싱 사례가 많다“고 설명을 드렸다.	이에 깜짝 놀란 고객은 ”사실 의심쩍은 국제전화를 받았으며 송금이 끝날때까지 통화를 끊지말라는 지시도 받았다“고 말했다.	 보이스피싱 상황임을 인지한 A직원은 거래를 지연시킨 후 업무책임자와 동료들에게 해당내용을 전파해 112에 신고토록 했다.	비록 현장에서 범인을 검거할 수는 없었지만 직원들의 기지와 빠른 대처로 고객의 자산이 인출되는 상황은 막을 수 있었다.	 포항북부경찰서는 A직원과 포항지점 직원들의 이러한 공로를 인정해 지난 21일 감사장을 전달했다.	A직원은 “우연인지 모르겠지만 얼마전 최근 보이스피싱 기법과 예방대책에 대한 교육을 이수했다”며 “앞으로도 고객의 소중한 재산을 지킨다는 책임감과 사명감을 가지고 업무에 임하겠다”고 말했다.	 ▶  / ▶ 김대성저작권자 ⓒ  .
