길 터주고 사진 찍고…느슨했던 경찰 부실대응 논란,"민주주의의 상징인 미국 의사당이 어떻게 이렇게 허술하게 뚫릴 수 있을까 전 세계가 가진 의문인데요.	  시위대 난입을 막아야 할 경찰이 이렇게 시위대와 셀카까지 찍은 사실이 공개되면서, 경찰의 부실대응이 도마에 올랐습니다.	  바이든 대통령 당선인은 시위대가 백인이라 봐준 것 아니냐는 의혹을 제기했습니다.	   입니다.	  시위대와 경찰이 팽팽히 맞서던 중, 한 남성이 경찰 사이를 뚫고 돌진합니다.	   곧이어 수백 명이 달려들고 경찰들의 대열은 맥없이 무너집니다.	  시위대 환호성이 이어집니다.	   “USA!	 USA!	”   현장 상황을 전하던 취재진도 공격 대상이었습니다.	  취재진 :	 “우리 지금 떠나고 있잖아요!	” 시위대 :	 “가짜뉴스는 꺼져!	”   카메라를 목에 걸고 있는 남성을 둘러싸 몰아세우더니 욕설을 하며 난간 밑으로 떨어뜨리는 아찔한 상황도 펼쳐집니다.	   의사당 난입 사태 속에 숨진 사람은 5명으로 늘었습니다.	   시위대를 진압하던 경찰관 1명도 목숨을 잃었습니다.	   밀집한 곳에서 침방울이 튈 정도로 고성이 오가지만 시위대는 마스크를 쓰지 않았습니다.	   “우린 우리의 자유를 위해 싸우는 겁니다!	”  “그들은 우리 표를 뺏어갈 수 없어요!	” 경찰의 부실한 대응은 도마에 올랐습니다.	   시위대를 막아야 할 경찰은 시위대와 나란히 서서 사진을 찍고 슬그머니 펜스까지 열어주며 들어오라는 손짓을 보냅니다.	   시위대가 대부분 흑인이 아닌 백인 남성이었던 만큼 대응이 강력하지 않았다는 비난도 나옵니다.	   “어제 폭동을 일으킨 시위대가 ‘흑인 목숨도 소중하다’ 관련 단체였다면 아마도 의회를 습격한 이들과 같은 대우를 받지 못했을 것입니다.	”   난입 사태를 주도한 트럼프 대통령 지지자들의 정체도 드러났습니다.	   펠로시 하원의장 책상 위에 발을 올린 시위대는 총기 옹호단체의 리더였고 미국 국기모양으로 얼굴을 칠한 채 의사당을 휘저은 사람은 극우 음모론 단체 소속이라고 외신은 전했습니다.	 극우 성향의 트럼프 지지자들은 신종 SNS를 이용해 조직과 난입을 사전에 준비한 것으로 알려졌습니다.	    뉴스 유주은입니다.	      영상편집 :"
연차 내고 금은방 턴 경찰관…범행 뒤에도 태연히 근무,"이렇게 온 국민이 코로나 때문에 고통을 겪고 있는 시기,  현직 경찰관들이 일탈 행위를 벌였습니다.	  금은방에서 귀금속을 훔치고, 특별방역 기간에 노래방에서 술을 마시기도 했습니다.	   입니다.	모자와 마스크로 얼굴을 가린 남성이 진열장 유리를 깨고 가방에 귀금속을 담습니다.	  한 손으로 주워 담는 게 성에 차지 않았는지,  양 손으로 긁어담기도 합니다.	  귀금속 2천5백만 원어치를 훔쳐 달아난 CCTV 속 남성,  광주 서부경찰서 소속 임모 경위였습니다.	   ""일반 시민도 아니고 경찰이었다고 하니까 조금  생각은 들긴 하는데…""  임 경위는 범행을 위해 이틀간 휴가도 냈습니다.	  경찰 수사를 피하기 위해 차량 번호판을 가렸고,  전남 장성과 영암 등 CCTV 감시망이 느슨한 외곽지역을 통해 도주했습니다.	   ""번호판을 가리고 저녁 시간대만 운행했기 때문에 차량 특정이 매우 어려웠습니다.""	  임 경위는 범행 뒤에도 파출소에 출근해 태연히 근무하기도 했습니다.	  완전 범죄를 꿈꿨지만,  경찰은 1000여 대의 CCTV 영상을 분석한 끝에 범인을 특정했습니다.	  임 경위는 억대의 빚 때문에 범행을 저질렀다고 자백했습니다.	  경찰은 도난당한 귀금속을 모두 회수하고 임 경위에 대해 구속영장을 신청할 예정입니다.	  지난달 31일 밤 10시 40분, 충남 보령경찰서 소속 간부가 지인들과 노래방에서 술판을 벌이다 적발됐습니다.	  당시는 오후 9시부터 다음날 오전 5시까지 노래방 영업이 금지된 연말연시 특별방역대책 기간이었습니다.	  경찰은 이 간부에 대해 감찰을 벌이고 있습니다.	    뉴스 공국진입니다.	     영상취재:	 박영래 이기현 영상편집:"
"경찰청장, 이용구 특가법 미적용 논란에 “문제 없다”","이용구 법무부차관의 택시기사 폭행 사건과 관련해 여러 의혹이 제기돼 왔는데요.	  경찰청장이 입장을 내놨습니다.	  “종합적으로 봐도, 아무 문제없다”는 겁니다.	  청와대에 사건을 보고한 적도 없다고 했는데요.	  이제 검찰의 손에 달렸다는 분석입니다.	   입니다.	 이용구 법무부 차관이 임명된 건 지난 2일입니다.	  택시기사를 폭행한 지 한 달이 채 안 된 시점이었습니다.	 김창룡 경찰청장은   간담회에서 ""상급기관이나 청와대에는 보고된 적 없다""고 밝혔습니다.	 경찰 고위 관계자도 이 차관의 법무부 법무실장 경력을 담당 경찰관이 몰랐다며 '봐주기 수사' 논란에 선을 그었습니다.	 이 차관이 정차 중 기사를 폭행한 거라 특정범죄가중처벌법 대신 단순 폭행죄를 적용한 것에도 문제 없다는 입장입니다.	 경찰 고위관계자는 ""폭행 당시 시동과 미터기가 켜져 있었다는 건 참고 사항일 뿐 운행 중으로 볼 수 없다""고 했습니다.	  또, 사건 발생 장소가 일반 도로로 표현됐지만 아파트 경비실 입구여서 '정차' 상태로 볼 수 있다고 밝혔습니다.	  하지만 이같은 상황을 운행 중으로 봐야한다는 의견도 법조계에서 상당해, 경찰 설명은 여전히 논란입니다.	  운전 기사에 대한 폭행 처벌을 강화하려는 취지로 특가법이 개정된 점을 감안하면, 경찰이 내사를 종결할 게 아니라 입건한 뒤 불기소 의견으로 검찰에 사건을 넘겼어야 한다는 지적도 나옵니다.	 경찰에선 검찰이 고발건을 수사하고 있다며 재수사 여부는 언급하지 않았습니다.	    뉴스 박건영입니다.	    영상편집 :"
“법조윤리 이해 부족”…재판부 비판한 尹징계위원장,"문 대통령은 법원 결정 존중한다며 사과까지 했지만, 추미애 장관, 침묵을 지키고 있습니다.	그런 상황에서, 추 장관 대신 징계위원장을 맡았던 정한중 교수가 입장을 밝혔는데요.	 법조윤리에 대한 이해가 부족한 거다.	 법 규정을 무비판, 무의식적으로 적용한 거다.	 징계위원회가 내린 결정을 뒤집었다는 이유로 사법부를 강하게 비판했습니다.	 이번엔  입니다.	윤석열 검찰총장에 대한 정직 2개월 징계를 의결할 때 징계위원장 직무대리였던 정한중 교수.	  위원회가 결정한 징계 수위에 대해 질책을 달게 받겠다고 했습니다.	   ""이번 양정에 대해서 국민들의 질책은 달게 받도록 하겠습니다.""	  하지만 그제 서울행정법원 재판부가 징계 효력 중지를 결정하자, 이틀 만에 작심 비판에 나섰습니다.	 SNS에 글을 올려 재판부 결정에 대해 ""심히 유감""이라고 했습니다.	  재판부가 일반 국민에게 적용하는 민·형사 소송 규정을 행정 조직의 구성원 징계 절차에 '무비판·무의식적'으로 적용했다고 강도 높게 비판했습니다.	 퇴임 후 대국민 봉사 방법을 고민해 보겠다는 윤 총장의 국회 발언 등을 정치적 중립성 위반이 아니라고 본 재판부 판단도 문제 삼았습니다.	 부적절한 행동뿐 아니라, 의심받는 행위도 하지 말라는 게 법조 윤리의 기본이라며, 재판부의 법조 윤리 이해가 부족하다고 한 겁니다.	  징계위원 기피신청 처리 과정에서 의결정족수 미달을 절차상 문제로 지적한 재판부의 판단에 대해서도  징계위는 검사징계법에 따랐다는 취지로 반박했습니다.	    뉴스 정현우입니다.	    영상편집 :"
‘박원순 마지막 통화’는 고한석 전 비서실장,"■ 방송 :	   뉴스 TOP10 ■ 방송일 :	 2020년 7월 15일 ■ 진행 :	 김종석 앵커■ 출연 :	 김태현 변호사, 이도운 문화일보 논설위원, 하종대 보도본부  , 장예찬 시사평론가결국 박 전 시장이 마지막 선택을 한 장소에서 발견된 그의 휴대전화 한 대가 핵심 증거가 될 것 같습니다.	 통화를 한 사람 가운데 유출자가 있을 수도 있으니까요.	 경찰은 오늘 박 시장과 마지막 통화를 한 고한석 전 서울시 비서실장을 조사했습니다.	 하종대 국장, 박 시장과 1시 30분쯤에 마지막 통화를 했더라고요?	서울시에서 박원순 전 서울시장과 가장 친한 사람이 고한석 전 비서실장이라고 볼 수 있는데요.	 현재까지 나타난 걸로는 이분이 서울시 간부 중에서는 생전 가장 마지막으로 통화한 사람이에요.	 9일 오후 1시 39분입니다.	 이분 말로는 성추행 사실을 언론보도를 통해서 알았다고 했어요.	 그런데 내용을 보면 저분이 마지막 통화를 했을 뿐만 아니라 이날 오전에는 공관에 혼자 가서 박원순 서울시장과 독대를 하고 이야기합니다.	 이런 것들을 보면 피소된 사실과 관련해서 논의했을 가능성이 높아요, 그러나 지금 어떤 이야기를 했는지 전혀 이야기해주지 않습니다.	 적어도 지금 현재 이 사건을 제대로 밝히려면 고한석 비서실장이나 임순영 젠더 특보 이런 분들이 사실을 사실대로 이야기해야 합니다.	 김 변호사님은 어떻게 보세요?	 마지막 통화 때 어떤 내용을 이야기했을지 짐작이 되십니까?	저는 피소 사실을 알았을 거라고 봅니다.	 임순영 특보가 3시에 들어갔을 때는 몰랐을 거예요.	 그런데 만약 그때 고소장 접수를 알았다면 박원순 시장이 일정 다 취소하고 그 이야기부터 이야기하죠.	 그런데 오후 일정 마치고와서 현안 대책회의 하는데 젠더 특보가 들어왔습니다.	 젠더 이슈가 매일 있습니까?	 아닙니다.	 젠더 특보가 현안에 들어갔다는 이야기는 그게 제일 중요한 그날 이슈라는 겁니다.	 뭘까요?	 아마 그 시점에는 고소장이 접수된 사실을 인지했을 가능성이 높다.	 그리고 그 다음날 마지막 통화하고 공관에서 독대하고 했을 때 과연 피소 사실을 모르고 이야기했을까.	 저는 그럴 가능성은 굉장히 낮다고 봅니다.	 그러니 지금이라도 고한석 전 실장이 진실을 밝히고 문제를 풀고 가는 것이 피해자에게도 더 이상 죄를 짓는 게 아닌 거다.	 경찰은 통신영장까지 신청한 상태입니다.	 이도운 위원님, 경찰이 다소 뜨뜻미지근하게, 발 빠르게 움직이지 않는 것 아니냐.	 삼우제 좀 지내고난 다음에 휴대전화 포렌식 작업을 하고 그 안에서 증거를 찾는 게 아니냐는 태도가 논란이 되고 있습니다.	지금 관할 경찰서인 성북경찰서에서 수사를 하고 있는데요.	 서울북부지검의 지휘를 받고 있습니다.	 그런데 많은 사람들이 기대하는 만큼의 속도를 내지는 못하는 것 같습니다.	 우선 경찰은 사망 원인에만 집중해서 수사하겠다고 하는데요.	 일단 휴대전화 포렌식을 성공하면 그 안에서 굉장히 많은 자료가 나오지 않겠습니까.	 일단 비판하는 쪽에서 보면 경찰 역시 유출 의혹 등 여러 가지 의혹에 연관될 수도 있지 않느냐.	 그러니 이것은 경찰보다는 검찰이 맡아서 신속하게 수사하는 건 어떠냐는 의견들이 갈수록 힘을 얻는 것 같습니다.	 -	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	* 위 텍스트는 실제 토크 내용의 일부분입니다.	 전체 토크 내용은 동영상으로 확인하시기 바랍니다."
젠더 특보 “故 박원순에 실수한 것 있냐 물었다”,"■ 방송 :	   뉴스A 라이브 ■ 방송일 :	 2020년 7월 15일 ■ 진행 :	 송찬욱 앵커, 김민지 앵커■ 출연 :	 김근식 경남대 정치외교학과 교수, 김경진 전 국회의원박원순 전 서울시장 관련 소식입니다.	 오늘 서울시에서 ‘직원 인권침해 진상규명에 대한 서울시 입장 발표’라는  회견이 있었습니다.	 일단 서울시가 진상규명에는 나서겠다는데요.	 의원님, 일단 수사권이 없죠.	 그리고 민관의 관은 서울시일 거고요.	 의혹의 당사자는 숨진 상태이고 핵심 발언을 할 수 있는 사람은 서울시 관계자들이고.	 진상조사가 제대로 이뤄질지 다소 의문이거든요.	쉽지 않을 겁니다.	 사실 디지털 포렌식도 수사를 한다고 해도 쉽지 않은 판에 행정적인 조사를 하고 있는 서울시 입장에서는 수사만큼의 권한이나 절차적인 권리를 행사할 수 없거든요.	 당사자에게 와서 조사를 받아달라.	 또는 어떤 점에 대해서 자료를 내달라고 요청을 했을 때 그 요청을 받는 분이 자발적으로 응하지 않는 한 어떻게 할 방법이 없는 상황인 것이고요.	 그래서 가지고 있는 조사단의 권한에 한계가 있을 수밖에 없습니다.	 두 번째는 사실 우리 사회가 분열돼 있잖습니까.	 어떻게 공정한 조사단을 선정해서 꾸릴 것이냐.	 이런 점도 상당한 쟁점이 될 겁니다.	 박원순 시장에게 고소 사실이 전달됐는지의 여부도 쟁점으로 떠오르고 있습니다.	 고소가 되기도 전에 미리 알았다는 의혹도 제기됐는데요.	 서울시에서 여성 관련 정책의 자문을 하는, 젠더 특보라는 자리에 있는 임순영 특보가 박원순 시장에게 고소 사실을 미리 보고했다는 의혹이 있는데요.	 본인은 불미스러운 일이 있었느냐고만 물어봤지 고소 사실에 대해서는 모른다고 부인하고 있거든요.	 저 부분이 가장 큰 열쇠가 되는 부분입니다.	 과연 박 시장님이 고소 사실을 사전에 알고 그것에 대한 개인적 대책 방안으로 극단적 선택을 했는지 확인해봐야 합니다.	 지금 드러나는 사실로는 저 젠더 특보라고 하는 분이 고소가 접수되기 전인데 시장을 만나서 불미스러운 소리가 들립니다, 무슨 내용입니까 이렇게 물어봤다는 건 사실 아니겠습니까.	 적어도 특보가 시장에게 가서 이야기할 때는 불미스러운 내용의 이야기가 무엇인지 알고 난 다음에 할 수 있는 겁니다.	 두 번째는 그것이 고소 이전에 있었단 말입니다.	 그렇다면 실제 피해자인 비서분이 고소장을 접수하기 이전부터 젠더 특보나 서울시 관계자 몇 분은 이 내용에 대해 들어서 알고 있었던 것 아니냐는 의혹을 자연스럽게 제기할 수 있습니다.	그런데 이 임순영 젠더특보는 관련 의혹에 대해서 질문을 받을 때 당시 상황보고는 있었지만 고소 내용은 몰랐다고 했잖아요.	 여기에 이어서 외부로부터 이런 사실을 들었다고는 했지만 그 외부가 어디인지 말하지 않고 있는데요.	 이것도 조사를 통해서 밝혀야 할 일이겠죠?	그렇죠.	 들었다면 자기에게 이야기를 전해준 사람이 있을 것 아닙니까.	 그 누군가가 분명히 있어야 하기 때문에.	 서울시가 정말 성실한 자세로 진상규명에 나선다면 당장 젠더 특보라는 분이 나서서 누구한테 그 내용을 들었는지에 대해서 밝혀야 합니다.	 그렇기 때문에 민간합동 조사단도 대충 유야무야 넘어가려는 의혹이 제기될 수밖에 없는데요.	 수사 권한을 가진 경찰이든 검찰이 이 사건과 관련해서 실제로 기밀 유출이 있었는지, 직무유기가 있었는지 이런 형법상으로 범죄가 될 수 있는 행위에 대해서 신속하게 수사를 해야 합니다.	지금 언론 보도에 따르면 박원순 전 시장이 실종 신고가 되기 전날에 구청장들과 만찬의 시간을 갖기도 했다고 합니다.	 당시 참석자들의 이야기를 들어보면 이상한 기색이 보이지 않았다고 하는데요.	 이 만찬이 끝나고 20분 뒤쯤에 임 젠더 특보의 보고가 있었던 건데요.	 어쨌든 여기서부터 긴박한 상황들이 벌어진 셈이 됐어요.	저런 부분들을 보면 구청장 만찬이 예정된 시간보다 더 길어졌다고 하는 것 같고요.	 당시 현장에 참석했던 구청장들은 특별히 이상한 상황은 못 느꼈다.	 박 시장께서 평소처럼 즐겁게 만찬을 했었다.	 지금 젠더특보 인터뷰를 보면 3시쯤 시장께 가서 여쭤봤다고 했는데요.	 사실 만찬 때까지는 별 이야기 없었던 것 같거든요.	 그리고 오늘 일부 언론을 보면 구청장 만찬 이후에 젠더특보가 시장이 참석한 자리에서 같이 협의했던 두 분이 더 있는 것 같은데, 이 두 분이 법률 전문가라고 하는 기사가 일부 있습니다.	 또 일부에서는, 젠더 특보 말씀은 통상적인 회의 자리였고 여기서 심각한 이야기가 오가지는 않았다는 결이 다른 기사 두 개가 동시에 뜨고 있습니다.	 그 점과 관련해서도 젠더 특보께서 명확하게 밝혀주셔야 할 것 같아요.	 -	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	* 위 텍스트는 실제 토크 내용의 일부분입니다.	 전체 토크 내용은 동영상으로 확인하시기 바랍니다."
"친구 사귀러 체육관 간 8살 여아, 중학생에 성추행 당해","코로나 19로 학교가는 날이 줄어서 하루종일 학원이나 체육관에 가 있는 아이들이 많습니다.	  이런 사정에 체육관에 8살 아이를 보냈는데, 중학생에게 성추행을 당하는 사건이 발생했습니다.	   가 취재했습니다.	 남학생이 운동 중인 여학생에게 접근합니다.	  그러더니 여학생의 팔을 잡아챕니다.	  여학생이 자리를 피해보지만 남학생의 신체 접촉은 계속됐습니다.	  도망친 여학생은 주변에 도움을 청했고, 가해 학생은 체육관 관장이 CCTV를 보여주자 추행을 인정했습니다.	  코로나 19로 인해 8살 딸이 일주일에 하루만 등교하게 되자, 친구들과 함께 놀라며 보낸 체육관에서 벌어진 일입니다.	   "" 눈물을 글썽이면서 아빠하면서 달려와서 안기는데 아무 말도 못 하겠더라고요.	 저희가 보내서 아이가 그런 일을 겪게 된 거니까.""	  경찰이 수사에 착수했지만 가해 학생을 처벌할 방법은 없습니다.	  중학생인 가해자가 사건 당시 만 13세였기 때문입니다.	  만 10세 이상~14세 미만은 촉법소년으로 분류돼 형사처벌을 받지 않습니다.	  "" '호기심에 계속 그 생각이 머리에 떠나지 않아서 그렇게 했습니다'라고….	 너무 많은 생각이 머릿속을 스쳐 지나갔어요.""	   ""가해 학생과 피해 학생의 집은 걸어서 10분도 채 되지 않는 거리에 있습니다.	 피해 학생은 동네를 다니기가 불안하다고 호소합니다.""	 피해 학생 측은 가해 학생 부모가 경찰서에서 사과를 했지만, 이후로는 자신의 아이만 걱정하는 태도를 보였다고 주장했습니다.	   ""본인 아이 학교 알려지면 학교에서 어떻게 될까 그 걱정을 먼저 했다는 얘기도 들었고요.""	  조사를 마무리한 경찰은 이번주 내로 검찰에 사건을 넘길 예정입니다.	   뉴스 김민곤입니다.	    영상취재:	 조세권 영상편집:"
음주차량 직감한 시민의 신고…검거 도운 ‘10분간 추격’,"면허 취소가 될 정도의 알콜 농도로 술을 마신 운전자,  뒷차 운전자가 알아보고 경찰이 올 때까지 추격전을 벌였습니다.	   와 영상으로 보시죠.	 늦은 밤 빠르게 도로를 달리는 차량들.	 그런데 3차로로 달리던 검정 승용차가 갑자기 차선을 바꿉니다.	  그 앞엔 차량등도 켜지 않은 채 제한 속도보다 한참을 느리게 달리는 흰색 승용차가 보입니다.	  차량은 차선을 벗어나 갓길로 진입하기까지 합니다.	  졸음 운전이 의심돼 뒷차가 경적을 울려봐도 반응이 없습니다.	  음주운전일지 모른다는 생각이 든 뒷차 운전자는 경찰에 신고전화를 걸었습니다.	   ""음주운전으로 의심되는 차가 있거든요  네 뒤에 따라가고 있어요.""	  차량을 뒤쫓기 시작한 뒤차 운전자는 경찰과 계속 연락하며 이동 경로를 설명합니다.	   "" 흰색이고요.	 지금 중랑경찰서쪽으로 우회전해서 들어가고 있네요.""	  서울 중랑구 일대를 10분 넘게 돌며 5km 정도 추격한 끝에 사거리에서 미리 대기하던 경찰과 만났습니다.	 ""바로 이 차거든요.""	  경찰의 음주측정 결과, 흰색 승용차를 몰던 30대 운전자의 혈중 알코올 농도는 0.11%.	  면허 취소에 해당하는 만취 상태였습니다.	  음주 차량을 뒤쫓은 운전자는 27살 대학원생 하지훈 씨입니다.	  하 씨는 다른 시민들의 안전이 걱정됐다고 말합니다.	   ""저는 그 차량이 음주운전 차량이란 걸 알고 있었기 때문에 조심할 수 있었지만 다른 차량들은 모르고 있는 상황이어서…"" 경찰은 30대 승용차 운전자를 음주 운전 혐의로 불구속 입건했습니다.	    뉴스 우현기입니다.	   영상취재 :	 이락균 영상편집 :"
의혹 밝혀야할 ‘6층 사람들’…경찰 수사 가능성,"흔히 말하는 이 ‘6층 사람들’은, 박원순 전 서울시장이 선거 이후에 데리고 들어온 별정직 공무원들입니다.	  시장이 사망하면서 퇴직 처리 됐지만, 진상을 밝혀야 한다는 압박을 피하기는 어렵게 됐습니다.	  이어서  입니다.	박원순 서울시장과 함께 시청에 들어온 별정직 공무원은 모두 27명.	  이 가운데 상당수는 시장실 옆 비서실 등 정무라인 핵심 요직에 배치돼 '6층 사람들'로도 불렸습니다.	  박 시장과 시민사회 운동을 함께 했거나 선거를 도운 인연을 갖고 있습니다.	  관가에서는 이들처럼 어쩌다 공무원이 된 이들을 일명 '어공'이라며, 직업 공무원인 '늘공'과 구분해 지칭했습니다.	  박 시장의 유언장을 공개한 고한석 비서실장도 어공이었습니다.	   ""유족들의 뜻에 따라 박원순 시장님의 유언장을 공개할 것을 결정하였습니다.""	  더불어민주당 싱크탱크인 민주연구원 부원장 출신으로, 박 시장의 빅데이터 전략을 돕는 전문가였습니다.	 역시 민주연구원 출신인 최병천 민생정책보좌관과 노무현 정부 청와대에서 연설비서관실 행정관을 지낸 장훈 소통전략실장 등도 '6층 사람들'이었습니다.	 안철수 국민의당 대표는 지난 2018년 지방선거 당시 6층 권력을 비판하기도 했습니다.	   ""6층 사람들이 시청 실국장들에게 콩내놔라 팥내놔라 주문하고 비합리적인 이유로 퇴짜를 놓습니다.""	  하지만 박 시장이 숨지면서 지난 10일, 별정직공무원 27명은 현행법에 따라 당연퇴직 처리됐습니다.	 장훈 소통전략실장은 SNS에 서울시가 빛의 속도로 일처리를 했다며, 어공에서 백수가 됐다고 밝히기도 했습니다.	 경찰이 이번 성추행 의혹에 대해 수사에 나설 경우, 박 시장을 지근거리에서 보좌해온 6층 사람들이 우선 수사 대상에 오를 전망입니다.	    뉴스 박건영입니다.	    영상편집 :"
"“수사상황 유출자 색출하라”…시민단체, 청와대·경찰에 고발","의혹을 하나씩 살펴보겠습니다.	  전직 비서 측은 고소 직후에 고 박원순 시장에게 수사 상황이 전달돼, 증거인멸의 기회가 주어졌다고 주장하고 있습니다.	  야당은 유출자를 찾겠다며, 특임 검사 임명까지 거론했고, 시민단체도 보고 라인에 있는 경찰과 청와대를 검찰에 고발했습니다.	   입니다.	야당은 성추행 수사의 기밀이 유출됐다며 총공세에 나섰습니다.	  고소인 측이  회견에서 ""박원순 시장에게 수사상황이 유출됐다""고 주장한 지 하루 만입니다.	   ""이렇게 진행된다면 국가 시스템을 믿고 고소인이 권력형 성범죄에 대해 목소리를 낼 수 없습니다.	 유출 경위는 반드시 파악돼야 합니다.""	  고소장을 접수한 경찰과 경찰에서 보고를 받은 청와대가 유출 의혹을 부인하자, 특임검사나 특별수사본부를 두고 검찰이 수사해야 한다는 주장도 나왔습니다.	   "" 수사기밀 누설 이런 것들을 철저히 밝히고 책임 있는 사람은 엄벌해야 "" 시민단체들도 경찰와 청와대 관계자를 유출 배후로 의심하며 대검찰청에 고발장을 제출했습니다.	-	  누군지 특정하긴 어렵지만 박 시장에게 피소사실을 알려 공무상 비밀을 유출한 혐의가 있다는 겁니다.	   ""정당한 이유없이 2020년 7월 9일 박원순에게 알림으로써 직무상 비밀을 누설하였습니다.""	  ""청와대와 경찰 두 큰 기관이 다 모른다고 발뺌하고 있어요.	 오리무중입니다.""	  고발장을 접수한 검찰이 경찰과 청와대를 상대로 고소정보 유출 의혹에 대해 본격적인 수사에 나설 지 주목됩니다.	    뉴스 이은후입니다    영상취재 :	 홍승택 영상편집 :"
