"[토픽]해외게임통신 295호, ""사이버펑크 2077 투자자 소송 직면""","한 주간의 해외게임소식을 전달하는 입니다.	 이번 주는 투자자의 소송에 직면한 '사이버펑크 2077'의 소식과 함께 지난해 미국에서 가장 많이 검색한 게임의 소식을 모아봤습니다.	지난해 출시된 시디프로젝트레드의 '사이버펑크 2077'은 수많은 버그와 함께 콘솔 플랫폼에서 게임이 불가능할 지경의 수준으로 출시돼 기다리던 팬들에게 실망감을 주었습니다.	이런 실망감에 제작사인 시디프로젝트레드의 주가는 폭락하기도 했는데요.	지난해 크리스마스 직전 미국의 로젠 로펌이 증권 구매 투자자를 대신해 집단 소송을 제기했으며 연방 증권법에 따라 투자자에 대한 손해 배상을 추구할 계획입니다.	소송 내용에 따르면 현세대 콘솔 플랫폼에서 제대로 된 플레이가 불가능 한 점을 사전에 공개하지 않아 결국 대규모 환불 사태까지 이어져 금전적 피해를 보았다고 합니다.	투자자 소송에 직면한 시디프로젝트레드는 적극적으로 방어에 나설 계획이라고 밝혔습니다.	한편, 미국의 로센 로펌은 글로벌 증권 소송에 특화된 로펌으로 알려져 있으며 지난 2019년에는 집단 소송을 건 투자자를 위해 4억 3834만 달러를 회수한 바 있습니다.	반다이남코의 '철권' 시리즈 제작자로 잘 알려진 하라다 가츠히로 PD가 새해 인사를 통해 신작 진행 소식을 알렸습니다.	하라다 가츠히로 PD는 ""현재 격투 게임이 아닌 다른 게임을 제작 중이다""며 ""개발 비용은 지금까지 반다이남코 역사상 가장 비싼 게임""이라고 밝혔습니다.	또, 그는 ""이런 높은 제작 비용을 경영진이 승인했다는 점이 매우 놀랍다""고 덧붙였습니다.	현재 반다이남코의 신규 프로젝트에 관한 내용은 아직 알려진 것이 없으며 출시 일정 또한 미정입니다.	중국의 대표 게임사 중 하나인 유주게임즈의 린치 대표가 크리스마스 날에 사망한 것으로 밝혀졌습니다.39살의 젊은 나이에 1조 원 대 자산가로 성공한 린치 대표의 갑작스러운 죽음도 놀랍지만 사망 원인으로 독살이 제기됐는데요.	현재 중국의 경찰은 동료인 인쑤를 유력 용의자로 주목해 체포한 것으로 알려져 있습니다.	한편, 유주게임즈는 국내에서 '그랑삼국' '왕좌의 게임 윈터 이즈 커밍' 등을 서비스한 바 있습니다.	새롭게 리부트되는 영화 '레지던트 이블'의 촬영이 종료됐습니다.	동명의 서바이벌 호러 게임을 원작으로 하는 영화 '레지던트 이블'은 지난 2017년 첫 리부트 소식을 발표했으며 오는 2021년 가을 선보일 계획입니다.	영화의 감독은 '47미터'와 '노크:	 초대받지 않은 손님'을 제작한 조하네스 로버츠 감독이 맡았습니다.	그는 ""게임을 즐기며 받았던 경험을 영화에 표현하고 싶었다""며 제작 소감을 밝힌 바 있습니다.	IO엔터테인먼트가 오는 20일 PS4, PS5, 엑스박스원, , 엑스박스 시리즈 엑스/에스, PC, 닌텐도 스위치로 선보이는  '히트맨 3'의 게임 플레이 소개 영상을 공개했습니다.	공개된 영상에서는 두바이와 영국, 독일 등의 전 세계 주요 장소를 무대로 활동하는 에이전트 47의 모습을 담았습니다.	또, 각종 도구를 이용해 경비원을 제압하거나 군중 속에 섞여 들어가며 은밀하게 진입하는 등의 플레이를 엿볼 수 있습니다.	이외에도 PS4버전에서는 플레이스테이션VR을 지원해 1인칭으로 게임을 즐길 수 있습니다.	인디 게임 퍼블리셔로 유명한 디볼버디지털이 2021년을 맞아 5개의 신작을 출시할 계획입니다.	지난해 디볼버디지털은 '폴 가이즈'를 출시하면서 일약 유명 인디 게임 퍼블리셔로 이름을 높였는데요.'	폴 가이즈' 외에도 '엔터 더 건전' '핫 라인 마이애미' '레인즈' 등 독특하면서도 뛰어난 게임성을 보유한 작품을 선보이며 게임 팬들의 주목을 받고 있습니다.	한편, 디볼버디지털의 신작 정보에 관해서는 아직 알려지지 않았습니다.	구글이 지난해 가장 많이 검색한 게임 리스트를 공개했습니다.	먼저 미국 지역에서 가장 많이 검색된 게임은 지난해 차트 역주행을 쓴 화제작 '어몽 어스'인데요.	 마피아 게임의 룰을 채용해 벌어지는 심리 게임의 재미를 담아 해외는 물론 국내에서도 큰 인기를 끌었습니다.	이어 2위는 '폴 가이즈'였으며 3위는 라이엇게임즈의 신작으로 화제를 모았던 '발로란트'가 차지했습니다.	국내에서는 '발로란트'가 1위를 차지했으며 2위는 '어몽 어스', 3위는 '바람의나라:	 연'이었습니다."
"게임, 어떻게 진흥할 것인가...""게임법 개정안 온라인 공청회"" 개최","국회의원 연구단체 국회 문화콘텐츠포럼은 '게임법 개정안 온라인 공청회'를 열었다.	이날 자리에서 김남주 법무법인 도담 변호사가 '게임산업 진흥과 게임소비자 보호를 위한 게임산업법 개선방안'을 제안하는 발제로 시작됐다.	게임법 개선방안은 정부의 게임 전담기관 설립, 규제 기관과 진흥 기관의 통합, 게임산업 기금 신설, 게임의 다양성 강화 지원, 소비자 권익 보호를 위한 게임분쟁조정위원회 설치, 아케이드 게임물과 비 아케이드 게임물의 규제 이원화를 골자로 한다.	 이어 박승범 문화체육관광부 게임콘텐츠산업과 과장, 최승우 한국게임산업협회 정책국장, 김현규 한국모바일게임협회 수석부회장, 이승민 한국게임학회 이사가 토론자로 참여해 논의를 이어갔다.	먼저 게임진흥원 설립에 대해서 모두 필요성을 인지하고 있으나, 실질적인 추진 부분에서 난관이 많아 시간이 더 필요할 것이라는 전망이다.	 박승범 과장은 게임진흥원 설립과 소비자 보호기구에 대해 필요성을 인지하나 콘텐츠 융복합 시대에 게임 전담기관 설립과 콘텐츠 분쟁 위원회에서 게임만 떼야 하는가에 대한 반대 의견도 있다고 설명했다.	국회 문화콘텐츠 포럼에 참여하고 있는 조승래 의원과 도종환 의원은 게임진흥원이 만들어져야 한다는 부분에 동의했다.	 다만, 도 의원은 ""법을 발휘하고 진흥원 법안을 심사하다보면 재원과 인력이 지속적으로 지원돼야 하기 때문에 기재부에서 반대를 한다""고 밝혔다.	 규제 기관과 진흥 기관의 통합 부분에서는 부정적인 입장이 많았다.	 근본적인 성격이 달라 융합되기까지 진통을 예상했다.	 박 과장은 ""규제 기관과 진흥 기관 통합은 각 기관의 입장을 정리해서 내는 것이 어렵지 않을까 우려된다""고 말했으며 최승우 정책국장은 ""각 기관간 권력싸움이 될까 우려된다.	 진흥기관 별도 설립은 동의하나 규제 진흥기관 통합은 효율성에 의문이 든다""고 밝혔다.	 게임산업 발전 기금의 기금 징수 부분에선 부정적인 입장이 이어졌다.	 문체부 측은 ""기금을 신설해 투자가 감소하고 있는 중소게임사에 지원하는 방향으로 긍정적이나 징수 방법에 대해서는 부담이 크다.	 업체, 국회, 사회적 논의가 필요할 것""이라고 말했다.	 김현규 수석부회장은 ""모태펀드나 민관펀드로는 한계가 있다.	 정부가 게임산업 발전 기금을 영화산업처럼만 지원해줬으면 한다""며 ""대형 게임사에서 수익의 일부를 기금으로 받는 것은 부정적""이라고 밝혔다.	 이승민 이사는 ""게임산업 발전기금을 논하기 앞서 규제 완화를 선행하는 것이 맞다""며 ""또한 칸막이식 기금 체계는 혼란이 된다.	 예를 들어 영화와 비디오물에 대한 구분도 달라지고 있어 콘텐츠 발전 기금으로 통합하는게 맞다""고 말했다.	  아케이드 게임물과 비 아케이드 게임물의 규제 이원화에 대해서는 방식에 대해 의견이 나뉘었다.	  박 과장은 ""규제 이원화로 아케이드 게임에 대한 규제가 더 필요하다는 시각에 동의한다""며 ""실질적으로 게임물을 구분해서 기록하기 보다는 온라인, 모바일, 콘솔 등 비 아케이드게임의 규제를 완화하는 것이 더 효율적일 것""이라고 말했다.	 한편으로, 선정적 게임으로 논란이 된 '아이들프린세스'를 예시로 ""게임산업의 평판을 떨어뜨리는 게임이 등장할 수 있다""고 우려를 표하기도 했다.	 이승민 이사는 아케이드와 비아케이드 게임물을 구분할 필요 없이, 사행성 아케이드 게임기에 대한 감시와 행정처분을 이관하면 해소될 것이라는 입장을 밝혔다.	  그는 ""애초에 사행성 아케이드 게임기는 게임물이 아니다.	 사행령이 별도로 있는 사행위에 전부 넘겨 법체계에 혼란을 막을 수 있다""며 ""게임물관리위원회는 등급분류와 진흥에 집중해야 한다.	 민관기관이 경찰업무를 하는 것은 맞지 않다""고 설명했다.	   형사처벌을 과태료로 전환해야 한다는 의견도 더했다.	 등급분류가 상품의 신뢰도를 높이고, 부모에게 훈육 및 양육 제도로 자율적으로 생긴 규정이라는 것.	 이 이사는 '잘못된 등급분류가 발생하면 손해를 추정해 정신적 손해배상을 법원이 인정해야지 형사처벌은 바람직하지 않다""고 말했다.	 이에 김남주 변호사는 ""게임산업계는 규제에 민감하나 다른 측면에서 아동, 부모 관점의 공동체 구성원도 있다는 점도 고려해 형사처벌은 필요하다""며 ""소송에서 기업을 상대로 이기기가 어렵기에 규제를 먼저 풀기에는 어려워 일정한 양보가 필요하다""고 의견을 밝혔다."
"게임이용자보호센터, 웹보드 게임 불법광고 신고포상제 운영","게임이용자보호센터는 웹보드 게임 유·무료재화 환전유도 등 불법 게시물 유포를 차단하려는 목적으로 불법게임광고 신고포상제도를 운영한다고 7일 발표했다.	포상제도의 운영방안으로는 오는 8월 1일부터 10월 31일까지를 온라인 웹보드 게임 불법게시물유포 특별 신고기간으로 선포하고, 기간 중 신고자에게는 포상금을 1인당 최대 100만 원까지 지급한다.	 또, 미디어사이트 게임 관련 커뮤니티 등의 불법광고에 대한 집중 모니터링도 실시한다.	신고된 불법게임광고는 게임물관리위원회, 방송통신심의위원회 등 정부기관에 신고 조치하고, 플랫폼 사업자의 협조를 얻어 차단 조치된다.	 더불어 관련 자료는 경찰청에 전달해 수사 의뢰로 이어진다.	센터에서는 2016년부터 온라인 웹보드게임 내에서 이뤄지는 불법 환전을 근절하기 위한 모니터링, 차단, 수사 의뢰 등을 진행해왔다.	 정기적으로는 게임이용자보호보고서를 발표해 관련 결과와 내용을 공개하고 있으며 2020년 상반기 게임이용자보호보고서는 8월 초 발간될 예정이다.	 센터에서 실시한 모니터링 결과에 따르면 온라인 웹보드게임 관련 불법 환전광고는 전년도 대비 2019년 26% 감소했다.	 트위터, 페이스북, 네이버에서는 50% 아이템 매니아와 아이템 베이에서는 98% 감소했지만, 유튜브와 아프리카TV, 트위치TV에서는 72% 증가했다.	센터에 따르면, 전체적인 불법 환전광고는 감소하고 있으나, 미디어 사이트를 통한 불법광고와 도박 사이트로 유인하는 광고는 증가하고 있어 이용자들의 주의가 요구된다."
"PS4용 액션어드벤처 게임 ""아메리칸 퓨지티브"" 출시","에이치투인터렉티브는 커브디지털의 PS4용 액션어드벤처 게임 '아메리칸 퓨지티브'를 PS스토어에 출시했다.'	아메리칸 퓨지티브'는 클래식 'GTA'에서 영감을 받은 샌드박스형 게임이다.	 고전 영화와 올드 게임에 대한 오마쥬를 기반으로, 3D 탑다운 오픈월드 싱글 플레이 경험을 담았다.	 게이머는 누명을 쓰고 감옥에 간 윌 라일리가 돼 진짜 범인을 찾기 위해 탈옥하게 된다.	 마을 사람들을 피하고, 지하 세계에서 정보를 입수해 경찰 포위망보다 한 발짝 앞서 위험을 피해가야 한다.	 이 게임의 PS4판의 가격은 2만 500원이며 출시 후 일주일간 50% 할인된 가격에 판매된다.	 추후 닌텐도 스위치로도 출시될 예정이다."
"게임위, 2020년 불법게임물 신고포상금제도 시행","게임물관리위원회는 본청 1층 등급분류회의실에서 불법게임물신고포상심사위원 4명을 24일 위촉했다.	이번에 위촉된 위원들은 강신성 중독예방시민연대 사무총장, 김혜진 부산YWCA 이사, 이해성 부산지방법무사회 법무사, 하호일 부산지방경찰청 생활질서계장이다.	게임위는 공정한 포상금 지급심사를 위해 불법게임물 신고포상금제도 운영지침을 제정하고 경찰청, 유관기관, 시민단체 전문가 등으로 불법게임물 신고포상심사위원회를 구성했다.	포상금은 신고 내용의 충실성과 위법성 정도에 따라 월 최고 60만원까지 책정되며 1인당 연간 최대 지급액은 300만원이다.	신고대상은 불법게임물 제공행위, 환전 및 환전 알선 행위, 사행심 조장 광고 및 선전문 게시·배포행위 등이며 법 위반행위로 확인될 경우 사후조치와 무관하게 포상 금을 받을 수 있다.	신고를 원하는 사람은 신고서와 증거자료 등을 게임위 홈페이지 불법게임물 신고센터에서 신고할 수 있으며 신고포상심사위원회에서 포상금 지급 여부와 액수를 결정하게 된다.	이재홍 게임위 위원장은 ""등급분류 결정된 게임물의 개·변조 수법이 교묘해지고 있다""며 ""불법사행성 게임물이 근절되기 위해서는 국민들의 철저한 불법게임물의 공익신고 참여의식과 포상금 심사위원회의 역할이 정말 중요하다""고 말했다."
"""카운터사이드"", 경찰청 소속 제 4 특별 기동 수사대 업데이트","넥슨은 모바일 RPG '카운터사이드'에 신규 카운터 소대 제 4 특별 기동 수사대를 업데이트했다.	제 4 특별 기동 수사대는 게임 세계관 내에서 특별한 능력을 지닌 카운터와 희귀 광물 이터니움과 관련한 사건을 전담하는 경찰청 소속 부서다.	 이유미 경정과 강소영 경위로 구성됐으며 두 소대원 모두 최고 등급인 SSR 캐릭터다.	이유미 경정은 범죄자에게 강한 적개심을 드러내는 성격을 지녔으며 전투 시 앞에서 적의 공격을 회피하고 방어하는 디펜더 유닛이다.	 강소영 경위는 주변 솔저 타입의 아군을 강화하는 레인저 유닛으로, 범죄 소탕을 위해 물불을 가리지 않는다.	더불어 넥슨은 게스트 소대 시스템을 추가했다.	 협력사로 등록한 유저 외에도 다른 유저에게 도움을 요청할 수 있다.	 게이머는 게스트 소대를 파견하거나 지원을 받게 되면 협력사의 명함을 획득할 수 있으며 크레딧, 이터니움 등 아이템을 지닌 협력사의 증정품으로 교환할 수 있다.	 이외에도 서윤 캐릭터의 일러스트를 보다 세련된 그림체로 수정했으며 요일별로 정해진 콘텐츠만 플레이할 수 있었던 모의작전의 제한을 없앴다."
"모바일 MMORPG ""DK모바일: 영웅의 귀환"", 사전예약 시작","엔트런스는 모바일 MMORPG 'DK모바일:	 영웅의 귀환'의 사전예약을 게임 출시전까지 진행한다.	사전예약은 특별 페이지에서 진행되며 신청자에게는 게임내 재화인 플로린 1백만 개, 경험치를 올려주는 성장의 물약 5개, 공격력, 방어력, 무게를 증가시켜주는 버프주문서 100개, 방어구 강화 주문서 10개 등 필수 게임 아이템이 제공된다.	 'DK모바일'은 지난 2012년 출시해 현재까지 서비스중인 스테디셀러 게임 'DK온라인'의 IP를 활용한 게임으로 엔트런스의 첫 작품이다.	 한편, 'DK모바일'의 메인 홍보모델으로는 설현이 활약한다.	 그는 tvN 월화드라마 '낮과 밤'에서 경찰청 특수팀 소속 공혜원역을 맡아 주인공으로 출연중이다."
"PS4용 레이싱 게임 ""니드 포 스피드: 핫 퍼슈트 리마스터"" 출시",게임피아는 일렉트로닉아츠와 협력해 PS4용 레이싱 게임 '니드포스피드:	 핫 퍼슈트 리마스터'를 6일 출시했다.'	니드포스피드:	 핫 퍼슈트 리마스터'는 2010년에 출시돼 흥행을 거둔 '니드포스피드:	 핫 퍼슈트'를 리마스터해 선보이는 게임이다.	 게이머는 무법자나 경찰 중 한 쪽이돼 세계 최고의 차량들이 보여주는 속도감과 레이싱 액션을 구사할 수 있으며 기존 작 대비 향상된 그래픽과 게임플레이로 친구들과 경쟁을 할 수 있다.	 게임 내에는 주요 DLC 및 업데이트 사항이 모두 포함돼 있으며 추격하는 경찰 혹은 엘리트 레이서로서 스릴 넘치는 레이스의 승자가 되면 차종을 강화할 수 있는 현상금을 얻을 수 있다.	 12세 이용가 등급.
게임이용자보호센터 3기 신임 센터장에 이승훈 영산대 교수 임명,"게임문화재단은 게임이용자보호센터 3기 신임 센터장으로 이승훈 영산대학교 교수를 임명했다.	 신임 이승훈 센터장은 게임 및 가상현실 기술분야 전문가로 현재 한국게임법과정책학회 부회장을 맡고 있으며, 한국게임개발자협회 회장 및 미국실리콘밸리 가상현실협회 한국지부장, 게임물관리위원회 및 콘텐츠분쟁조정위원회 기술분야 전문위원을 역임했다.	이와 함께 센터는 3기 자문위원으로 센터장을 포함, 최충경 게임물관리위원회 사무국장, 이동희 경찰대학 교수, 윤지웅 경희대학교 교수, 법무법인 화현 하성화 변호사, 김상우 게임문화평론가 박사로 한 6인으로 구성됐다.	 이승훈 신임 센터장은 ""게임이용자의 권익보호를 위해 불법 게임물 모니터링 및 사행화 방지 홍보 활동 등을 강화하고, 부처간 소통 강화를 위해 세미나 및 간담회 개최 등을 통해 게임산업 전반에 대한 정책 제언을 적극적으로 개진하겠다""고 밝혔다.	센터는 앞으로 웹보드게임 불법 환전행위 모니터링 등을 통해 사행화 방지 종합관리체계 및 효율적인 자율규제 관련 활동을 강화할 예정이며, 이러한 활동의 일환으로 게임이용자보호방안 인증제를 올해 7월부터 운영하고 있다."
"에픽세븐, 한정 영웅 랑디 및 만월제 맞이 서브스토리 추가","스마일게이트메가포트는 모바일 RPG '에픽세븐'에 한정 영웅 랑디 및 3주동안 진행되는 서브 스토리 만월의 밤과 사막의 도적들을 업데이트했다.'	에픽세븐'에 합류하는 한정 영웅 랑디는 폴리티아의 경찰청장으로 도시의 이익과 질서를 지키기 위해 고군분투하는 캐릭터다.	 자연 속성의 5성 등급 사수 영웅으로 자신의 속도와 행동 게이지를 상승시키거나 아군 전체의 행동 게이지를 상승시키는 스킬을 보유하고 있다.	 특히, 적의 강화 효과에 대응하여 상대보다 한발 앞서 공격 기회를 확보할 수 있으며 2번째 스킬인 경찰청장 참전으로, 최대 5회까지 공격력을 증폭시킨다.	 이와 함께 서브 스토리 만월의 밤도 추가됐다.	 오는 10월 15일까지 3주동안 매주 새로운 스토리가 진행되는 48개의 스테이지로 구성됐다.	 바사르, 켄, 카르투하, 여일의 디에리아 등 영웅들이 주요 인물로 등장하며 한정 아티팩트 달빛의 흔적을 비롯해 78레벨 전설 장비 및 장신구, 배경팩, 일러스트, 강화 재료 등 보상을 획득할 수 있다.	 1주차 스토리인 축제를 노리는 자들은, 사브와라의 대도시 기 루브란에서 6대 상단이 매년 주최하는 큰 축제  만월제를 배경으로 하며 축제를 노리는 도적단의 음모가 서서히 드러나는 스토리가 전개된다."
