"구급차 막아선 택시기사 ""사고 수습하라""… ""환자 사망"" 국민청원","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"용인시, 경기도 첫 ""코로나19 생활치료센터"" 개소","경기=     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"온라인 수업 중 갑자기… 특정부위 노출한 학생 ""충격""",28일 '뉴스1'에 따르면 지난 22일 오전 광주의 한 고등학교의 교사 A씨는 학생들과 실시간 화상 연결이 가능한 애플리케이션을 통해 쌍방향 수업을 진행했다.
"대구 신천지교인 5647명, 오늘 자정 자가격리 해제","오는 12일 자정을 기해 신천지예수교 증거장막성전 교인 5647명의 자가격리가 해제된다.	신천지 대구·경북지역을 담당하는 다대지오파는 11일 신종 코로나바이러스 감염증 검사에서 음성 판정을 받고 자가격리됐다 해제되는 신도들에게 공문을 보냈다.	 공문에서 신천지는 ▲일체의 모임 및 집회 금지 ▲집단이용시설 사용 전면 금지 ▲특별관리구역 거주자의 대구시, 남구청, 경찰 적극 협조 등을 당부했다.	다대지오파는 ‘자택에서 입원 대기 중인 성도에 대한 접촉을 절대 금하며 철저히 분리된 생활을 할 것’, ‘폐쇄된 교회 및 모든 관련시설 출입 금지’ 등을 지시하며 어길 시 교회 차원에서 징계 등 엄중 조치하겠다고 강조했다.	최명석 신천지 다대오지파장은 “다수의 자가격리 해제자가 발생됨에 따라 지역민들께서 불안해하지 않도록 철저한 위생관리와 사회적 거리두기 등을 실천하겠다”고 밝혔다."
"2개월간 음주운전 2만여명 적발… ""걸리면 차량 압수""",최근 두달동안 음주운전으로 2만여명이 적발됐다.	 경찰은 연말연시 음주운전 교통사고 예방을 위해 특별 집중단속 기간을 운영한다는 방침이다.29일 경찰청에 따르면 올해 9월 중순부터 2개월간 음주운전 특별 단속을 시행해 총 2만2023명을 적발했다.	음주 사고는 2599건으로 지난해 같은기간과 비교해 보다 14.9% 감소했다.	 음주사고 사망자도 53명에서 38명으로 28.3% 줄었다.
"""랜섬웨어"" 공격 받은 이랜드, 점포 절반 운영 차질… 경찰에 수사 의뢰","이랜드그룹이 랜섬웨어 공격으로 일요일인 어제 뉴코아아울렛 등 점포 절반 영업이 중단됐다.	이랜드에 따르면 22일 오전 랜섬웨어 공격으로 인해 NC백화점, 뉴코아아울렛 등 50여개 오프라인 점포 중 23개 매장이 긴급 휴점하거나 부분영업하는 등 운영에 차질을 빚었다.	 랜섬웨어 공격은 목표 대상의 데이터를 이용하지 못하게 암호화한 다음 대가를 요구하는 사이버범죄다.	 한국인터넷진흥원은 이같은 내용을 상부기관인 과학기술정보통신부에 보고하고, KISA는 백업서버 감염 규모 등을 확인 중이다.	 KISA측은 ""공격 유형은 랜섬웨어""라며 ""이번 공격으로 데이터가 암호화됐고 금전 요구주체와 금액은 협박메일 등을 통해 확인이 필요하다""고 설명했다.	이랜드그룹은 사건 경위를 밝히기 위해 경찰에 수사를 의뢰한 상태다.	 지난 2017년 전세계를 불안에 떨게 한 ‘워너크라이’ 랜섬웨어 사태가 있긴 했지만 백화점과 아웃렛 같은 유통 매장이 랜섬웨어 때문에 운영이 중단된 건 이례적이다."
"[머니S포토] ""정인이 사건"" 관련 대국민 사과 나선 경찰청장","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"인천 집단감염 ""거짓말 학원강사"", 결국 구속","용산구 이태원 클럽에 갔다가 신종 코로나바이러스 감염증 확진 판정을 받고 직업과 동선을 속인 인천 학원강사가 구속됐다.	인천 미추홀경찰서는 20일 감염병의예방및관리에관한법률 위반 혐의로 학원강사 A씨를 구속했다고 밝혔다.	A씨는 지난 5월2~3일 서울 이태원 클럽과 포차 등을 방문한 뒤 9일 확진 판정을 받았다.	그는 최초 방역당국 조사에서 자신이 학원강사임을 숨기고 무직이라고 거짓말 했다.	 또 동선을 속였다.	방역당국은 A씨의 역학조사 과정에서 이 같은 사실을 확인했다.	A씨의 거짓말로 방역당국 측이 접촉자들을 제대로 파악하지 못했고 수십명이 넘는 확진자가 발생했다.	경찰 관계자는 ""향후에도 역학조사 거부 및 방해는 물론 거짓진술·고의적 사실 누락행위 등에 대해서는 구속수사하는 등 엄정하게 수사할 방침""이라고 말했다."
"문 대통령 신년인사회, 올해는 언택트로… 일반국민 8명 초청","문재인 대통령이 오는 7일 영상을 통해 신년인사회를 개최한다.	 강민석 청와대 대변인은 6일 서면 브리핑을 통해 ""사회적 거리두기로 온 국민이 불편을 겪는 상황을 감안해 온라인 영상회의 형식으로 신년인사회를 갖는다""며 ""각계각층의 인사 50여명이 참석할 예정""이라고 밝혔다.	그동안 정관계 인사 위주로 진행됐던 신년인사회는 문 대통령 취임 이후 다양한 분야의 일반 국민이 모여 새해 희망을 나누는 자리로 마련됐다.	  '위기의 강한 나라, 든든한 대한민국'이라는 이름으로 진행되는 이번 신년인사회에도 일반 국민 8명이 특별초청자로 참석할 예정이다.	 지난해 10월 울산 주상복합 화재 현장에서 주민 18명을 구한 뒤 포상금 전액을 다시 불우이웃돕기 성금으로 기탁한 의인 구창식 ㈜바로바로산업개발 대표와 병원을 코로나19 전담병원으로 통째로 내놓은 김병근 평택박애병원 원장, 폐방화복을 재활용해 가방, 팔찌 등을 제작하고 수익금의 절반을 암투병 중인 소방관들에게 기부한 사회적 기업 119레오의 이승우 대표 등이 참석한다.	또 역대 최초로 비대면으로 개최한 제15회 국제표준올림피아드 본선에서 배달로봇의 안전기준과 시험방법을 제시해 대상을 수상한 박용원 한국과학영재학교 학생과 한복을 현대적으로 디자인해 한복세계화에 성공한 김남경 단하주단 대표, 착한 릴레이 기부 1호로 나눔을 실천하는 배우 겸 유튜버 한소영씨, 교량에서 극단적 선택을 시도하려던 시민을 안전하게 구조해 광주 광산경찰서의 '우리 동네 시민 경찰'에 선정된 김래준씨, 고속도로에서 의식을 잃은 운전자를 구조한 김동환 경북경찰청 경위도 자리한다.	강 대변인은 ""문 대통령은 지난 한해 동안 위기 극복을 위해 헌신해 주신 국민께 감사를 표하고 우리 국민이 이룬 성과를 바탕으로 선도국가로 도약하겠다는 의지를 담아 신년 인사말씀을 한다""고 밝혔다."
"""미세먼지 계절관리제"" 시작… 저감장치 미부착 5등급차 제한","1일부터 내년 3월까지 '미세먼지 계절관리제'가 시행된다.	 수도권에서 배출가스 저감장치를 부착하지 않은 5등급 차량은 운행이 제한되고 서울 전역 대기오염물질 배출사업장은 집중관리 대상이다.	조명래 환경부 장관은 30일 정부서울청사에서 브리핑을 열고 1일부터 실시되는 제2차 '미세먼지 계절관리제'를 설명했다.	 계절관리제는 매년 12월부터 이듬해 3월까지 평소보다 강화된 미세먼지 배출 저감 조치를 도입하는 제도로 지난해 12월에 처음 시행됐다.	정부는 배출가스 5등급 차량의 수도권 운행 제한을 처음 적용한다.	  수도권 내 5등급 차량 단속은 평일 오전 6시부터 밤 9시까지 실시되며 지난 2002년 7월 이전에 생산된 노후 경유차 등 5등급 차량 중 배출가스저감장치를 부착하지 않은 142만대가 제한 대상이다.	 수도권에 방문한 다른 지역 5등급 차량도 모두 포함되며 수도권으로 좁히면 34만대가 규제 대상이다.	 과태료는 1일 10만원이다.	다만 저감장치를 아예 장착할 수 없는 차량에 대해 서울은 올해 말, 경기·인천은 내년 3월까지 과태료를 부과하지 않는다.	 서울 내 기초생활수급자, 차상위계층이 소유한 5등급 차량은 경기·인천과 마찬가지로 내년 3월까지 유예기간이다.	주말과 휴일에는 5등급 차량을 단속하지 않는다.	 평일과 비교해 발전소와 공장의 가동이 줄어 미세먼지가 적게 발생한다는 점을 고려했기 때문이다.	수학능력시험이 실시되는 오는 3일은 평일임에도 수험생 편의를 고려해 5등급 차량을 단속하지 않는다."
[머니S포토] 무제한 토론 마친 민주당 홍익표,"     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"‘총장 비리‘ 주장해 낙선 유도한 교수, 결국 벌금형","전북대학교 총장의 비리 의혹 등 허위사실을 유포해 총장 선거에 개입한 교수에게 벌금형이 선고됐다.	임현준 전주지법 형사6단독 판사는 9일 교육공무원법상 허위사실 공표·허위사실적시 명예훼손 혐의로 기소된 전북대 소속 정모 교수에게 벌금 800만원을 선고했다.	다만 임 판사는 범행을 공모한 혐의로 함께 기소된 같은 대학 김 전 교수에게는 무죄를 선고했다.	임 판사는 ""피고인의 행위가 임용 후보자 선정 과정에서 어느 정도 영향을 끼친 것으로 보인다""면서 ""이 사건 범행으로 인해 피해자가 상당한 피해를 입었을 것으로 보임에도 피고인은 본인의 억울함만 강조하고 있다""고 지적했다.	다만 ""이 사건이 불거져 피고인에게 무거운 의혹이 쏟아졌고 심정적으로 감당하기 어려웠을 것으로 보인 점, 벌금형을 초과하는 형사 처벌을 받은 전력이 없는 점 등을 고려해 형을 정했다""고 판시했다.	김 전 교수에 대해서는 ""피고인이 정 교수와 서로 많은 연락을 주고 받은 것은 사실이지만 공모 여부에 대해 모두 부인하고 있고 검사가 제출한 증거와 정황만으로는 달리 인정할 만한 객관적인 증거가 없다""며 무죄를 선고했다.	 정 교수는 전북대 총장 선거를 앞둔 지난 2018년 10월16일 전주의 한 카페에서 경찰청 수사국 소속의 김모 경감을 만나 ""이남호 현 총장에게 비리가 있다""며 확인되지 않은 사실을 전한 혐의로 기소됐다.	 그는 김 경감을 만난 직후 교수회장과 다른 지인 교수들에게 '이 총장 비리 관련 탐문 활동차 경찰청 소속 경감이 다녀갔다'는 취지로 말해 이런 내용이 교수회에 전달되도록 한 것으로 드러났다.	 '경찰 내사설'에 대한 내용은 대학 내부 게시판과 교수들의 사회관계망서비스 등을 통해 확산됐고 이 총장은 최종 결선투표에서 2위로 밀려나 낙선했다.	하지만 정 교수는 ""경찰을 만나 이야기를 나눈 것은 사실이다""면서도 ""총장 선거에 개입하지 않았고 그럴 의도도 없었다""며 혐의를 부인했다."
