"찾아보기 힘들었던 내 주변 범죄예방 시설, 이제 한눈에 확인하세요","  서울서부경찰서는 ’20.	 7.	 16.	 여성ㆍ아동을 위한 스마트폰 안전지도 앱 ‘안심해 with 서부경찰서’를 개발했다고 밝혔다.	‘안심해 with 서부경찰서’ 앱에는 사용자 주변의 각종 범죄예방 시설 안내 기능과 12신고 기능을 탑재했다.	그간 경찰은 자치단체와 협업하여 비상벨, 아동안전지킴이집ㆍ여성안심귀갓길 등 수많은 범죄예방 시설물을 설치해왔지만, 여성ㆍ아동 등 주민이 이러한 정보에 접근하기는 쉽지 않았다.	시설마다 관리 주체가 달라 주민이 시설물 위치 등 정보를 확인하려면 기관별, 부서별 자료를 하나하나 찾아야 했기 때문이다.	이에 서울서부경찰서와 정보통신 기업인 TDI는 불편사항을 해결하고자 ‘안심해 with 서부경찰서’를 함께 개발했다.	‘안심해 with 서부경찰서’ 앱은 여성ㆍ아동 등 사회적 약자를 위해 범죄예방 시설물 7종*의 정보를 하나로 통합하였다는 점이 큰 특징이다.	경찰관서, 비상벨, 폐쇄회로 텔레비전, 아동안전지킴이집, 여성안심귀갓길, 비상벨이 설치된 공원 화장실, 재개발 지역 각 시설물의 위치 정보를 시각화하여 지도상에 구현하고 있어, 앱을 실행하면 사용자 주변에 있는 모든 범죄예방 시설을 한눈에 확인할 수 있다.	범죄예방 시설별로 자세한 설명과 사용법을 안내하여 편의성을 높였고 범죄예방 시설까지의 경로를 알려주는 기능도 제공한다.	또한, 이날 서울서부경찰서는 ㈜TDI와 ‘안심해 with 서부경찰서’ 앱의 발전과 확산을 위한 업무협약을 맺었다.	 양 기관은 앞으로 각종 치안 자료와 주민 의견 등 자료를 공유하여 앱 기능을 더욱 향상하고 여성 등 사회적 약자가 범죄로부터 안심하고 생활할 수 있는 안전망을 구축할 계획이다.	이승주 TDI 대표이사는 “안심해 with 서부경찰서 앱은 경찰 데이터와 TDI의 빅데이터 기술을 결합한 것으로, 앞으로 더 다양한 자료를 공유하여 주변 위험도를 산출하는 등 향상된 기능도 선보일 예정”이라며 “앞으로도 서울서부경찰서와 함께 사회적 약자가 범죄로부터 안심하고 생활할 수 있도록 노력할 것”이라고 말했다.	연명흠 서울서부경찰서장은 “이번 협업은 치안 정보를 적극적으로 공개함으로써 지역주민의 불안 해소에도 큰 도움이 될 것이라는 점에서 의미가 깊다.	”라며, “앞으로도 긴밀한 협업으로 더욱 공고한 지역사회 안전망을 구축하겠다.	”라고 밝혔다.	한편, ‘안심해 with 서부경찰서’ 앱은 현재 구글플레이스토어를 통해 공개되어 있으며, 안드로이드 운영체제를 기반으로 시범 운영한 이후 여타 운영체제로도 확대될 예정이다.	 ▶    ⓒ  and JTBC Content Hub Co.	, Ltd."
"롯데월드 어드벤처에서 ""신규 할로윈 콘텐트""와 함께해요","   청명한 하늘을 만끽할 수 있는 가을, 롯데월드 어드벤처가 가족, 친구, 연인 등 다양한 방문객들을 만족시킬 즐길거리를 준비했다.	 심쿵 큐티부터 짜릿함까지 다채로운 할로윈 신규 콘텐트와 함께 코로나로 지친 마음을 신나게 힐링 해보는 건 어떨까.	    할로윈을 앞두고 실내 어드벤처 전역이 남녀노소 누구나 심쿵하게 만드는 신비한 할로윈 콘셉트로 변신했다.	 실내 어드벤처에 입장하자마자 만나볼 수 있는 호박유령 포토존과 만남의 광장에 위치한 ‘할로윈 빅로티’ 포토존은 크고 작은 호박과 귀여운 캐릭터들로 화려하게 꾸며져 할로윈 분위기를 물씬 풍긴다.	      해저 왕국 테마를 입힌 새로운 어트랙션도 만나볼 수 있다.	 스릴 어트랙션이 많은 야외 매직아일랜드에 '머킹의 회전목마'가 오픈했다.	 말을 타는 일반적인 회전목마와 달리 돌고래, 해마, 물고기 등 귀여운 바다 생물로 꾸며져 있어 이색적인 재미를 선사할 예정이다.	   실내 어드벤처에서 진행되는 할로윈 공연도 빼놓을 수 없는 볼거리다.	      할로윈 호박, 유령, 드라큐라 등 로티, 로리와 큐티 할로윈 캐릭터들이 총 출동하는 '로티스 할로윈 파티 퍼레이드'는 시즌 별로 색다른 콘셉트로 진행되는 퍼레이드 중 가장 인기가 높다.	 다양한 할로윈 캐릭터들과 함께 율동을 즐기다 보면 어느새 행복한 기분에 빠져든다.	 저녁 6시 30분엔 메인 무대인 가든 스테이지에서 오랜 잠에서 깨어난 할로윈 고스트를 주인공으로 한 뮤지컬 쇼 '드라큐라의 사랑'도 진행된다.	    롯데월드를 찾은 방문객들의 수많은 인생샷을 책임진 셀프 포토 스튜디오  ‘그럴싸진관‘ 역시 가을을 맞아 새단장을 마치고 16일부터 재오픈했다.	 할로윈 분위기를 반영한 ‘할로윈 마녀의 숲 부스’,  캠핑장에 온 듯한 분위기를 연출하는 ‘가을 캠핑 부스’ 등 가을 시즌에 걸맞는 컬러와 트렌드를 반영한 부스들을 새로 추가했다.	      매직 아일랜드에도 오감을 자극하는 할로윈 콘텐트들이 가득 차 있다.	 올해는 ‘언택트’ 트렌드에 맞춰 관객과 직접 접촉하는 콘텐트를 줄이고 멋진 인증샷을 남길 수 있는 포토존과 공연 등 볼거리를 강화했다.	 먼저, 실내 어드벤처에서 매직아일랜드로 이어지는 메인브릿지부터 좀비에게 습격받은 경찰차, 좀비가 거꾸로 매달린 호러 공중전화박스 등 할로윈 분위기를 물씬 풍기는 포토존들이 있으니 그냥 지나치지 말자.	 해가 진 뒤부터는 매직아일랜드에서 본격적인 공연과 퍼포먼스가 진행된다.	 마치 해외 테마파크에 온 듯한 이색적인 분위기와 화려한 연출을 경험할 수 있다.	 ‘빅 대디’와 좀비들이 매직캐슬을 점령하며 화려한 불기둥과 함께 퍼포먼스를 선보이는 '캐슬 좀비 M' 공연은 매일 2회 진행되며, 1회차는 일몰 시간을 고려하여 유동적으로, 2회차는 저녁 8시에 진행된다.	     워크스루형 호러 어트랙션 '좀비프리즌'은 다양한 협업을 통해 리얼함을 극대화했다.	 매니아들 사이에서 인기가 많은 인플루언서 ‘왓섭’이 프리퀄 스토리를 구성했고, 국내 유명 영화 세트 제작사와 함께 실감나는 감옥 시설을 제작했다.	 호러 영상관 '좀비 씨어터'는 총 2가지 호러 영상 콘텐트를 교차 상영해 손님들이 보고 싶은 영상을 선택할 수 있으며, 상영 도중 예기치 못한 특수효과들이 몰입도를 더해준다."
"대표 형사입건 JW중외제약, 수백억원 조직적인 리베이트 의혹","   JW중외제약이 조직적으로 리베이트를 제공했다는 정황이 드러나고 있다.	 한 해 100억원 이상을 리베이트 자금으로 사용한 것으로 알려지면서 수사는 오너일가를 향하고 있다.	    경찰청 중대범죄수사과는 지난 14일 리베이트 의혹을 조사하기 위해 중외제약 서울 서초동 본사를 압수수색했다.	 지난 7월에 이어 이번이 두 번째 압수수색이다.	 신영섭 중외제약 대표이사를 비롯해 병원사업본부장 등 4명이 형사 입건됐다.	 경찰은 2016~2019년 중외제약이 수백억원대 리베이트를 제공한 것으로 보고 회계 장부를 확보하려 했지만 관련 문건의 상당수가 파쇄된 것을 확인했다고 밝혔다.	 ‘영업맨’ 출신인 신 대표가 입건되면서 리베이트 의혹의 전모가 드러날 전망이다.	 경찰에 따르면 중외제약은 600여 곳의 병원에 뒷돈을 준 혐의를 받고 있다.	 서울아산병원과 삼성서울병원·세브란스병원 등 대형병원들이 모두 포함된 데다 전국적으로 리베이트를 행한 증거를 확보한 것으로 알려졌다.	    이에 대해 중외제약 측은 “모든 영업 행위를 리베이트로 의심하고 있는데, 수사 결과가 나올 때까지 성실히 조사에 임하겠다”고 말했다.	    중외제약은 자사 약품을 처방하는 대가로 의사들에게 금품을 제공한 혐의를 받고 있다.	 속칭 ‘카드깡’ 등 다양한 수법을 통해 리베이트 자금을 마련한 것으로 파악되고 있다.	 경찰은 임직원의 계좌번호를 제출하라는 요구에도 중외제약이 비협조적이었다고 밝혔다.	    현재 대형병원뿐 아니라 공공의료기관 소속 의사까지 전방위적으로 사건에 연루된 것으로 파악되고 있다.	 특히 2016년 한해 사용한 리베이트 규모만 100억원이 넘는 것으로 알려졌다.	 중외제약의 수액이나 항생제를 처방하면 의약품 가격의 일부를 리베이트로 건네는 방식이다.	    중외제약은 ‘사람을 살리는 생명수’인 수액을 최초로 국산화하는 등 국내 수액 점유율 부동의 1위를 지키고 있다.	 하지만 수액은 수익이 낮은 의약품이라 이경하 중외제약 회장 등은 최근 정체된 실적을 개선할 돌파구 마련에 심혈을 기울여왔다.	 중외제약은 불과 10년 전만 해도 국내 5위 안에 들었지만 매출이 5000억원대에 머물면서 10위권 밖으로 밀려났다.	    업계 관계자는 “중외제약이 수액과 다른 의약품을 묶어 패키지로 판매한다는 등 말이 많았다""며 ""블록버스터 약품의 매출과 맞먹는 100억원 이상을 1년 리베이트로 사용했다면 조직적이라고 밖에 볼 수 없다”고 말했다."
"정부, 수도권 방역강화조치 무기한 연장","  정부가 수도권을 중심으로 확산 중인 코로나19 집단발병 사태에 대처하기 위해 현행 수도권 방역강화 조치를 무기한 연장하기로 했다.	 중앙재난안전대책본부는 오는 14일이 시한인 수도권 방역 강화조치를 신규 확진자 수가 한 자릿수로 줄 때까지 유지한다고 12일 밝혔다.	    이에 따라 지난달 29일 2주간 한시적으로 수도권에 내려졌던 박물관·동물원 등 공공시설 8000여 곳의 운영중단, 유흥주점·학원·PC방 등 고위험시설 운영 자제, 수도권 주민 대외활동 자제 등의 조치는 앞으로도 계속된다.	    중대본은 또 방역수칙을 강제로 적용하는 고위험시설을 유흥주점과 노래연습장 등 기존 8개 업종에 더해 함바식당, 인력사무소, 포교시설 등으로 확대해 관리를 강화하는 동시에 확진자 발생 시 신속한 역학조사가 이뤄질 수 있도록 수도권에 역학조사관을 확대 배치하고 경찰청 신속대응팀과 상시 협력체계를 갖추기로 했다.	    중대본은 특히 고위험시설에만 적용되는 전자출입명부 의무화 제도를 수도권 학원과 PC방으로 확대하기로 했다.	    이와 함께 고시원, 쪽방촌, 함바식당 등 제도밖 시설 종사자에 대해서도 증상 유무와 관계없이 진단검사를 시행함으로써 집단감염 가능성을 조기에 차단키로 했다.	 필요할 경우 한시적으로 무료 검사 대상 확대도 검토할 방침이다.	    중대본은 아울러 코로나19 예방 및 확산 저지를 위해 마스크 착용 의무 수칙도 마련키로 했다.	    구체적으로 다중이용시설에서 마스크 착용이 일상화되도록 홍보 활동을 늘리는 동시에 벌금 부과를 비롯한 행정조치도 강화해 나갈 계획이다.	 여름철에 착용하기 좋은 비말 차단용 마스크 공급량도 늘릴 방침이다.	 박능후 중대본 1차장은 브리핑에서 ""다시 '사회적 거리두기'로 돌아갈 경우 빚어질 수 있는 등교 수업 차질과 생업 피해를 최소화하면서도, 수도권에 집중된 연쇄감염의 고리를 차단하기 위해 이런 조치를 마련했다""고 설명했다."
"게임위·세종청, 2800억 불법 도박 게임 일당 15명 검거","  게임물관리위원회는 세종지방경찰청과 전국 성인PC방에 불법 도박 게임사이트와 게임머니를 판매·유통해 2800억원 규모의 도박을 하게 한 일당 15명을 검거했다고 30일 밝혔다.	   국내 총판 일당 총책 40대 A씨 등 15명은 2018년부터 국내 오피스텔에 콜센터 사무실을 갖추고 전국 성인PC방에 맞고, 바둑이, 포커 등 도박게임을 제공하며, 게임머니를 판매, 유통해 성인PC방을 찾는 손님들에게 베팅액 합계 2800억 원대 도박을 하게 하고, 85억 원의 게임머니를 환전해 20억 원의 부당이익을 챙긴 혐의를 받고 있다.	    또 수익을 늘리기 위해 영업실장은 성인PC방 가맹점을 모집하고, 총판은 게임머니를 유통해 손님들에게 도박게임을 하게 한 뒤 베팅액에 따른 일정 수수료를 분배해 수익을 얻는 조직적 범행을 한 것으로 드러났다.	    게임위는 해당 게임물에 대해 게임법 제24조 및 같은 법 시행규칙 제14조에 따라 등급분류 결정을 즉시 취소했다."
"편의점서 맥주 살때 신분증 없어도 된다…폰만 있으면 ""PASS""","  앞으로는 편의점에서 술을 살 때 신분증 없이 휴대폰으로 간단히 성인 인증을 받을 수 있게 된다.	 편의점 CU와 GS25는 이동통신 3사와 함께 모바일로 운전면허증을 확인할 수 있는 서비스를 운영한다고 23일 밝혔다.	    CU는 지난 22일부터 이미 서비스에 들어갔고, GS25는 오는 24일부터 서비스를 개시한다.	      이 서비스는 이동통신 3사가 공동운영하는 패스 애플리케이션을 기반으로 하고 있다.	    운전면허가 있는 고객이 패스 앱 내에서 모바일 운전면허 확인서비스 이용 약관에 동의한 후 인증을 거쳐 실물 면허증을 카메라로 촬영하면 된다.	    이렇게 PASS 앱에 저장된 신분 정보는 편의점의 판매시점 정보관리 시스템, 경찰청·도로교통공단의 운전면허정보 자동 검증 시스템과 실시간 연동돼 판매자는 고객의 미성년자 여부를 바로 확인할 수 있다.	 PASS 앱에서 지문이나 핀 번호로 면허증 진위와 신청자 동일인 여부를 확인하는 만큼 신분증 도용이나 개인정보 유출 문제도 차단할 수 있다고 CU 측은 설명했다.	    CU 관계자는 ""하루 수백명이 방문하는 편의점에서 근무자와 고객 간 불필요한 오해 없이 명확하게 본인 인증이 이뤄질 수 있다는 점이 가장 큰 장점""이라고 말했다."
"검찰, ""결함 은폐 의혹"" BMW코리아 압수수색","  검찰이 BMW의 '차량 결함 은폐 의혹'과 관련해 BMW 서울 사무실 등을 전격 압수수색했다.	    16일 검찰에 따르면 서울중앙지검 형사 5부는 이날 자동차 관리법 위반 혐의로 서울 중구에 있는 BMW 사무실과 강남에 있는 이 회사 서버 보관소 등을 압수수색했다.	    지난해 11월 경찰이 사건을 송치한 지 11개월 만이다.	 당시 경찰은 BMW 본사와 BMW코리아 등 법인 2곳, 김효준 BMW코리아 회장을 비롯한 임직원 등 8명을 자동차관리법 위반 혐의로 기소 의견을 냈다.	 이들은 BMW 차량에 들어가는 EGR 결함을 알고도 이를 축소·은폐한 혐의를 받는다.	    BMW의 결함 은폐 의혹은 2018년 이 회사 차에서 연이어 불이 나면서 불거졌다.	     의혹이 확산하자 BMW는 그해 7월 ""2016년부터 유럽에서 비슷한 엔진 사고가 있어 원인 규명을 위해 실험해왔는데 최근에야 EGR 결함이라는 결론이 나왔다""면서 리콜을 시행했다.	     국토교통부는 민·관 합동조사단을 꾸려 결함은폐 의혹을 조사하고, BMW가 2015년부터 결함을 인지하고도 은폐·축소했다고 발표했다.	    피해를 본 BMW 차주 등 소비자들은 이 회사 독일 본사와 한국지사, 회장 등 관계자들을 고소했다.	 이들은 BMW코리아 등을 상대로 집단 손해배상 소송도 법원에 제기한 상태다."
"안전도, 실적도 모두 경고등…그래도 최정우 포스코 회장 연임?","   최정우 포스코 회장이 취임하자마자 ‘안전 시스템 구축’을 천명했지만 인명사고가 끊이지 않고 있다.	 게다가 포스코는 창립 이후 처음으로 올해 2분기에 적자를 기록하는 등 실적도 암울한 상황이다.	 안전과 실적 모두 낙제점에 가까운 성적표를 받았음에도 최정우 회장의 연임이 착착 진행되고 있어 과연 적절한지 의문이 제기되고 있다.	       25일 업계에 따르면 최 회장은 이달 이사회에서 연임 의사를 밝혔다.	 지난 23일 사외이사 7명으로 구성된 CEO 후보추천위원회가 최 회장의 연임 자격 심사에 들어간 것으로 알려졌다.	 포스코는 정관상 임기 종료 3개월 전까지 연임 의사를 밝히도록 규정하고 있고, 최 회장의 임기는 내년 3월까지다.	      공교롭게도 이런 소식이 알려진 다음 날인 24일 포스코 광양제철소에서 인명사고가 발생했다.	 산소공급용 배관설비 작업 도중 폭발사고로 포스코 직원 1명과 협력업체 직원 2명이 사망했다.	 25일 경찰과 국립과학수사연구원, 고용노동부 여수시청, 소방청 감식반 등이 사고 원인을 밝히기 위해 합동 감식에 들어갔다.	      사망자가 3명이나 발생하자 포스코는 이날 최 회장 명의로 사과문을 냈다.	 회사 측은 “광양제철소 산소 배관설비 사고에 대해 머리 숙여 깊이 사과드린다”며 “우리의 일터 현장에서 고귀한 목숨이 희생된 데 대해 참담하고 안타까운 마음 금할 길이 없다.	 저희를 지켜봐 주시는 지역사회에도 걱정과 심려를 끼쳐드려 진심으로 죄송한 마음이다”고 고개를 숙였다.	 그러면서 “신속한 사고수습을 위해 최선을 다하고, 무거운 책임감을 느끼고 후속 조치에 모든 힘을 기울이겠다”고 했다.	     항상 인명사고가 나면 그때뿐이라 민주노총 금속노조 포스코지회는 “원인 규명과 책임자 처벌이 없다면 화재와 폭발, 죽음과 부상이 끊이지 않는 전쟁터 같은 포스코는 계속될 것”이라고 근본적인 대책을 요구했다.	        포스코에서는 최근 3년간 연말·연초면 어김없이 인명사고가 일어나고 있어 안전체계에 구멍이 뚫렸다는 지적이다.	 포스코는 2018년 1월 포항제철소에서 외주업체 노동자 4명의 질소질식 사망사고 직후 ‘3년간 1조1050억원 투입, 안전 전문인력 200여 명 확보’ 등의 대책을 내놓았지만 해결책이 되지 않고 있다.	 2018년 6월 광양제철소에서 3t 크레인에 끼여 노동자 1명이 사망하는 사고가 일어났다.	      지난해 12월 24일에는 광양제철소에서 배열 발전 설비 중 폭발이 일어나 5명이 부상을 입는 사고가 발생했다.	 폭발음으로 인해 땅이 흔들리기도 해 안전을 위해 이순신대교가 통제되기도 했다.	 포스코의 책임자가 당시 현장에 없었던 것으로 알려져 과실치상 혐의로 재판을 받기도 했다.	     포스코는 안전사고가 계속되고 있지만 기존 안전 시스템 투자를 계속한다는 말만 할 뿐이다.	 포스코 관계자는 “2018년 이후 계획대로 안전 시스템에 대한 투자가 이어지고 있다.	 현재 24일 폭발 사고 원인을 조사 중이다”고 말했다.	       최 회장이 2018년 7월 취임 이후 포스코의 실적 성적표도 좋지 않다.	 2017년에는 순이익 2조9735억원을 기록했지만 2018년부터 3년 연속으로 순이익 1조원대에 머무를 것으로 보인다.	     올해는 1968년 창사 이후 처음으로 분기 적자를 기록하기도 했다.	 글로벌 금융위기 때에도 흑자를 기록했지만 코로나19가 덮친 올해 2분기에는 매출 5조8848억원, 영업손실 1085억원에 머물렀다.	 1968년 포스코 창사 이후 처음으로 분기 적자를 기록했다.	     그나마 다행인 것은 3분기에는 중국과 미국, 유럽 등에서 철강 업황이 조금씩 회복돼 다시 흑자로 돌아섰다는 점이다.	 하지만 올해는 매출 60조원 달성은 쉽지 않을 전망이다.	     포스코 관계자는 “자동차 등 고부가가치 철강의 회복 덕분에 흑자로 전환했지만 코로나19 재확산이 염려된다”고 말했다.	    포스코 회장 자리는 정권의 입김이 크게 작용한다.	 항상 정권이 바뀔 때마다 중도 퇴진하는 ‘잔혹사’가 이어지고 있다.	 최 회장은 문재인 정부가 들어서면서 퇴임한 권오준 회장 뒤를 이어 9대 회장이 됐다.	 전직 회장들과는 달리 비제철소장·비엔지니어·비서울대 경력으로 새로운 바람을 일으킬 것으로 기대를 모았지만 이렇다 할 업적을 남기지 못하고 있다.	    최 회장이 과연 경영성과·대내외 평가·미래 전략 등에 대한 추천위의 심사를 통과할 수 있을지 주목된다.	     CEO 후보추천위원회는 내달 11일에 예정된 이사회에서 최 회장의 최종후보 추천 여부를 결정할 것으로 전해졌다."
"블루투스 셀카봉 브랜드 루이트, ‘짐벌 셀카봉 RT-JS7’ 업그레이드 모델 출시","  블루투스 셀카봉 브랜드 루이트가 상반기 출시한 7세대 줌기능 블루투스 ‘짐벌 셀카봉 RT-	JS7’ 업그레이드 모델을 출시했다고 밝혔다.	 업체 측은 신제품 7세대 줌기능 블루투스 ‘짐벌셀카봉 RT-	JS7’는 제조사의 제품에 완성도를 더욱 높인 ODM 제품이라고 소개했다.	 특히 기존 6세대 짐벌에 루이트와 제조사가 공동개발한 리모컨을 탑재한 특징이 있으며, 삼각대부분은 루이트와 제조사가 공동개발로 6세대에 비해 더욱 안정적으로 개선, 기존 삼각대에 비해 지탱범위가 더욱 넓어져 파손될 확률을 대폭 낮췄다고 설명했다.	 또한 S사 노트사이즈 크기의 스마트폰에 맞춰 상반기 출시된 제품을 더욱 업그레이드하여, 짐벌홀더의 버튼을 누를 때마다 90도씩 360도 자동회전을 할 수 있도록 사용자의 편의를 더욱 제공한 짐벌셀카봉이 되었다고 덧붙였다.	 루이트 7세대 줌기능 블루투스 짐벌셀카봉 RT-	JS7은 1인미디어시대에 인플루언서들이 중요시여기는 5in1 셀카봉으로써 셀카봉, 삼각대, 거치대, 짐벌에  리모컨탑재 올인원 셀카봉으로 호응을 얻고 있다.	 또한 다기능 홀더로 휴대폰은 물론 액션캠까지 활용할 수 있으며, 무선수신거리 최대 10M의 탈부착형 충전식 블루투스리모컨을 활용해서 삼각대로 사용할 수 있는 특징이 있다.	 루이트는 2013년 10월 국내최초 블루투스 삼각대 셀카봉 WS 801을 제작, 루이트 자사브랜드 출시와 함께 후속제품 RT 901, RT 916 , RT 928 , RT-	 645B, RT -645B PLUS 삼각대 셀카봉을 선보이고 있다.	 또한 상반기에 LCD 표시되는 5A 초고속 충전용 C타입 케이블 출시예정에 있으며, 경찰청 방범보안관련 장치 등 공공기관에 필요한 전자제품 PCB기판설계제작 및 기능개발대행 등의 사업도 병행중이다.	 한편, 루이트는 다양한 신제품 출시를 기념해 프로모션 및 스타벅스 기프티콘, 고급 EVA하드케이스 증정 이벤트를 진행 중이라고 밝혔다.	   ▶    ⓒ  and JTBC Content Hub Co.	, Ltd."
"미국 코로나19 10만명 돌파, 확진자 폭증","    미국의 신종 코로나바이러스 감염증 확진자가 벌써 10만명을 넘어섰다.	      미 존스홉킨스대학은 27일 기준 미국의 코로나19 확진자 수가 10만717명이라고 발표했다.	 사망자는 1554명으로 집계됐다.	 미국은 전날 중국과 이탈리아를 제치고 세계에서 코로나19 확진자가 가장 많은 나라로 올라선 데 이어 이날 10만명도 돌파했다.	 미국의 확진자 수는 이탈리아나 중국을 훌쩍 뛰어넘는 것이다.	    미국의 코로나19 확진자는 지난 19일 1만명을 넘긴 뒤 21일 2만명을 돌파했고, 이후 22일 3만명, 23일 4만명, 24일 5만명, 25일 6만명, 26일 8만명 등으로 증가하며 가파른 상승 곡선을 그려왔다.	 이날 1만5000명 이상이 증가하며 10만명을 돌파했다.	 올해 1월 21일 첫 코로나19 확진자가 나온 뒤 1만명이 될 때까지는 2개월이 소요됐지만 1만명에서 10만명으로 불어나는 데는 불과 8일밖에 걸리지 않았다.	 미국에서 며칠 새 이처럼 코로나19 확진자가 폭발적으로 증가한 것은 테스트 키트가 보급되며 검사가 대폭 확대됐기 때문이다.	    그러나 더 본질적으로는 그동안 검사 키트 부족, 안이한 대처 등으로 미국의 보건·의료 체계가 이를 조기에 포착하지 못했다는 의미로 풀이된다.	    미국에서 코로나19 확진자가 가장 많이 발생한 뉴욕주에서는 이날 하루 새 7300여명이 증가하며 4만4600명으로 늘었고, 사망자는 134명 증가한 519명이 됐다.	 앤드루 쿠오모 뉴욕주지사는 약 21일 후가 신규 확진자 발생의 정점이 될 가능성이 있다고 판단하고 있다며 그때가 되면 뉴욕주에는 14만 개의 병상이 필요할 것이라고 말했다.	      또 뉴욕에서는 경찰관과 소방관 등 공공 서비스 종사자들까지 코로나19에 집단 감염된 것으로 나타났다.	 뉴욕경찰서에서는 경찰관 등 최소 512명이 코로나19 양성 판정을 받았고, 뉴욕소방서에도 소방관과 응급의료 요원, 일반 직원 등을 포함해 최소 206명이 양성 진단을 받았다."
