0,"""독감 백신 접종"" 고3, 이틀 뒤 사망…""사인 조사 중""--0",독감 백신을 맞은 10대 학생이 이틀 만에 숨졌습니다	특별히 앓고 있던 질환이 없었던 고등학교 3학년 학생으로 백신 사망한 건지는 아직 알 수 없습니다	질병관리청이 연관성을 조사하고 있습니다	입니다	인천에서 사는 열일곱 살 A군은 지난 14일 동네 의원에서 독감 백신을 맞았습니다	청소년 무료 독감백신인데 접종 특이 증상은 없었습니다	이틀 뒤 집에서 숨진 채 발견됐습니다	평범한 고3 학생으로 기저 질환도 없던 것으로 알려졌습니다	독감백신이 사망과 연관이 있는지도 확실치 않습니다	경찰은 국과수에 A군의 부검을 의뢰했습니다	A군이 맞은 백신은 상온노출 논란을 빚은 신성약품이 배송한 제품입니다	직접 상온에 노출된 백신은 아니었고 회수 대상도 아니었습니다	전문가들은 독감 백신으로 사망하는 경우는 드물다고 말합니다	지금까지 신고된 독감 백신 증상은 353건입니다	알레르기와 발열 등의 증상이 나타났습니다	질병청은 사례들도 독감백신 접종과의 연관성을 조사 중입니다	Copyright by All Rights Reserved
1,인천 폐기물처리장서 불…30층 높이까지 시커먼 연기--0,오늘 불이 난 현장을 보겠습니다	인천의 폐기물처리장 동두천의 쓰레기 처리업체에서 불이 크게 났습니다	인천에선 건물 30층 높이까지 검은 연기가 올랐고 불길은 6시간 넘게 잡히지 않고 있습니다	동두천에선 굴뚝이 무너지면서 소방관 4명이 다쳤습니다	입니다	시커먼 연기가 하늘을 뒤덮습니다	연기는 그대로 인근 아파트 단지로 향합니다	놀란 주민들이 소방에 신고한 건수만 190건이 넘습니다	오늘 오후 인천의 한 폐기물 관리업체에서 불이 났습니다	다행히 인명피해는 없었지만 해가 진 이후에도 진화 작업은 계속되고 있습니다	철골 구조물이 겹겹이 쌓여있는 데다 바람도 강해 진화 작업에 어려움을 겪고 있는 겁니다	경찰과 소방당국은 폐기물 소각 과정에서 실수로 불이 번진 것으로 보고 정확한 화재 원인을 조사 중입니다	인근 주민들은 업체가 자주 폐기물을 태워 불편을 겪어왔다고 주장했습니다	경기도 동두천시의 한 쓰레기 처리시설에서도 불이 4시간 30분 만에 불길이 잡혔습니다	화재를 진압하는 과정에서 굴뚝이 무너지며 소방관 4명이 크고 작은 부상을 입었습니다	가운데 한 명은 머리를 크게 다쳐 중환자실에서 치료를 받고 있습니다	Copyright by All Rights Reserved
2,"""의회 쿠데타"" 국민 분노…페루 ""대통령 탄핵"" 후폭풍｜아침& 세계--0",지난 1963년 우리나라와 수교를 맺은 이후 꾸준하게 교류를 이어가고 있는 우방국이죠	남미 페루에서 지난 9일 마르틴 비스카라 대통령이 탄핵을 당했습니다	정국은 혼란에 휩싸였습니다	페루 국민들은 탄핵을 인정할 수 없다며 항의 시위를 벌이고 있습니다	페루의 수도 리마에 있는 국회 의사당 앞 비스카라 대통령 탄핵에 찬성한 국회의원이 방송 인터뷰를 하던 도중 갑자기 달려든 남성으로부터 얼굴을 폭행 당했습니다	페루 국민들은 대통령 탄핵에 강하게 분노하고 있습니다	페루 전역에서 항의 시위가 나흘째 계속되고 있습니다	경찰이 강경 진압에 나서면서 부상자도 속출하고 있습니다	페루의 한 여론 조사 결과에 따르면 80 가까운 응답자가 대통령 탄핵에 반대했습니다	시위대는 비스카라 대통령의 탄핵은 의회의 쿠데타라고 주장하고 있습니다	직접 들어보시겠습니다	탄핵을 당한 비스카라 전 대통령은 2018년 취임할 때부터 부패 척결에 총력을 기울였습니다	최근 수십 가장 인기 높은 대통령이라는 평가를 받기도 했습니다	의회는 비스카라 전 대통령이 주지사 시절 기업들로부터 돈으로 치면 7억원 가량의 뇌물을 받았다는 의혹을 문제 삼아 탄핵안 투표를 강행했습니다	백 서른 명 가운데 백 명의 압도적인 찬성으로 탄핵안을 통과시켰습니다	비스카라 전 대통령은 뇌물 혐의를 강하게 부인하고 있지만 의회의 결정은 받아 들이겠다고 말했습니다	들어보시죠	비스카라 전 대통령이 물러나고 하루 만인 지난 10일 헌법에 마누엘 메리노 국회 의장이 임시 대통령에 취임했습니다	의회가 국민의 공감대도 없이 확인되지 않은 부패 혐의를 빌미로 대통령을 무리하게 탄핵 시켰다는 비판은 이어지고 있습니다	비스카라 전 대통령이 반부패 개혁을 추진하면서 의회와 갈등을 빚었던 만큼 의회가 부패한 기득권 세력이라는 이미지가 강해서 시민들의 항의 시위는 계속될 것으로 전망됩니다
3,"""의회 쿠데타"" 국민 분노…페루 ""대통령 탄핵"" 후폭풍｜아침& 세계--1",최악의 정치적 위기를 맞은 페루의 상황 전문가와 더 자세하게 짚어보겠습니다	임수진 대구 가톨릭대 중남미 학부 교수 전화로 연결돼 있습니다	Q	A	아직 뇌물수수에 대한 명확한 증거가 나오지 않은 상태기 의혹만으로 탄핵을 할 수가 없다	국민들은 대통령 퇴임 이후에 검찰수사에 임해야 한다고 지금 주장을 하고 있습니다	비스카라가 취임 일성으로 부패와의 전쟁을 강조했던 이유는 전임 대통령들과 대통령 후보들이 줄줄이 부패혐의로 수감되었고요	자살까지 하는 그런 상황에서 사회 곳곳의 부패문제를 바로잡아달라는 것이 국민들의 요구였습니다	의회는 부패 척결을 반대하였고요	대통령이 취임 첫해인 2018년에 국민투표를 통해서 사법개혁 국회의원 연임금지 정치자금법 규제강화 법안을 통과시켰습니다	작년에는 의회를 해산했고요	이전 대통령 누구도 보여주지 못한 강력한 반부패 개혁정책으로 국민들의 신뢰가 높았습니다	Q	A	새로 선출된 현 의회 130명 의원 중에 68명이 부패혐의로 수사를 받고 있고요	증거불충분에 의한 혐의없음으로 사건이 종결된 경우가 더 있다고 하니까요	정치권의 부패가 심각한지 짐작하실 겁니다	비스카라 대통령은 연임 금지 규정으로 내년 대선에 출마를 할 수가 없고요	대선까지 남지 않았는데도 이렇게 탄핵을 추진한 것은 행정부를 의회가 장악을 해서 비스카라 대통령이 추진하려던 향후 추진하려던 반부패 개혁을 막고 의원들의 사법처리를 피하기 위한 것이 가장 큰 이유겠습니다	대통령이 추진하는 사회개혁 프로그램을 의회에서 반대해 왔는데요
4,"""의회 쿠데타"" 국민 분노…페루 ""대통령 탄핵"" 후폭풍｜아침& 세계--2",여당 의석이 1석도 없는 상황에서 의회 표결만으로 대통령 탄핵이 가능한 페루의 탄핵절차도 무리한 탄핵 강행에 영향을 끼쳤다고 봅니다	Q	A	지금 페루는 메리노는 대통령이 아니다라는 구호로 저항 중입니다	먼저 내각이 교체되면서 경제와 방역에 적절히 대처할 수 있을지 의문이고요	무엇보다 중요한 문제는 내년 4월 예정인 대선이 민주적으로 실시될 수 있을지 여부입니다	이미 내각을 구성하였고요	선거위원회 위원도 교체한 상황입니다	최악의 경우에는 볼리비아의 상황	1년 전에 대통령이 부정선거 의혹으로 축출되고 상원부의장이 임시 대통령을 민주주의에 역행하는 그런 상황으로 갈 수도 있습니다	이제 미주기구 OAS는 페루 헌법재판소의 도덕적 무능이라는 탄핵사유가 적법성이 있는지 정당한지에 조속한 심판을 요구한 상황이고요	앞으로의 전국 향방은 과정과 결과에 달려 있다고 보겠습니다	페루는 남미에서 코로나19 인구대비 사망자가 가장 많고 국내총생산이 올해 12 감소할 것으로 발표되는 최악의 경제난까지 겪고 있습니다	이같은 상황에서 국민들의 지지를 얻고 있는 대통령의 갑작스러운 탄핵으로 정국 혼란까지 더해졌습니다	국민들의 분노가 극에 달하면서 후폭풍이 어디까지 이어질지 알 수 없는 상황입니다	Copyright by All Rights Reserved
5,인천 계양구 제1순환고속도로서 차량 3대 추돌사고--0,5일 밤 10시 20분쯤 인천시 계양구 수도권 1순환 고속도로 서운 분기점 부근에서 3중 추돌 사고가 일어났습니다	승용차가 차선을 바꾸려다가 앞서가던 SUV와 부딪혔고 이후 사고 현장을 보지 못한 차가 앞선 차량들을 들이 받았습니다	경찰은 블랙박스 영상 등을 토대로 사고 원인을 조사하고 있습니다	Copyright by All Rights Reserved
6,"추미애 장관 ""검찰, 조국 일가에 과잉·무리한 수사""--0",추미애 법무부 장관의 윤석열 검찰총장 때리기가 연일 이어지고 있습니다	어제 법사위에선 코로나19의 초기 방역 실패가 검찰이 자신의 지시를 따르지 않았기 때문이라고 지적했고 조국 전 장관에 대해서도 무리한 수사였다고 비판했습니다	가운데 조 전 장관 일가에 대한 첫 법원의 판단이 나왔는데요	사모펀드 의혹의 핵심인 5촌 조카에 대해 법원이 징역 4년을 선고했습니다	오늘 최 반장 발제에서 관련 소식 짚어보겠습니다	그렇습니다	추 장관은 앞서 국회 법사위에 출석해서는 바람직하지 않다 옳지 않다 는 표현으로 윤 총장의 결정을 비판했고 법의날 행사에선 법 기술을 부리고 며 날 선 표현을 쓰기도 했죠	지난 25일엔 오전에 한동훈 검사장을 법무부가 직접 감찰하도록 지시하고 오후엔 공수처 공청회에서 검찰이 정치를 하듯 왜곡된 수사 한다고 때린 이후 민주당 초선 의원들 내 지시를 잘라 먹었다 며 하루에 삼연타를 날렸습니다	어제 법사위에서도 어김없이 윤 총장이 등장했습니다	코로나19에 대한 검찰의 책임론이 제기된 겁니다	질문은 추미애 장관이 준비를 아주 조리있게 잘하신 분들은 밤을 새셨다고 하더라고요	김땡국	이렇게 칭찬을 아끼지 않았던 분이 꺼냈는데요	사실 추미애 장관이 이날 오전 소셜미디어에 올렸던 글에도 있던 내용입니다	추 장관의 답변은요	검찰의 수사라는 건 범죄 혐의가 있어야 하는 것이지 여론이 높다고 할 수 있는 게 아니라는 걸 두 분도 잘 알고 있을 겁니다	특히나 당시 방역 책임자는 강제수사에 나설 경우 방역에 부정적일 수 있기 협조를 요청하는 게 맞다는 입장을 밝힌 바 있습니다	추미애 장관은 전임인 조국 전 장관 일가에 대한 검찰 수사에 대한 입장도 공식 석상에서 처음으로 밝혔는데요	민주당 신동근 의원이 검찰의 공정성에 의심이 간다 고 지적하자 이렇게 답합니다	이를 두고 통합당 조수진 대변인 언제쯤 조국 씨 얘기를 꺼낼까 했는데 드디어 범법자를 소환했다 며 법무행정을 총괄하는 법무부 장관이 재판 중인 사안에 대해 직접 발언하는 건 처음이다
7,"추미애 장관 ""검찰, 조국 일가에 과잉·무리한 수사""--1",한마디로 코미디 라고 비난했습니다	통합당이 참석하지 않으면서 법사위에 유일한 야당 의원이 한 명있죠	열린민주당 김진애 의원입니다	김 의원은 건축학을 전공한 비법조인인데요	그러다 보니 자신이 법사위에 나오는 것을 두고 제가 앉아 있는 거 굉장히 의외시죠	굉장히 엉뚱할 수도 있고요	아주 참신할 수 있을 같습니다	라고 앞서 예고하기도 했었죠	김 의원은 차례 법사위 회의에 나와보니 이상한 점을 발견했다고 문제제기를 했는데요	뭘까요	그렇습니다	검찰총장은 대검찰청에 대한 국정감사 외에는 사실상 국회에 출석하지 않습니다	나오라고 하는데 거부하는 게 아니라 통상 부르지 않는 건데요	김진애 의원은 검찰총장과 마찬가지 지위에 있는 사람들은 다 나오는데 검찰총장만 예외냐고 재차 추미애 장관에 물어봅니다	연일 윤 총장을 때리면서도 검찰총장을 법사위에 출석시켜야 한다는 요구엔 선을 그었습니다	사실 어제 법사위는 추경안을 심사하기 위해 소집이 된 것이었지만 4시간가량 진행된 회의에선 앞서 들으신 것처럼 현안 질의가 대부분이었고 추경안 심사는 전문위원이 수정한 대로 통과됐습니다	끝으로 어제 본회의에 출석한 추미애 장관입니다	본회의가 끝나고 자리에서 일어나 나가지만 알은체하는 사람이 없는데요	의원들에게 둘러싸인 유은혜 부총리와는 사뭇 달라 보였습니다	순간 포착이었고요
8,"추미애 장관 ""검찰, 조국 일가에 과잉·무리한 수사""--2",보시는 것처럼 이분 90도로 숙여서 추 장관에게 인사를 하는데요	열린민주당 최강욱 대표입니다	그러고 선 이렇게 장관을 향해 엄지척을 해 보이자 추 장관도 엄지를 추겨세우며 화답해 보입니다	발제 정리하겠습니다	조국 과잉 수사 코로나 방역 책임 윤석열 향한 진격의 추미애 Copyright by All Rights Reserved
9,"기분 나쁘게 쳐다봤다고…여중생 2명, 또래 학생 폭행--0",잊을만 하면 들려오는 소식입니다	광주광역시의 도심 한가운데서 여중생 두 명이 또래 학생 한 명을 마구 때렸습니다	기분 나쁘게 쳐다봤단 이유입니다	폭행 영상도 찍었는데 소셜미디어로 퍼져 나갔습니다	입니다	무릎꿇은 여학생의 머리채를 여학생이 잡고 있습니다	머리채를 이리저리 세차게 잡아당기기도 합니다	피해 학생이 비명을 지르자 비웃습니다	한쪽으로 몰아세워 놓고 놀리더니 때리기까지 합니다	광주의 한 중학교에 다니는 15살 A양이 또래 학생 2명에게 마구 맞았다고 경찰에 신고했습니다	폭행은 지난 18일 오후 6시쯤 있었습니다	가해 학생 2명은 비어있는 건물 3층 식당으로 A양을 끌고 머리채를 잡는 무차별적으로 폭행했습니다	피해 학생이 반말을 하고 기분 나쁘게 쳐다봤다며 마구 때린 겁니다	피해 학생은 가해 학생 1명과는 알고 지내던 사이였습니다	가해 학생들은 때린 것도 모자라 영상까지 찍었습니다	소셜미디어로 빠르게 퍼져 나갔습니다	경찰은 피해자 조사를 마친데 이어 가해 학생들을 차례로 불러 정확한 사건 경위를 조사하고 있습니다	Copyright by All Rights Reserved
