0,"서울북부지검, 박원순 전 서울시장 고소 사실 유출 의혹 사건 배당·수사 착수--0",검찰이 고 박원순 전 서울시장의 고소 사실을 유출했다는 의혹으로 청와대와 경찰 검찰 관계자들이 고발된 사건에 대해 본격 수사에 착수했다	대검찰청으로부터 지난 25일 해당 사건을 배당받은 서울북부지검은 27일 형사2부에 사건을 배당했다	지난달 시민단체 활빈단 한반도 인권과 통일을 위한 변호사 모임 은 공무상비밀누설 혐의로 이성윤 서울중앙지검장과 유현정 여성아동범죄조사부 부장검사 서울중앙지검 관계자들을 공무상 비밀누설 특정범죄자신고자 보호법 위반 직무유기 등의 혐의로 대검찰청에 고발했다	이들 단체는 지난달 7일 박 전 시장의 성추행 피해자 대리인이 유 부장검사에게 전화해 박 전 시장을 고소할 것이라며 면담을 요청했지만 거절당한 것을 문제 삼았다	박 전 시장에 대한 이들의 의혹이 지검장 등을 거쳐 법무부와 청와대에 보고됐을 것이라고 주장했다	서울중앙지검은 비서 측과의 통화 내용과 고소장이 경찰에 접수된 사실 등을 상급 기관에 보고하거나 외부에 알리지 않았다며 의혹을 부인했다	박 전 시장 피소 사실 유출 의혹 관련 사건 5건 서울북부지검이 수사할 예정이다
1,10대 남학생 성착취물 공유한 고교생 구속…수법이--0,텔레그램에서 10대 남학생들의 성 착취물을 공유하는 대화방을 운영한 고등학생이 경찰에 구속됐다	인천지방경찰청 사이버수사대는 29일 아동 청소년의 성보호에 법률 위반 혐의로 텔레그램 대화방 운영자인 고등학교 2학년생 A군을 구속했다고 밝혔다	A군은 지난달 중순부터 10여일간 10대 남학생 등을 협박해 동영상과 사진 성 착취물을 만들도록 한 뒤 중앙정보부 방 이라는 이름의 텔레그램 대화방에 이를 유포한 것으로 파악됐다	그는 지인들의 사진을 합성한 음란물을 만들어주겠다고 광고한 뒤 제작을 의뢰한 10대 남학생 등에게 이를 빌미로 성 착취물을 만들도록 협박하는 방식으로 범행했다	경찰 관계자는 현재까지 파악한 피해자는 6명으로 중 5명은 10대 라며 현재는 해당 대화방이 폭파 된 상태로 운영에 참여한 사람의 숫자는 정확하게 파악되지는 않았다 고 설명했다
2,"""제2의 정인이 막으려면 재학대 신고 아동부터 분리해야""--0",입양 271일 만에 양부모의 학대로 숨진 16개월 정인이 사건에 대해 충격이 가라앉지 않고	추모 물결이 이어지는 가운데 정인이 양부모에 대한 엄벌을 촉구하는 진정서를 쓰는 움직임까지 확대되면서 파문이 거세지고	4일 법원에 따르면 서울남부지법 형사합의 13부에 접수된 탄원서는 지난해 31일 기준 386건으로 파악됐다	이는 새해 주말 접수된 탄원서는 뺀 수치다	탄원서 제출을 주도한 공혜정 대한아동학대방지협회 대표는 4일 매경닷컴과의 통화에서 그것이 알고싶다 방영 이후 진정서가 들어가고 며 진정서는 저희로부터 시작됐으나 협회 차원이 아닌 전국민적인 차원이 돼야한다 고 밝혔다	이어 정인이를 막기 위해서라도 제도 개선이 시급하다고 강조했다	공 대표는 특히 재학대 신고 아이들만이라도 즉각 분리해서 제발 신체검사 해줬으면 좋겠다 며 아이가 맞기 전까지 부모가 제대로 아이를 훈육하는 방법을 배우고 인식 전환됐을때까지 장기적으로 분리했으면 한다 고 말했다	앞서 대한아동학대방지협회는 공식 블로그를 통해 16개월 입양아 진정서 양식 이라는 제목의 글을 올려 참여를 촉구했다	정인이 진정서 양식 파일 게재하고 참여를 촉구했다	해당 파일을 다운로드 받은 뒤 주민번호 앞자리 주소 전화번호 등을 작성하면 13일부터 서울남부지방법원에서 시작되는 정인이 양부모 공판에 진정서를 제출할 수	공 대표는 아동학대 예방에 대해 인식의 전환 가장 중요하다며 이를 위해 교육과 엄벌이 필요하다고 주장했다	그는 제도 이전에 사람이다	사람이 안하게 만들면 된다 며 아이를 때려서 가르쳐야 한다는 인식개선이 필요하다	제도나 시스템은 아동학대가 발생한 이후 필요하다 고 강조했다	공 대표는 학교 체벌 문제를 예로 들면서 이전엔 훌륭한 부모님들이 선생님께 회초리를 가져다 주는 체벌이 당연시 되는 분위기였다 며 학교 체벌 금지가 된 후부터는 처벌이 들어가니까 인식이 바뀌었다 고 말했다	이어 시대에 문화가 바뀌고 가치관이 변하는 이라고 덧붙였다	일선 경찰관들의 인식개선과 교육의 중요성도 강조했다	공 대표는 아동폭력 신고를 받고 출동한 경찰이 현장에서 맘때 아이들 다 울어요 맞은 곳이 더 심해지면 연락주세요 라고 말한다 며 경찰관이 대응 매뉴얼이	아동 발달을 비롯해 아동심리 아동 특성에 대해서도 교육시켜야 한다 고 강조했다	앞서 대한아동학대방지협회는 지난 2일 SBS 그것이 알고 싶다 방송된 이후 정인아 미안해 추모 챌린지를 제안한 바
3,"""제2의 정인이 막으려면 재학대 신고 아동부터 분리해야""--1",이에 시민들과 스타들이 소셜네트워크서비스를 중심으로 애도를 표했다	정인아 미안해 키워드를 해시태그로 사용한 게시물은 4일 오후 1시20분 기준 4만 4919개에 달한다	방탄소년단 지민은 지난 3일 오후 팬 커뮤니티를 통해 정인아 미안해 라고 적은 글을 게재했다	배우 이병헌의 아내인 배우 이민정은 아들 준후와 동참했다	이민정은 아들 준후가 정인아 미안해	준후 오빠가 라고 적은 사진을 공개하며 세상에 다시는 없어야 할	너무 마음이 아프다	소름이 끼친다 는 글을 올렸다	한편 경찰은 지난 11월 정인이 양부를 아동학대 방임 혐의로 불구속기소 양모를 아동학대치사 혐의로 구속기소 했다	양부모는 정인양에 대해 소파 위에서 첫째랑 놀다가 떨어졌다 며 사고사를 주장했다	전문가는 사망한 정인 양의 상태를 보고 배가 피로 가득 차 있었고 췌장이 완전히 절단돼 라고 주장했다	정인 양 양쪽 팔과 쇄골 다리 등에 골절이 있던 것으로 알려졌다	이들의 재판은 오는 13일 시작될 예정이다
4,9일새 코로나 34명…경북 예천 긴급행정명령--0,전국적으로 코로나19 사태가 진정세로 접어드는 가운데 경북 예천은 감염 사례가 이어지자 경북도가 예천 인근 지역에 긴급행정명령을 발동했다	경북도청 신도시가 들어선 예천군 일대와 안동시 등이 대상이다	이에 해당 지역에서 영업 중인 PC방 노래방 목욕탕 집단시설에 대해선 영업정지가 권고되고 집회 집합금지 시설 관리도 한층 강화된다	불가피하게 영업할 때에는 방역 수칙을 준수해야 하며 위반하면 벌금이나 영업정지 명령이 내려진다	경북도는 17일 예천에서 코로나19 감염이 지속되자 더 확산되는 것을 막기 위해 도청신도시 안동 예천에 긴급행정명령을 발동했다	예천에서는 지난 9일 40대 여성이 코로나19 확진 판정을 받은 뒤 가족과 직장 동료 등이 잇달아 확진 판정을 받는 지금까지 확진자 33명이 발생하며 지역사회에서 감염 공포가 번지고	경북도는 행정명령을 이행하기 위해 경찰 유관기관과 집중 점검반을 운영하고 구역별로 직원을 배치해 단속 강화에 나섰다	경북도는 19일까지 예정된 고강도 사회적 거리 두기를 26일까지 일주일간 연장한다	예천 지역 유치원과 초등학교 긴급돌봄 서비스도 이날부터 전면 중단했다	요양병원 요양원 집단감염 우려 시설은 코호트 격리에 준하는 관리에 들어가고 돌봄교실과 보육 노인 돌보미를 상대로 방역수칙 교육도 철저히 할 예정이다	도청에서는 직원 중 확진자가 발생하면 직원 3분의 1을 의무적 재택근무로 전환한다	경북도는 안동시와 예천군 간 방역 대책을 조정하는 특별합동방역본부도 가동했다
5,또 다른 박사방…12세도 운영진--0,텔레그램 n번방 유사한 인터넷 채팅 메신저 디스코드 아동 청소년 성착취물을 유포한 중 고교생 10명이 무더기로 경찰에 붙잡혔다	경기북부지방경찰청 디지털성범죄 특별수사단은 아동 청소년의 성보호에 법률 위반 성폭력 범죄의 처벌 등에 특례법 도박 개장 혐의로 20대 대학생 A씨를 구속했다고 7일 밝혔다	채널 운영자인 고교생 B군과 중학생 C군 채널 운영자는 아니지만 성착취물을 텔레그램이나 디스코드를 통해 재유포한 7명을 불구속 입건했다	A씨는 디스코드 채널 올 19금방 운영자로 여러 경로를 통해 입수한 아동 청소년 성착취물 등을 유포한 혐의를 받고	A씨는 텔레그램 채팅방 운영도 병행했다	그는 딥페이크 영상과 사진을 유포한 혐의도 받고	채널 회원에게 특정 도박사이트 회원 가입을 유도하는 홍보 대가로 범행 이익을 챙겼다	B군과 C군도 디스코드에서 채널을 운영하면서 아동 청소년 성착취물을 유포한 혐의를 받고	나머지 7명은 채널을 운영하지 않았지만 디스코드 1대1 대화를 통해 아동 청소년 성착취물을 재유포했다	이들 7명은 50대 남성 1명을 만 12 17세 미성년자로 확인됐다	이들은 1만 3만원 대가를 받고 내려받기 링크를 전송하는 방식으로 아동 청소년 성착취물 등을 재유포했다	소지한 영상물만 1만5600여 개에 달했다	경찰은 영상물을 압수해 삭제하고 채널은 폐쇄 조치했다	아직 검거되지 않은 86명에 대해서는 국제 공조를 통해 추적 수사를 하고
6,"법원, 대북전단 살포 탈북민단체 법인취소 효력정지--0",법원이 대북전단 살포 탈북민단체의 설립허가를 취소한 통일부 처분 효력을 정지시켰다 12일 서울행정법원 행정6부는 탈북민단체 큰샘이 통일부를 상대로 낸 비영리법인 설립허가 취소처분 집행정지 신청을 인용 결정했다고 밝혔다	설립허가 취소 여부를 다투는 본안사건 판결선고일로부터 30일까지 효력이 발생한다	재판부는 설립허가 취소처분으로 신청인에게 회복하기 어려운 손해가 발생할 우려가 있고 이를 예방하기 위해 긴급한 필요가 있음이 소명됐다 고 밝혔다	효력 정지로 인해 공공복리에 중대한 영향을 미칠 우려가 있다고 보기 어렵다 고 설명했다	통일부는 지난 6월 김여정 북한 노동당 제1부부장이 탈북자 단체의 대북전단 살포는 남북간 합의 위반이라고 주장하자 전단을 살포한 탈북민단체 큰샘을 경찰에 수사 의뢰하고 법인 설립허가를 취소했다	큰샘은 이에 반발해 지난 7월 설립허가 취소처분 취소소송을 내고 집행정지를 신청했다
7,광화문 집회 참석 후 인천서 확진된 70대 행방불명--0,인천시는 서울 광화문 집회에 참석한 후 신종 코로나바이러스 감염증 확진 판정을 받은 70대 남성의 행방을 확인할 수 없어 경찰에 소재 파악을 요청했다고 23일 밝혔다	A씨는 이달 15일 서울 광화문에서 열린 집회에 참석한 뒤 전일 인천시 서구보건소 선별진료소에서 검사를 받아 이날 확진 판정을 받았다	그는 경기도 군포시를 주소지로 한 주민등록이 말소돼 있으며 가족들에 실종 신고가 된 상태인 것으로 알려졌다	방역 당국은 A씨의 거주지가 확인되지 않고 연락도 닿지 않자 경찰에 소재 파악을 요청한 상태다
8,[종합] 해경 `北 피격 사망` 공무원 관련 자료 군 당국에 요청--0,서해 북단 소연평도 해상에서 사라졌다가 북한에서 피격돼 사망한 해양수산부 공무원의 실종 전 행적을 수사 중인 해양경찰이 군 당국에 월북 정황과 관련한 자료를 요청했다 26일 해경에 따르면 전날 해경청 총경급 간부와 수사관 등은 합동참모본부를 방문 지난 21일 실종된 해수부 서해어업지도관리단 소속 어업지도원 A씨 수사와 관련한 협조를 요청했다	해경은 군 당국이 확보하고 있다는 A씨의 월북 정황과 관련한 자료를 요구했다	협조 요청 공문까지 제시한 해경 관계자들은 자료 열람도 하지 못하고 해경청으로 돌아왔다	군 당국은 내부 논의가 필요하다는 이유로 자료를 제공하지 못한다는 입장을 밝힌 것으로 알려졌다	군은 검토 후 이달 28일까지는 자료 제공 여부를 해경에 알려주겠다고 한 것으로 전해졌다	A씨의 실종 전 행적 등을 수사 중인 해경은 아직 자체 조사로 그의 자진 월북과 관련한 징후를 파악하지 못한 상태다	해경은 A씨가 실종 직전까지 탔던 어업지도선 무궁화 10호 내부를 지난 24일 1차 조사하는 과정에서 그의 휴대전화나 유서 등을 발견하지 못했고 선내에 설치된 폐쇄회로TV 2대는 고장 그의 동선도 확인되지 않았다	반면 군 당국과 정보당국은 북한 통신 신호를 감청한 첩보 등을 A씨가 자진 월북했다는 입장이지만 A씨의 형은 말이 안 된다 며 반발했다	A씨의 자진 월북 가능성을 배제하지 않고 수사 중인 해경은 그의 금융 보험 계좌와 휴대전화 통화 내역 등을 확인하고 있으며 지인 주변 인물도 조사하고	A씨가 과거에 탑승한 어업지도선 내 컴퓨터 등에서도 북한 관련 검색 기록이 있는지를 확인하고 있고 지난 18일부터 고장 난 선내 CCTV 2대를 복원해 누군가가 고의로 훼손했는지도 수사하고
9,"""쓰레기통 뒤져서…"" 살아있는 새끼 고양이 쓰레기봉투에 유기한 70대 검거--0",새끼 고양이 3마리를 쓰레기봉투에 담아 버린 혐의를 받는 70대가 경찰에 붙잡혔다 20일 청주 흥덕경찰서는 동물보호법 위반 혐의로 A 씨를 불구속 입건 기소 의견으로 검찰에 송치했다고 밝혔다	A 씨는 지난 2일 오전 8시경 청주시 흥덕구 옥산면 한 길가에서 새끼 고양이 3마리를 종량제 봉투에 담아 버린 혐의를 받고	제보자는 길을 가고 있는데 고양이 울음소리가 들려 확인해봤더니 고양이가 비닐에 담겨 있었다 며 경찰에 이를 신고했다	신고를 받고 출동한 경찰은 인근 폐쇄회로TV 분석을 토대로 지난 13일 A 씨를 검거했다	A 씨는 경찰에게 고양이가 집에 들어와 쓰레기통을 뒤져서 화가 났다 며 고양이를 죽일 의도는 없었다 고 진술한 것으로 알려졌다	경찰 관계자는 살아있는 고양이를 종량제 봉투 속에 넣어 나오지 못하게 묶어서 버렸기 학대 혐의가 있다고 판단했다 고 전했다	한편 구조된 고양이는 청주시 반려동물보호센터로 보내졌다
