0,"편의점업계 ""아동학대 예방 캠페인"" 참여--0",한국편의점산업협회는 5개 회원사와 보건복지부가 주관하는 아동학대 예방 캠페인 참여한다고 19일 밝혔다	보건복지부는 세계 아동학대 예방의 날 맞아 이달 24일까지를 아동학대 예방 주간으로 지정했다	앞으로 2주간 훈육을 위한 체벌이 아동학대 범죄로 이어질 수 는 메시지를 담은 포스터를 편의점 포스 화면에 노출해 아동학대에 대한 사회적 인식 개선과 학대 예방 아동보호를 위한 민관협력 활동을 펼친다	최경호 한국편의점산업협회장은 아동학대는 훈육을 위한 체벌이 아닌 심각한 범죄라는 사회적 인식의 확산이 우선돼야 할 이라며 우리의 미래인 아동을 학대로부터 예방하고 보호함으로써 아동학대 근절에 이바지할 수 있도록 편의점업계가 적극적 역할과 기능을 수행하겠다 고 말했다	한국편의점산업협회는 5개사와 24시간 편의점을 활용 사회공익 활동 일환으로 지난 2009년부터 경찰청과 아동안전시킴이 집 2014년부터 서울시와 여성안심지킴이 집 2018년부터 인천광역시와 여성아동안심지킴이 집 이어 올해 9월 대전광역시와 아동학대 예방 업무협약으로 광역지자체 3곳과 시민안전과 보호를 위한 업무협약을 체결했다
1,[콘텐츠칼럼]콘텐츠 부국(富國)을 꿈꾸며--0,우리가 흔히 듣고 쓰는 말 가운데 물 들어올 배 띄운다 는 말이	모든 일에는 시간이 중요하고 일이든 분위기가 무르익었을 추진하면 성과가 더 크다는 뜻이다	요즘 콘텐츠업계는 한류 열풍과 밀물을 경험하고	방탄소년단은 온라인 콘서트를 개최하고 빌보드차트 상위권을 지키면서 코로나19 상황에도 건재함을 과시하고	영화 기생충 이어 국내 드라마 킹덤 사랑의 불시착 등이 넷플릭스를 통해 전 세계로부터 폭풍 인기를 끌고	웹툰의 약진도 두드러진다	네이버 카카오 레진엔터테인먼트 주요 웹툰 플랫폼이 해외 진출을 확대하면서 국내 작품을 세계에 알리고	이를 뒷받침하듯 지난해 저작권 무역수지가 2조원에 이르면서 지식재산권 가운데 유일하게 흑자를 봤다	콘텐츠의 세계화를 마냥 반길 수만은 없는 것이 현실이다	콘텐츠 유통 방식이 과거 콤팩트디스크 디지털비디오디스크에서 파일이나 이미지로 변하면서 온라인을 통한 대량 불법 유통이 가능해졌기 때문이다	실시간으로 우리나라 방송을 해외에 전송하는 불법 셋톱박스도 늘고	콘텐츠의 인기가 높아지는 만큼 해외에서의 콘텐츠 불법 복제 무단 이용과 같은 저작권 침해도 급증한 것이다	미국 상공회의소 산하 글로벌혁신정책센터의 연구를 참고하면 저작권 침해로 인한 콘텐츠업계 손실은 연간 총소득의 11 24 인 것으로 추정된다	저작권해외진흥협회는 이렇듯 해외에서 나타나는 저작권 침해의 심각성을 인지하고 콘텐츠를 보호하기 위해 발족한 민간단체다	주요 회원사가 방송 웹툰 음악 저작권 권리자로 정부 지원을 받아 해외에서 발생하는 저작권 침해에 적극 대응하고	협회는 국내 우수 콘텐츠에 대한 불법 이용을 모니터링하고 삭제 요청 경고장 발송 구제 활동을 지원한다	더욱 효과 높은 대응을 위해 한국저작권보호원 한국저작권위원회 미국영화협회 일본콘텐츠해외유통촉진기구 국내외 유관 기관과의 협력도 점차 확대할 방침이다	정부 역시 국내 콘텐츠가 해외에서 정당한 권리를 보장받고 침해에 대응할 수 있도록 노력하고	문화체육관광부는 지난 6월 17일 해외지식재산보호협의체를 개최했다	문체부를 비롯한 외교부 특허청 경찰청 6개 관계 부처 8개 유관 공공단체 15개 콘텐츠 협회 단체가 참여했다
2,[콘텐츠칼럼]콘텐츠 부국(富國)을 꿈꾸며--1,업계 애로사항 등의 해법을 범정부 차원에서 모색하기 위한 회의체로 콘텐츠 관련 저작권뿐만 아니라 산업재산권까지 포괄했다	뽀로로가 애니메이션뿐만 아니라 인형 문구 과자 상품으로 확장되는 것처럼 문화 콘텐츠는 타 산업과의 결합력이 뛰어나기 저작권과 산업재산권 침해가 발생하는 경우가 많다	협의체를 통해 문화 콘텐츠 분야의 저작권과 산업재산권을 한자리에서 논의하고 부처 관련 기관 간 협조 체계를 구축한 것은 업계 큰 의미를 띤다	최근 지식재산의 중요성이 더욱 커지면서 산업재산권을 담당하고 있는 특허청을 지식재산혁신청 개명하려는 움직임이	업계가 진정 필요로 하는 것은 지식재산을 구성하는 주요 권리인 저작권과 산업재산권 전문성을 띤 부처가 협력해서 지혜와 힘을 모으는 것이다	단순한 미사여구나 명칭 변경만으로 지식재산 선도국가가 되는 것이 아님은 굳이 말할 필요도 없을 것이다	해외저작권 보호를 위한 단체의 수장으로서 필자는 협의체가 활성화됐으면 한다	정부 부처와 민간이 협업 우리나라 콘텐츠의 세계 도약을 지원하는 든든한 디딤돌을 희망하기 때문이다	이를 계기로 우리나라가 콘텐츠 부국이 되는 그날을 꿈꿔 본다	이제 우리나라 콘텐츠업계에 물이 들어왔다	속히 배를 띄우고 민 관이 협력해 노를 열심히 저어서 대한민국 문화콘텐츠호가 세계 방방곡곡으로 항해해 나가기를 기원한다
3,"정 총리 ""일탈과 위반, 방치할 수 없다""...역학조사 방해하면 구속수사 원칙--0",정부가 코로나19 수도권 감염 확산 이면에 방역지침에 대한 개인 사업주의 일탈과 위반 행위가 있었다고 판단하고 앞으로 강경 대응하기로 했다	허위 신고나 역학조사에 대한 적극적인 방해에 대해서는 구속수사를 원칙으로 하고 사업장 방역 수칙 위반에 대해서도 무관용 원칙을 적용한다	정부는 9일 정부서울청사에서 정세균 국무총리 주재로 수도권 방역 대응 관련 긴급관계장관회의를 개최하고 이같이 밝혔다	최근 2주간 신규환자 554명 중 서울 경기 인천 수도권 3개 시도가 86 3 차지하는 수도권 지역에 감염이 집중되는 양상이다	지난달 6일 생활 속 거리두기 이후 신규 집단발생 총 24건 중 10명 집단발생은 총 10건으로 수도권 지역에서 발생했다	침방울 전파가 자주 발생하는 밀폐 밀집한 환경에서 개인위생 수칙을 준수하지 않는 것이 주요 확산 요인으로 파악됐다	정부는 방역 준수 여부를 엄격히 관리하는 한편 일탈과 위반 행위에 대해서는 구속수사와 과태료 등을 동원한다는 방침을 세웠다	보건복지부는 감염위험이 높은 시설은 고위험시설로 추가 지정을 검토해 운영을 자제하도록 한다	종교 포교시설이나 인력사무소 예상되는 방역 사각지대는 미리 점검하고 예방적 방역조치를 실시할 계획이다	감염법 예방법을 개정해 위험이 큰 시설과 장소에 방역수칙 준수 의무를 부과하는 근거와 위반시 즉각적 조치를 위한 과태료 신설을 추진한다	법무부는조직적 계획적인 역학조사 거부 행위 또는 정부 방역정책에 대한 적극 방해가 있을 경우 구속 수사를 원칙으로 하겠다고 회의에서 보고했다	허위신고로 대규모 인력 현장 출동 정부 방역정책에 대한 적극 방해 결과가 나타는 경우 3회 상습 허위신고 사범 등에 대해서도 구속 수사할 방침이다	강화된 사건처리 기준에 재판에서 실형 또는 벌금형 상한이 선고될 수 있도록 하고 선고형량이 처리기준에 미치지 못할 경우에는 적극적으로 항소하기로 했다	불법에 상응하는 형이 선고되도록 노력함으로써 방역에 대한 긴장감이 유지될 수 있도록 조치하겠다는 의지를 보였다	앞서 격리조치 위반 감염병예방법 위반에 6명이 구속된 바	감염병예방법 위반 707명 중 282명이 기소됐으며 423명은 수사 중이다	불기소는 2명에 불과하다	경찰청은 감염병예방법 위반 행위는 신속대응팀을 동원해 수사할 계획이다	전국 273개 경찰관서에 신속대응팀 8559명을 편성해 운영 중이다	조직적 대규모 불법행위는 지방청 수사부서에서 직접 수사하고 방역조치 위반 불법 다단계업체 유흥업소 등은 감염병예방법 외 관련 법령까지 적용해 사법처리할 방침이다
4,"정 총리 ""일탈과 위반, 방치할 수 없다""...역학조사 방해하면 구속수사 원칙--1",정 총리는 정부와 지자체에 개별 사업장 내 감염 예방을 위해 현장 점검을 지속적으로 실시하고 수칙 위반에 대해 무관용 원칙을 적용 고발 손해배상 등의 조치를 적극적으로 취하라 고 당부했다	정 총리는 이태원 클럽을 방문했다가 확진된 인천 학원강사의 거짓 진술은 7차 감염까지 유발하며 80여명이 넘는 추가전파를 가져왔다 면서 이같은 행위들은 정부의 방역 노력을 무력화시키고 대다수 국민들을 허탈하게 할 뿐만 아니라 사회 공동체의 안전을 위협하는 중대한 문제 라고 강조했다	이어 수도권 집단감염 확산을 차단하기 위해 방역수칙을 제대로 지키지 않는 개인과 사업주에 엄정하게 책임을 묻겠다 고 덧붙였다
5,"27일부터 자가격리 위반자 ""안심밴드"" 착용한다--0",정부가 자가격리 위반자에 대한 안심밴드 착용 조치 정보통신기술을 활용한 자가격리 관리 강화 방안을 27일부터 시행한다	김강립 중앙재난안전대책본부 1총괄조정관은 24일 정부세종청사에서 열린 정례브리핑에서 대부분의 격리자들이 격리지침을 잘 준수하고 있지만 일부 무단이탈 사례가 계속 확인돼 관리를 강화할 필요성이 면서 무단이탈 자가격리 위반자에 27일부터 안심밴드를 착용해 관리하도록 하겠다 고 밝혔다 27일 이후 자가격리를 통보받은 자가 자가격리 지침을 위반하면 지방자치단체 공무원과 경찰이 현장에 출동해 위반 사실을 확인하고 남은 격리기간 안심밴드를 착용토록 한다	착용을 거부하면 격리장소를 자가격리에서 시설격리로 변경하고 이에 따른 비용은 본인이 부담하도록 조치한다	안심밴드 신규 도입과 기존에 자가격리자 안전관리를 위해 활용하던 자가격리자 안전관리 앱 기능도 개선된다	일정 휴대폰 움직임이 없으면 자가격리자 앱을 통해 알림창이 뜨고 격리자의 확인이 없으면 전담 공무원이 전화로 소재지 등을 확인한다	GIS 상황판을 통해 격리장소 위치정보 동작감지 상태 등을 파악해 무단이탈 여부를 종합적으로 판단하도록 개선한다	전화를 통한 격리자 건강 상태 확인을 현재 하루 2회에서 3회로 늘리고 자가격리 장소 불시점검을 확대하는 현재 관리체계도 강화해나갈 계획이다	해외 입국단계에서 핸드폰 미소지자에게는 임대폰 저가폰을 통한 자가격리자 안전관리 앱 설치를 유도한다	중대본에 따르면 자가격리자 수는 4월 1일 해외 입국자 특별입국절차 시행 후 급격히 증가했지만 14일 6만여명을 정점으로 감소해 22일 현재 4만6348명 수준이다
6,"[코로나19 함께 넘자]""하루종일 걸리던 역학조사 10분 만에"" 스마트시티 기술이 해냈다--0",정부가 스마트시티 기술을 활용해 하루 종일 걸리던 코로나19 역학조사를 10분가량으로 대폭 단축한 시스템을 26일부터 운영한다	확진자 개인정보 확인을 위한 공문 교환에 수일이 걸리기도 했던 문제도 해결했다	해외에서도 주목하고 있어 우리나라 정보통신기술 위상을 높이는 것은 스마트시티 시스템 수출에도 청신호가 켜졌다	국토교통부 과학기술정보통신부 질병관리본부는 지난 16일부터 실시한 코로나19 역학조사 지원시스템 시범사업을 마치고 26일부터 본격 운영한다고 밝혔다	관계부처는 시범운영을 통해 시스템 운영체계 개인정보 관리 절차 등을 보완해 역학조사에 소요되는 시간을 더욱 단축했다	26일부터 국토부에서 질병관리본부로 시스템을 이관하고 경찰청 여신금융협회 3개 통신사 22개 신용카드사 간 협력체계를 구성한다	지원시스템은 역학조사 절차를 자동화하는 것으로 대규모 도시데이터를 수집 처리하는 스마트시티 기술을 활용했다	정부 스마트시티 혁신성장동력 연구개발사업 통해 개발된 대규모 도시데이터 분석 도구 스마트시티 데이터 허브 플랫폼 바탕이다	확진자 동선은 면접조사와 신용카드 정보 이동통신 위치 정보 등을 통해 파악한다	정보를 표현하는 방식이 제각각이고 수작업으로 이뤄졌다	지원시스템을 활용하면 코로나19 상황 초기에 평균 하루 이상이 소요됐던 동선 도출 역학조사 분석 시간이 10분 이내로 줄어든다	역학조사관 업무 부담을 경감하고 대규모 확진자가 발생하는 경우에도 민첩한 대응이 가능해진다 28개 관계기관이 보유한 정보도 보다 빨리 파악할 수	역학조사관이 확진자의 추가적인 정보가 필요하다고 판단하면 경찰청의 확인 승인을 걸쳐 이동통신사가 갖고 있는 위치정보도 확인할 수	공문 전달에만 상당한 시간이 소요됐으나 스마트시티 시스템을 연계함에 정보 취득의 신속성과 정확성을 확보한다	개인 정보를 다루는 만큼 보안을 강화한 것도 특징이다	정보 열람과 분석은 질병관리본부와 지자체 역학조사관만 가능하다	정부기관은 일체의 접속 활용이 불가능하도록 설계됐다	시스템은 전산 해킹 등을 방지하기 위해 외부 접근이 어렵도록 전용망으로 운영된다	2중 방화벽과 철저한 로그인 관리 전산보안 기술을 적용했다	시스템 접속 정보열람 모든 행위 기록을 자동 저장하는 무분별한 개인정보 사용을 방지하고 책임 있는 행정을 수행하도록 구축됐다
7,"[코로나19 함께 넘자]""하루종일 걸리던 역학조사 10분 만에"" 스마트시티 기술이 해냈다--1",시스템은 감염병 위기대응 단계를 고려하여 한시적으로 운영된다	코로나19 상황이 종료되는 개인정보는 파기된다	코로나19 역학조사 지원시스템의 기반이 되는 스마트시티 데이터 허브 플랫폼은 스마트시티 혁신성장동력 연구개발사업 통해 개발한 대규모 도시데이터 분석 도구다	교통 에너지 환경 안전 도시 내 분야의 다양한 빅데이터를 실시간 분석한 스마트시티 서비스 구현에 활용될 예정이다	김현미 국토교통부 장관은 코로나19의 확산방지를 위한 역학조사지원 시스템은 국토부와 과기부 질병관리본부 경찰청 금융위 감사원 전 부처적인 협업을 통해 단기간에 구축할 수 있었으며 앞으로도 코로나19 대응을 위해 적극적인 지원을 아끼지 않겠다 면서 시스템 개발 사례과 국민들이 꼭 필요로 하는 부분에 스마트시티 기술들이 활용될 수 있도록 정책을 추진하겠다 고 밝혔다	정은경질병관리본부장은 전 부처적 협조로 구축된 역학조사 지원시스템을 효율적으로 활용하여 신속 정확한 역학조사가 이뤄질 수 있도록 추진해나가면서 개인정보 관리에도 만전을 기하겠다 고 밝혔다
8,"통합당, PK 경선 발표…하태경·이헌승 공천 확정--0",미래통합당이 부산과 울산 지역구 후보 경선을 치른 결과 부산 해운대갑 하태경 의원 진구을의 이헌승 의원 등이 승리했다	대체로 현역 의원들이 우세한 결과를 나타냈다	통합당 공천관리위원회는 이날 부산과 울산 경남의 23곳 경선 결과를 발표했다	하태경 의원은 부산 해운대갑 경선에서 석동현 전 부산지검장과 조전혁 전 의원을 꺾고 3선에 도전하게 됐다	부산진을에서도 재선인 이헌승 의원이 45 9 황규필 전 자유한국당 농림해양수산위 전문위원과 이성권 전 의원을 누르고 승리했다	연제에서 시의원 출신인 이주환 전 자유한국당 당협위원장은 김희정 전 의원과 초접전 속에서 이겼다중 영도에서도 김형오 전 공천관리위원장과 측근 논란을 빚은 황보승희 전 부산시의원은 강성운 전 김무성 의원 정책특보를 꺾고 본선행 티켓을 따냈다	수영에서는 전봉민 전 부산시의회 부의장이 권성주 전 새로운보수당 대변인 이종훈 전 부산MBC 보도국장을 제치고 1위로 본선에 진출했다	기장도 정동만 전 부산시의원이 정승윤 부산대 교수 김세현 전 한국건설경영협회 부회장을 제치고 승리했다	동래에는 김희곤 전 해양수산부 장관 정책보좌관이 서지영 전 청와대 국정기획수석실 행정관을 이겼다	서 동구에서는 곽규택 전 서울중앙지검 부장검사 안병길 전 부산일보 사장이 결선을 하고 사하갑에서는 김소정 전 자유한국당 사하갑 당협위원장 김척수 20대 총선 사하갑 국회의원 후보가 결선에서 승부를 가려야 한다	울산 남구갑에서는 현역인 박맹우 의원이 김기현 전 울산시장에 패했다	중구에서는 박성민 전 중구청장이 동구에서는 권명호 전 동구청장이 본선행을 확정지었다	울주군에서는 서범수 전 울산경찰청장이 창원시 성산구에서는 강기윤 전 의원이 창원시 마산합포구에서는 최형두 전 국회대변인이 공천장을 받게 됐다	경남 창원시 진해구에서는 유원석 전 창원시 부시장과 이달곤 전 행정안전부 장관이 결선을 치른다	사천 남해 하동군에서도 최상화 전 청와대 춘추관장과 하영제 전 농림수산식품부 2차관이 결선을 하게 됐다	경남 진주시을은 강민국 전 도의원의 본선행이 확정됐다	양산을은 나동연 전 양산시장이 경선에서 이겼다	창원성산은 강기윤 전 의원이 최응식 전국 주한미군 한국인노조위원장을 꺾었다	산청 함양 거창 합천에서도 현역 강석진 의원이 신성범 전 의원을 이겼다	창원 마산합포에서는 최형두 전 국회 대변인이 김수영 동의과학대 외래교수를 이기고 결선에 가게 됐다
9,"통합당, PK 경선 발표…하태경·이헌승 공천 확정--1",창원 마산회원은 현역 윤한홍 의원이 안홍준 전 의원을 꺾고 본선에 진출하게 됐다
