0,트럼프 당선 맞췄던 김창준 전 의원의 예언--0,지난 7월 21일 서울 여의도 사무실에서 만난 김창준 전 미국 연방 하원의원은 2016년 미국 대선 당시 여론조사에서 밀리고 있던 도널드 트럼프 후보의 당선을 일찌감치 예상했다	1993년 한국계 미국인으로서 첫 연방 하원의원에 당선된 그는 지난 대선 기간 힐러리 클린턴 민주당 후보의 당선이 유력하다고 다들 예상할 트럼프 대통령에 대비하라 라는 책까지 출판했다	2016년 대선 만난 김 전 의원은 내가 느끼는 것이 미국 보통 백인층의 정서와 비슷할 것이다 라며 이번에 트럼프가 당선될 이라고 장담했었다	미국은 4년 중임제로 올해 11월 트럼프의 운명을 가를 대선이 다시 펼쳐진다	미국 대선은 한반도 상황에도 큰 영향을 미칠 전망이다	미국 내 코로나19가 악화하면서 트럼프 대통령은 위기 상황이다	김창준 전 의원은 이번에도 4년 전과 확실히 트럼프가 재선될 이라고 있게 이야기했다	그의 주장을 따라가면 미국 백인 보수층이 가지는 생각을 이해할 수	확실하다	최근 미국 주요 도시들의 시위는 너무 지나쳤다	비무장 흑인 조지 플로이드 사망사건으로 촉발된 첫 시위는 이해가 된다	폭동과 약탈로 변하면서 여론이 바뀌었다	노예제를 폐지한 링컨 동상까지 끌어내리는 모습을 보면서 이러다 미국이 큰일 나겠다 는 위기감을 갖는 시민이 많다	경찰을 없애자는 주장까지 시위대가 하고 있는데 전체 미국 유권자의 67 차지하는 백인들이 볼 이것은 미국이 아니다 라며 위기감을 느껴 투표장에 나가 트럼프를 찍을 것이다	많은 이민자도 미국의 전통이 허물어지고 있다며 우려하고 있으니 이들도 트럼프를 찍을 것이다	그는 정치가가 아니다	무뚝뚝하지만 자신의 신념대로 이야기해 욕을 먹는다	정치인은 미꾸라지처럼 빠져나가야 하는데 그는 순진한 것이다	트럼프는 돈이 필요 없고 야망도 없다	미국에 대한 애국심이 깊다고 지지자들이 느끼는 것이다
1,트럼프 당선 맞췄던 김창준 전 의원의 예언--1,조만간 미국 전역의 TV에서 일대일 토론을 시작하면 여론이 많이 변할 것이다	하는 여론조사가 진짜 여론조사다	기억력이 심각하게 좋지 않다	78세로 대통령 나이가 너무 많다	답변을 하다가 질문을 기억하지 못하는 경우도 많다	원래 치매라는 것은 급격하게 나빠지는 것이다	미국이 요즘 같은 국가적인 위기 상황에서 최고의 지도자로 조 바이든을 선택하기는 어려울 것이다	민주당 프라이머리에서 버니 샌더스가 될 줄 알았는데 뚜껑을 열어 보니 조 바이든이 이겼다	민주당 후보 가운데 지나치게 사회주의 계열이 많았다	좋고 나쁘고를 떠나서 자본주의 사회에서는 받아들일 수 없는 주장을 하는 후보가 많았다	좌파 사회주의자를 민주당 지지자들도 거부했다	미국에서 웬만하면 재선은 성공한다	경쟁력 있는 후보가 잘 나서지 않는다	그가 부통령이었던 오바마 대통령 시절을 보면 된다	솔직히 아무것도 안 했다	핵을 포기하지 않으면 김정은을 안 만나겠다면서 시간만 끌었다	부통령으로 재임한 8년 단 한 번도 김정은과 회담이 없었다	공화당과 민주당의 차이를 알아야 한다	민주당은 전통적으로 평화를 이야기한다	공화당은 평화를 구걸하면 안 되고 내가 강해야 한다고 말한다
2,트럼프 당선 맞췄던 김창준 전 의원의 예언--2,평화는 힘으로 얻는 것이라고 주장한다	아예 말을 하지 않고	국내 문제에 집중하고	트럼프가 망쳐 놓은 이것저것들을 우리가 해결하겠다고 이야기한다	아직 실패라고 볼 수는 없다	미국은 나라가 크고 주가 독립적으로 움직여서 대처가 쉽지 않다	아직 바닥은 아니다	민주당 주지사들과 시장들이 트럼프 정부와 협조를 안 하고 비난만 선거 이슈로 만들고	대북 제재 UN 안보리 2270은 효과를 보고	지하자원 광물 수출을 못 하게 막고 북한 근로자들을 통한 외화수입도 차단했다	핵이나 로켓을 만들 돈줄을 없애버린 것이다	북한은 영변 핵시설만 포기하겠다고 하는데 미국은 거기 말고 5곳이 더 있으니 그곳까지 없애라고 요구한다	완전하고 검증 가능하며 되돌릴 수 없는 비핵화를 요구하고 있는 것이다	북한이 저럴수록 더 강하게 나가야 한다	기회에 뿌리를 뽑아야 한다	미국은 전 세계의 핵을 없애려는 것이다	북한만이 문제가 아니다	이는 미국의 의무라고 믿는다	북한은 영변만 없애고 경제제재를 풀려는 스몰딜을 원했는데 미국에 그런 딜은 필요 없다	정말 핵무기를 포기하려면 한꺼번에 다 없애는 것이 옳지 숨기려
3,트럼프 당선 맞췄던 김창준 전 의원의 예언--3,최소한 북한은 남은 핵시설 처리에 대한 프로세스라도 제시했어야 한다	이제 트럼프도 북핵 문제를 적당히 해결할 수는 없을 것이다	북한이 완전히 핵을 포기하는 빅딜이 트럼프가 더 나서지 않을 것이다	적당히 북한과 합의를 해버린다면 그것은 트럼프답지 않은 것이다	북한의 불만은 과거 15개월간 핵실험을 중단했는데도 미국이 안보리 제재를 유지하고 있다는 것이다	트럼프는 핵이 영변 말고도 5개나 더 있는 걸 알고 있으니 북한에 빅딜을 압박하고	반면 한국은 굿 이너프 딜 이라며 절충안을 제시하고	한국은 북한의 핵위협 직접 당사자로 다양한 의견을 내놓아 협상이 타결되도록 해야 한다	트럼프가 재선된 미국이 북한과 다시 대화를 시작하면 입장을 적극적으로 미국에 알려야 한다	미국이 군인을 보내서 돈을 벌려고 하는 것은 결코 아니다	이제 한국도 경제규모로 세계 11위다	거기에 맞게 올려달라는 것이다	조용히 첨단무기 구매 등을 조건으로 협상을 하면 된다	이미 미 의회에서 미군을 줄이려면 허락을 받도록 해놓았다	미 의회에서 미군 감축을 반대하는 법안이 만장일치로 통과되었다	오키나와 공군기지 괌에 있는 앤더슨 공군기지 등에서 다 막고	미국이 걱정하는 것은 중국이지 북한이 아니다	이제 중국을 실질적인 위협으로 느끼고	반면 한국은 중국을 위협으로 느끼지 않는다	그것이 것이다
4,트럼프 당선 맞췄던 김창준 전 의원의 예언--4,요즈음 중국 편을 드는 나라가 있나	없지 없나	하이테크 기술을 훔쳐가고 홍콩 문제를 그렇게 처리하면 안 되는 것이다	중국이 3대 세습을 하는 북한을 도우면 안 된다	북한을 도와주지 않았으면 진작 결판이 났을 것이다	중국은 이러다 세계에서 고립된다	독재국가로 모든 것을 시진핑 혼자서 결정하는 것이 문제다	Copyrights 조선뉴스프레스	무단 전재 재배포 금지
5,사실과 진실 대신 의견 앞서는 시대--0,내가 시작하던 1980년대 초 전국지는 조 석간 합쳐 6개뿐이었다	밖에 통신사 1개 지상파 TV 2개 경제지 두어 개가 있을 뿐이었다	지금처럼 인터넷 매체와 유튜브를 포함해 수천 개 언론사가 난립하는 시절과는 달랐다	나름 자부심도 높았고 회사 분위기도 좋았다	200명 매일 12면을 제작하니 정성도 대단했다	문제는 언론 자유가 없다는 점이었다	정부의 입맛에 맞지 않는 기사는 보도되지 못했고 간부는 기관에 끌려가 봉변 당했다	서슬 시퍼런 상황이라서 정치 사회 정권과 관련된 기사를 쓸 경우에는 극도로 조심할 수밖에 없었다	초년병 시절부터 우리는 사실과 의견을 명확히 구분해 쓸 것을 귀에 못이 박이도록 들었다	화창한 날씨 는 객관적 사실이지만 좋은 날씨 는 주관적 의견이다	군사 독재하에서 우리는 의견은 줄이고 사실만 보도할 것을 배웠다	사실 보도도 문제 될 수 있었다	정권에 불리한 기사는 보도 금지가 됐다	부동산 사기 피해자 중에 장군 부인 포함된 기사가 나갔다고 군인들이 편집국에 난입해 소란을 피우는 것을 목격한 적도	당국의 검열을 피하면서 국민에게 사실과 정보를 들이 언어의 마술사 되어야 했다	용어나 형용사 부사는 조사까지도 의미를 담아 선택했다	전두환 정권의 경제가 좋다 경제는 좋다 는 문장 뉘앙스가 다르다	전자가 가치중립적이면서 긍정적인 반면 후자는 경제 이외의 상황은 좋지 않다는 부정적 느낌을 담고	민감한 상황 보도할 선배들은 흔히 이렇게 주문했다	사설 쓰듯 하지 말고 스케치하듯 보여줘
6,사실과 진실 대신 의견 앞서는 시대--1,기자가 심판자가 돼 의견을 말하지 말고 관찰자 사실을 그대로 묘사해주고 독자가 알아서 판단하게끔 만들라는 주문이었다	그렇게 해서 5공 시절 수많은 시국사건 기사들이 검열의 매서운 눈을 피해 보도될 수 있었다	지금은 기성언론 비판의 선봉에 서 있는 작가 유시민이 세간에 알려져 유명하게 된 계기는 동아일보 작은 스케치 기사 덕분이었다	당시 학생운동을 하던 유씨가 민간인을 폭행 고문한 서울대 프락치 사건 관련 징역 1년6월을 선고받고 재판부에 제출한 항소이유서 황 기자가 담담하게 소개해준 것이었다	돌이켜보면 군사정권도 사실 굉장히 민감했다	군인이란 생래적으로 적을 제압해 전쟁에 이기기 위해 존재하는 집단이다	무엇보다 정확한 사실에 근거한 보고와 판단 생명으로 한다	의견보다 사실을 중시하는 습관이 밴 군인들이라 대언론 정책에 있어 사실 보도가 되지 않게끔 틀어막으려는 데 중점을 두었지 이왕 보도된 기사를 엉뚱한 의견으로 왜곡시키는 데는 익숙지 못했다	보도기관과 정권과의 차 싸움이 빈번했다	사건이 터지고 검열당국이 미처 보도통제를 하지 못한 사건의 경우 언론사가 먼저 보도하곤 했다	1987년 1월 서울대 박종철 군 고문치사사건이 대표적이었다	당시 중앙일보 검찰 인사의 제보로 사실을 입수하고 서울판에는 넣지 못하고 지방판에 2단 기사로 슬며시 끼워 넣었는데 이것이 일파만파로 알려지면서 한국 민주화를 가져오는 결정적 계기가 됐다	나도 박종철 기사가 나간 지 며칠 뒤 조영래 인권변호사 사무실에서 박석운씨로부터 부산의 한 인권변호사가 구속된다 는 제보를 받았다	그날 밤샘 취재를 한 가지 놀라운 사실을 알아냈다	검찰이 당초 청구한 영장이 당직판사에 기각됐는데도 검찰은 계속 부장판사 수석부장판사 법원장 집을 찾아가 영장청구를 강요 하다 끝내 거절당한 사실이었다	검찰 사상 전무후무한 하룻밤 4번 영장청구 사건은 그렇게 이뤄진 것이었다	시간이 이미 새벽 2시가 넘어 시내판 기사가 마감된 상태였다	나는 고민에 빠졌다	기사를 하루 뒤에 보도하려고 묵힌다면 그새 될지 모른다	나는 특종을 포기하고 이날 오전 10시 당시 석간인 동아 중앙 경향에 검찰이나 법원에 확인하지 말고 그냥 쓰라 며 사실을 알려주었다
7,사실과 진실 대신 의견 앞서는 시대--2,그렇게 해서 석간 3개 신문은 낮 12시에 발행되는 첫 판에 크게 실었고 무명의 노무현 변호사는 석방과 처음으로 전국에 이름이 알려지게 됐다	그때는 그런 시절이었다	이후 민주화가 본격화되면서 언어는 고삐 풀린 말처럼 자유로워졌다	온갖 주의 주장이 난무하고 과거 하지 못했던 날 선 비판이 쏟아져 나왔다	현장에는 살벌한 구호와 욕설 폭로가 난무했다	언론기관도 특유의 조심스러운 태도에서 벗어나 주장을 앞세우기 시작했다	관찰자가 아닌 참여자가 되기도 했다	정파나 세력들은 언론을 이용했다	도움이 되면 박수를 쳤고 불리하면 비난했다	그렇게 30년이 흘렀다	당초에는 민주화의 과도기적 진통이라 여겼지만 정권이 바뀌고 해가 거듭할수록 상황은 더욱 심화돼 갔다	언어는 폭력화 무기화했고 진실은 정파 세대 집단에 선과 악 백과 흑으로 명백히 갈렸다	소설가 김훈의 주장대로 언제부턴가 우리는 이것이 무엇인가	이런가	등의 과학적 사고 대신 내 마음에 드나 안 드나	내 생각과 맞나 안 맞나	내 편인가 아닌가	식의 정서적 이념적 정치적 생각을 한다	대학에 재직하면서 미디어 지망생들을 가르칠 나는 사실 의견 차이를 설명하면서 궁극적으로 진실 가장 중요하다고 역설했다	A라는 학생이 B라는 학생을 늘 때리고 못살게 굴었다
8,사실과 진실 대신 의견 앞서는 시대--3,날 B가 못 참고 A를 때렸다	공교롭게도 선생님이 목격했다	사실은 뭘까	B가 A를 때린 것이다	그렇다면 진실은	평소 A가 B를 늘 괴롭혀왔고 결과로 B의 폭력이 나왔다는 것이 진실이다	사회에서 벌어지는 무수한 사건을 놓고 편도 들지 말고 있는 그대로 봐야 하는 직업이 경찰 검찰 법관이다	지금 상황은	함영준 마음건강 길 대표	Copyrights 조선뉴스프레스	무단 전재 재배포 금지
9,‘브리더스’ ‘컨페션’ 출연 마틴 프리먼 “지인들도 코로나 19 감염”--0,미 케이블채널인 FX의 가정드라마 브리더스 영국 ITV의 수사물 컨페션 나오는 영국 배우 마틴 프리먼과 최근 영상 인터뷰를 했다	할리우드도 코로나19 사태로 비상사태여서 영상 인터뷰만 가능한 상황이다	브리더스 는 힘든 부모 노릇에 코미디로 프리먼의 실제 아버지 경험을 참고한 작품이다	컨페션 은 2011년 벌어진 여성 실종 사건을 수사하는 형사반장 스티브 풀처가 적법한 절차를 무시하고 혐의자로부터 자백을 받아내 물의 끝에 사직한 실화를 다뤘다	프리먼은 반지의 제왕 시리즈에서 인간을 닮은 호빗족으로 나와 낯익은 연기파 배우다	프리먼은 런던의 자택에서 인터뷰에 응했는데 인자한 얼굴에 미소를 지으며 활발하고 자상하게 질문에 대답했다	감독 폴 윌리엄스가 내용을 다룬 TV 뉴스를 발췌해 보내줘서 그때야 알았다	이어 연구에 들어가 관계자들을 만났다	풀처의 의견을 듣기 위해 그를 차례 만났다	이에 관련한 책도 읽었다	연구를 꽤 한 셈이다	가끔 그런다	그러면서도 아이들을 끌어안고 웃고 입 맞추고 대화를 나눈다	둘을 섞어서 하는 셈이다	아이들에게 소리를 지르는 건 하나만은 아닐 것이다	그것이 정상이다	브리더스 는 코미디라는 구조 안에서 부모 노릇이 힘든지에 대해 진실하게 얘기하고	부모가 된다는 것은 큰 축복이지만 역할을 잘한다는 것은 힘든 일이다	특히 가족을 자주 떠나 있어야 하는 같은 일을 하는 아버지는 더 힘들다	브리더스 는 부모 노릇 결혼 관계에 대해 솔직하게 다루고
