0,로또 1등 23번씩이나…‘자동번호 명당’ 공개 外--0,오후 뉴스입니다	1	유재수 감찰 무마 혐의를 받고 있는 조국 전 법무부장관이 오늘 3번째 재판을 앞두고 최초 폭로자인 김태우 전 수사관에 대해 원칙을 어긴 사람 이라고 비판했습니다	권한남용을 근절하기 위해 만들어진 특감반의 비강제적 감찰 방법 등을 어겼다 는 취지입니다	오늘 증인 출석 예정이던 김 전 수사관은 재판에 나오지 않았습니다	2	어제 하루 국내 코로나19 신규 확진자가 49명 발생한 것으로 확인됐습니다	가운데 해외 유입 확진자 17명을 제외한 29명은 수도권에서 6명은 대전에서 발생하는 수도권과 대전 중심의 산발적인 집단감염이 이어지고 있습니다	3	조계사 대웅전 주변에 불을 낸 30대 남성이 현행범으로 경찰에 붙잡혔습니다	35살 남성 A씨는 오늘 새벽 2시쯤 술에 취한 채 조계사 대웅전 근처에서 자신의 가방에 휘발성 물질을 뿌리고 불을 붙인 혐의를 받고 있습니다	사건으로 조계사 대웅전 주변 벽화 일부가 훼손됐습니다	4	기획재정부 복권위원회사무처가 이른바 로또복권 명당 판매점을 공개했습니다	추첨 1회부터 911회까지 17년 5개월 간 자동 1등 당첨자가 23번씩 나온 곳은 16곳으로 서울과 경기도 수원 인천과 대전 충북 부산 등으로 나타났습니다	1등 당첨자가 21번 씩 나온 판매점도 전국에 30곳이나 되는 것으로 나타났습니다
1,"미국 한인들, LA 폭동 떠올리며 ‘신변보호’ 총기 구매--0",꿈을 담는 캔버스 CHANNEL A 무단 전재 재배포 금지
2,서울시 금지령 속 “태극기 집회 강행”…공화당은 “취소”--0,꿈을 담는 캔버스 CHANNEL A 무단 전재 재배포 금지
3,또다른 범죄 ‘아동 살해 음모’--0,꿈을 담는 캔버스 CHANNEL A 무단 전재 재배포 금지
4,"‘이천 참사’ 시공사, 무릎 꿇고 사과하더니 공사는 계속--0",꿈을 담는 캔버스 CHANNEL A 무단 전재 재배포 금지
5,충남 동부제철서 용접 절단하다 불…불안에 떤 주민들--0,꿈을 담는 캔버스 CHANNEL A 무단 전재 재배포 금지
6,"트럼프, 시위대 해산 권유하면서도 “대선은 사기”--0",도널드 트럼프 미국 대통령은 6일 미국 국회의사당에 난입한 시위대를 향해 귀가하라고 촉구하면서도 대선 사기 주장을 이어갔습니다	트럼프 대통령의 메시지는 지지 세력이 의사당에 난입한 지 2시간여 만에 나왔습니다	트럼프 대통령은 트위터에 올린 1분 분량의 동영상에서 여러분의 고통과 상처를 잘 알고 있지만 지금은 집으로 돌아가야 한다 고 말했습니다	우리애게는 도둑맞은 선거가 면서 대선 사기 주장은 고수했습니다	한편 NBC방송은 시위대와의 충돌 과정에서 총격을 받은 여성이 응급실로 긴급 이송됐지만 사망했다고 보도했습니다	경찰은 여성이 의사당 건물 안에서 누군가가 쏜 총탄에 가슴 부위를 맞았지만 누가 여성에게 총을 쐈는지는 분명하지 않다고 밝혔습니다
7,美 여군 성폭력 폭로하려다 피살…용의자 극단적 선택--0,권력의 성폭력 사건이 해외에서도 뜨거운 문제입니다	미국에서는 성폭력 사실을 폭로하려던 여군이 살해당하고 용의자도 목숨을 끊었습니다	프랑스에서는 성폭행 혐의를 받는 인물이 장관에 임명돼 논란입니다	보도합니다	지난 4월 상관으로부터 성추행을 당했다고 가족에게 알렸던 20살 여군 바네사 기옌	보복이 두려워 신고를 못 하겠다는 말을 남긴 뒤 실종됐습니다	두 달 뒤 복무 중이던 부대에서 40km 떨어진 강가에서 토막 난 시신 일부로 발견됐습니다	대낮에 제일 큰 군 기지 내에서 벌어진 일인데도 그녀의 비명을 듣지 못했고 핏자국을 보지 못했어요	가해자인 상관이 용의자로 지목됐는데 수사가 시작되자 스스로 목숨을 끊었습니다	미 전역에선 진상조사를 요구하는 집회가 열리고 있고 우리가 원하는 건	원하지	국방부와 의회에도 기옌의 진상 조사를 요구하는 탄원서가 쏟아지고 있습니다	파리시청 앞에 시민 수백 명이 모였습니다	창피한 줄 알아라	창피한 줄 알아라	이들은 성차별주의 정부 강간범 장관 이라고 적힌 피켓을 들고 정부에 항의했습니다	권력을 가지면 안 되는 사람들이 장관으로 임명되고 있으니 거리에 나올 수밖에 없습니다	마크롱 대통령이 성폭력 혐의를 받고 있는 제랄드 다르마냉을 경찰을 통솔하는 내무장관에 앉혔기 때문입니다	다르마냉은 지난 2009년 여성 당직자 성폭행 혐의와 투르코잉 시장 시절 대가성 성관계를 요구한 의혹을 받고 있습니다	프랑스 정부는 무죄추정 원칙에 문제가 없다고 밝혔지만 시민들의 분노는 거세지고 있습니다
8,美 여군 성폭력 폭로하려다 피살…용의자 극단적 선택--1,뉴스 한수아입니다	영상편집
9,선박·공장·폐축사 ‘활활’…전국 곳곳서 화재 잇따라--0,오늘 여러 곳에서 불이 났습니다	부두에 정박한 어선에서 시작한 불이 척을 태웠고	임금이 밀렸다며 다니던 공장에 불 지른 직원도 있었습니다	종합합니다	부두에 정박한 배에서 시뻘건 불길과 연기가 치솟습니다	소방 대원들이 선박을 향해 연신 물을 뿌립니다	오늘 아침 8시쯤 여수 국동항에 정박중이던 2톤급 소형 어선에 불이 옆에 있던 선박들에 옮겨붙었습니다	신고를 받고 출동한 소방은 20분 만에 불을 껐지만 선박 2척이 완전히 타고 2척도 절반가량 탔습니다	40대 선박 주인이 불을 끄려다 화상을 입고 병원에서 치료를 받고 있습니다	배하고 배들을 줄로 묶어 두잖아요	옆에 있던 배들도 한 3척 정도	완전히 전소된 아니고 감식해야지 원인이 나오니까	소방대원들이 공장 내부에서 잔불 정리에 한창입니다	호스 다 왔어요	호스 다 왔어요	어제 저녁 9시 5분쯤 경북 경주시 외동읍에 있는 선박부품 제조공장에서 불이 났습니다	인명피해는 없었지만 공장건물 1개 동과 사무실 등이 타 소방서 추산 3천만 원의 재산 피해가 났습니다	경찰 조사 결과 임금이 체불된 데 불만을 품은 50대 공장 직원이 불을 지른 것으로 드러났습니다	불을 지른 뒤 달아났던 직원은 한 뒤 경찰에 자수했습니다	방화 맞습니다
10,선박·공장·폐축사 ‘활활’…전국 곳곳서 화재 잇따라--1,거기 직원인데 월급 못 받은 거 불만이 있어 가지고	전남 무안에선 폐축사 컨테이너에서 불이 50대 남성이 숨진 채 발견됐습니다	경찰은 목격자 등을 상대로 정확한 화재 원인을 조사하고 있습니다	뉴스 공국진입니다	영상편집
11,파티 동영상 올린 윤지오…법무부는 “소재불명”--0,방송	뉴스A 라이브 방송일	2020년 9월 17일 진행	이용환 앵커 김민지 앵커 출연	최진봉 성공회대 교수 전지현 변호사네 번째 이슈박스입니다	소재불명 이라는데 이야기일까요	故 장자연 사건 증언자로 나섰다가 후원금 사기 의혹에 휩싸인 뒤 해외로 출국한 배우 윤지오 씨 최근 행적이 SNS로 알려지면서 논란이 되고 있습니다	윤지오 씨가 지난해 돌연 캐나다로 1년 넘게 캐나다에서 도피를 이어가고 있다고 있다는 이야기가 나오는데요	윤지오 씨는 지금 고소 고발을 당한 상황인데요	최진봉 교수님 지금 혐의를 받고 있습니까	저서 집필과 관련해서 명예훼손과 모욕 혐의로 피소되어있습니다	이게 13번째 증언 이라고 하는 책이에요	두 번째는 개인계좌나 증언자를 보호하기 본인이 설립한 비영리단체인 지상의빛 이라는 곳의 후원 계좌가 있는데요	후원 계좌의 돈을 본인이 일부 사적으로 사용했다는 혐의도 받는 상황입니다	명예훼손 모욕 혐의로 피소된 상태고요	후원금 관련해서 사기 혐의로 피소된 상태이기 두 가지 혐의로 검찰 수사를 하려다가 외국으로 출국해서 기소가 중지된 상태라고 알려지고 있습니다	고소 고발이 진행 중이라면 수사도 필요하고 이후 절차도 밟아야 하는데 외국에 있는 상황	지금 윤지오 씨는 본인의 SNS를 통해서 근황을 전하고 있습니다	한 호텔이나 음식점 같은 곳에서 본인의 사진을 올리고 사람들과 파티를 하는 모습을 올리기도 했는데요	일부 누리꾼들은 이곳의 위치를 찾아내기도 했다고
12,파티 동영상 올린 윤지오…법무부는 “소재불명”--1,지금 수배 중이라고 하는데 정부가 윤지오 씨를 찾아낼 수 있는 아닙니까	경찰 검찰에서 수사 의지가 없는 같아요	저분이 나갈 때도 출국금지 조치를 안 해놓았기 나갈 수 있었던 것이고	저렇게 버젓이 SNS에 글을 올린다는 것은 전혀 수사 압박을 받고 있지 않다는 이야기고요	누리꾼들도 찾아낼 수 있는데 경찰에서 아무런 조치를 취하지 않는다는 것은 저분이 체포영장 발부되고 지명 수배했고 인터폴을 통해 적색수배 요청을 했고 형사사법공조를 캐나다에 요청하면 충분히 소재 파악해서 우리나라에 데려올 수 있음에도 경찰이 아무것도 안 하고 있다는 이야기잖아요	데려올 생각이 없다는 것으로 보입니다	검찰에서는 윤지오 씨의 해외 출국 이유로 기소중지 처분이 됐다고 이야기했고요	법무부에서는 윤지오 씨의 소재가 불분명해서 지명 수배한 상태라고 하는데요	윤지오 씨 본인은 본인 소셜 미디어에 생일 파티 하는 영상을 버젓이 올리고 있는데요	잡으려고 하면 잡을 수 있는데 의지 부족으로 안 잡고 있는 아니냐는 의혹 아니겠습니까	의지가 우리의 추측인지 진실인지는 앞으로 윤지오 씨를 소환하는지를 보면 될 같습니다	이미 외국에 가버렸기 우리나라가 요청을 한다고 해서 데려올 수 있는 것도 아니에요	거기서 재판을 거치고 범죄인 인도 명령을 받아야 하는데요	그런 조치조차 안 하고 경찰이 수수방관만 하고 있다면 윤지오 씨에 대한 수사 의지가 없다고 볼 수 있을 같습니다
13,파티 동영상 올린 윤지오…법무부는 “소재불명”--2,
14,파티 동영상 올린 윤지오…법무부는 “소재불명”--3,위 텍스트는 실제 토크 내용의 일부분입니다	전체 토크 내용은 동영상으로 확인하시기 바랍니다
15,"검찰, “박원순 시장 피소, 여당 국회의원이 시장 측에 유출”--0",박원순 전 서울시장 성추행 피소 사실을 서울시 측에 처음 알린 사람은 시민운동가 출신의 더불어민주당 현역 국회의원인 것으로 밝혀졌습니다	박 전 시장 성추행 혐의에 대한 피소 사실 유출 의혹 관련 고발건을 5개월간 수사해온 서울북부지검은 이같은 내용을 골자로 한 수사 결과를 발표했습니다	검찰 수사 결과 박 전 시장에게 피소 사실을 가장 먼저 알려준 건 서울시 특보였습니다	서울시 특보는 지난 7월 8일 고소장이 경찰에 접수되기 1시간 전 박 시장에게 구체적 내용이나 일정을 알 수 없지만 피해자로부터 박원순 전 시장을 상대로 고소가 예상되고 여성단체와 공론화할 예정이다 라는 취지의 말을 들었다고 전했습니다	다음날 박 전 시장은 극단적 선택을 했습니다	고소 내용을 서울시 특보에게 전달해준 것은 더불어민주당 현역 국회의원인 것으로 조사됐습니다	해당 의원은 한 시민단체 대표로부터 관련 내용을 전해 들었습니다	한편 검찰은 서울지검 경찰 수사기관이나 청와대가 피소 사실을 유출했다는 의혹에 대해서는 이를 인정할 증거가 없다며 오늘 불기소 처분했습니다
16,다급한 트럼프…코로나19 ‘혈장 치료’ 긴급 승인--0,도널드 트럼프 대통령이 코로나19 혈장치료에 대한 긴급사용 승인을 직접 발표했습니다	미 공화당 전당대회를 하루 앞둔 시점이라 공교롭습니다	입니다	트럼프 대통령이 자신을 공화당 대통령 후보로 지명할 전당대회 개막을 하루 앞두고 회견을 열었습니다	중국에서 건너온 코로나19와의 전쟁에서 이길 수 있게 됐다며 FDA의 혈장 치료 긴급 승인 소식을 전했습니다	중국 바이러스 와의 전투에서 많은 목숨을 구할수 있는 역사적인 발표를 하게 돼 기쁩니다	혈장 치료법은 코로나19 완치자의 혈장을 추출해 환자에게 주입하는 방식으로 수혈과 비슷한 개념입니다	에볼라 전염병 치료법으로도 많이 사용됐습니다	미국에선 지금까지 7만 명이 혈장 치료를 받았고 중 2만 명을 분석해 보니 효과가 있었다는 게 FDA의 설명입니다	사망률을 35 감소시킨다는 것이 증명됐습니다	엄청난 수치입니다	아직 대규모 임상실험을 거친 것은 아니어서 신중론도 나옵니다	우리나라에선 완치자의 혈장을 농축해 약물로 만드는 혈장 치료제 개발이 임상 2상 시험을 앞두고 있습니다	안전성이 입증되면 치료제로서 허가와 대량 생산할 수 있는 체계를 갖추고자 확진자들의 헌혈을 독려하고 있는 상황입니다	가운데 뉴욕타임스는 트럼프 행정부가 이르면 다음달 말 코로나19 백신의 긴급사용을 승인할 가능성을 시사했다고 보도했습니다	트럼프 대통령은 11월 대선 승리를 위해 백신과 치료제 확보가 꼭 필요한 상황입니다	뉴스 정다은입니다	영상취재	정승호 영상편집
17,인종차별 시위대에 ‘탕탕’…범인은 17세 백인 청소년--0,경찰의 비무장 흑인 총격 사건으로 시위가 벌어지고 있는 미국에서 총격사건이 일어났습니다	이번엔 무장한 백인 청소년이 시위대를 향해 총을 쏴 2명이 숨졌습니다	혼란스러운 미국 상황 윤수민 특파원이 보도합니다	경찰서를 향해 화염병을 던지고 차단벽을 발로 차며 쓰러뜨리려고 합니다	혼란스러운 시위대 사이에서 총을 들고 뛰어가는 백인 소년이 보입니다	뒤 총성이 울리고 혼비백산한 시위대가 달아납니다	배에 총을 쐈어 총에 맞은 시위대 3명 가운데 2명이 숨졌습니다	총을 든 사람이 여러 발 총을 쐈어요	그의 팔을 공격하고 있는 사람을 때렸죠	범인은 17살 백인 소년으로 시위대로부터 마을을 지키겠다며 자체 순찰대를 꾸리고 나선 백인 자경단원 중 한 명으로 추정됩니다	범행 전 SNS에 자신의 입장도 밝혔습니다	사람들이 피해를 입고 있어요	우리의 일은 상점들을 보호하는 겁니다	누군가 피해를 입었고 나는 힘들 길로 들어가려고 합니다	시위 참가자들이 숨졌다는 소식에 더 많은 시위대가 몰려들었지만 경찰 총에 맞아 하반신이 마비된 블레이크의 가족들은 평화 시위를 촉구했습니다	블레이크가 폭력 파괴 일이 벌어지고 있는지 안다면 기쁘게 생각하지 않을 거에요	사건이 일어난 위스콘신주를 연고로 하는 프로농구팀은 흑인 총격 사건에 항의해 플레이오프 경기에 출전하지 않았습니다	수사당국은 블레이크의 차량 운전석 바닥에서 흉기를 찾아냈다며 사건 당시 블레이크의 흉기 사용 여부에 대해서도 수사 중이라고 밝혔습니다	미국 캘리포니아에서 뉴스 윤수민입니다	영상취재
18,조주빈 휴대전화 9대의 비밀--0,꿈을 담는 캔버스 CHANNEL A 무단 전재 재배포 금지
19,타지역 주민 2주 격리…日 “제발 오지 말라” 안내 문구--0,꿈을 담는 캔버스 CHANNEL A 무단 전재 재배포 금지
20,[단독]“사진 보내라…죽이겠다” 만화 캐릭터로 위장해 협박--0,꿈을 담는 캔버스 CHANNEL A 무단 전재 재배포 금지
21,‘황제 복무’ CCTV에 덜미…무단 외출·부사관 심부름까지--0,꿈을 담는 캔버스 CHANNEL A 무단 전재 재배포 금지
22,스마트폰으로 초정밀 위조지폐 ‘슈퍼노트’도 잡아낸다--0,스마트폰만 있으면 위조지폐를 감별할 수 있는 기술이 나왔습니다	경찰에 먼저 보급됐는데 보고왔습니다	눈으로 보기에는 똑같이 생긴 만 원권 지폐 두 장	스마트폰 카메라로 들여다보니 한 장에서만 푸른 형광빛이 나타납니다	세종대왕의 옷깃 문양도 다릅니다	한 장에는 한글 자음과 모음이 선명하지만 한 장은 흐린 선으로만 인쇄돼 있습니다	비결은 스마트폰에 장착한 특수 렌즈에 있습니다	경찰 수사관이 렌즈를 끼운 채 지폐 사진을 찍으면 인공지능이 실시간으로 위조 여부를 판별합니다	인공지능이 계속 데이터를 축적하며 학습하는 덕분에 쓰면 쓸수록 정확도가 높아집니다	기존에는 20일씩 걸리던 국립과학수사연구원의 위폐 정밀 감정도 특수렌즈를 장착한 스마트폰 감정을 이용하면 하루도 채 걸리지 않습니다	달러와 위안화 감정도 가능해졌습니다	100달러짜리 지폐는 숫자 안에 빼곡히 적힌 100 USA 글자가 특징인데 위조지폐는 흐린 검은색으로 표현돼 있습니다	두 장의 100달러 지폐 한 장은 진짜 한 장은 초정밀 위조지폐 슈퍼노트 입니다	육안으로는 전혀 구별이 안 되고 일반적인 위폐 감별기조차 가려내기 쉽지 않다고 하는데요	원격감정 서비스를 이용하면 슈퍼노트까지도 하루 만에 감정할 수 있습니다	서비스는 여권이나 주민등록증 운전면허증과 같은 신분증으로도 범위를 확대할 수 있습니다	지금은 일선 경찰에만 보급되고 있지만 관공서나 민간 분야에서 활용될 경우 누구나 손쉽게 위조 감별을 할 수 있을 것으로 기대됩니다	뉴스 이지운입니다	영상취재	박연수 영상편집
