0,"정부, 업무개시명령 불응한 전공의 10명 경찰 고발--0",전공의 전임의 의사 집단 휴진이 8일째 계속되는 가운데 보건복지부는 업무개시명령 미이행으로 3개 병원 응급실 미복귀 10명의 전공의를 서울지방경찰청에 고발 조치했다	전공의와 전임의를 대상으로 업무개시명령을 수도권에서 전국으로 확대하고 환자 진료 업무에 복귀할 것을 명령했다	정부는 코로나19 확진자가 수도권 외 지역에서도 100명을 넘어서는 코로나 19의 전국적인 대규모 유행이 크게 우려되는 상황에서 집단 휴진이 강행됨에 업무개시명령을 비수도권까지 확대하는 것이 불가피하다는 입장이다	한편 대한의사협회는 코로나19 확산세가 심각한 상황에서 파업여부와 상관없이 전공의 전임의 등을 포함한 의사들이 충실히 업무를 수행 중이며 현재에도 많은 의사들이 선별진료소를 지원하는 국민의 보건에 중대한 위해를 끼치거나 진료에 막대한 지장을 초래한 사실이 없다 며 정부의 업무개시명령은 부당한 공권력 행사 라는 입장이다	보건복지부에 따르면 27일 12시 전국 전공의 8800여명 가운데 70 가까운 6000여명이 근무하지 않는 것으로 나타났으며 전임의는 전체 1 900여명 가운데 540여명인 28 정도가 휴진에 동참한 것으로 파악됐다	동네의원의 경우 10곳 중 1곳 정도가 휴진에 참여했다
1,일본 코로나 감염 여성 무사히 출산… 아기는 음성--0,일본에서 코로나19에 걸린 여성이 무사히 아기를 낳았다 28일 요미우리신문의 보도에 의하면 일본 가나가와현 사가미하라시에 있는 기타사토대학병원은 코로나19에 감염된 여성이 이달 초 무사히 출산했으며 검사 결과 아기는 감염되지 않은 것으로 파악됐다고 전날 발표했다	여성은 의사의 판단에 제왕절개 수술로 아기를 낳았으며 아기의 감염 방지를 위해 분리된 병실에서 폐렴 치료를 받았다	여성은 치료를 통해 건강을 회복 후에야 아기를 만날 수 있었으며 검사 결과 음성 판정을 받아 최근 퇴원했다	한편 코로나19가 경제에 미치는 영향이 커지면서 생활고를 이유로 범행을 저지르는 사례도 파악되고	가나가와현 경찰본부는 여성에게 상해를 입히고 금품을 강탈한 혐의로 니시야마 유키 씨를 26일 체포했다	교도통신 일본 언론에 따르면 그는 25일 오후 4시께 부동산 회사 측의 안내를 받아 방문한 요코하마시의 한 아파트에서 부동산 회사 직원을 흉기로 찌르고 현금 수천엔이 든 가방을 빼앗은 혐의 등을 받고	니시야마 씨는 지난달 말까지 오사카 유흥업소에서 일했으나 코로나19의 영향으로 일을 할 수 없게 됐으며 최근에는 노숙했다고 경찰 조사에서 진술했다
2,코로나 때문에 TV 속 베드·액션신 사라진다--0,미국 CBS방송의 인기 경찰 드라마 스와트 는 긴박한 액션신과 베드신으로 잘 알려져	최근 방송에선 장면이 대폭 줄었다	신종 코로나바이러스 감염증 관련 방역 차원에서 촬영 당시 배우들 간 접촉을 최소화했기 때문이다 13일 미국 일간 월스트리트저널은 코로나19가 드라마나 게임쇼 TV 프로그램의 내용에도 영향을 미치고 있다고 소개했다	신문은 팬데믹 속에서 할리우드가 제작을 재개하는 가운데 코로나19에 대한 공포가 TV 프로그램의 제작 방식을 바꾸고 며 제작자들은 군중이 나오거나 인물들이 밀접하게 있는 장면 촬영을 피하고 특별 출연자를 등장시키려 하지도 않는다 고 설명했다	제작진이 프로그램 내용을 수정하면서까지 방역에 신경 쓰는 건 그만큼 촬영장에서 바이러스 전파가 쉽기 때문이다	실내 세트장의 경우 좁은 공간에서 여러 사람이 장기간 밀접하게 있을 때가 많다	배우와 감독 촬영ㆍ조명ㆍ오디오팀뿐 아니라 배우의 매니저 스타일리스트까지 한 공간에 몰려	특히 배우는 마스크를 착용하지 않아 바이러스에 무방비 노출된다	시시각각 촬영 장소가 바뀌어 출연진이 자주 이동해야 한다는 점도 감염 위험을 높인다	촬영 현장에서 감염자가 나오면 제작진은 당분간 촬영을 일시 중단할 수밖에 없다	실제로 최근 NBC 드라마 생애 나날들 HBO의 차기 역사 드라마 더 길디드 에이지 는 일부 제작진이 코로나19에 걸려 촬영을 멈춘 상태다	스와트 촬영장에선 배우ㆍ감독ㆍ오디오팀과 작가ㆍ제작자들이 머무르는 공간을 엄격히 구분 짓고 자신의 구역 나타내는 팔찌를 차도록 했다	스와트책임 프로듀서인 숀 라이언은 보통 250명씩 두던 엑스트라를 30명으로 줄였으며 식사시간에는 기존의 뷔페식 회식과 달리 모두가 개인용 식탁에서 도시락을 먹는다고 전했다	특별 출연자가 나올 경우 따로 돈을 주고 촬영 전 5일간 방송 촬영을 하지 않도록 한다	배우들과 밀접 접촉자들은 최소 주 3회 코로나19 검사를 받고 촬영 현장에는 거리두기 준수 여부를 판별하는 방역 전문가를 두기도 했다	WSJ은 코로나19 검사 예방 조치가 할리우드에서 확산하며 촬영 비용도 늘고 며 보통 1시간짜리 드라마를 찍는 데 30만 달러가 넘는 추가 비용이 발생하고 코미디의 경우 약 15만 달러가 더 들게 됐다 고 전했다
3,경남·경북 독감백신 사망자 또 발생… 13명째--0,독감 백신 접종 이후 사망한 사례가 잇따르는 가운데 경북 성주와 경남 창원에서도 숨진 사례가 발생했다 22일 경상북도에 따르면 성주에 사는 70대 여성 A씨는 20일 한 의원에서 독감 백신을 접종한 뒤 21일 오후 8시 20분께 숨진 채 발견됐다	A씨 가족이 집 안에 쓰러져 있는 것을 발견하고 신고해 경찰이 보건 당국에 통보했다	보건 당국은 접종 과정 역학관계를 조사하고	경남 창원에서도 독감 백신을 맞은 70대 남성 B씨가 숨졌다	22일 경남도에 따르면 창원에 사는 B씨는 19일 요양병원에서 독감 백신을 접종한 뒤 21일 오후 6시께 숨진 채 발견됐다	이를 포함해 현재까지 백신 접종 후 13명째 사망자가 나왔다
4,"갓갓 긴급체포… ""변태 성욕 장애"" 어떤 게 있나?--0",텔레그램 n번방 운영자인 A씨에게 구속영장이 청구됐다	경북지방경찰청 사이버안전과는 A씨에 대해 아동청소년성보호법 위반 혐의 등으로 구속영장을 신청했다고 11일 밝혔다	A씨는 미성년자를 포함한 여성의 성착취 영상물을 제작 텔레그램 대화방에 배포한 혐의 등을 받고	앞서 경찰은 A씨를 갓갓으로 특정해 지난 9일 소환 조사했으며 조사 결과 A씨로부터 자신이 갓갓이라는 자백을 받고 그를 긴급체포했다	A씨를 비롯해 n번방에 참여한 조주빈 등은 심리 속하는 변태 성욕 장애 가능성이 크다	변태 성욕을 가진 사람은 낮과 밤이 완전히 반대 행위 성적 흥분을 잘 느낀다	대표적인 변태 성욕 장애에 사디즘과 마조히즘이	평소 권위를 요구하는 직업을 가진 사람이 성적으로 당하는 것을 좋아하는 마조히즘 성향을 보이거나 남성성이 충만한 남자가 어린이의 옷을 입는 사디즘 성향을 보이는 식이다	밖에 공연음란행위 노출증도 변태 성욕 장애에 속한다	변태 성욕 장애자 중 공격성이 심한 사람은 화학적 거세를 시도하기도 한다	한편 정신질환의 일종인 관음증을 겪을 가능성도	관음증은 성도착증의 하나로 사람의 사적 활동이나 성과 연관된 행위를 몰래 관찰함으로써 비정상적으로 성적 만족을 느끼는 것이다	남자에게 더 흔히 발생하며 15세를 전후로 증상이 나타나고 자위 행위를 하는 경우가 많다	관음증은 치료 없이 낫지 않고 남에게 피해를 줄 수 있어 문제다	시간이 지날수록 자신의 행동에 대한 죄책감도 사라진다	정신치료요법 인지행동치료 등을 통해 증상을 완화한다	증상이 심각하면 성욕감퇴제 같은 약물을 사용할 수	환자가 치료에 적극적으로 임하는 게 중요하다
5,"해운대 7중추돌, 운전자 대마 흡입… ""대마""가 일으키는 신체 변화는?--0",해운대 7중추돌 사고의 원인은 포르쉐 운전자의 환각 질주 때문이었던 것으로 확인됐다	부산경찰청은 마약 투약 혐의로 7중 추돌사고를 낸 운전자 A씨를 조사하고 있다고 15일 밝혔다	A씨는 이날 경찰 조사에서 사고 직전 차 안에서 대마를 흡입한 사실을 자백한 것으로 알려졌다	A씨는 7중 추돌 사고 전에도 두 차례 더 사고를 낸 것으로 파악됐다	A씨가 흡입한 대마는 60개가 넘는 화학성분으로 구성돼있다	뇌의 기억 기능을 담당하는 해마 신경세포를 손상하고 뇌 신경들을 연결하는 시냅스 변화를 일으킨다	뇌 혈류량을 감소시켜 중추신경계에 영향을 미치면서 인지기능을 떨어뜨리기도 한다	담배와 가장 큰 차이점은 무기력증 환각 망상 정신병 증상을 유발하는 것이다	담배에는 발암물질을 일부 걸러내는 필터가 있는데 대마초는 불법으로 제조돼 제대로 된 필터가 없어 발암물질을 그대로 흡입하게 된다	대마는 어린 나이에 흡입할수록 중독될 확률이 높고 특정 유전자 가진 사람이 중독에 쉽게 빠진다고 전해진다	한편 대마를 한 번 피워도 6개월 후까지 모발에 축적돼 검출되고 소변을 통해서는 3 4일까지 확인이 가능하다
6,동부구치소 70대 남성 확진자 1명 추가 사망--0,코로나19 집단감염이 발생하고 있는 서울동부구치소에서 코로나19 확진자 1명이 사망했다 7일 법조계와 방역당국에 따르면 이날 오전 동부구치소에서 확진 판정을 받은 70대 남성 수용자 A씨가 사망했다	A씨는 지난달 25일 양성 판정을 받고 격리 중이었다	A씨는 이날 오전 6시께 호흡곤란을 겪었으며 119구급차를 타고 인근에 있는 경찰병원으로 이송됐으나 사망했다	A씨는 무증상자였으나 평소 협심증과 고혈압 기저질환이 있었던 것으로 알려졌다	이에 전국 교정시설에서 코로나19로 사망한 수용자는 A씨를 포함해 3명으로 늘었다	앞서 동부구치소에 수감 중이던 굿모닝시티 분양 사기 주범 윤창열씨가 코로나19 확진 판정을 받은 뒤 외부 시설로 옮겨져 치료를 받던 중 지난달 27일 사망했다	지난달 31일에는 서울구치소에서 확진 판정을 받은 30대 남성이 이송될 병원을 찾던 중 구급차 안에서 사망하기도 했다	이날 오전 9시까지 전국 교정시설의 코로나19 누적 확진자는 1천205명이며 중 출소자를 포함한 수용자는 1163명이다
7,"자살 고민 전화, 한밤에 몰리는데… 상담원은 낮의 ""반토막""--0",극단적 선택을 고민하는 사람이 전화를 거는 보건복지부 1393 자살예방 상담전화 한밤에 몰리는데 근무인원은 정작 낮에 집중돼있는 것으로 조사됐다	최근 코로나 블루 호소하는 사람이 늘면서 이에 대한 대비책이 필요하다는 지적이다	국회 보건복지위원회 소속 강선우 더불어민주당 의원이 22일 보건복지부로부터 제출받은 이와 같은 자료를 23일 공개했다	자료에 따르면 지난 1 8월 하루 중 가장 많은 상담전화가 걸려온 시점이 오후 11시부터 새벽 1시다	오후 11시부터 자정까지가 7103건으로 가장 많았고 0 1시 사이가 7089건으로 뒤를	쏟아지는 전화에도 근무 상담원은 낮의 절반 수준이었다	이에 응대실패율이 오후 11시 12시 73 0 1시 71 달했다	보건복지부 자살예방상담전화센터는 4조 3교대 근무로 돌아간다	겹치는 시간대인 오후 2 4시에는 18명이 투입되는데 정작 취약시간대인 오후 10시 이후에는 9명만 근무한다	지난 8개월간 오후 2 3시에 걸려온 상담전화는 3952건 오후 3 4시에는 4302건으로 파악됐다	근무자가 많다 보니 응대 실패율도 31 55 크게 낮았다	자살예방상담전화센터는 비상시 경찰과 소방에 연락해 출동할 수 있는 체제를 갖췄다	지난해 월평균 약 297건의 출동이 있었는데 올해는 8개월간 월평균 약 320건으로 약 8 늘었다	코로나 블루 탓에 우울증을 호소하는 사람들이 늘면서 심한 경우 극단적 선택 시도로 이어지고 있다고 분석된다	복지부에서는 자살예방 상담전화 자체가 격무라 상담사가 자주 바뀌는 고충이 적지 않다고 호소했다	강선우 의원은 코로나 블루로 국민 정신건강에 적신호가 켜진 만큼 자살 예방을 위한 인력 확충과 운영체계 확대 개편 방향 설정부터 근본적으로 다시 세워야 할 이라며 상담원에 대한 정신과 진료 심리 상담 역시 지원돼야 한다 고 말했다	한편 자살 충동이 잦을 때는 우울증을 의심하고 정신건강의학과를 찾는 게 좋다	평소에는 햇볕을 많이 쬐고 운동하고 따뜻한 물로 목욕을 하는 게 도움이 된다
8,경남서 독감백신 사망자 추가 발생… 창원 70대 남성--0,경상남도 창원에서 독감백신을 맞은 70대 남성이 숨진 채 발견됐다	이로써 경남에서만 이틀 사이에 독감백신 접종 추정 사망자가 2명 발생했다	경찰에 따르면 22일 오전 10시 18분께 창원시 진해구 한 주택에서 79세 A씨가 숨진 채 발견됐다	유족들은 A씨가 20일 오후 집 근처 병원에서 독감백신을 접종했다고 진술했다	보건당국은 병원을 상대로 A씨 접종 사실을 확인했다	앞서 창원에서는 70대 남성 B씨가 지난 19일 오전 10시께 한 요양병원에서 독감 백신을 접종한 뒤 숨졌다	B씨는 21일 오후 6시께 목욕탕에서 사망한 상태로 발견됐다	B씨는 당뇨와 경증 치매 기저 질환이 있었던 것으로 확인됐다	B씨가 접종받은 백신은 SK바이오사이언스의 스카이셀플루 4가다	해당 백신이 상온 노출로 효능 저하 우려가 제기되거나 백색 입자가 검출된 제품인지는 확인되지 않았다
9,뇌전증 환자의 뺑소니는 무죄? 신경외과 전문의에게 물었다--0,교통사고를 낸 후 도주한 A씨가 뇌전증으로 인해 기억을 하지 못한다 는 이유로 무죄를 선고받았다	이에 A씨가 실제로 사고 당시 뇌전증 발작을 일으킨 게 맞는지 그렇다고 사고를 일으킨 사람에게 무죄를 선고한 것이 맞는지에 대한 논란이 이어지고	뇌전증은 과거 간질 불리기도 했는데 발작을 일으킨다는 외에 일시적 기억상실 등을 일으킬 수 있다는 것도 일반인들에겐 생소하다	사건에 대해 전문가의 의견을 들어봤다	지난 2018년 9월 A씨는 차선 변경 과정에서 B씨의 차량을 들이받고 도주했다	이어 방향을 틀다 차량을 연이어 들이받았다	사고로 피해자 2명이 전치 2주의 상해 진단을 받았다	A씨는 사고 현장에서 도주했다	서울중앙지법은 A씨가 2016년 뇌전증을 진단받은 점 당시 현장에 출동한 경찰관이 A씨의 표정에서 거짓말이라는 느낌을 받지 못했다고 증언한 점 사고 직후 A씨 남편이 경찰관과 통화할 A씨에게 기억상실 증상이 있다고 진술한 점 등을 무죄 선고를 내렸다	A씨의 경우처럼 실제 뇌전증 환자는 일시적 기억상실 겪을 수 있는 걸까	길병원 신경외과 박광우 교수는 뇌전증 환자가 일시적으로 기억을 잃는 것은 흔한 증상 이라며 뇌전증 발작 후에는 대개 의식을 잃는 경우가 많은데 A씨의 경우처럼 운전까지 지속하는 경우는 극히 드물다 고 말했다	이어 박광우 교수는 극히 드물긴 해도 가능성이 아예 없는 것은 아니다 라며 사실을 정확히 밝히려면 사고 당시 A씨의 뇌파를 살펴봐야 하는데 CCTV 영상만으로는 판단에 한계가 고 말했다	현재 법적으로 뇌전증 환자는 면허를 취득하는 게 불가능하다	면허 취득 당시 뇌전증 발병 사실을 숨긴다면 사실상 취득이 가능해진다	이미 면허를 취득한 뇌전증 환자가 운전해선 안 된다는 규제도 없다	특히 잦은 발작을 일으키거나 제대로 치료를 받지 않는 뇌전증 환자 치료를 받더라도 조절되지 않는 뇌전증 환자의 경우 큰 사고로 이어질 위험성이 높으므로 환자의 운전에 정확한 가이드라인이 만들어져야 할 필요성이 보인다	꾸준한 치료로 발작이 발생하지 않는 환자에게 무조건 운전을 금지하기도 어렵다	뇌전증 환자도 꾸준히 약을 복용하고 잘 관리하면 일반인과 다름없이 생활할 수	실제 뇌전증 환자의 교통사고 발생률이 일반인에 비해 크게 높지 않다는 연구 결과가 나오기도 했다	박광우 교수는 뇌전증 환자들에게 사회적 낙인을 찍지 않는 선에서 적절한 가이드라인이 필요하다 며 뇌전증 전조증상을 느끼는 환자는 최대한 운전을 하지 말아야 하고 대중교통 등을 이용할 때도 위험한 상황에 처할 수 있으니 안전한 곳에서 안정을 취하는 게 좋다 고 말했다
