0,"트럼프, 시위대 위협에 지하벙커 피신…""극좌 테러리스트 지정""--0","흑인 인종 차별에  항의하는 미국의 시위가 미 전역으로 확산하면서 유혈사태로 번지고 있습니다.	  시위가 과격해 지면서 방화와 약탈이 잇따르고 일부 지역에서는 총과 활로 무장한 백인 우월자들이 시위대를 공격하기도 했습니다.	   수천명이 체포됐고 20여개 도시는 야간 통행금지령을 내리면서 미 전역이 극도의 혼란 속으로 빠져 들고 있습니다.	    트럼프 대통령은 시위대를   극좌파 테러 조직이라고 주장했고  시위대가 백악관 코 앞까지 밀려오자 지하 벙커로 피신하는 일까지 벌어졌습니다.	  먼저  가 보도하겠습니다.	백악관 인근 건물이 불길에 휩싸입니다.	 백악관을 둘러싼 경찰과 시위대가 대치하고, 최루탄이 터집니다.	 지난 금요일 밤 시위대는, 백악관 출입문 바로 앞까지 진출했습니다.	 이 때 트럼프 대통령은 지하벙커로 몸을 피했습니다.	 1시간 정도 머물렀고, 시위대가 물러난 뒤에야 복귀했습니다.	다음날 트럼프는, 시위를 주도한 세력은 '극좌파'라면서, ""테러리스트로 지정할 것""이라고 밝혔습니다.	트럼프 / 대통령""무고한 이들에게 테러를 가하는 급진 좌파 집단이 폭력과 공공기물 파손을 주도하고 있습니다.""	 앞서 트럼프는 ""약탈이 시작되면 총격도 시작될 것""이라며 무력진압 가능성을 경고하기도 했습니다.	 초강경 대응에 민주당은 물론, 공화당 소속 단체장도 우려를 나타냈습니다.	 케이샤 랜스 바텀스 / 애틀랜타 시장""트럼프는 입을 다물어야 합니다.	 2017년 '샬러츠빌'의 재연이에요.	 트럼프가 입만 열면 사태를 더 악화시킵니다.""	  래리 호건 / 메릴랜드 주지사"" 도움이 안 됩니다.	 사태를 안정시켜야 하는데 수위를 계속 격화시키고 있어요.""	 백악관 참모 일부도 제동을 걸었습니다."""
1,"트럼프, 시위대 위협에 지하벙커 피신…""극좌 테러리스트 지정""--1","국내 정책 담당인 브룩 롤린스가, 트럼프 대통령에게 신중하게 대응해야 한다고 조언했다""고 CNN은 보도했습니다.	 11월 재선 가도에 부정적인 영향을 줄 거라는 이유에섭니다.	   홍혜영입니다.	 * 뉴스제보 :"
2,"정신병원 입원 문제로 다투던 40대, 칠순 아버지 숨지게 해--0",광주 광산경찰서는 둔기로 아버지를 살해한 혐의로 42살 A씨를 붙잡아 조사중이다.	 A씨는 어제 광주 광산구 자신의 집에서 74살 아버지에게 둔기를 휘둘러 숨지게 한 혐의를 받고 있다.	 경찰은 정신질환을 앓던 A씨가 아버지와 병원 입원 문제로 다투다 범행을 저지른 것으로 보고 있다.	 가족의 신고로 출동한 경찰은 PC방에서 A씨를 붙잡아 정확한 사건 경위를 조사중이다.	 /   * 뉴스제보 :
3,"한국당, 첫 상설특검 수사요구안 제출…""추미애 수사해야""--0","자유한국당이 추미애 법무부 장관의 검사 인사와 이성윤 서울중앙지검장의 기소 지시 거부 등 의혹에 대한 특별검사의 수사요구안을 제출한 것으로 6일 확인됐다.	 국회 의안정보시스템에 따르면 ""추미애 법무부장관의 검사 인사 학살 및 이성윤 서울중앙지검장의 항명, 직무유기, 수사방해 등 의혹의 진상규명을 위한 특별검사의 수사요구안""이란 제목의 의안이 지난 3일 심재철 원내대표 등 한국당 의원 108명 전원 명의로 제출돼 현재 법제사법위원회에 회부된 상태다.	 한국당 관계자는 ""한국당이 '상설특검법'에 따른 수사요구안을 제출한 것은 이번이 처음인 것으로 안다""며 ""별도 특검법은 총선을 앞두고 정국 변수가 많은 상황이라 상설특검으로 진실을 밝히기 위해 우선 제출했다""고 설명했다.	 황교안 대표는 지난달 24일 검찰인사 관련 긴급입장을 발표하면서 ""정권의 검찰 무력화와 사법 방해가 극에 달하면서 더 이상 특검 논의를 자제할 수 없게 됐다""며 ""특검을 통해 난폭한 정권의 권력 사유화를 막겠다""고 말한 바 있다.	 한국당은 수사요구안을 통해 ""추 장관이 지난 1월 두 차례 단행한 검사 인사에서 검찰 인사권을 남용해 현 정권 관련 범죄를 수사하는 검사들을 비롯해 윤석열 검찰총장 부임 직후 주요 보직에 임명된 검사들을 부당하게 좌천시켰다""며 ""추 장관과 이성윤 당시 법무부 검찰국장은 검찰청법과 검사인사규정을 위반하면서 검사가 아닌 유혁 변호사를 신임 검사장으로 임용 시도해 검찰인사위원회의 정당한 권리행사를 방해했다""고 주장했다.	 또 심재철 대검찰청 반부패·강력부장에 대해선 ""지난달 17일 내부회의에서 조국 전 법무부 장관의 유재수에 대한 감찰 무마 협의에 대해 기소를 반대하고 무혐의 의견을 거론하며 담당 수사팀의 수사를 방해하려고 시도했다""고 했다.	 ""최강욱 청와대 공직기강비서관은 민갑룡 경찰청장 등과 공모해 검사장 승진대상 약 180명에 대한 세평을 수집하고 보고받는 등 청와대와 법무부가 주도적으로 검찰 지휘 체계 파괴와 수사 방해를 일삼고 있다""는 내용도 포함됐다.	 이성윤 서울중앙지검장에 대해선 ""윤 총장으로부터 최 비서관에 대한 기소 지시를 세 차례나 받고도 의도적으로 불응했다""며 직무 유기 의혹을 제기했다.	 이른바 '윤석열 패싱' 논란을 불렀던 이 지검장의 검찰사무 보고 과정에 대해선 ""검찰보고사무규칙상 상급 검찰청장과 법무부 장관에 대한 동시 보고 규정을 정면으로 위반한 것""이라며 ""직무유기에 해당한다""고 했다.	 또 ""추 장관이 이 지검장의 결재 없이 최 비서관을 기소했다는 이유로 송경호 서울중앙지검 3차장과 고형곤 반부패수사 2부장에 대한 감찰을 지시했다""며 검찰청법 위반과 직권남용죄에 해당할 소지가 크다고 주장했다.	 한국당은 ""이른바 '검사 인사 학살'로 임명된 담당 검사들의 중립적인 수사를 기대하기 불가능하다""면서 △추 장관이 검사들을 좌천시켜 직권남용했다는 의혹 △추 장관과 이 지검장이 검찰인사위원회의 권리행사를 방해했다는 의혹 △심 부장이 '유재수 사건 감찰 무마 혐의' 담당 수사팀의 수사를 방해했다는 의혹 △최 비서관이 검사 약 180명에 대한 세평 수집으로 직권을 남용했다는 의혹 등을 특검 수사 대상으로 할 것을 요구했다.	 2014년 제정된 '특별검사의 임명 등에 관한 법률'에 따르면 특검 수사 결정은 국회 본회의 의결이나 법무부 장관이 검찰총장의 의견을 듣고 판단해야 가능하다.	 국회 의안정보시스템에 등록된 상설특검법에 따른 수사요구안은 2016년 백남기 농민 사망사건을 시작으로 △강원랜드 채용비리 사건 △서지현 검사에 대한 성추행 사건 △경찰 댓글공작 사건 △김학의 전 법무부 차관 사건 △버닝썬 사건 등에 대한 진상규명 요구가 더불어민주당과 국민의당, 정의당, 바른미래당 의원들을 중심으로 이어져왔지만, 한국당의 경우 새누리당 시기를 포함해 이번이 처음이다.	 /  * 뉴스제보 :	 이메일, 카카오톡,  -	 Copyrights ⓒ  .	 무단전재 및 재배포 금지 -"
4,광주 도심 원룸서 화재…1명 사망·3명 중경상--0,오늘 오전 8시 30분쯤 광주 동구의 한 원룸 건물에서 불이 났다.	 출동한 소방대가 20여 분 만에 불길을 잡았지만 1명이 숨지고 3명이 중경상을 입었다.	 경찰과 소방 당국은 사망자의 신원 파악과 화재 원인을 조사하고 있다.	 /   * 뉴스제보 :
5,"꿈의 슈퍼카 ""멕라렌"", 강변북로 달리다 갑자기 화재--0","3억원 넘는 슈퍼카가  서울 강변북로를  달리다  화재가 발생해  불에 타버렸습니다.	  부산에서도  고급 스포츠카에  불이 나는 일이 있었습니다.	  피해 규모는   억 소리나지만,  다행히  다친 사람은 없었습니다.	   입니다.	 갓길에 세워져 있는 차량 뒷편에서 시뻘건 불길이 올라옵니다.	 차량이 금새 화염에 휩싸입니다.	 화재 신고를 받고 출동한 소방관들이 급하게 소방호스로 물을 뿌립니다.	 불이 잡히자 차량 뒷부분이 완전히 타버렸습니다.	 지난 23일 낮 11시 반 쯤, 서울 마포대교 인근 강변북로를 달리던 멕라렌 차량에서 불이 났습니다.	 멕라렌은 신차 기준으로 3억 2천만원짜리로, 마니아들 사이에선 꿈의 슈퍼카로 불립니다.	 다행히 차량 주인은 빠져 나와 다친 사람은 없었습니다.	 서울 마포소방서 관계자""엔진룸에서 화재가 발생해가지고 엔진룸 일부만 소실이 돼가지구요"" 다음날인 어제 부산 남해고속도로에선 갓길에 세워져 있던 포르쉐 뒷부분에서 불이 났습니다.	 경찰과 소방당국은 엔진 과열 여부 등을 조사하고 있습니다.	   백연상입니다.	  * 뉴스제보 :"
6,"""박사방"" 피해자 정보 유출 공무원 2명 檢 송치--0","'박사방' 피해자들로 추정되는 개인정보를 온라인에 게시한 공무원 2명이 검찰에 송치됐다.	 서울지방경찰청은 오늘 ""개인정보보호법위반 혐의로 송파구청 공무원 2명을 불구속 기소 의견으로 송치했다""고 밝혔다.	 이들은 지난 6일 위례동 주민센터 홈페이지에 '개인정보 유출 사례가 발생했다'며 작년 초 불법으로 조회된 204명의 개인정보 명단을 올렸다.	 명단에는 이름 두 글자와 출생연도, 성별, 유출일 등이 포함돼있었다.	 이 개인정보는 '박사' 조주빈의 공범인 사회복무요원이 최 모 씨가 검색했던 정보들로 확인됐다.	 당시 주민센터 측은 ""관련 법에 따라 정보 유출 여부를 확인하라는 취지였다""고 설명했지만, 경찰은 '공무원의 권한 초과'로 판단했다.	 경찰관계자는 ""앞으로도 피해자들의 신상공개 등 2차 가해행위를 엄정하게 처벌할 것""이라고 말했다.	 /    * 뉴스제보 :"
7,3차 우한 교민 140명 긴장 속 입소…14일 격리생활 시작--0,"국제보건기구 WHO가 신종 코로나 바이러스의 공식 명칭을 COVID 19으로 정했습니다.	   2019년에 발발한 코로나 바이러스 감염증이란 뜻입니다.	     이에따라 보건복지부도 현재 신종코로나바이러스로 부르고 있는 이번 감염증의  공식 명칭을 '코로나 19로 변경했고 저희 역시 이 방침에 따르기로 했다는 점  먼저 말씀드리면서 뉴스 나인 시작하겠습니다.	   어제 정부가 보낸 3차 전세기를 통해 중국 우한 교민 147명이 입국했습니다.	  이 가운데 7명을 제외한 140명이 경기도 이천  국방어학원에 마련된 임시 생활시설에 입소했습니다.	  앞으로 2주동안 여기서 격리생활을 해야 하고 안전이 확인되면 귀가 조치될 예정입니다.	   우여곡절끝에 한국 땅을 밟은 우한 교민들, 공항도착에서 입소까지의 과정을  가 먼저  보도하겠습니다.	오늘 새벽 6시23분, 우한 교민 147명을 태운 전세기가 활주로에 들어옵니다.	 방역복을 입은 사람의 안내를 받아 마스크를 쓴 여성이 아이를 안고 트랩을 내려옵니다.	 의심증상을 보인 일부를 제외한 교민 140명은 경찰 버스 20대에 나눠 타고 임시생활시설이 마련된 경기도 이천의 국방어학원으로 향했습니다.	 교민들은 감염 예방을 위해 이동 버스 좌석에 붙은 번호표데로 간격을 두고 앉았습니다.	 이들은 오전 10시42분부터 11시8분까지 26분 동안 차례로 국방어학원에 도착했습니다.	 이곳 이천 국방어학원은 교민들이 들어온 김포공항으로부터 1시간 30분 거리입니다.	 가까운 아파트도 1km 밖이라 주민들과 분리된 위치이고 국가지정병원도 한 시간 거리로 비교적 가깝습니다.	 이천 주민들은 국방어학원 진입로에 교민 환영 현수막 10여 개를 내걸었습니다.	 하지만 주민들의 불안한 마음도 여전합니다.	 이종민 / 이천 이황1리장 ""어느정도 불안한 마음이 가실때까지 방역 같은 것을 철저하게 해주시길 부탁드립니다.""	 오늘 입소한 교민과 중국 국적 가족 140명은 1인1실을 배정받아 24시간 방에 머물며 2주 동안 격리 생활에 들어갔습니다.	   신유만입니다.	* 뉴스제보 :"
8,3차 우한 교민 140명 긴장 속 입소…14일 격리생활 시작--1," 이메일, 카카오톡,  -	 Copyrights ⓒ  .	 무단전재 및 재배포 금지 -"
9,"1월 11일 ""뉴스 퍼레이드"" 오프닝--0","유정현 :	 깊이있는 시선으로 오늘을 바라보는 <뉴스퍼레이드> 문을 엽니다.	 류주현 :	 오늘의 뜨거운 이슈 살펴봅니다.	 유정현 :	 오늘부터 소상공인 등 250만명을 대상으로 3차 재난지원금이 지급됩니다.	 홍남기 경제부총리는 4차 재난지원금 전국민 지급 문제와 관련해 ""정부 재정은 화수분이 아니""라며 반대 목소리를 냈습니다.	 류주현 :	 문재인 대통령이 오늘 오전 새해 국정운영 방향을 담은 신년사를 발표합니다.	 신년사는 '회복'과 '도약', '포용'이 축을 이룰 것으로 전망되는데 북한과의 관계 설정 등 각종 문제에 어떤 발언을 할 지 주목됩니다.	 유정현 :	 미국 민주당이 트럼프 대통령에 대해 내란 혐의로 이번주중 탄핵소추안을 발의할 것으로 보입니다.	 미국 정가에선 초유의 '트럼프 대통령 퇴임 뒤 탄핵' 방안도 거론되고 있습니다.	 류주현 :	 한파 속에 3살짜리 여자아이가 내복만 입은 채 길을 헤메다 발견됐습니다.	 부모의 학대를 의심하는 경찰에 친모는 오해라면서 코로나 탓에 어린이집에 보내지 않았다고 주장했습니다.	 * 뉴스제보 :"
