0,"""채권 할인율 부풀려 수십억 편취의혹"" 대한법무사협회 규정위반 조사 착수--0","속보=채권할인율을 부풀리는 수법으로 최대 수십억원의 차액을 편취한 혐의로 경찰 조사를 받고 있는 일부 법무사에 대해 대한법무사협회도 자체 조사에 나섰다.	대한법무사협회는 본보 보도 직후 윤리위원회를 구성하고 춘천지역 법무사들을 대상으로 특별조사를 펼치기로 했다.	 이에 6명의 조사위원을 선정하고 지난 12일부터 관련자료 수집에 착수했다.	조사위원들은 우선 평소 사건수임건수가 지나치게 과다한 법무사 사무소이거나 사무원에 명의를 대여해 운영하는 법무사 사무소, 강원지방경찰청에서 수사를 받고 있는 법무사 등을 조사 대상으로 선정했다.	 이 중 10명의 법무사를 무작위로 선정해 규정 위반 여부를 살피고 있다.	 협회는 이번 특별조사 결과에 따라 위법사항이 발견된 법무사에 대해서는 수사기관에 고발해 수사를 요청하고 해당 법무사에 대해서는 엄중한 징계조치 절차를 진행한다는 방침이다.	최영승 대한법무사협회장은 “유사 사례 방지를 위해 특별조사를 결정했다”며 “문제의 소지가 있는 법무사 사무소에 대한 지속적인 점검과 관리를 통해 국민들이 안심하고 부동산등기서비스를 받을 수 있도록 할 것”이라고 밝혔다.	이번 사건은 최근 강원지방경찰청이 지난 8년간 춘천지역의 법무사 계좌로 부동산 등기 관련 비용을 입금한 업무대행 의뢰인 수천명에게 문자메시지를 보내면서 드러났다.	 경찰은 일부 법무사가 등기업무대행 도중 국민주택채권 조기 매도 할인율을 부풀려 실제 받을 수 있는 금액보다 적게 받도록 한 뒤 추후 그 차액을 챙긴다는 혐의에 대한 피해 사례를 접수하고 있다.	   ⓒ   -	 www.	kwnews.	co."
1,극단적 선택 시도 시민 살려낸 고교생--0,극단적 선택을 시도하던 사람을 발견하고 살려낸 고교생이 화제다.	정호준군은 지난 12일 밤 9시10분께 배달을 위해 소양1교를 지나던 중 난간으로 올라가려는 A씨를 발견했다.	 정군은 개인신변을 비관해 뛰어내리려던 A씨를 보자마자 신속하게 다가가 붙잡아 끌어내렸다.	 이후 정군은 신고를 받고 출동한 경찰관이 도착할 때까지 자리를 떠나지 않고 기다린 후 A씨를 안전하게 인계했다.	 이에 춘천경찰서는 소중한 생명을 구해낸 공로를 인정하고 지난 13일 정호준군에게 감사장과 부상품을 수여했다.	 최현순 서장은 “용기있는 행동을 격려하며 앞으로도 사회에 꼭 필요한 사람이 돼달라”고 당부했다.	  ⓒ   -	 www.	kwnews.	co.
2,1톤트럭 10m 추락 운전자 숨져--0,10일 오전 10시49분께 춘천시 서면 안보리 경춘공원묘원에서 정모씨가 몰던 1톤 트럭이 10ｍ 높이의 절개지에서 추락했다.	 이 사고로 정씨가 병원으로 옮겨졌으나 숨졌다.	 경찰은 정확한 사고 원인을 조사 중이다.
3,[동정]인물 2020년 6월 19일--0,◇한왕기평창군수는 19일 오전 6시 평창 알펜시아 700GC클럽하우스에서 열리는 제4회 평창평화도시 선포기념 크레이지 골프대회 개회식에 참석.	 ◇최승준정선군수는 19일 오전 11시30분 신동읍 가사리에서 열리는 태양광발전소 준공식에 참석.	◇박상수강원도의원은 20일 오후 5시 삼척 씨스포빌리조트에서 열리는 '국제로타리3730지구 근덕로타리클럽 회장 이·취임식'에 참석.	 ◇김영모동해지방해양경찰청장은 19일 오전 9시 삼척시 근덕면 궁촌항 일대 해경청 특공대 및 궁촌항 인근 해상에서 드론 조종·수색 경진대회를 주관.	 ◇장덕수농협중앙회강원지역본부장은 19일 오전 10시 강원지방경찰청에서 강원농협 찾아가는 직거래장터를 개최.	 ◇김완식대한노인회강원도연합회장은 19일 오전 10시30분 횡성문화원에서 열리는 '2020년 행복나눔봉사단 사전교육 간담회'를 주관.
4,"이춘재에 살해당한 화성 초등생 아버지 ""시신발견 사실 숨긴 경찰 원망""--0","""딸 시신을 발견하고도 왜 말을 안 해줬나요.""	김용복씨는 지금이라도 당시 수사관들을 만나 이유를 묻고 싶다고 말했다.	김씨의 딸 김양은 1989년 7월 7일 낮 12시 30분께 경기 화성시 태안읍에서 학교 수업을 마치고 귀가하던 중 실종됐다.	지금으로부터 31년 전이다.	김씨는 7일 딸이 이춘재에게 살해당한 경기 화성시 A 근린공원을 찾아 짧은 헌화 행사를 했다.	이 일대는 김양이 실종 당시 입고 있던 치마와 메고 있던 책가방 등 유류품들이 발견됐던 야산이 있던 곳으로, 경찰이 지난해 11월 김양의 유골 등을 찾기 위해 연인원 1천180명과 지표투과 레이더 5대 등 장비를 투입해 9일간 수색을 진행했으나 의미 있는 내용물은 발견되지 않았다.	등산로 옆 산자락에 국화꽃 한 다발을 올려놓은 뒤 묵념을 마친 김양의 아버지는 망연자실한 표정으로 벤치에 앉아 한참 울먹이다가 ""30년 동안 모르고 지냈다는 게 너무나도 원통하다""고 입을 열었다.	이어 ""모든 것을 알고 있었으면서 왜 그 사실을 감춰서 뼈 한 줌도 못 찾게 했느냐""며 ""개발되기 전에라도 시신을 찾았더라면 뭐라도 발견했을 텐데, 이춘재보다 경찰이 더 나쁘다""고 시신 발견 사실을 숨긴 당시 수사관을 원망했다.	화성에서 발생한 이춘재 연쇄살인 사건을 수사한 경찰은 최근 수사 결과를 발표하며 실종사건이었던 김양의 사건을 살인사건으로 결론 내렸다.	이 사건은 그동안 시신이 발견되지 않아 그동안 실종사건으로 분류됐었다.	 경찰은 30여년 전 당시 형사계장 등 경찰 2명이 김양의 유골 일부를 발견하고도 은닉한 사실을 확인했다고 밝혔다.	김양의 아버지는 ""민방위 훈련에 따라가겠다던 딸을 못 따라오게 하며 때린 게 지금도 후회된다""며 ""딸에게 못 해준 것만 왜 그렇게 생각이 나는지 모르겠다""고 전했다.	그는 ""딸에게 별로 해준 것도 없고, 힘들게만 한 것 같아서 안타까운 마음뿐""이라며 ""지금이라도 좋은 데서 편안하게 잘 지냈으면 한다""고 말했다.	이날 헌화 행사에는 경기남부지방경찰청 이춘재 사건 수사팀과 피해자보호계 소속 직원 5명도 찾아 고인의 넋을 기렸다.	김양의 가족은 경찰의 증거인멸로 살해사건에 대한 실체규명이 지연됐다며 국가를 상대로 손해배상 청구 소송을 제기한 상태다."
5,횡성군 공근면 중앙고속도로에서 화물차 등 7대 연쇄 추돌--0,17일 오전 8시 54분께 횡성군 공근면 중앙고속도로 춘천 방향에서 50대가 몰던 25t 화물차가 눈길에 미끄러지면서 가드레일을 들이받았다.	이 사고로 화물차가 도로를 막으면서 뒤따르던 승용차 트럭 등 7대가 연쇄 추돌했다.	이 사고로 승용차 운전자인 50대 여성이 다쳐 병원으로 옮겨졌다.	경찰은 자세한 사고 경위를 조사하고 있다.
6,[새얼굴]오세인 강릉명륜고 총동문회장--0,"오세인 강릉명륜고 총동문회장은 “'더불어 함께하는 명륜인'으로서 동문들의 화합과 모교 발전, 지역사회와 함께 발전하는 동문회를 만들어 가겠다”고 다짐.	 강릉 중앙초교, 명륜중·고를 졸업.	 전 국회 사무처 근무.	 강릉경찰서 경찰발전위원, 한진종합관리 대표이사로 활동.	ⓒ   -	 www.	kwnews.	co."
7,"“군인·경찰·소방관 희생 감사” 하이원 `히어로즈 패키지"" 출시--0","하이원리조트가 직업 군인·경찰·소방관을 대상으로 한 `코리안 히어로즈 패키지' 상품을 선보인다.	`코리안 히어로즈 패키지'는 그랜드테이블 조식 뷔페이용권이 포함된 하이원 그랜드호텔 객실 상품과 아테나키친 뷔페이용권이 포함된 하이원콘도 객실 상품 중 선택할 수 있다.	 상품 판매기간은 올 7월16일까지며 이용기간은 4월1일부터 7월17일까지다.	상품의 가격은 객실 선택 및 이용 시기에 따라 11만9,000~34만 9,000원이다.	 이는 정상가 대비 최대 67% 할인된 요금이다."
8,"""계부가 프라이팬에 손가락 지져""… 상습폭행에 달아난 창녕 아동학대 피해 소녀--0",최근 경남 창녕에서 부모에게 학대당한 상태로 발견된 9세 여아가 경찰에 “계부가 프라이팬에 손가락을 지졌다”고 진술한 것으로 알려졌다.	아울러 피해 아동9 A양은 2018년부터 계부로부터 최근까지 상습적으로 학대를 받았다고 진술했다.9일 창녕경찰서에 따르면 A양은 지난달 29일 오후 6시 20분께 잠옷 차림으로 창녕 한 도로를 뛰어가다 근처를 지나던 한 주민에 의해 발견됐다.	발견 당시 A양 눈은 멍들고 손가락에는 심한 물집이 잡혀 있어 지문이 보이지 않았다.	 목격자는 A양이 “아빠가 지졌다”면서 손가락을 보여주기도 했다고 전했다.	또 A양의 머리는 찢어져 피가 흐른 흔적이 있었다.	경찰은 계부 B씨와 친모 C씨를 불구속 입건해 아동학대 혐의로 조사하고 있다.	A양은 아동보호전문기관에 맡겨져 현재 병원에 입원해 치료 중이다.	올해 1월 거제에서 창녕으로 이사한 A양 가족은 코로나19 여파로 학교도 가지 않고 외출도 하지 않아 주변에서 학대 사실을 알지 못했던 것으로 알려졌다.	경찰 관계자는 “계부는  말을 안 듣고 거짓말을 해 때렸다고 진술하고 일부 혐의는 시인했다”고 전했다.	 또 “친모는 조현병 환자로 지난해부터 치료를 받지 않아 증세가 심해져 함께 딸을 학대했던 것으로 파악됐다”고 설명했다.	경찰은 계부와 친모에 대한 조사를 계속해 구속영장 신청을 검토하고 있다.
9,춘천·홍천서 독감백신 접종 후 고령자 2명 사망--0,"춘천과 홍천에서 70·80대 고령자가 독감백신을 접종한 후 숨졌다.	 보건당국은 백신과의 연관성 등에 대한 조사에 착수했다.	강원도와 춘천시·홍천군보건소에 따르면 지난 21일 오전 10시께 독감백신을 맞은 70대 A씨가 22일 오전 8시께 출근하던 중 쓰러졌다.	 심정지 증세를 보인 A씨는 119구급대에 의해 병원으로 옮겨졌으나 숨졌다.	 보건당국은 A씨가 평소 고혈압과 당뇨를 앓고 있었으며 가슴이 두근거리는 부정맥 증상도 있었던 것으로 파악하고 있다.22일 홍천군 서석면에 거주하는 80대 노인 B씨가 갑자기 의식을 잃고 쓰러져 가족이 강원대병원으로 옮겼으나 결국 숨졌다.	 B씨는 지난 19일 지역 보건기관에서 독감백신을 접종한 것으로 파악됐으며 신장질환, 협심증 등 만성질환을 앓고 있었던 것으로 알려졌다.	 보건당국은 이들의 정확한 사망 원인을 조사 중이며, 백신과의 연관성에 대해서도 분석하고 있다.	질병관리청에 따르면 전국적으로는 22일 오후 4시 기준 25명이 독감 예방접종 이후 숨진 것으로 집계되고 있으며, 도내에서는 이날 오후까지 이상반응 28건이 접수됐다.	 그러나 각각 다른 종류의 백신을 접종한데다 기저질환 등을 앓은 것으로 확인돼 독감 예방백신 접종과 사망의 연관성은 낮은 것으로 보고 있다.	 예방접종피해보상전문위원회 위원장을 맡고 있는 김중곤 서울의료원 교수도 질병관리청 브리핑에 배석해 “동일한 백신을 접종받은 많은 분들이 별다른 문제없이 괜찮은 것으로 봐서는 백신 자체의 문제는 배제할 수 있다고 결론을 내렸다”며 “결론적으로는 백신 자체의 문제에 의한 사망이라고 생각하지는 않는다”고 설명했다.	 도내 사망자 2명도 각각 다른 백신을 접종받았으며 이상반응의 경우 22일까지 도내에서 28건이 접수됐으나 대부분 회복하고 있는 것으로 알려졌다.	대한의사협회는 이날 2020년 하반기 인플루엔자 예방접종 관련 권고문을 내고 23일부터 29일까지 인플루엔자 예방접종을 진행하지 말 것을 권고했다.	 그러나 도내 보건소와 대부분의 의료기관에서는 평소와 같이 예방접종이 진행될 예정이다.	 도 관계자는 “보건소 기초 역학조사와 경찰 수사 등을 병행 중”이라며 “백신을 접종한 보건기관에 대해서는 이상반응을 보이는 또 다른 경우가 있는지 확인하고 있다”고 말했다.	박서화·최영재· ⓒ   -	 www.	kwnews.	co."
10,철원서 50대 뺑소니 추정 숨져…운전자 경찰에 자수--0,30일 새벽 철원군 갈말읍 문혜리 43번 국도에서 50대 남성이 뺑소니로 추정되는 교통사고로 숨진 가운데 이날 오후 A씨가 자신이 사고를 냈다며 경찰에 자수했다.	철원경찰서에 따르면 이날 새벽 2시43분께 도로변에 유모씨가 의식을 잃고 쓰러져 있다는 신고가 접수돼 119구조대에 의해 병원으로 옮겨졌으나 숨졌다.	 경찰은 사고현장에서는 차량 파편 등은 발견되지 않았으나 뺑소니로 추정할 수 있는 충격흔이 발견됐다고 밝혔다.	철원=   ⓒ   -	 www.	kwnews.	co.
