0,[인사] 동국대학교 서울캠퍼스--0,◇동국대학교 서울캠퍼스◇승진 △대학미디어센터장 이경식 △재무팀장 겸 산학회계팀장 이혁준 △문과대학·이과대학 학사운영실장 박선희 △역량개발센터장 유진 ◇전보 △글로벌교류팀장 이연주 △산학지원실장 조순식 △사회과학대학·경찰사법대학 학사운영실장 문상국 △글로벌입학팀장 겸 글로벌인재지원팀장 원충희 △경영대학·언론정보/국제정보보호대학원 학사운영실장 최기석 △예술대학·영상대학원 학사운영실장 겸 영상문화콘텐츠연구원 행정팀장 김봉주 △입학관리실장 겸 입학사정관실장 김진환 △BMC산학협력팀장 김병호 △연구기획실장 변승재 △창업진흥센터장 신하균 △산학기획실장 겸 산학감사팀장 유광호 △산학협력선도대학육성사업단 행정지원실장 겸 AT행정팀장 박혁상
1,"주호영 ""추미애 칼춤 상황…사법감독특위 반드시 관철하겠다""--0","주호영 미래통합당 원내대표는 2일 ""사법감독특위를 반드시 관철하겠다""고 말했다.	주 원내대표는 이날 온라인으로 열린 전국위원회에서 ""사법감독특위는 법원, 경찰·검찰 등 사법기관이 정권의 영향을 받지 않고 법과 원칙에 따라 중립적·독립적으로 운영되는지 감독해 사법질서를 바로 세우려는 노력""이라며 이같이 밝혔다.	그는 ""추미애 법무장관이 '찍어내기식' 검찰 인사 단행과 울산시장 선거개입 의혹 수사팀 사실상 해체 등 권력형 비리 수사를 노골적으로 방해하고 있다""며 ""추 장관이 '칼춤'을 추는 상황에서 정권비리수사를 더이상 기대할 수 없는 만큼 국회 차원에서 특검을 추진하겠다""고 말했다.	 주 원내대표는 또 ""우리 당에 대한 비호감도가 많이 높다고 한다.	 무엇 때문에 국민이 우리를 좋아하지 않는지 겸허하게 성찰해서 하지 말아야 할 일과 해야 할 일을 반드시 구분해야 한다""고 말했다.	 그러면서 ""내년 봄 서울시장·부산시장 선거를 이기지 못하고 과연 우리 당에 희망이 있겠나.	 이번이 우리에게 주어진 마지막 기회일지 모른다는 점에서 우리 마음은 절박하다""며 당의 변화와 혁신에 동참을 호소했다."
2,미국인 10명 중 3명은 병원 대신 `클릭`--0,"코로나19를 계기로 세계 전역에서 웨어러블 기기를 이용한 원격 헬스 모니터링이 빠르게 확산하고 있다.	 코로나가 장기화하고 3~5년 간격으로 신종 감염병이 빈번하는 상황에서 개인들이 스스로 자신의 건강을 관리하고 이를 의사나 건강관리 서비스 기업과 공유하려는 수요가 커지기 때문이다.	 컨설팅 기업 딜로이트컨설팅이 미국인 4522명을 대상으로 조사해 최근 발표한 '2020 헬스케어 소비자 서베이'에 따르면 직접 병원을 가는 대신 가상방문, 즉 원격의료 서비스를 이용하는 소비자가 작년 15%에서 올 초 19%로 늘었다, 코로나 상황이 심각해진 4월 에는 28%까지 치솟았다.	 또 평균적으로 80%의 소비자가 코로나 이후에도 가상방문 서비스를 이용할 의향이 있다고 밝혔다.	많은 소비자들은 직접 비용을 들여 스마트 기기와 건강 관련 정보를 확보하고, 이를 토대로 자신의 건강 및 질병치료에 대한 의사결정을 의사와 함께 내리기를 원하는 것으로 조사됐다.	 특히 코로나 이후 자신의 건강 관련 데이터 공유에 대해 더 긍정적인 시각이 늘어났다.	 우리 국민들의 눈높이도 달라지고 있다.	 대통령직속 4차산업혁명위원회가 대한상공회의소, 한국인터넷기업협회와 공동으로 지난 4월말 일반국민 1038명과 전문가 270명을 대상으로 실시한 설문조사 결과, 국민의 87%는 의료보건 기술 개발을 위해 자신의 개인정보를 제공할 의향이 있는 것으로 조사됐다.	 특히 의료보건 기술 개발을 위해 개인정보를 공유한 의향이 큰 것으로 나타났다.	 의료보건업은 또한 개인정보를 활용한 빅데이터 산업 중 금융업에 이어 성장 가능성이 높은 분야로 꼽혔다.	 영국 시장조사기업 글로벌데이터는 최근 전망보고서를 통해 코로나로 인해 최근 RPM 기기가 공급부족 사태를 겪고 있고, 관련 시장이 향후 5년간 2배 규모로 커질 것으로 내다봤다.	 특히 일선 병원과 RPM 디바이스 기업들이 공조해 질병 모니터링 뿐만 아니라 건강관리 전반으로 서비스를 확장할 것으로 전망했다.	해외에서는 코로나 진단·치료에 웨어러블 기기를 활용하려는 시도가 활발하다.	 미 스탠퍼드대는 웨어러블 기기 기업들과 협력해 전염병과 질병을 모니터링하고 예측하는 연구를 시작했다.	 심박수, 체온, 혈액 내 산소포화도 같은 데이터를 수집해 전염병 감염 여부를 조기 감지하고, 모니터링과 치료에도 활용하는 게 목표다.	 실제로 바이러스에 감염된 이들은 심박수가 올라가는 것으로 알려졌다.	 스탠퍼드대는 암환자, 생체이식 환자 등에도 관련 연구를 적용할 예정이다.	 미 캘리포니아대 샌프란시스코 캠퍼스는 스마트링 기업 오우라헬스와 협력해, 링에서 수집한 데이터를 활용해 코로나19 발병과 진행, 회복 패턴을 식별하는 알고리즘을 개발하고 있다.	 3000명의 의료진을 포함, 4만명 이상이 연구에 참여해 맥박과 운동, 체온을 연구진에 전달하고 있다.	미국 정부는 소방관, 경찰, 해경, 군인 등 고위험 특수직군의 스트레스와 건강상태 모니터링에 웨어러블 기기를 활용할 계획이다."
3,미국인 10명 중 3명은 병원 대신 `클릭`--1, 미 FDA는 지난 3월 20일 의료진과 환자의 접촉을 줄이기 위해 '원격의료 지침'을 발표하면서 원격 모니터링 장치에 대한 사전 규제를 완화했다.
4,배달 전성시대 `목숨 건 질주` 막을 방법은--0,"코로나 19 사태 속에 배달 서비스가 일부 외식업종을 넘어 편의점, 카페 등 거의 대부분의 요식업종으로 확대되면서 이와 관련 각종 사고 역시 크게 늘고 있다.	 배달 수요가 급증한 만큼 '안전 배달'에 대한 의식도 강화돼야 한다는 지적이 나온다.17일 경찰청 발표에 따르면 올해 4월 말 기준 전체 교통사고 사망자 수는 전년 동기 대비 8.4% 감소한 950명이었다.	 반면 이륜차 사망자 수는 13% 늘어난 148명에 달했다.	 올해 들어 코로나19의 영향으로 배달 서비스 수요가 급증한 것이 원인으로 지목된다.	 배달 서비스는 대부분 시급이나 일당, 월급제가 아닌 '건당 수수료' 방식으로 운영된다.	 배달 기사들이 안전보다 빠른 배달을 우선시할 수 밖에 없는 구조다.	 예상 배달 시간을 알리는 배달대행업체들의 서비스 역시 빠른 배달을 재촉하는 구조라는 비판도 나온다.	 배달이 예상 시간보다 늦을 경우 소비자들의 질책이 이어지는 만큼 무리한 운전이 뒤따르게 된다는 것이다.	이에 정부는 올 5월부터 이륜차의 불법주행을 적발하는 공익제보단 운영을 시작했다.	 버스와 택시 등 사업용차량의 블랙박스를 활용해 단속을 강화하고 제보를 활성화한다는 방침이다.	 장기적으로는 단속보다는 배달기사를 대상으로 한 교통교육 강화 필요성도 제기된다.	이지선 한국교통연구원 연구위원은 ""안전관리대책은 단디적으로는 효과를 거둘 수 있겠지만 장기적인 측면에서는 부족한 면이 있다""며 ""배달기사를 대상으로 교통안전 교육을 강화하고 숙련된 기사들의 경험을 공유할 수 있는 기회를 제공하는 것이 필요하다""고 지적했다.	사고 위험에 노출된 배달 기사들의 안전 보장 역시 중요한 이슈다.	 실제 고용노동부가 지난 2019년 배달업 종사자들을 대상으로 설문조사를 진행한 결과 응답자의 38.7%가 최근 1년 내 안전사고를 경험했다고 답했다.	 특히, 대부분의 배달 기사들이 보험에 가입돼 있지 않아, 본인의 오토바이나 부상에 대한 처리를 본인이 부담하는 경우가 87.4%에 달했다.	 사고 위험은 높지만 그에 대한 안전 보장은 제대로 되지 않는 시스템이라는 의미다.	 특히 산재보험 미가입자의 84.3%는 배달대행업체의 권유 혹은 결정으로 산재보험에 가입하지 않았다고 답했다.	 산재보험은 의무가입이 아닌 데다 사업주가 절반을 부담해야 하기 때문에 가입을 권하지 않는 관행이 있다는 분석이다.	 이에 전문가들은 배달기사들을 대상으로 한 고용보험 확대와 산재보험 의무가입 등 정책적인 도움이 필요하다고 입을 모은다.	 정흥준 한국노동연구원 부연구위원은 ""최근 논의되고 있는 고용보험의 전면적인 도입을 추진하고 산재보험의 경우 임금노동자와 동일한 방식으로 의무가입 및 보험료 부담을 추진해야 한다""며 ""이 경우 정부의 재정지출이 늘어날 수 있지만 개별 노동자를 보호하고 기업 부담은 낮출 수 있어 장기적으로는 국가 경쟁력에 기여하게 된다""고 말했다."
5,이틀째 추가확진 47명… 逆유입·수도권이 관건--0,"전날에 이어 7일에도 신종 코로나바이러스 감염증 국내 일일 신규환자가 50명 이하로 유지되면서, 국내 코로나19 사태가 확실한 안정권에 들어설 것이라는 기대감이 커지고 있다.	 해외유입과 추가적인 집단감염 발생 차단이 관건이 될 전망이다.7일 국내 신종 코로나바이러스 감염증 확진자는 총 1만331명으로, 전날 0시보다 47명 늘었다.	 앞서 지난 6일 0시 기준 신규 확진자도 47명으로, 이틀 연속 50명 이하를 기록했다.	 정부도 하루 확진자가 100명을 넘나들던 상황에서 이틀 연속 50명 이하로 줄어든 사실에 내심 고무된 분위기다.	윤태호 중앙사고수습본부 방역총괄반장은 이날 브리핑에서 ""어제에 이어 오늘도 신규 확진자가 50명 이하로 발생하고 있어 긍정적 신호로 생각하고 있다""면서 ""이는 지난 2주 이상 강화된 사회적 거리두기에 적극 동참한 국민 여러분과  확진환자들을 중증도에 따라 안정적으로 치료한 의료진들이 있었기에 가능했다""고 평가했다.	윤 방역총괄반장은 ""아직 추이를 더 지켜보아야 하지만 어제, 오늘의 성과는 국민들 모두가 함께 축하하고 격려할 만한 작은 기쁨이라고 생각한다""며 ""지금과 같은 상황이 계속 이어질 수 있도록 함께 노력해가기를 희망한다""고 덧붙였다.	 국내 코로나19는 지난 2월 21일 대구·경북지역을 중심으로 하루 동안 74명의 환자가 나온 이후, 한때 신규 확진자가 일 최고 900명대까지 폭증했다.	 그러다 지난달 중순 들어 100명을 전후해 변동하는 모습을 보였고, 이번주 들어서면서 50명 이하를 유지하고 있다.	유행 확산 위험을 최소화하기 위해 정부가 설정한 목표치인 '하루 50명 이하'가 현실화된 것이다.	 다만 정부나 의료계 모두 해외 역유입과 집단감염 사례가 지속되고 있어 안심할 단계는 아니라는 입장이다.	 특히 감염경로를 알 수 없는 확진사례가 계속해서 나오고 있는 것이 문제다.	 정부는 신규 확진자 수치만 보고 긴장의 끈을 늦추면 얼마 후 다시 확진자가 증가할 수 있다고 경고하고 있다.	윤 방역총괄반장은 ""지역사회 내의 확인되지 않는 감염자들과 4월 1일 이전의 입국자에 의한 감염전파 위험성은 아직 존재하고 있다는 사실을 잊어서는 안 될 것""이라며 ""특히 현재 수도권을 중심으로 꾸준히 환자가 발생하고 있으며, 인구밀집지역의 지역사회와 집단시설을 중심으로 다수의 감염이 언제든지 발생할 가능성이 있다""고 강조했다.	서 ""이 정도가 돼야 집단감염을 통한 유행확산의 위험성을 최소화할 수 있다""고 밝힌 바 있다.	한편 정부는 강력한 사회적 거리두기를 19일까지 연장함에 따라 집단감염 위험이 높은 시설에 관한 관리강화를 추진한다.	 클럽 등 유흥시설 관리는 기존 위생공무원 위주의 점검에서 경찰과 소비자식품위생감시원이 참여하는 합동점검으로 강화해나갈 계획이다.	 또 23시부터 새벽 4시까지 주요 영업시간에 집중 점검할 예정이다.	 학원에 대해서는 지속적으로 휴원을 권고하고 교육청이 실시하는 합동방역점검을 이어가는 한편, 시도교육청별로 방역위반신고센터를 설치·운영하도록 해 학원 등에 대한 방역을 강화할 방침이다.	 이와 함께 오는 8일부터 5월 말까지 온라인 종교활동이 어려운 200인 이하 중소 종교단체를 대상으로 스마트폰 기반의 영상촬영과 송출에 대한 기술적 방법을 안내하고 필요한 통신환경을 지원할 예정이다."
6,이번엔 오스트리아 빈… 유럽 또 테러 공포--0,"유럽이 또 테러 공포에 떨었다.	 오스트리아 수도 빈에서 2일 오후 총격 사건이 발생, 용의자 1명을 포함해 두 명이 숨지고 15명이 다쳤다.	AP통신과 로이터통신 등에 따르면 빈 경찰은 트위터를 통해 이번 총격으로 ""사망자 1명, 경찰 1명 포함해 여러 명의 부상자""가 발생했다고 전했다.	 이어 ""용의자 한 명이 경찰 총에 맞아 숨졌다""면서 시민들에게 공공장소와 대중교통을 피하라고 당부했다.	 오스트리아의 APA 통신은 내무부 관계자를 인용해 용의자 1명이 사망했으며, 다른 1명은 도주 중이라고 전했다.	카를 네하머 내무장관은 현지 공영방송 ORF에 출연해 ""현 상황에서 이번 총격은 명백한 테러로 보인다""며 용의자들이 소총으로 무장했다고 말했다.	 이어 테러에 가담한 것으로 보이는 용의자 여러 명이 도주 중이며 검거 작전이 진행되고 있다고 밝혔다.	그는 ""여러 특수부대가 테러리스트로 추정되는 사람들을 수색하고 있다""며 ""용의자들이 이동 중이기 때문에 수색 지역을 빈으로 한정하지는 않을 것""이라고 말했다.	빈 시장인 미하엘 루트비히는 이번 사건으로 15명이 입원 중이며 7명이 중상을 입었다고 밝혔다.	제바스티안 쿠르츠 총리도 트위터를 통해 빈에서 ""끔찍한 테러 공격""이 벌어졌다며 경찰이 반테러 작전에 집중할 수 있도록 군대가 현장에 배치될 것이라고 밝혔다.	 그는 ""우리는 힘든 시간을 경험하고 있다""며 ""우리 경찰은 테러 공격의 가해자들에게 단호한 조처를 할 것""이라고 밝혔다.	 그러면서 ""우리 경찰이 공격자 가운데 한 명을 무력화할 수 있어 기쁘다""며 ""우리는 결코 테러에 겁을 먹지 않을 것""이라고 강조했다.	용의자 배후나 범행 동기는 현재까지 드러나지 않고 있다.	  쿠르츠 총리는 ORF에 ""배경에 대한 어떤 것도 아직 말할 수 없다""면서 ""반유대주의 배후를 배제하지 않고 있다""고 말했다.	이번 테러는 앞서 프랑스 파리와 니스에서 테러가 발생한 지 불과 며칠 만에 발생했다.	 에마뉘엘 마크롱 프랑스 대통령은 빈 공격 직후 성명을 내고 ""이곳은 우리의 유럽""이라며 ""우리 적들은 그들이 누구를 상대중인지 알아야 한다.	 우리는 물러서지 않을 것""이라고 밝혔다.	이번 총격 사건은 이날 오후 8시께 빈 시내 중심가 6곳에서 발생했다고 외신들은 전했다.	코로나19 확산 방지를 위한 부분 봉쇄에 돌입하기 불과 몇 시간 전에 발생한 것이다.	 오스트리아 정부는 3일부터 이달 말까지 오후 8시부터 다음 날 오전 6시까지 통행을 금지하고 문화·레저 시설을 폐쇄할 예정이다."
7,이번엔 오스트리아 빈… 유럽 또 테러 공포--1,빈의 유대인 공동체 관계자는 트위터에서 이번 공격이 유대교 회당이 자리한 거리에서 발생했다면서 그러나 회당이 표적이었는지는 확실하지 않다고 전했다.	이 회당은 1981년 팔레스타인 2명의 공격으로 2명이 숨지고 18명이 다쳤던 장소와 동일하다고 로이터 통신이 전했다.	주오스트리아 한국대사관은 현재까지 한인 피해는 없는 것으로 파악된다고 전했다.	 그러면서 한인들에게 안전한 곳으로 긴급 대피하고 사건이 종료될 때까지 대기해 달라고 당부했다고 알렸다.
8,"""개미 끌는 빵 먹다"" 재입북 탈북자, 과거 탈북 과정 보니--0","성폭행 혐의로 경찰 조사를 받은 뒤 월북한 것으로 추정되는 20대 탈북민이 유튜브에서 3년 전 탈북 당시 정황을 생생하게 묘사한 것으로 확인됐다.	탈북민 김모씨는 개성공단 폐쇄 후 극심한 생활고를 겪다가 탈북을 결심한 뒤 남북 접경지역 지뢰밭을 건너 한강하구 수역에서 필사적으로 헤엄친 끝에 남녘 땅에 다다랐다고 밝혔다.	김씨는 다른 탈북민이 운영하는 모 유튜브 채널에 지난달 23일과 26일 출연해 ""탈북을 결심한 계기는 첫째 살기가 힘들어서였다""며 ""개성공단이 깨지면서 저도 장사가 안되다 보니까 희망이 보이지 않았다""고 설명했다.	그는 이어 ""쌀장사를 하는 고모네가 잘 살아서 도움을 많이 받았었는데 공단이 깨지고 나서부터 고모도 시골 쪽으로 내려갔다""며 ""제가 어릴 때부터 귀도 좋지 않아 아무것도 할 수 없다는 생각에 백마산에 올라갔다""고 덧붙였다.	김씨는 이후 개성시 해평리 백마산에서 웅덩이 물과 개미가 끓는 효모 빵을 먹으며 사흘을 지내다가 '이렇게 죽는 것보다 남한에 한 번 가보고 죽자'는 생각에 탈북을 결심했다고 밝혔다.	김씨는 ""오후 3시쯤 분계선 고압선과 가시철조망을 2차례 넘어서 지뢰밭을 건넜다""며 ""나무를 꺾어 밟는 자리마다 찌르면서 건넌 뒤 한강 옆 갈대밭에서 3시간을 숨어 있었다""고 당시를 떠올렸다.	그는 이어 ""불빛만 보고 수영을 한참 하다가 유도를 지나 분계선이 좀 가까워졌을 때 살려달라고 소리를 질렀다""며 ""땅을 밟고 올라갔는데 분계선 문을 열고 군인 8명 정도가 나와서 나가자마자 쓰러졌다""고 말했다.	 김씨는 당초 남한 땅에 도착하기까지 1시간가량 걸릴 것으로 판단했으나 7시간 30분가량 지나 있었다고도 덧붙였다.	김씨는 ""한국에 와서 두 귀를 고쳐서 잘 듣고 있는데 이게 정말 감사하고 기쁘다""며 ""어머니나 형제들한테 알려주고 싶은 설움에 병원에서 눈물이 나기도 했다""고 의료진에게 감사를 표하기도 했다."
9,`우한 교민` 700명 `음성`-확진자는 1명--0,"신종 코로나바이러스 감염증 발원지인 중국 후베이성에서 귀국한 우한 교민 701명 중 확진환자 1명이 나왔다.	 나머지 700명은 검사 결과 모두 음성으로 판정됐다.3일 중앙사고수습본부는 지난 1일 귀국한 우한 교민 326명에 대해 입국 전수검사를 시행한 결과 전원 음성으로 확인됐다고 밝혔다.	 귀국 당시 증상이 있어 먼저 검사를 받은 유증상자 7명도 전날 모두 음성으로 나타났다.	 이에 따라 2차 전세기에 탑승한 333명 전원은 음성으로 판정됐다.	앞서 1차 전세기에 탑승했던 368명에서는 확진환자가 1명 나왔다.	 13번 환자는 28세 한국인 남성으로 귀국 당시에는 증상이 없어 아산 경찰인재개발원에 이송됐다가 증상이 나타나 확진 판정을 받았다.	 13번 환자를 제외한 367명은 유증상자 18명을 포함해 모두 검사 결과 음성으로 나왔다.	 다만 검사 결과가 음성으로 나온 700명 중 추가 확진환자가 나올 가능성을 배제할 수 없다.	 감염됐다고 하더라도 검사 결과 당시, 몸속에 바이러스가 충분히 번식하지 않았다면 검사 결과가 음성으로 나올 수 있기 때문이다.	우한 교민은 임시생활시설에서 14일간 격리 생활을 한다.	 하루 2번 발열 여부를 모니터링하고 14일이 지나면 전수검사를 한 번 더 거친 후 귀가하게 된다.	보건복지부는 확진환자 접촉자 관리 및 지역사회 전파 예방 대응 강화를 위해 4일부터 확진환자의 밀접·일상접촉자 구분을 없애고 접촉자 전원을 14일간 자가격리한다.	 기존에는 밀접접촉자만 자가격리하고 일상접촉자는 능동감시해왔다.	또한 식약처와 질병관리본부의 협의 및 절차에 따라 신종 코로나바이러스 검사 시약의 선별진료소 등 현장 보급일자가 확정될 예정이다.	시약 보급일자가 확정되면 중국 입국자가 입국 후 14일 이내 발열, 기침 등 증상이 있으면 의심환자에 포함되지 않아도 모두 진단검사를 시행할 예정이다.	 또 중국 입국자가 아닌 확진환자, 의사환자, 조사대상 유증상자도 선별진료소 의사 판단에 따라 검사를 시행할 계획이다.	김강립 중앙사고수습본부 부본부장은 ""검사 시약 물량은 현재 보건환경연구원을 포함해 지역에서도 충분히 검사할 수 있는 물량을 확보하고 있다""며 ""늦어도 이번 주 안에 민간의료기관에서도 검사를 할 수 있도록 하겠다""고 말했다.	한편 3일 오전 기준 국내 확진환자는 전날과 동일하게 15명이다.	 확진환자는 모두 국가격리병상에서 치료를 받고 있다."
