0,"나경원, 언론사 유튜브 채널 제작자까지 고소--0","검찰이 나경원 전 국민의힘 의원 가족에 대한 의혹을 제기한 유튜브 콘텐츠를 올린  를 기소했다.	 민중의소리 유튜브 채널 '곰곰이'를 운영하는  는 최근 검찰이 자신을 기소했다는 사실을 알게 됐다.	 앞서 6월 나경원 전 의원이 김 기자를 사자명예훼손 및 공직선거법 위반으로 고소했고 경찰이 '불기소 의견'으로 송치했다.	 그러나 10월14일 검찰은 후보자 및 가족에 대한 낙선 목적의 허위사실유포로 공직선거법을 위반했다며 기소했다.	 문제가 된 영상은 3월22일 올라온 '공안기관 호텔수사의 역사' 콘텐츠다.	 1970~1980년대 공안기관들이 정식 수사기관이 아니라 호텔이나 여관에 수사대상을 감금하고 조사했던 불법행위를 지적하며 나경원 전 의원 외가에서 운영하는 그레이스호텔에서도 이 같은 일이 벌어졌다는 내용을 담고 있다.	  는 유튜브 콘텐츠에서 ""박정희 전두환 군사독재 시절은 누구에게나 고문을 했던 시절""이라며 ""불법구금을 피하기 위해 공식적인 유치장이 아닌 호텔이나 여관에 장기간 구금하는 일이 다반사였던 시절이었다.	 공안기관의 불법구금에 협조했던 혹은 묵인했던 호텔은 아무 죄가 없을까""라고 지적했다.	 검찰은 공소장을 통해 김 기자가 낙선을 목적으로 허위사실을 유포했다고 주장했다.	 검찰은 ""피고인은 평소 나경원을 비롯한 일부 야권 성향의 정치인들에 대해 비판적인 시각을 갖고 있었고 해당 정치인들이 더 이상 정치를 해서는 안 된다는 생각에 2019년 3월8일경부터 위 정치인들을 비판하는 영상 수십편을 지속적으로 곰곰이에 게재하여 왔다""며 ""나경원을 당선되지 못하게 할 목적으로  마치 나경원 집안에 소유하던 호텔이 공안기관의 고문이나 불법감금에 협조하거나 이를 묵인한 것처럼 해설하는 영상물을 게재했다""고 했다.	 검찰은 영상 속 주장과 달리 해당 호텔이 나경원 전 의원의 외할아버지 소유가 아닌 외삼촌 소유였고, 호텔측에서 고문을 묵인하거나 협조한 적 없다는 입장이다.	   변호를 맡은 하주희 변호사는 ""언론의 의혹 제기를 공직선거법 위반으로 기소하는 일은 흔하지 않다""며 ""공소장은 낙선 목적이 있다고 단정했는데, 엄격하게 판단해야 한다.	 선거 시기에 영상이 올라왔다고 해서 낙선 목적이 있다고 보기는 힘들다.	 낙선 목적이 있었는지에 대한 수사가 진행된 적도 없다.	 언론인의 성향을 지적한 점도 이해하기 힘들다""고 지적했다.	 손지원 오픈넷 변호사는 ""공직선거법이 판단 주체에 따라 얼마나 다르게 해석될 수 있는지 보여주는 사례다.	 '낙선 목적'은 주관적인 인식으로 사람마다 다르게 판단할 수 있다""며 ""당장 진상이 밝혀지진 않았어도 진실이라고 믿을 만한 상당한 이유가 있고 허위라는 인식이 없는 상황에서 논평과 의혹제기를 한 것으로 기소가 과도해 보인다""고 했다.	 ️️<Copyright ⓒ  ."
1,"청와대, 데이트폭력에 ""성범죄 엄정 수사기조 다시 점검""--0","청와대가 데이트폭력 사건 엄중처벌과 딸의 성폭력 사건 불기소 처분책임자 징계 청원에 성범죄 엄정수사 및 피해자 보호 기조를 다시 점검하겠다고 밝혔다.	 청와대는 12일 오전 청와대 청원게시판에 올라온 두건의 청원에 이같이 답변했다.	 강정수 청와대 디지털소통센터장은 답변에서 청원인이 강서구에서 발생한 데이트 폭력에 ""살인 미수 범죄""라며 강력한 처벌을 요청한 '데이트 폭력 엄중 처벌' 청원과 관련 이 청원이 21만2867명의 국민이 동의해줬다고 설명했다.	 강 센터장은 데이트 폭력을 두고 부부가 아닌, 교제 중이거나 교제한 적이 있는 사이에서 발생하는 폭력 등의 행위를 말한다면서 2017년부터 2019년까지 데이트 폭력 신고 건수는 매년 증가하고 있으며 지난해에는 2만건의 신고가 접수됐다고 전했다.	 경찰은 심각성을 인지해 적극 수사와 피해자 보호를 위해 엄정대응하고 있다고 했다.	 경찰청은 지난 7월1일부터 8월31일까지 2개월간 '20년 데이트 폭력 집중 신고기간을 운영하고 있다.	 지난달 한 달간 1927건의 신고가 있었고, 이중 893건이 형사 입건됐다고 강 센터장은 전했다.	 이 사건을 두고 강 센터장은 ""청원인이 언급한 사건의 피의자는 경찰에서 구속된 상태로 검찰에 송치됐고 이후 구속 기소돼 재판을 받고 있다""고 설명했다.	 두 번째 사건인 '딸 성폭력 불기소 처분 비판 청원'과 관련, 청원인은 자산의 자녀의 성폭력 현장을 목격해 신고했으나 경찰의 부실 수사로 불기소 결과가 나와 이의신청을 했으나 1년이 넘도록 민원을 거부당했다면서 경찰과 검사의 부실수사를 밝혀 징계해달라고 청원했다.	 이 청원에는 28만6148명이 청원동의했다.	  그러나 강 센터장은 ""수사 및 재판 중인 사안에 대한 구체적인 내용을 말씀드리는 데 한계가 있다""며 ""더구나 이번 사건 수사는 경찰이 불기소 송치해, 청원인이 다시 검찰에 고소장을 냈으나 다시 경찰의 불기소 송치로 검찰 역시 최종 불기소처분한 사건""이라고 말했다.	 고등검찰청에 항고했으나 이역시 기각됐다.	 고검의 기각 결정의 당부를 가려달라는 재정신청도 기각됐다.	 강 센터장은 ""외부심사위원들로 구성된 경찰 단계의 수사이의심의위원회, 검찰 항고 등 경찰과 검찰이 운영하고 있는 이의제기 신청 절차와 법원의 재정신청까지 완료된 건이라 사건에 이 이상의 언급이 어렵다""고 해명했다.	 그럼에도 강 센터장은 ""개별 사건 언급은 어려우나, 성폭력 범죄를 엄정하게 수사하기 위한 노력들이 계속 이어지고 있다""며 ""성폭력 처벌법, 형법, 아동‧청소년성보호법을 개정 시행하면서 성범죄에 대한 처벌 규정이 강화됐다""고 밝혔다.	 그는 △불법 촬영물 촬영 및 유포 시 법정형 상향 △성인 대상 불법촬영물 소지, 시청한 경우도 처벌 대상 △성폭력 범죄 예비‧음모죄가 신설되는 등 성범죄를 엄정대응 하기 위한 법제도가 개선됐다고 설명했다.	 검찰도 폭행 또는 협박을 수단으로 하는 강간죄의 경우 구속수사를 원칙으로 하고 있고, 강제추행의 경우에도 징역형 구형을 원칙으로 하는 등 엄정 처리하고 있다고 밝혔다.	 경찰청은 '여성대상 범죄 근절 추진단'을 신설하여 전담 대응체계를 구축했고, 수사과정에서 피해자 보호를 강화하는 데 초점을 맞추고 있으며 수사관의 잘못된 고정관념이나 태도를 개선할 수 있도록 '성폭력 피해자 표준 조사 모델'을 개발해 전국에서 시행 중이라고 했다.	 특히 강 센터장은 ""이번 청원들을 계기로, 성범죄 엄정 수사 및 피해자 보호라는 기조를 다시 한 번 점검하겠다""고 강조했다."
2,"대북 ""삐라"" 금지 문제에 찬반으로 나뉜 언론--0","9일 북한이 청와대 핫라인 등 남북 간 연락채널을 차단했다.	 북측은 ""대남 업무를 대적사업으로 전환""한다고 밝혔다.	 북한이 남북 간 모든 적대행위를 중지키로 합의한 '판문점선언' 및 '9·19 군사합의' 파기를 경고하기도 했다.	 2018년 1월 남북 간 연락통로가 복원된 후 2년5개월 만에 다시 차단됐다.	 북한은 왜 이런 태도를 보이는 걸까.	 노동신문은 이날 ""최고존엄을 건드리며 우리 인민의 정신적 핵을 우롱했다""며 탈북민 단체의 전단 살포를 비난했다.	 10일 한국의 주요 중앙 일간지들은 모두 이 이슈를 1면으로 다뤘다.	 북한이 대북 전단 살포를 하지 말라며 연락을 차단했지만 그 속내는 코로나19 등으로 어려워진 내부 상황 때문이라고 해석했다.	 정치권이 대북 전단 금지 입법을 할지 관심사다.	 각 신문 사설을 살펴보면 경향신문·서울신문·한겨레·한국일보는 '대북 전단 금지' 찬성 입장을 보이고 있고 국민일보·세계일보는 '대북 전단 금지 반대' 입장이다.	 조선일보·중앙일보·동아일보는 아예 대북정책을 다시 짜야 한다며 북한과 문재인 정부의 태도를 비판했다.	 다음은 10일 관련 소식을 전한 주요 중앙일간지들 1면 기사 제목이다.	 경향신문 ""남북관계, 단절의 시작…대결의 시대로 후퇴하나"" 국민일보 ""북 '대남→대적사업 전환' 2년 만에 남북채널 '먹통'"" 동아일보 ""'먹통' 된 남북관계"" 서울신문 ""연락채널 모두 끊어버린 北… 2년 평화 찢고 南을 적으로"" 세계일보 ""남북채널 끊어버린 北… '대적사업 전환'"" 조선일보 ""北 '남한은 적' 모든 통신선 끊었다 중앙일보 ""북, 대남사업을 대적사업으로…20년 전 돌아갔다"" 한겨레 ""다시 '불통의 시간' 돌아간 남북"" 한국일보 ""北, 남북 대화채널 모두 끊어… '판문점 선언' 이전 회귀"" 북한이 탈북민 단체의 전단 살포를 이유로 연락을 끊은 것에 탈북민 단체 전단 살포는 명분이고 내부 결속용이라는 해석이 대다수다.	 경향신문은 2면에 ""대북전단은 북한이 남측에 불만을 표출하는 대외 명분일 뿐 궁극적으로는 9·19 군사합의 파기의 책임을 남측에 돌리면서 군사행동에 나서기 위한 수순이라는 해석이 지배적""이라고 썼다.	 이어 ""이 같은 태도는 북·미 비핵화 협상이 장기간 교착된 가운데 제재와 코로나19로 내부 사정이 악화되고 있는 상황과 무관치 않다"", ""김정은 국무위원장이 공언했던 경제적 성과가 나타나지 않자 책임 전가와 내부 결속을 위해 남측과의 긴장 수위를 높이고 있다는 것""이라고 해석했다.	 경향신문은 ""북한의 태도는 하노이 회담 결렬 이후에도 미국의 태도 변화나 돌파구 마련을 위해 남측이 역할하지 못한 데 대한 실망감이 누적된 결과""라고 분석했다.	 이어 ""북한 내부 사정이 드러난 것보다 훨씬 좋지 않음을 시사한다는 분석도 있다.	 북·미 협상이 결실을 거두지 못하고 제재 장기화와 코로나19로 경제난이 심화되자 정책 오류에 대한 책임을 외부에 지우고 주민 불만을 무마하기 위해 위기를 고조시키고 있다는 것""이라고 분석했다.	 한겨레도 사설에서 ""탈북민 단체의 대북전단 살포는 어제오늘의 일이 아니다.	 최근 북한이 격렬한 반응을 보인 데는 한국에 대해 쌓인 불신과 불만, 북한의 어려운 국내외 환경이 복합적으로 작용한 것""이라고 해석했다."
3,"대북 ""삐라"" 금지 문제에 찬반으로 나뉜 언론--1"," 조선일보도 대북전단이 명분일 뿐이라고 봤다.	 조선일보는 이날 사설에서 ""대북 전단은 핑계일 뿐이고 진짜 의도는 다른 데 있다고 봐야 한다""며 ""김씨 정권을 떠받치는 핵심 계층이 사는 평양도 경제난이 심각하다는 의미일 것이다.	 올 초 코로나 때문에 북·중 국경을 봉쇄해 대중 무역이 80% 이상 급감했다고 한다.	 여기에 유엔 대북 제재까지 겹쳐 있다.	 평양 주민들까지 생활고를 겪게 된다면 북한 정권 입장에선 내부 단속이 필요해진다.	 한국과의 긴장을 높이는 것이 좋은 방안이 될 수 있다""고 해석했다.	 북한의 이 같은 조치에 문재인 정부가 어떻게 행동을 취해야 할지에 대해선 신문마다 관점이 달랐다.	 크게 두 갈래로 갈렸다.	 우선 대북 전단을 금지시켜야 한다는 의견과 북한에 저자세로 나가면 안 된다는 의견으로 나뉘었다.	 대북 전단 금지는 물론 더 나아가 지원해야 한다는 신문도 있다.	 대북전단 살포 문제를 해결해야 한다는 신문은 경향신문, 서울신문, 한겨레, 한국일보다.	 한겨레는 대북전단 살포 문제 해결뿐 아니라 북한이 실질적으로 겪고 있는 어려움까지 살펴야 한다고 주장했다.	 경향신문은 이날 사설에서 ""북한의 이런 행동은 한반도 평화를 해칠 뿐 아니라 남북화해를 지지하는 남측 여론까지 등 돌리게 할 수 있다""고 북한 태도를 비판하면서도 ""정부는 북한의 진의를 파악하는 한편 사태악화의 원인이 된 대북전단 살포 문제에 비상하게 대응해야 한다""고 주문했다.	 서울신문은 사설 '정부는 전단 대책 내놓고 북한은 연락채널 복원해야'에서 ""정부는 하루라도 빨리 경찰 등 행정력을 동원해 전단 살포를 저지할 방안을 마련해야 한다.	 이명박·박근혜 정부에서도 전단 살포를 막은 사례는 적지 않다""고 주장했다.	 한국일보도 사설에 ""정부도 북한의 불만을 풀어서 위기 상황을 해소해야 할 책임이 분명히 있다.	 특히 대북전단 살포는 이미 판문점선언에 '중지'를 명시한 만큼 탈북단체의 자제 노력이 없다면 가능한 법제화를 통해서라도 서둘러 막아야 할 사안""이라고 썼다.	 한겨레는 다시 한 번 대화로 문제를 해결해야 한다고 강조했다.	 한겨레는 ""북한은 2018년 4·27 판문점 선언, 9·19 평양선언, 9·19 군사합의를 한국이 제대로 이행하지 않고 있다고 판단하고 있다.	 대북전단 규제 입법만으로 최근 상황이 풀리지 않을 가능성이 크다""며 ""북한의 처지에선 내부 단속도 절실하게 필요한데, '최고존엄'인 김정은 북한 국무위원장을 노골적으로 비난하는 대북전단 살포를 용납하기 어려울 것""이라고 북한 입장을 설명했다."
4,"대북 ""삐라"" 금지 문제에 찬반으로 나뉜 언론--2"," 이어 ""더디더라도 대화를 통해 문제를 해결해야 한다""고 주문했다.	 반면 국민일보와 세계일보는 대북 전단 살포 금지를 반대하는 입장을 보였다.	 국민일보는 이날 사설에서 ""대북 전단 살포는 민간단체의 활동이어서 정부가 임의로 간여하기 어렵다""며 ""남한 내 대북 감정 악화는 강경 대응론에 힘을 싣게 돼 북한에 이로울 게 없다.	 미·중 갈등의 영향 등으로 최근 삐걱대는 모습을 보이는 한·미 관계를 다지고 동맹을 더 굳건히 해야 한다""고 주문했다.	 세계일보는 사설에서 ""북한의 안하무인식 막말·협박에 대해서는 입을 다문 채 탈북민단체의 대북전단 살포만 문제 삼는다.	 국민들은 참담함을 느낀다""며 ""경제대국이자 민주주의 모범국인 한국이 세습 독재로 인권을 억압하는 북한 정권에 왜 이런 취급을 당해야 하는가.	 정부가 북한을 달래려고 대북전단 살포 금지법 입법과 대북 지원을 서두를지 모른다는 걱정까지 제기된다.	 이는 한·미 관계의 균열을 키우고 북한에는 '대남 압박 카드가 통한다'는 잘못된 신호를 줄 수 있다""고 반대 입장을 보였다.	 조선일보, 중앙일보, 동아일보는 지금까지의 대북정책을 재점검해야 한다고 밝혔다.	 중앙일보는 사설에서 ""탈북자 단체의 행동을 놓고 남북 정상 합의사항인 군사합의 파기를 위협하는 것이 정당화될 수 없다""며 ""북한의 속셈은 대북 전단을 빌미로 한 긴장 조성과 대남 도발 명분 축적, 한국 정부에 대한 길들이기 등 다목적 포석에서 비롯된 것으로 봐야 한다.	 아니나 다를까, 정부와 여권은 김여정의 성명 직후 전단 살포 금지 법안 추진에 나섰고, 이에 대한 찬반을 놓고 여야 대립과 여론 분열상을 보이고 있다.	 북한이 겉으로는 핏대를 세우면서도 속으로는 '거 봐라'며 웃고 있을 게 틀림없다""고 해석했다.	 동아일보는 사설 ""北 '대적사업' 선언, 협박으로 먹고사는 불량국가 본색""에서 북한을 비난했다.	 동아일보는 ""지금 우리는 협박과 공갈로 위기를 조장해 먹고사는 불량국가, 그리고 자신은 뒤로 빠진 채 여동생을 충성경쟁과 대외도발의 선봉에 내세운 독재자의 실체를 목도하고 있다.	 지난 3년을 냉정히 재점검할 때가 됐다""고 썼다.	 조선일보는 사설 ""김정은 '南'은 '敵', 아닌 적이 있었나""에서 ""문재인 정부가 대북 전단 금지법을 만드는 등으로 자신들의 요구를 이행하면 전격적으로 대화를 제안할 가능성이 있다.	 그 목적은 대규모 대북 지원일 것""이라며 "" 한국민에게밖에 쓸 수 없는 핵을 왜 만들었겠나.	 어떻게 군함을 폭침하고 민간인에게 포격할 수 있나.	 상대의 선의에 기댄 안보란 있을 수 없다.	 지금이라도 환상에서 벗어나야 한다""고 북한을 비난했다."
5,"[영상]설훈, 신천지 영장반려에 ""국민위해 검찰권 적극 행사해야""--0","설훈 공동선대위원장은 6일 민주당 선거대책위원회 회의에서 ""검찰은 경찰이 신청한 신천지 대구 교회 압수수색 영장을 두 차례나 반려했는데 코로나19로 국민의 생명과 안전이 위협받는 상황에서 검찰의 소극 대응은 이해하기 어렵다""며 ""검찰은 국민의 생명과 안전을 위한 일인 만큼 검찰권을 적극 행사해야 한다""고 강조했다.	 설훈 위원장 발언을 영상에 담았다."
6,"""북에 강력조치 언제하나"" 질문에 통일부 ""특수관계 종합 검토""--0","북한의 남북공동연락사무소 폭파에 우리 정부가 응분의 책임을 묻겠다고 밝힌 것을  와 통일부 당국자가 브리핑에서 날선 대화를 나눴다.	 여상기 통일부 대변인은 22일 오전 정례브리핑에서 '연락사무소 폭파 관련 통일부가 응분의 책임을 묻겠다고 했는데, 그 구체적인 조치 검토가 완료됐느냐'는 송원근  의 질의에 ""정부가 가능한 모든 방법들에 대해서 종합적인 검토가 진행되고 있다고 말씀드리겠다""고 답했다.	 이어  는 ""응분의 책임을 물어야겠다라는 개인적인 생각을 갖고 있는데 지금 통일부 대변인은 관계부처하고 협의를 진행 중이라고 했지 않느냐""며 ""이 일이 있은 지 꽤 지났는데 지금 정부가 얼마나 이렇게 강력한 조치를 내놓을지 상당히 회의적인 시각이 팽배한 것 같다""고 주장했다.	 송 기자는 ""그래서 이 응분의 책임을 어떻게 물을 것인지 구체적인 조치에 대해서 조금 더 자세하게 설명해달라""고 질의했다.	 이에 여상기 대변인은 ""조금 더 구체적으로 드린다면, 응분의 책임을 묻는 방법에 있어서 그 방법론이 일반적인 나라와 나라의 관계였다면 좀 더 쉬웠을 텐데 남과 북은 통일을 지향하는 특수관계에 있고, 또 분단관계에 있어서 사실상 법적인 조치를 추구하는 데 있어서 다른 정상적인 외교관계인 국가들과 다른 상황들이 많다""고 설명했다.	 여 대변인은 ""그래서 이러한 특수상황을 종합적으로 검토하고, 관련 사례들을 연구해서 가능한 방법이 무엇이 있는지를 지금 검토하고 있다""고 답했다.	 이어 '북한이 삐라 1,200만 장을 살포한다고 하는데 통일부 입장이 어떤 건인가', '탈북자단체에서 대북전단 보내는 것은 계속 막을건가, 막는다면 어떤 방법으로 막을건가'라는 윤나라 SBS 기자의 질문에도 답변을 내놨다.	  여 대변인은 ""북한의 대남 삐라와 관련해서 정부는 지난 20일 입장을 발표했다""며 ""우리 정부는 대북전단과 물품 살포가, 물품 살포를 원천 봉쇄하고 있고, 또 북한도 남북관계 발전에 아무런 도움이 되지 않는 대남전단 살포 계획을 즉각 중단할 것을 촉구한다""고 밝혔다.	 그는 ""대북전단 살포와 관련해서는 정부가 경찰과 지자체와 협력하여 원천 봉쇄하도록 노력하고 있다""고 답했다 북한의 대남전단 살포 시기와 드론 사용여부와 관련 여 대변인은 ""정부가 답변하기 매우 어렵다""며 ""시기와 방법에 대해서는 특정할 수 없을 것 같다""고 했다.	 김준락 합동참모본부 공보실장은 22일 국방부 정례브리핑에서 '북한의 대남전단 살포 예고 관련 북한군 특이동향 파악된 게 있느냐'는 질의에 ""우리 군은 북한군 동향에 대해서 24시간 정밀감시하고 있다""며 ""다양한 가능성에 대해 확고한 대비태세를 유지하고 있다""고 답했다.	 김 실장은 ""특히 대남전단 살포 준비와 같은 심리전 활동에 대해서도 예의주시하고 있다""고 덧붙였다.	 북한의 조선중앙통신은 22일자 기사 '분노의 격류, 전체 인민의 대적보복열기'에서 대남전단 살포준비 추가상황을 전했다.	 조선중앙통신은 ""력대 최대규모의 대적삐라 살포투쟁을 위한 준비가 끝나가고 있다""며 ""중앙의 각급 출판인쇄기관들에서는 각계층 인민들의 분노와 적개심이 담긴 1200만장의 각종 삐라를 인쇄하였다""고 썼다.	 이 통신은 ""각 도, 시, 군 인쇄공장들에서도 수백만장의 대적삐라를 추가인쇄하기 위한 준비를 다그치고 있다""며 ""22일 현재 3000여개의 각이한 풍선을 비롯 남조선의 깊은 종심까지 살포할수 있는 여러가지 삐라살포 기재, 수단들이 준비되였다""고 설명했다.	 조선중앙통신은 ""인민들의 지향과 요구는 곧 법이고 실천이며 민심의 격류는 그 무엇으로도 막을 수 없다""며 ""남조선은 고스란히 당해야 한다""고 덧붙였다."
7,문재인 정부 경찰 폭력 합법화 추진? 확인해보니--0,"SNS와 포털 사이트를 중심으로 문재인 정부가 경찰 폭력을 합법화하는 법안을 추진한다는 게시글이 퍼지고 있다.	 지난 20일 네이버 블로그에 올라온 한 게시물은 '경찰의 물리적폭행 정당화 추진 법률안'이 있다고 언급하며 ""부정선거 시위를 의식한듯 경찰이 국민들에게 물리적 폭행을 하는 것에 대한 권한을 부여하려는 법안을 다급하게 추진하려 하고 있다""고 주장했다.	 이 블로그는 ""경찰이 중국 공안처럼 국민을 패고 진압하게 하는 악법"" ""이제는 즉 패서라도 말을 듣게 할 것이다라는 취지의 공산화 통제 법안 사태가 갈수록 심각해지고 있다""며 ""많은 반대 부탁드린다.	 현재 이천명 이상 반대중이다.	 계속해서 꾸준한 화력 부탁드린다.	 반드시 악법을 막아야 한다""고 했다.	 페이스북에도 대동소이한 내용의 글이 확산되며 반대 의견을 낼 것을 촉구했다.	 이 법안은 지난 19일 발의된 '경찰관 직무집행법 일부개정 법률안'을 말한다.	 29일 오후 2시 기준 국회입법예고 사이트에 해당 법안에 2913건의 의견이 올라왔다.	 같은 날 발의된 수도법 개정안, 청소년기본법 개정안, 공공기관의 운영에 관한 법률 개정안과 비교하기 힘들 정도로 많은 의견이 제출된 것으로 '집단 행동'이 이어진 결과로 보인다.	 대부분 해당 법안에 반대 의견으로 ""중국 공안처럼 애국보수우파 탄압해서 지들 멋대로 나라 주무르려고 작정했음"" ""자유를 짓밟으려는 응큼한 수작이다"" ""사회주의 국가를 만들기 위해 경찰국가로 통제하려는 속셈이네.	 중국 공안경찰처럼 만들려고 하는구나.	 정말 역겹네"" 등의 내용이다.	 그러나 이 법안을 살펴보면 일부 누리꾼들의 주장은 근거가 없다는 사실을 알 수 있다.	 법안은 ""경찰청장과 해양경찰청장은 경찰관이 제2조 각 호에 따른 직무의 수행으로 인하여 민형사상 책임과 관련된 소송을 수행할 경우 변호인 선임 등 소송수행에 필요한 지원을 할 수 있다""는 조항을 신설하는 내용이 전부다.	 즉, 경찰력 행사에 따른 '소송 지원'이 골자다.	 법안의 발의 이유를 보면 ""경찰관과 소방관은 직무 특성상 국민의 생명‧신체 및 재산을 보호하기 위해 불가피하게 물리력을 사용하게 되고, 그 과정에서 사상이나 재산상 손해가 발생하여 해당 경찰관 또는 소방관이 민·형사상 소송에 휘말리는 경우가 있다""며 ""경찰관의 경우 법률에 소송지원 근거 규정이 없다""며 관련 근거를 마련하는 내용이다.	 2018년 5월 현직 경찰관이 술 취한 시민들에게 아무 이유 없이 20번 넘게 맞았다는 동료의 사연을 전하며 공무집행 관련 소송을 하게 될 경우 법률 지원을 요청하는 등의 내용을 '청와대 국민청원'에 올려 주목을 받았다.	 20대 국회에서 홍문표 자유한국당 의원이 관련 법안을 발의하겠다고 밝힌 적도 있다.	 이 법안은 직접적으로 경찰의 폭력 행위를 정당화하는 내용이 아니다."
8,문재인 정부 경찰 폭력 합법화 추진? 확인해보니--1," 다만, 시위를 과도하게 진압하는 경찰을 지원하는 결과로 이어질 가능성이 있다는 우려를 할 수는 있다.	 그러나 정부가 특정한 의도를 갖고 이 법안을 만들었다고 볼 수도 없다.	 대표 발의자는 경찰 출신인 김석기 국민의힘 의원이다.	 공동 발의자는 김상훈, 김선교, 지성호, 이철규, 정희용, 송언석, 김병욱, 태영호, 구자근, 김희국, 정진석 의원으로 모두 국민의힘 소속 의원들이며 여권 의원은 1명도 없었다.	 '경찰관 직무집행법 개정안' 가운데 다른 법안에는 문제가 없을까.	 국회 의안정보시스템 확인 결과 21대 국회에서 김석기 의원의 법안을 제외하고 '경찰관 직무집행법'을 통해 경찰 권한을 다룬 법안은 3건 발의됐다.	 모두 더불어민주당 의원이 대표 발의했는데 △ 살수차의 무분별한 사용을 법으로 제한 △ 경찰의 광범위한 정보수집활동을 제한하기 위한 '치안정보' 개념 규정 △ 경찰 업무에 인권보호 의무 명시를 담는 등 오히려 경찰력의 오남용을 줄이는 내용이다.	 즉 정부가 경찰의 물리적 폭력을 합법화하기 위해 관련 법안을 발의했다는 주장은 사실이 아니다.	 ️️<Copyright ⓒ  ."
9,"JTBC ""K-가곡 100년사"" 일제와 뒤얽힌 총론 차원의 접근 아쉬워--0","2020년 방송가 연예가는 트로트 열풍, 광풍이 휩쓸었고 올해 초도 여전히 큰 흐름을 보여주고 있는 가운데 일제가 트로트와 함께 한민족의 정체성 파괴용으로 보급에 주력했던 가곡도 부각되고 있는 양상이다.	 트로트는 일제가 1백 여 년 전 식민지 지배 목적의 하나로 보급에 주력했던 일본 엥카의 영향으로 생긴 대중가요로 흔히 뽕짝이라고 불렸다.	 트로트와 함께 역시 일제가 보급에 힘을 쏟은 가곡은 독일, 이탈리아에 뿌리를 둔 것으로 한민족 고유음악을 억제하면서 그 대안으로 강요했던 또 다른 장르였다.	 일제가 1930년대 독일, 이탈리아와 함께 추축국동맹을 맺었던 배경도 가곡의 국내 보급 이유의 하나로 추정된다.	 지난 12월31일 JTBC의 '차이나는 클라스'는 '위로와 희망, K-	가곡의 힘'을 주제로 소개했는데 이는 가곡의 음악성에 국한해 그 나름대로 의미 있지만 트롯 열풍의 연장이나 그 곁가지로 부각되는 것으로 비춰졌다는 면도 생략키 어렵다.	 'K-	가곡 100년사'라는 접근 방식이 친일 행적으로 비판받는 홍난파가 봉숭아를 작곡한 시점을 출발점으로 잡는 방식인데 이런 식은 일제 침략을 전후해 등장한 근대소설 등 문화예술의 시효를 따지는 방식과 유사하다.	 지난해 국내 방송가는 트로트 열풍에 휩쓸리는 와중에 가곡에 대해서도 방송가 일부에서 'K-	가곡'으로 이름 붙여 다룬 바 있다.	 가곡은 국내에서 오랜 세월 동안 익숙해진 분야이다 보니 대중성은 물론 상업성도 강한 것이 사실이다.	 하지만 국권을 강탈한 외세가 그 도입을 주도했던 파괴적인 의미와 오늘날 국내에서 큰 유행을 하는 것에 대해, 일본의 전쟁범죄 외면 세력들이 어떤 시각으로 볼까를 생각하면 씁쓸해진다.	 일제 총독부의 문화정책에 호응한 것은 민족혼 말살을 노린 외세의 요구에 순응한 것으로 부역의 비판을 자초하는 작품 활동이었다는 지적을 피하기는 어렵다.	 일제가 보급에 앞장섰던 친일 문화예술의 프레임은 홍난파 등 친일 문화예술인들이 해방이후 이승만 정권 등에서 주류행세를 하면서 이어졌고 그것은 오늘날까지 친일잔재를 온존시키는 악역의 일부를 맡고 있다는 점을 중시해야 할 것이다.	 JTBC의 이 프로가 그동안 긍정적 평가를 받아왔던 것에 걸맞게 이번 프로에서 △총론과 각론 차원의 시각에서 가곡과 트롯은 일본의 한민족 고유문화말살과 왜색 문화 강제 이식 목적용이라는 공통점이 있으며 △친일 청산이 아직도 현재 진행형이라는 점 △외세의 지배와 문화적 침략 정책 등 에 대해서도 밀도 있게 소개했더라면 하는 점이 아쉬웠다.	 가곡, 트롯은 외세 침략과 강압으로 초래된 굴욕적이고 비극적인 사회 구조나 체제는 배제한 채 순수, 사랑, 이별 등 한탄조의 신변잡기에 국한하고 있는데 이는 일제가 식민지 조선 민중들의 패배주의와 현실 순응을 강요하는 사상, 심리전의 요체였다고 보아야 한다.	 우리 문화예술 분야의 친일 세력이 해방이후 정치권의 친일 세력 발호 속에서 관련 분야를 수십 년간 장악하고 주도했으며 그 결과가 오늘날과 같은 현상으로 이어졌다는 점을 지적하는 균형 잡힌 내용이 방송을 통해 소개되었으면 더 좋지 않았을까 생각한다.	 해방이후 일제 잔재가 청산되지 않은 상황에서 거의 모든 문화예술 분야는 주류언론과 함께 일제의 잔재가 온존되는 비정치적 분야의 핵심 부분으로 존속해 왔다.	 더욱이 이들 분야는 긴 세월이 흐르면서 대중문화로 깊이 뿌리내린 측면도 강해서 일제 잔재라는 비판에 대해 '1백 년이 지난 역사인데 어쩔 거냐?'	하는 식의 논법이 힘을 얻고 있는 형편이다."
