0,"[단독]""정치자금법 위반 혐의"" 윤화섭 안산시장, 결국 법정행--0","지지자로부터 수천만원을 건네 받아 쓴 혐의로 불구속 기소된 윤화섭 경기 안산시장이 결국 법정에 서게 됐다.13일 법조계에 따르면 정치자금법 위반 혐의를 받고 있는 윤 시장의 사건을 수원지방법원 안산지원 형사4단독 재판부에 배당했다.	  취재를 종합하면, 안산지원 형사4단독은 오는 3월19일 오전 9시40분 윤화섭 안산시장이 피고인인 정치자금법 위반 사건의 공판준비기일을 진행한다.	 당초 재판부는 정치자금법 위반 혐의로 기소된 윤 시장에 대해 2월6일 1심 첫 공판을 진행할 예정이었으나, 기일변경으로 한 차례 연기됐다.	윤 시장은 2018년 치러진 6·13지방선거를 앞두고 지지자로부터 불법 선거자금을 받은 혐의 등으로 경찰 수사를 받고, 지난해 7월3일 기소의견으로 수원지검 안산지청에 넘겨졌다.	윤 시장은 그해 2월부터 4월까지 지지자인 A씨로부터 수천만원을 건네받아 그 중 일부를 불법선거자금으로 쓴 혐의를 받고 있다.	 A씨 역시 정치자금법 위반과 뇌물공여 혐의로 검찰에 넘겨졌다.	 정치자금법 제2조 및 제45조에 따르면 등록된 후원회를 통해서만 정치자금을 기부받을 수 있도록 규정하고 있다.	 이를 위반할 경우 정치자금을 기부하거나 기부받은 자는 5년 이하의 징역 또는 1000만원 이하의 벌금에 처하도록 명시돼 있다.	검찰은 이후 6개월 넘도록 윤 시장에 대한 후속 수사를 진행하지 않다가, 올해 초 관련 사건을 재판에 회부한 것으로 파악됐다.	 일각에서는 '봐주기 수사 아니냐'는 의혹을 보내기도 했다.	 검찰 관계자는 ""올해 1월 정식 재판에 회부한 것은 맞다""면서도 ""해당 사건과 관련해서는 답변하기 어렵다""라고 말을 아꼈다.	 안산시청 관계자는 ""윤 시장이  수사를 받은 사실은 없는 것으로 안다""며 ""재판 상황에 대해서는 일절 알지 못한다""고 답변을 피했다.	윤 시장은 2018년 3월 초 A씨에게 강제로 입을 맞추는 등 강제추행을 한 혐의도 있다.	 사건을 담당한 안산단원 경찰은 강제추행 혐의에 대해서는 A씨 진술 외엔 혐의를 입증할 단서가 없다고 판단, 불기소 의견으로 검찰에 송치했다.	선출직 공무원이 공직선거법·정치자금법 위반 혐의로 벌금 100만원 이상 형이 확정될 경우 당선무효가 되고 5년간 피선거권이 박탈된다.	한편 윤 시장 측은 ""결단코 부정한 정치자금을 받은 사실이 없다""고 강조하며, ""강제추행 혐의도 고소인의 일방적인 주장으로 판명난 것처럼 나머지 수사에서 깨끗히 밝혀질 것""이라고 자신했다."
1,조두순 출소 앞두고 불안한 안산시민들…대책 있나 봤더니--0,"올 12월 출소를 앞둔 조두순이 안산으로 돌아가겠다는 의사를 밝혀 시민들이 불안에 떨고 있는 가운데 법무부가 '1대 1 보호관찰'과 '24시간 위치추적'에 나서겠다고 밝혔다.	법무부와 경찰, 국회의원, 안산시 등은 18일 오전 경기 안산시청에서 조두순 출소 후 대책에 대해 논의했다.	 비공개로 진행된 협의 후 고영인 의원이 전한 회의내용을 보면, 법무부는 조두순 출소 이후 현실적으로 할 수 있는 조치로 1대 1로 보호관찰과 24시간 위치추적을 하겠다고 밝혔다.	 또 출소 후 준수사항을 위반할 경우 즉시 구인 수사하겠다고 덧붙였다.	경찰은 경찰관 5명으로 전담관리TF를 가동하고, 야간 출입의 경우 사전 허가제를 운용하며, 등하교 시간대 순찰을 강화하기로 했다.	이날 협의에서는 조두순 전담 보호관찰관을 늘리고, 특별초소 설치 등 범죄예방 환경을 확대하자는 의견도 나온 것으로 알려졌다.	협의에 앞서 윤 시장과 지역 국회의원들은 인사말을 통해 ""조두순의 출소로 안산시민들이 매우 불안해하고 있으나, 출소하는 흉악범들을 체계적으로 관리해 재범을 막고 국민의 불안을 해소해 줄 수 있는 법률은 한계가 있다""고 언급했다.	고 차관은 ""조두순의 출소와 관련해 법무부 차원에서 나름대로 대비하고 있다""며 ""안산 주민, 나아가 국민이 안심할 수 있는 방안에 대해 의견을 주면 적극적으로 반영하겠다""고 했다.	최 청장은 ""경찰 역시 안산단원경찰서를 중심으로 대책을 마련 중이며, 조두순의 재범 방지와 주민 불안 해소를 위한 방안을 마련하겠다""고 말했다.	앞서 윤 시장은 지난 14일 추미애 법무부 장관에게 서한을 보내 ""조두순의 출소가 임박했는데도 현행 법률이 갖는 조두순 신변에 대한 강제력이 현저히 부족하다""며 보호수용법 제정을 요청한 바 있다.	 보호수용법은 아동 성폭력범 등이 출소 후에도 사회와 격리돼 보호수용 시설의 관리·감독을 받도록 하는 법으로, 법무부가 2014년 9월3일 입법 예고한 적이 있으나 제정되지 못했다.	이에 법무부는 ""기존에 국회에 제출된 보호수용법안에는 과거에 범죄를 저지를 사람들에게 소급할 수 있는 규정이 없다""며 조두순을 보호수용시설에 격리하는 것이 사실상 불가능하다는 입장을 밝혔다.	한편 조두순은 오는 12월13일 출소를 앞두고 있다.	 모든 형기를 마치고 적법한 절차에 따른 만기 출소지만 시민들의 불안감은 높은 상황이다.	 이에 따라 국회에서 조두순을 격리하기 위한 각종 법안이 쏟아지고 있지만 12월까지 법안이 처리될지는 미지수다."
2,이종현 좋은사람들 대표에 쏟아진 무수한 고소·고발--0,"지난 2008년 말 좋은사람들 M&A; 과정에서 최근 환매중지 사태로 논란이 확산되고 있는 라임자산운용 자금이 흘러들어간 정황이 발견됐다.	 덕분에 이종현 좋은사람들 대표는 불과 50억원, 3.89% 남짓한 지분으로 인수 당시 시가총액 1300억원의 상장사를 손에 쥐게 됐다.	 이 때문에 이 대표의 면면에 대해서 궁금증이 일고 있다.	 이 대표는 그동안 기업 인수합병을 벌이며 수많은 법적 분쟁에 노출돼 왔다.	 그를 상대로 한 고소·고발은 최근까지도 이어지고 있다.	 지난해부터 올해까지 본지가 확인한 고소·고발만 6건에 달한다.	 특히 이 중 일부는 기소의견으로 검찰에 송치돼 본격적인 검찰 수사를 앞두고 있다.	먼저 이 대표는 지난해 기업인 김아무개씨로부터 특경법 위반 혐의로 경찰에 고소를 당했다.	 이 대표 측은 2014년 말 투자한 액수의 150%를 재투자 형태로 돌려주겠다며 김씨로부터 모두 17억원을 투자받았다.	 그러나 이 대표는 상환을 약속한 2016년 말까지 투자금을 돌려주지 않았고, 이후에도 계속 지급을 미뤄온 것으로 알려졌다.	이 대표는 김씨에게 투자금을 자신이 인수한 기업들의 경영 안정화에 사용하겠다고 밝힌 것으로 전해졌다.	 그러나 경찰의 수표 및 계좌추적 결과 이 대표는 김씨의 투자금을 전혀 다른 용도로 사용했다.	 경찰은 올해 2월 사건을 기소의견으로 검찰에 송치한 상태다.	김씨는 이 대표를 같은 해 회사 자금을 불법 인출한 혐의로도 고소했다.	 이 대표는 제이앤유글로벌과 KJ프리텍 등 자신이 지배력을 가진 상장사들의 자금 69억원가량을 김씨 소유의 기업에 업무협약이나 소비대차계약을 맺는 형태로 넘긴 뒤 이를 다시 인출해 가져간 것으로 전해졌다.	이 대표는 김아무개 케이파워인베스트먼트 대표로부터도 회사 자금 불법 인출 혐의로 고발을 당했다.	 이 회사를 새로 인수한 김 대표는 이 대표가 사내이사를 역임하던 시절 수상한 자금 흐름을 포착하고 검찰에 수사를 의뢰했다.	 김 대표는 이 대표 소유의 상장사 자금이 투자 형태로 케이파워인베스트먼트에 흘러들어온 뒤 모두 80억원대 자금이 대여·선급금 형태로 인출됐다고 주장하고 있다.	이 밖에 이 대표가 직접 피소된 건 아니지만 그가 인수와 경영에 관여했던 KJ프리텍과 관련해 부친인 이기태 전 삼성전자 부회장이 지난해 고소를 당했다.	 이 회사를 인수한 윤아무개씨가 경영권을 인수·인계하는 과정에서 사기를 당했다며 소를 제기한 것이다."
3,이종현 좋은사람들 대표에 쏟아진 무수한 고소·고발--1,"이 대표에 대한 고소·고발은 최근까지 이어졌다.	 올해 1월 좋은사람들 전 경영진으로부터 업무상 횡령 및 배임 등의 혐의로 고발당한 것이다.	 다만 이 고발건은 고발인의 취하로 사건은 일단락된 상태다.	 이와 관련해 이 대표 측은 ""고소인 측이 오해를 해서 고소를 취하한 것""이라고 밝혔다.	 그러나 익명을 요구한 좋은사람들 내부관계자는 ""이 대표 측이 고발로 인해 유상증자를 못하게 될 경우 임금 체불을 하게 될 수도 있다고 회유해 취하한 것으로 알고 있다""고 밝혔다."
4,"""공중화장실 범죄"" 매년 증가 추세…작년 역대 최다 4500여건--0","지난 5년간 공중화장실에서 일어나는 범죄 건수가 계속 증가하고 있는 것으로 나타났다.	 작년 경찰에 적발된 공중화장실 범죄는 4528건으로 역대 최다를 기록했다.	 김용판 국민의힘 의원이 17일 경찰청으로부터 제출받은 '최근 5년간 공중화장실 범죄 현황'에 따르면 공중화장실 범죄가 2015년 1981건, 2016년 2044건, 2017년 2081건, 2018년 4224건, 2019년 4528건으로 급증했다.	 특히 작년의 범죄 건수는 2015년보다 2.3배 증가한 것으로 역대 최다 수치였다.	 지난해 공중화장실 범죄를 유형별로 보면 지능범죄가 1311건, 성범죄 1269건, 절도 1083건, 폭력 580건, 강력범죄 168건으로 나타났다.	 특히 성범죄 중에서는 카메라 등을 이용한 불법 촬영 범죄가 657건이었다.	 성적 목적 침입은 455건, 강간·강제추행은 156건이었다.	공중화장실 범죄 건수가 꾸준히 증가함에 따라 관련 법안이 국회에 발의돼 있다.	 현재 국회에 계류 중인 공중화장실 범죄 관련 법안은 총 2건이다.	 기동민 더불어민주당 의원과 김용판 국민의힘 의원이 각각 발의한 '공중화장실 등에 관한 법안' 개정안은 현행법상 연 1회의 공중화장실 정기점검을 늘려야 한다는 내용을 담고 있다.	 특히 김 의원이 발의한 법안은 공중화장실 내 비상벨 설치 의무화하고 예산을 지원하는 조항도 포함하고 있다.	 김 의원은 ""이번 달 기준 공중화장실 내 비상벨 설치율이 전국 평균 22.6%에 불과하다""면서 ""공중화장실 내 비상벨 설치 의무화, 공중화장실 점검 목적에 범죄 예방 추가 등을 골자로 하는 법안을 발의했다""고 밝혔다."
5,"도망 비결은 日 검·경 매수?…""곤 탈주"" 게임 해보니--0","카를로스 곤 전 르노닛산자동차 회장을 향해 경찰들이 총을 쏘며 쫓아왔다.	 그는 돈뭉치를 던지며 탈출구를 찾아 헤맸다.	 현실이 아닌 게임 이야기다.	 곤 전 회장의 일본 탈출을 소재로 한 PC 게임이 등장했다.	 제목은 ""곤이 사라졌다""란 뜻의 '곤 이즈 곤''이다.	 1월22일 온라인 게임유통 플랫폼 스팀을 통해 발매됐다.	 가격은 1100원이다.	 출시 전부터 후지TV, 월스트리트저널 등 매체들로부터 조명을 받았다.	 게임을 다운받아 실행해봤다.	 곧 ""이 게임은 픽션입니다.	 실존 인물·단체·국가·시설·사건과는 무관합니다""란 문구가 떴다.	 한글, 영어, 일본어 등으로 적혀 있다.	 이어 ""악기 상자에 들어가는 것은 위험합니다""란 문구가 나왔다.	 곤 전 회장이 콘트라베이스 상자에 몸을 숨겨 도쿄 집을 빠져나왔다는 일각의 언론 보도를 염두에 둔 것으로 보인다.	게임이 시작되자 곤 전 회장의 얼굴을 닮은 캐릭터가 등장했다.	 몸통은 검은색 악기 상자에 가려져 있었다.	 스페이스바를 누르면 상자 속에 몸을 숨길 수 있었으나, 딱히 쓸모 없는 기능이었다.	 게임은 무척 간단했다.	 캐릭터를 움직여 일본 시내와 공항을 빠져나가면 된다.	 이 과정에서 경찰 모습의 적들이 총을 쏘며 다가왔다."
6,"도망 비결은 日 검·경 매수?…""곤 탈주"" 게임 해보니--1"," 피하거나 공격할 수 있는데, 공격 수단이 다름아닌 지폐다.	 돈다발을 쏘아 댈수록 화면 위에 적힌 숫자 '26억 달러'가 급속도로 줄어들었다.	 캐릭터를 빠르게 이동시키거나 적의 총알에 맞을 때도 마찬가지였다.	 적에게 잡히거나 돈을 다 써버리면 ""YOU ARRESTED!""	라고 뜨면서 감옥에 갇히게 된다.	 그러면 둘 중에 하나를 선택해야 한다.	 '보석금을 지불'할지, '게임에서 탈출'할지를.	 보석금을 지불하면 돈이 깎이는 대신 다시 게임을 이어갈 수 있다.	 중간마다 거대한 표창과 마름모꼴 모형이 캐릭터를 위협해왔다.	 각각 일본 검찰과 르노의 로고를 형상화한 것으로 추측된다.	 공격해서 파괴할 수는 없고 계속 피해 다녀야 한다.	 게임 막판에는 캐릭터가 가방에 몸을 숨긴 채 등장했다.	 곧이어 비행기 앞모습처럼 생긴 마지막 보스의 공격이 쏟아졌다.	 10분 가까이 피해 다니자 캐릭터의 웃는 모습이 화면 전체에 등장했다.	 엔딩이었다.	 이후 건물 위에 서있는 캐릭터 뒤로 악마 형상의 그림자가 드리웠다.	 악마의 이마에는 르노 로고 모양이 박혀 있었다.	 엔딩을 보기까지 40여 분이 걸렸다.	 게임은 완성도 면에서 결코 호평을 받기 힘들어 보였다.	 그래픽은 엉성하고, 조작도 상당히 불편했다."
7,"도망 비결은 日 검·경 매수?…""곤 탈주"" 게임 해보니--2"," 딱히 스토리라고 할 만한 서사구조도 없다.	 짧은 시간에 급하게 만들었다는 느낌이 역력했다.	 다만 한 네티즌은 ""훌륭한 게임은 아니지만 1달러 값어치는 한다""고 평했다.	 게임을 만든 회사는 '와사비스시스튜디오'란 곳이다.	 이에 대해 알려진 정보는 거의 없다.	 제작사는 게임의 주인공 캐릭터에 대해 ""루소, 닛슨 연합의 전 최고경영자 로스칼 곤""이라고 소개했다.	 르노, 닛산, 카를로스 곤 등을 풍자한 것으로 풀이된다.	 또 제작사는 ""경찰과 검찰, 불만을 품은 닛슨 전 직원들에게 뇌물을 활용하라""고 설명했다.	 비즈니스인사이더는 ""제작사에게는 연락이 닿지 않았고,  스팀 측도 즉답을 피했다""고 전했다.	 곤 전 회장은 2018년 11월 특별배임과 재산 축소신고 등 혐의로 일본에서 구속 기소됐다.	 이후 보석과 재구속을 수차례 반복하다 지난해 12월29일 레바논으로 도망쳤다.	 당시 탈주 과정이 베일에 싸여 세간의 관심을 끌었다.	 곤 전 회장은 이에 대해 ""나를 도운 사람들을 위험에 빠뜨리지 않게 하기 위해 상세히 밝히지 않겠다""고 프랑스 언론에 말한 것으로 전해졌다.	 다만 일본인의 협력이 있었다고 시사했다."
8,"""출산휴가자·기간제근로자가 왜 현장에"" 답 못하는 춘천시--0","의암댐 선박 침몰 사고가 춘천시의 잘못된 판단에서 나온 인재일 가능성이 거론되고 있다.	 실종자 가운데 출산휴가자와 기간제근로자가 여럿 포함된 사실이 알려지면서, 이들의 현장투입 경위에 대한 진상규명을 요구하는 목소리는 더욱 커질 것으로 보인다.	   7일 이재수  회견을 열고 의암호 선박 사고에 대해 ""사고 책임을 통감하며 깊은 사과를 드린다""고 밝혔다.	 이어 ""사태의 수습을 위해 총력을 다해 실종자를 찾고, 유명을 달리하신 분에 대한 예우를 다하겠다""며 ""경찰 수사 등에 성심껏 임해 한 치의 의문이 없도록 조치하겠다""고 강조했다.	그러나 이 시장은 출산휴가 중이던 담당 공무원과 기간제 근로자가 현장에 출동해 배를 타고 나가야 했던 경위에 대한 질문에는 답변하지 못했다.	 이 시장은 ""기간제 근로자 이동과 담당 공무원 경찰 신고 시간 등을 볼 때 수초 섬 고정작업을 처음에는 업체 직원들이 한 것으로 보인다""며 ""기간제 근로자의 지원 요청이나 담당 공무원이 당시 상황을 어떻게 알고 현장에 나갔는지 등 여부는 명확하게 확인되지 않아 아직 파악 중""이라고 말했다.	이 시장은 사고 과정에 대해 현재까지 시가 파악한 것은 관련자 진술과 휴대전화 통화 시간대 등을 토대로 한 것이라며 추후 경찰 등의 수사를 통해 정확히 밝히겠다고 덧붙였다.	 일각에서는 출산휴가를 나갔던 공무원이 상부의 지시 없이 현장으로 출동해 수초섬 정박 작업에 참여한 것은 이해가 되지 않는다는 반응을 보이고 있다.	 당시 의암댐은 상부댐 방류 등 영향으로 유속이 빨라 선박을 띄우거나 수초섬 관련 작업을 할 수 있는 상황이 아니었다.	 전날 사고 현장을 찾은 정세균 국무총리도 이같은 점을 지적하며 ""참 안타깝고 부끄럽기 짝이 없다.	 국민들이 얼마나 실망하고 통탄하겠느냐""고 춘천시 관계자들을 질책했다.	 정 총리는 ""소방이나 경찰뿐 아니라 전국 지자체 공무원들이 수시로 이런 위기에 노출될 가능성이 커 단단히 대비해야 한다""며 ""정말 국민들에게 부끄러워서 낯을 못 들겠다""고 말했다.	또 댐이 방류 중인 상황에 인공 수초섬을 고정하려다가 침몰한 데 대해선 ""그땐 떠내려가게 둬야지, 판단을 잘못한 것 아니냐.	 너무 기가 막힌다""며 ""어처구니가 없어서 뭐라고 이야기할 수가 없다""고 탄식했다.	실종자 가족들 역시 ""소양댐 수문을 개방했는데 수초섬 작업을 내보내는 게 말이 되느냐""며 분통을 터트렸다.	이번 사고는 전날 오전 11시30분께 의암댐에 있던 인공 수초섬이 떠내려가자 이를 정박하기 위해 출동한 관리업체와 행정선이 침몰했고, 이들을 구조하기 위해 나선 경찰정까지 모두 급류에 휩쓸려 떠내려가면서 발생했다.	 침몰한 선박 3척에는 경찰정에 2명, 고무보트 1명, 행정선에 기간제 근로자 5명이 각각 타고 있었다.	 이 중 행정선에 타고 있던 근로자 1명은 의암댐에 휩쓸리기 전 구조됐고, 다른 1명은 사고 발생 1시간 여 뒤 의암댐 하류 춘성대교 인근에서 탈진 상태로 구조됐다.	 비슷한 시각 가평 남이섬 선착장 인근에서 근로자 이모씨는 숨진 채 발견됐다.	 경찰정에 함께 탔던 이모 경위와 춘천시청 소속 이모 주무관 등 5명은 여전히 실종 상태다."
9,"""출산휴가자·기간제근로자가 왜 현장에"" 답 못하는 춘천시--1"," 이 주무관은 50일 전 아이가 태어나 출산휴가를 보내던 중에 현장에 나왔다 사고를 당했다.	 현재 수색당국은 헬기 10대와 선박 27대, 공무원 등 1400여 명을 동원해 전방위 수색을 벌이고 있다.	 경강교에서 팔당댐까지는 육상과 수면 수색을, 김포공항 인근 행주대교까지는 항공 수색을 진행 중이지만 유속이 빠르고 흙탕물인 상태라 시야 확보가 제대로 되지 않아 난항을 겪는 것으로 알려졌다.	  경찰과 소방당국은 11시21분께 춘천시 남산면 서천리 춘성대교와 경강대교 사이에서 나무에 걸려 있던 경찰 순찰정 '강원 101호'를 발견하고 내부 수색을 벌였지만 실종자는 찾지 못했다."
