0,몰수한 비트코인 15배 껑충…국고 귀속 가능해져--0,"범죄수익으로 몰수한 시세 74억 원 상당의 비트코인이 2년여 만에 국고 귀속이 가능해졌다.	대법원은 2018년 5월 아동·청소년의 성보호에 관한 법률 위반 등 혐의로 기소된 안 모 씨의 상고심에서 징역 1년 6월, 범죄이익으로 얻은 191비트코인 몰수, 6억 9천여만 원 추징을 선고한 원심판결을 확정했다.	대법원은 ""비트코인은 재산적 가치가 있는 무형의 재산이라고 봐야 한다""고 밝혔다.	몰수된 비트코인은 대법 판결 이후 2년 6개월이 넘도록 처분되지 않은 채 수사기관에 보관돼 왔다.	 가상화폐의 가치를 어떻게 매기고, 어떤 절차를 거쳐 국고에 귀속할지에 대한 관련 규정이 없었기 때문이다.	그러나 올해 3월 가상화폐를 자산으로 인정하는 금융거래정보의 보고 및 이용 등에 관한 법률 개정안이 시행돼 공매 등 처분 절차를 진행할 수 있게 됐다.	금융거래를 이용한 자금세탁 등을 규제하는 데 필요한 사항을 담고 있는 특정금융정보법은 이번 개정안에 가상자산에 대한 조문을 추가했다.	 이 법에 따르면 가상자산은 '경제적 가치를 지닌 것으로서 전자적으로 거래 또는 이전될 수 있는 전자적 증표를 말한다'고 규정하고 있다.	검찰 관계자는 ""개정 법률은 가상자산에 대한 정의를 내리면서 재산성을 부여하고 있다""며 ""가상자산도 시장에서 거래할 수 있도록 법률 정비가 완료된 것""이라고 말했다.	경찰이 2017년 5월 안 씨를 검거해 비트코인을 압수했을 당시 5억 원 상당으로 추산됐던 191비트코인은 대법 판결이 내려질 때는 15∼16억 원 상당으로 3배가량 가치가 높아졌다.	지난 6일 오후 1비트코인의 가격은 3900여만 원이다.	 191비트코인은 74억 원 상당으로, 압수 당시와 비교하면 가격이 거의 15배가량 상승했다.	검찰 관계자는 ""한국자산관리공사에 공매 위탁을 할지, 직접 사설 가상화폐 거래소를 통해 매각할지 등 처분 방식에 대해서는 아직 결정된 바 없어 추후 대검 등과 논의가 필요하다""고 말했다.	      	<Copyright ⓒ  ."
1,"N번방 ""박사""와 ""와치맨""은 이미 잡았다… 시초 ""갓갓""도 추적 중--0","텔레그램 '박사방'의 운영자 '박사' 조모씨가 19일 구속된 가운데 그보다 앞서 자신이 여성을 협박해 제작한 가학적 성착취 영상을 제작하고 이를 텔레그램 'N번방'을 통해 유포한 '갓갓'에 대한 경찰 수사망이 좁혀졌다.	 '갓갓'은 '박사'와 '와치맨'에 앞서 가장 먼저 자신이 제작한 텔레그램에서 성착취 영상을 유포한 인물이다.	 경찰청 사이버수사과는 23일 언론 브리핑을 열고 ""'갓갓'에 대해 경북지방경찰청 사이버수사대가 추적 중""이라고 밝혔다.	 경찰은 지난해 9월부터 텔레그램 등 모바일 메신저에서 이루어지는 성착취 영상의 유포에 대해 수사하고 있는 것으로 알려졌다.	 20일까지 운영자 등 124명을 검거했고 18명을 구속했다.	 이 과정에서 '박사'가 검거 됐고 또 다른 성착취 영상 제작·유포자인 '와치맨'이 검거됐다.	 경찰은 ""경찰 수사 대상자 중 '갓갓'이 분명히 존재한다고 특정하기 위해서는 시간이 필요하다""며 ""사이버 범죄에서는 익명은 물론 차명과 도명이 많아 용의자의 구체적 인터넷 주소를 파악해도 진범이 아닐 가능성이 크기 때문이다""라고 설명했다.	 텔레그램 N번방 수사를 위해 텔레그램 본사에 협조를 요청하고 있다고도 덧붙였다.	 텔레그램은 각국 정부의 정보 제공 협조에 소극적인 것으로 알려져 있으나 불법적인 영상물 등에 관해서는 이메일을 통해 삭제 요청을 하면 2~3일 후 삭제해준다.	 경찰은 이날 정보 보안 등의 이유로 각국으로 옮겨 다니는 텔레그램 본사 근거지에 대해 추적하는 작업도 병행 중이라고 밝혔다.	 추적을 위해 미국 연방수사국에 협조를 요청한 상태다.	 한편 'N번방'의 '갓갓' 다음 운영자인 '와치맨'은 지난해 9월 경기남부지방경찰청에 의해 구속됐다.	 '와치맨'은 38세 회사원 전모씨로 알려졌다.	 당시 전씨는 공중화장실에서 여성을 불법 촬영한 영상을 한 인터넷 사이트에 게시한 혐의로 구속됐다.	 비슷한 시기 강원지방경찰청이 'N번방'을 운영한 '와치맨'을 쫓으며 전씨로 특정한 때였다.	 경기남부경찰청과 강원경찰청은 함께 전씨의 혐의를 수사 해 수원지검으로 송치했다.	 강원경찰이 수사한 전씨의 혐의는 아동·청소년이 나오는 영상을 포함한 불법 영상 9천여건을 'N번방'을 통해 유포한 것이다.	 전씨는 현재 1심 재판을 진행 중이며 다음달 9일 선고 재판이 열린다.	  민갑룡 경찰청장은 이날 서면간담회 자료에서 경찰 사이버안전국에 '글로벌 아이티 기업 공조전담팀'을 신설하고 국외 모바일 메신저 업체들과 협력을 강화했다고 밝혔다.	 현재까지 밝혀진 바에 따르면 직접 제작한 성착취 영상물과 기타 음란물을 유통시킨 일당들은 추적을 피하기 위해 카카오톡, 텔레그램, 디스코드, 라인 등 모바일 메신저를 옮겨다니며 범행을 저질렀다."
2,"N번방 ""박사""와 ""와치맨""은 이미 잡았다… 시초 ""갓갓""도 추적 중--1",     <Copyright ⓒ  .
3,경찰은 아이를 사지로 돌려보냈다--0,"참혹한 아동학대에 철수는 가방 속에 갇혀 숨을 거뒀다.	 영희는 길거리에서 상처투성이에 성인용 슬리퍼를 신은 모습으로 발견됐다.	 경찰과 아동보호전문기관은 철수가 겪은 고통을 이미 알고 있었지만 집으로 돌려보냈다.	 이들이 학대사실을 알고서도 부모와 살겠냐고 물었기 때문이다.	 철수가 그랬듯이 영희도 자신을 끔찍하게 학대한 부모의 집으로 돌아갈 수 있다.	 아동복지법 제42조는 아동보호전문기관의 목적을 '아동학대와 방임의 문제에 전문적으로 개입할 때에는 가정 보존과 가족 기능의 회복에 우선을 두어야 한다'고 밝힌다.	 경찰과 아보전은 철수의 학대를 지난달 이미 알았다.	 철수의 학대 사실을 조사한 아보전은 ""반성한다""는 계모 A씨와 친부 B씨의 말을 토대로 '가정 기능 강화'라는 결론의 보고서를 경찰에 냈다.	 경찰은 그대로 따랐다.	 철수의 집은 '학대우려 가정'으로 지정됐지만 철수는 보호받지 못했다.	 철수는 학대의 결과로 4일 병원에서 사망했다.	 1일 A씨가 철수를 '거짓말 한다'는 이유로 가방 속에 7시간 동안 가뒀기 때문이다.	 A씨는 의식을 잃은 철수를 뒤늦게 병원에 이송했지만 철수는 다시는 깨어나지 못했다.	 전문가들은 ""예견된 사태""라며 영희 또한 지금의 경찰과 아보전이라면 구할 수 없을 것이라고 경고한다.	 이수정 경기대학교 심리학과 교수는 ""가부장적인 질서에 따라 가정의 회복을 골자로 하는 아동보호법은 매번 피해자를 가정에 돌려보낼 것이고 범죄는 반복될 것이다""라고 말했다.	 표창원 전 국회의원은 ""우리 법상 아동보호전문기관이 법원에 친권상실 청구를 할 수 있지만, 실제 잘 안 이뤄진다""며 이러한 배경에는 ""아이는 부모와 살아야 한다는 고정관념이 원인""이라고 지적했다.	 영희는 10일 경찰의 2차 조사를 받았다.	 경찰 조사에서 영희는 2년 전부터 계부 C씨와 친모 D씨가 식사를 잘 주지 않고 몽둥이로 때리거나 욕조에 물을 채워 머리를 집어넣는 등 학대를 가했다고 진술했다.	 경찰은 C씨를 불구속 조사했으며 추가 조사를 계획하고 있다.	 영희는 병원에 입원해 아보전 관계자 등이 보호 중이지만 C씨와 D씨는 아직 친권을 행사할 수 있다."
4,경찰은 아이를 사지로 돌려보냈다--1," 향후 영희가 위탁가정이나 시설로 가지 못 하고 C씨와 D씨에 대한 처벌이 제대로 이루어지지 않으면 친권자인 이들에게 가는 수밖에 없다.	 현행 아동보호법 등 아동 학대와 관련한 시스템 전반은 보건복지부 소속이다.	 미국은 아동학대를 심각한 범죄로 보고 학대가 일어난 가정에 대해 법원의 즉결심판을 통한 강제명령으로 학대 행위자와 피학대 행위자를 즉시 분리할 수 있도록 한다.	 그러나 한국의 아동학대 관할 부처는 보건복지부기 때문에 이러한 개입이 쉽지 않다.	 천안 사건을 두고 서울의 한 아동보호전문기관 관계자는 ""학대가 의심된다고 해서 기관이 아이를 당장 빼 올 수 있는 게 아니고, 조사관이나 예산이나 모두 부족한 상태니 어쩔 수 없다""며 ""기관의 조사관들도 어디까지나 직장인이고 출퇴근 시간이 있는데, 방문하려고 해도 아동 보호자가 집에 없다고 하면 법이 없는데 어쩌겠는가?""	라고 말했다.	 지난 3월 '아동학대 범죄의 처벌 등에 관한 특례법' 개정안이 국회 본회의를 통과해 오는 10월부터 시행된다.	 개정안은 기관이 수행하던 현장조사와 응급조치 등을 지자체 소속 아동학대 전담 공무원이 대신하도록 한다.	 공무원이 학대 행위자에 출석과 진술, 자료 제출을 요구할 수 있으며 불응시 처벌도 할 수 있게 됐다.	 전담 공무원 1명은 아동학대 사건 50건을 담당한다.	 그러나 개정안은 시행 전부터 허점이 지적되고 있다.	 해당 개정안에 대해 실무자들은 공무원에 강제력을 행사할 수 있도록 하더라도 결국 경찰-	아보전-	담당 공무원 모두가 학대 사건에 대한 집행력을 갖지 못하면 상담을 조건부로 하는 기소유예 등만 늘 것이라고 비판한다.	 공혜정 아동학대방지방지협회 대표는 아동의 보편적인 심리를 우선적으로 이해해야 하는 데 그렇지 못 하다고 지적한다.	 지난 2013년 일어난 칠곡 아동학대 사건 등에서 학대 피해 아동들은 가해 부모의 편을 들었다.	 공 대표는 ""부모가 학대할 것이 뻔히 보여도 친권을 행사하거나 아이가 돌아가겠다고 하면 경찰과 아보전은 아이를 돌려보낸다.	 아보전은 모니터링을 진행한다면서 학대를 한 부모에게 전화로 '잘 지내시죠?'	 묻고 경찰은 이를 방치한다.	 시스템을 전부 고치지 않으면 철수와 같은 일은 또 일어난다""고 주장했다."
5,경찰은 아이를 사지로 돌려보냈다--2,   <Copyright ⓒ  .
6,"""디스코드 ""N번방"" 관전자 30만명… 언론보도 직후 11만명 도주""--0","텔레그램을 통한 성착취 사건인 일명 'N번방 사건' 핵심 피의자 '박사'가 구속된 가운데 N번방 사건 피의자들이 또 다른 온라인 메신저인 '디스코드'로 대거 이동한 것으로 드러났다.	 수사를 피해 디지털 성범죄 플랫폼을 옮기고 있다는 분석이다.	 그런데 본격적인 수사가 이뤄지지 않은 상황에서 언론보도로 인해 디스코드 내 N번방 '관전자' 30만명 중 11만명이 증거를 없애고 도주했다는 주장이 나왔다.	N번방 사건을 공론화한 단체 'Project ReSET'은 20일 성명을 내고 ""3월 18일 오후 기준 디스코드 내 디지털 성범죄 서버는 112개에 달했고 이 서버를 이용한 가해자들은 단순 추산 시 30만명 이상이었다""고 밝혔다.	리셋은 지난해부터 디스코드 내에서 디지털 성범죄가 발생하고 있었다는 사실을 확인했다.	 특히 텔레그램 내부의 디지털 성범죄 가해자들이 텔레그램에 집중된 수사망을 피해 이전부터 디지털 성범죄 플랫폼으로 이용되고 있던 디스코드에 합류하고 있다고 판단하고 모니터링을 해왔다.	 아직 증거를 제대로 확보하지 못한 상황이라 가해자들이 디스코드에서 또 다른 플랫폼으로 도주하는 것을 막기 위해 플랫폼 이름을 공개적으로 밝히지 않고 모니터링 업무를 했다는것이 리셋의 설명했다.	그러나 리셋은 ""언론사의 성급한 보도로 인해 디스코드 내부의 성범죄 가해자 다수가 도주하고 있다""고 지적했다.	지난 18일 오후 한 언론사가 디스코드에서 경찰 수사가 이뤄지고 있다는 내용을 보도했다.	 리셋은 보도 직후 디스코드 내 성범죄 가해자들은 해당 기사를 빠르게 공유하며 증거를 인멸하고 서버 내역 등을 삭제하기 시작했다고 했다.	 리셋에 따르면 기사가 퍼지고 난 뒤인 18일 오후 10시 16분경 디스코드 내 34개 서버의 링크가 사라졌고, 8만명 이상의 이용자가 자취를 감췄다.	 19일 오후 12시에는 59개 서버의 링크가 만료되며 리셋 감시망을 피해 도주한 '관전자' 수는 11만명을 넘어섰다고 추정했다.	 단체는 해당 언론사에 유감을 표하며 19일 100여개의 서버 데이터베이스와 그동안 수집한 기록을 사이버수사대에 전달했다고 밝혔다.	리셋은 디지털 성범죄를 근절하기 위해서는 △전문 수사 인력·여성 경찰관 확충 △통신 사업자, AI를 이용한 이미지 필터링 의무화 △부다페스트 협약 가입 등 국제 공조 시스템 도입 △플랫폼 이용자들의 디지털 윤리 의식을 제고 등이 필요하다고 제안했다.	리셋은 ""'박사'의 검거가 디지털 성범죄와의 전쟁에서 승리한 것을 의미하지는 않는다.	 실제로 '다음 박사'를 자처하는 범죄자들은 계속 등장하고 있다""며 ""디지털 성범죄는 어느 플랫폼에서나 일어날 수 있는 모든 여성에 대한 무차별적인 폭력이며 범죄임을 명심해야 한다""고 강조했다.	   <Copyright ⓒ  ."
7,"[만남] 한국은 세계 6위 성매매 시장… ""수요 차단이 먼저다""--0","성매매는 돈이 되는 '산업'이다.	 정미례 성매매문제해결을위한전국연대 정책자문위원은 성매매 이슈가 정책 변방에 묻혀 제대로 논의조차 되지 않는 이유가 이 때문이라고 했다.	 정 위원은 올해로 20년째 반성매매운동 맨 앞줄에서 ""성매매는 젠더기반 여성폭력 문제""라고 외치고 있다.	 지난 9월 19일 '군산 대명동 화재 참사' 20주기를 맞았다.	 정 위원을 반성매매운동으로 이끈 계기가 된 사건이다.	 성매매 업소가 모여 있던 '쉬파리 골목' 끝 3층 건물에 감금돼 죽음에 이른 5명의 여성에게 우리 모두는 빚을 지고 있다.	 이 여성들의 죽음 위로 성매매방지법이 제정됐고 피해지원시스템이 마련됐다.	 법이 만들어지고 성매매 집결지가 폐쇄되면서, 누군가는 ""이정도면 다 이룬 것 아니냐"", ""이제 감금은 안 되지 않느냐""고 말한다.	 안일한 질문에 정 위원은 이렇게 답했다.	 ""아직은 멀었다""고.	 뿌리 깊은 강간 신화가 성상품화, 산업자본주의 등과 결탁하면서 성매매가 거대 산업이 되버렸다고.	 ""성매매가 없어질 거라고 보느냐""는 체념 또는 냉소 섞인 질문을 받을 때면 그는 차분히 답한다.""	법으로 살인을 막고 있지만 살인사건은 발생하잖아요.	 하지만 누구나 살인은 해서는 안 되는 것이라는 상식은 갖고 있어요.	 여성 모두가 온전하게 인격권을 존중받고 살아가길 원해요.	 그렇게 살아가는데 방해가 되는 요인을 없애자는 거죠.""	미국 암시장 전문 조사업체 하보스코프닷컴은 한국 성매매 시장 규모가 120억 달러로 세계 6위 규모라고 보고했다.	 같은 해 한국형사정책연구원은 30조~37조원으로, 하보스코프 추산치의 3배 이상으로 추정했다.	 국내 커피 시장의 4배가 넘는다.	 남자친구의 성매매 이력을 알려준다는 '유흥탐정' 사이트는 1800만명에 달하는 성구매자 명단을 이용한 것이라는 경찰의 수사 결과도 나왔다."
8,"[만남] 한국은 세계 6위 성매매 시장… ""수요 차단이 먼저다""--1","정부도 3년마다 '성매매 실태조사' 결과를 발표한다.	 올해 발표한 '2019년 성매매 실태조사'를 보면 남성의 42.1%가 성 구매를 한 것으로 나타났다.	 그러나 이 조사결과는 국가승인통계에서는 제외됐다.	 정확도나 신뢰성을 확보하기 어렵다는 것이 그 이유다.	성산업 규모를 알 수 있는 조사 결과는 모두 추정치다.	 여기에 온라인을 기반으로 한 성착취 시장까지 더하면 그 규모는 정말 아무도 모른다.	 '돈'을 노린 성매매 업주와 알선업자는 성구매자가 원하면 어디서든 성매매가 가능하도록 정교한 시스템을 구축했다.	 든든한 '뒷배'는 이 시스템을 견고하게 받쳐준다.	 오랫동안 성매매 여성을 '외화벌이 역군'으로 이용했던 국가도 공조했다.	 정 위원이 ""성매매를 막고 피해여성을 보호하기 위한 법은 만들어졌지만 거기서 멈춰서는 안된다""고 말하는 이유다.	 성구매를 권하는 사회, 성매매가 일상이 된 사회에서 여성의 몸은 곧 '상품'이다.	 정 위원은 광주에서 학창시절을 보냈다.	 광주민주화항쟁을 온몸으로 겪은 그는 삶과 죽음의 경계가 사라진 그곳에서 큰 상실감을 느꼈다.	 ""광주항쟁을 거치면서 해명되지 않은 수많은 것들에 대해 의문을 품었어요.	 왜 저들은 진실을 말하지 않나 하는.	 살아남은 나는 어떤 책임을 져야 하는지.""	그때부터였다.	 ""분노의 힘""이 운동의 모토된 것은.	 서울에 있는 대학에 진학한 뒤에는 당연한 수순처럼 학생운동과 노동운동을 했다.	 군산으로 거주 지역을 옮긴 뒤에는 본격적인 여성운동에 나섰다."
9,"[만남] 한국은 세계 6위 성매매 시장… ""수요 차단이 먼저다""--2"," 군산여성의전화를 꾸려 활동하던 2000년, 군산 대명동 화재 참사를 만났다.	 9월 19일 화재가 발생했으나 대형 언론사는 관심조차 두지 않았다.	 이튿날, 희생자의 아버지가 화재 현장에서 발견한 일기장이 오마이뉴스를 통해 세상에 알려지면서 인권 사각지대에 놓인 성매매여성의 비참한 현실이 수면 위로 떠오를 수 있었다.	 그 현장에서 정 위원은 반성매매운동에 뛰어든다.	 ""성매매가 여성 인권에 대한 명백한 침해""라는 인식으로 여성운동이 본격적으로 성매매 이슈에 개입한 것이다.	 대대적인 법 제정 운동에 나서 2004년 9월 23일 '성매매방지법'이 시행됐다.	 현장에서는 성매매여성을 앞세운 업주와 '성매매를 막으면 성범죄가 늘어난다'는 식의 통념이 얽혀 반성매매운동 활동가를 공격해댄다.	 '어렵다' '안된다'는 경찰, 공무원과 싸우는 것도 정 위원의 몫이었다.	 까랑까랑한 목소리로 어디서든 해야 할 말은 하는 그에게 '걸출한 입'이라는 별명도 붙었다.	 의외로 MBTI 검사 결과 외향적일 것 같은 그의 성향은 'I'였다.	 정 위원은 혼자 있는 시간에서 에너지를 충전해 다시 '싸움'을 해나간다고 했다.2004년 전국연대를 만들고 수차례 '대표'를 맡은 정 위원은 올해 정책자문위원으로 한 발짝 물러났다.	 하지만 그의 발은 여전히 '현장'으로 향해 있다.	 9월에는 또 다시 군산을 찾았다.	 아직 할 일이 남아 있기 때문이다.	 강력한 수요 차단 정책 마련이다.	 현행법은 성구매자와 성매매 여성 모두 처벌하고 있다.	 하지만 정 위원은 성매매 문제의 핵심은 성매매여성이 아니라 거대한 성착취 구조에서 수익을 올리는 알선조직과 수요자 문제라고 보고 있다.""	수요 차단에 초점을 맞춰 성구매자를 강력히 처벌하면 성매매 확산을 막을 수 있어요.	 이미 스웨덴에서 시행 중입니다.	 구매자를 처벌하면 수요를 줄이고 성매매에 대한 인식도 변화할 수 있어요."
