0,"박원순 고소인, 두 번째 조사…고발·진정도 잇달아--0","고 박원순 서울시장을 성추행 혐의로 고소한 고소인이 두 번째 경찰 조사를 받았습니다.	 논란이 커지면서 관련 고발과 진정도 잇따르고 있습니다.	  입니다.	고 박원순 서울시장에게 4년간 성추행을 당했다고 주장한 고소인이 경찰 조사를 받았습니다.	앞서 성추행 사건으로 조사를 받은 데 이어, 이번엔 2차 피해 건으로 두 번째 조사를 받은 겁니다.	<김재련 / 박원순 시장 고소인 법률대리인> ""피해자에 대해 온·오프라인 상으로 가해지고 있는 2차 가해 행위에 대한 추가 고소장을 서울지방경찰청에 제출했습니다.""	서울지방경찰청은 수집한 자료를 바탕으로 관련 내용을 검토해 법과 원칙에 따라 엄중 조치하겠다고 밝혔습니다.	성추행 주장을 둘러싼 논란이 커지면서, 관련 고발도 잇따르고 있습니다.	한 진보단체는 고인을 모욕했다며 배현진 의원과 보수 유튜버들을 고발했습니다.	<신승목 / 적폐청산 국민참여연대 대표> ""명백한 허위사실을 유포한 것과 관련해서 형법 제 308조 사자 명예훼손으로 고발하게 됐습니다.""	국가인권위원회에는 이번 사건의 진상을 밝혀달라는 진정이 접수됐습니다.	박 시장 사망으로 수사가 종결될 가능성이 큰 만큼, 이번 의혹을 인권위 차원에서 조사해달라는 겁니다.	인권위는 진정을 접수한 사법시험준비생모임 측에 ""담당 조사관을 배정하고, 관련 절차에 따라 처리하겠다""고 전했습니다.	시민단체 활빈단은 수사 상황이 박시장에게 어떻게 유출됐는지 밝혀달라며, 경찰과 청와대 관계자를 고발했습니다.	이런 가운데, 고소인 측은 신상털이에 나선 사진과 글 등 추가 2차 가해 행위에 대해서도 경찰에 수사 의뢰할 계획입니다.	  정다예입니다.	   기사문의 및 제보 :"
1,"""獨 베를린 지하철서 韓유학생 부부, 인종차별·폭력 피해""--0","독일 베를린 지하철에서 한국 유학생 부부가 인종차별과 성희롱, 폭행을 당하는 사건이 발생했습니다.	유학생 부부에 따르면 이들은 현지시간 26일 0시 30분쯤 지하철 안에서 독일 시민으로 보이는 한 성인남녀 무리로부터 ""코로나""라는 발언과 성희롱적인 발언을 여러 차례 들었습니다.	남편 이모 씨가 경찰에 전화하는 사이 무리 속 한 남성은 김 씨를 여러 차례 밀치고 다른 남성은 이 씨에게 침을 뱉었습니다.	 유학생 부부는 ""당시 경찰이 사건을 접수하려 하지도 않았다""며 ""한국대사관 측이 경찰과 통화한 뒤에야 사건을 접수하기로 했다""고 말했습니다.	  기사문의 및 제보 :"
2,만3세·취학연령 아동 전수조사…아동학대 재점검--0,"만3세 아동과 취학 연령 아동의 소재와 안전을 파악하기 위한 전수조사를 추진합니다.	유은혜 사회부총리 겸 교육부 장관은 오늘 제7차 사회관계장관회의를 열고 '아동학대 방지대책'을 논의했다고 밝혔습니다.	유 부총리는 최근 천안 9살 남아가 계모에 의해 가방에 갇혔다 숨진 사건을 계기로 아동학대 사건이 다시는 발생하지 않도록 보다 근본적인 대책을 8월 말까지 마련하겠다고 밝혔습니다.	또 경찰과 지자체, 아동보호전문기관이 합동 점검팀을 구성해, 최근 3년간 학대 신고된 아동의 안전을 재점검 할 방침입니다.	  기사문의 및 제보 :"
3,"위안부 피해자 박물관 사칭 이메일…경찰 ""주의 당부""--0","일본군 위안부 피해자 관련 역사를 다루는 전쟁과여성인권박물관을 사칭한 이메일이 발송돼 주의가 요구됩니다.	박물관에 따르면 최근 '전쟁과여성인권박물관'을 발신인으로 한 '견적 요청의 건'이라는 이메일이 불특정 다수에게 보내졌습니다.	이메일에는 주소와 연락처, 후원계좌번호와 함께 정체불명의 첨부파일이 적힌 것으로 알려졌습니다.	박물관 관계자는 ""주소와 연락처, 후원계좌번호 맞지만, 이메일을 발송한 바 없다""고 설명했습니다.	경찰 관계자는 ""악성코드가 담긴 이메일일 가능성이 크다""며 ""첨부파일을 열면 안 된다""고 설명했습니다.	  기사문의 및 제보 :"
4,폭우에 바람까지 몰아친 인천…곳곳 강풍 피해--0,"인천은 바람이 몰아치면서 피해가 잇따랐습니다.	 한 때 호우경보에 풍랑주의보까지 내려졌는데요.	  가 다녀왔습니다.	검은 깃발 열댓개가 휘날립니다.	 비바람이 몰아치는 인천 연안부두입니다.	굵은 빗방울이 강풍을 타고 쉼없이 쏟아집니다.	거리를 오가는 시민들은 우산을 똑바로 드는 것조차 버겁습니다.	<김우람 / 서울시 서초구> ""인천에 관광왔는데요.	 바닷바람이라 그런지, 풍랑주의보도 있다고 그래서 유람선 타기는 어려울 것 같네요.	 인천 바람 정말 심하네요.""	인천에는 호우경보에 풍랑주의보가 겹쳤습니다.	부두에 묶인 배들이 강풍에 좌우로 심하게 흔들립니다.	높은 파도에 출항은 엄두도 낼 수 없습니다.	풍랑주의보가 내려진 인천 앞바다 위에 있습니다.	 거센 바람에 파도가 높게 일면서 잠시도 가만히 서있기 힘든 상태입니다.	서해 중부 먼 바다에는 한 때 풍랑경보까지 내려졌습니다.	사고를 막기 위한 노력이 곳곳에서 펼쳐졌습니다.	<현장음> ""안전에 최대한 유의하시고 이상 있으면 해양경찰에 바로 신고해주시기 바랍니다.	 ""인천 자월도에서 뇌경색 환자가 발생해 긴급히 해경이 출동했습니다.	내륙 곳곳에서도 피해신고가 접수됐습니다."
5,폭우에 바람까지 몰아친 인천…곳곳 강풍 피해--1,인천 미추홀구에서는 건물 외벽이 바람에 무너졌습니다.	부평구와 강화군에서는 나무가 쓰러지며 도로를 덮치기도 했습니다.	곳곳에서 시설물 피해가 잇따랐지만 다행히 인명사고는 없었습니다.	  홍정원입니다.	   기사문의 및 제보 :
6,[정치五감] 올해 첫 등교 개학…체온 측정하는 초등학생들 外--0,"▶ 올해 첫 등교 개학…체온 측정하는 초등학생정치오감, 오늘의 첫 번째 사진입니다.	 전남 무안의 한 초등학교 풍경인데요.	 올해 첫 등교 개학을 맞아 학생들이 교실에 입실하기 전, 체온 측정을 하는 모습입니다.	 오늘 고등학교 3학년뿐만 아니라 전교생이 60명 이하인 소규모 초, 중학교도 학교장 재량에 따라 등교를 시작했는데요.	 학교 측은 학생들의 발열 여부를 확인하고 거리두기 수칙을 안내하는 등 철저한 방역조치 속에 학생들을 맞았습니다.	▶ 3개월 만에 재개된 경복궁 수문장 교대식두 번째 사진 볼까요?	 맑은 하늘을 배경으로 경복궁 앞에서 깃발을 들고 있는 사람들이 보이시죠.	 코로나19 여파로 석 달 간 중단됐던 경복궁 수문장 교대의식이 오늘부터 재개됐습니다.	 코로나19 대응 체계가 '생활 속 거리두기'로 전환되면서 이달부터 수문장 교대의식과 경복궁 별빛야행, 창덕궁 달빛기행 등의 궁궐행사가 다시 열리는데요.	 정부의 방역 지침에 따라 관람객 발열 체크와 마스크 착용이 의무화됩니다.	▶ '코로나 생활고'에 칠레 시위 확산마지막 사진입니다.	 물대포를 사이에 두고 경찰과 시민들이 대치하고 있는 사진입니다.	 칠레에서 코로나19에 따른 봉쇄 조치가 장기화되자 생활고에 시달리는 시민들이 시위에 나선 모습입니다.	 수도 산티아고 남부의 엘보스케 주민들은 한 달째 이어지는 봉쇄 조치에 일자리가 끊기고 먹을 것도 부족하다면서 격하게 항의했는데요.	 최근 세계 곳곳에서는 코로나19 사태 장기화로 인한 생활고를 호소하며 정부의 대책을 요구하는 시위가 확산하고 있습니다.	 지금까지 정치오감이었습니다.	  기사문의 및 제보 :"
7,"잇단 대중교통 마스크 시비…""앞으론 안쓰면 과태료""--0"," 추석 연휴, 대중교통을 이용해 외출하는 분들 많으실 텐데요.	 마스크 착용이 의무화됐지만, 여전히 버스나 지하철에서 관련 시비가 끊이지 않고 있다고 합니다.	  입니다.	 마스크를 턱에 걸친 남성.	 버스 기사가 마스크를 제대로 쓰라 요구하자 욕을 하며 머리채까지 잡아당깁니다.	 이 남성은 신고를 받고 출동한 경찰관의 멱살을 잡고 손등도 물었습니다.	 결국 구속됐습니다.	지하철도 마찬가지입니다.	 한 남성이 마스크를 쓰라고 말한 승객의 목을 조르고 슬리퍼로 때립니다.	 이 남성은 현행범으로 체포돼, 재판까지 넘겨졌습니다.	마스크 시비는 전국 곳곳에서 이어지고 있습니다.	지역별 경찰청 자료에 따르면 마스크 착용 시비로 입건된 사례는 버스에서 가장 많이 나타났습니다.	 이어 택시, 전철 순이었습니다.	 적용 혐의는 폭행과 상해, 업무방해 순으로 조사됐습니다.	서울 지하철 집계의 경우 마스크 미착용 신고는 매달 늘어나는 추세입니다.	 최근 5개월간 관련 신고는 5만9000건이 넘습니다.	그동안 마스크 미착용을 제재할 법적 근거가 없어 당국은 처벌에 어려움을 겪어왔습니다.	이에 관련 법이 지난 8월 국회를 통과해 오는 13일부터 정식 시행됩니다.	 감염 위험 장소 방문자와 대중교통 이용자가 마스크를 쓰지 않으면 10만원 이하의 과태료를 물어야 합니다.	<한병도 / 국회 행정안전위원회 여당 간사> ""정부와 지자체가 마스크 착용 홍보와 계도를 활발히 해야 하고, 제도적으로 공백이 발생하지 않도록 해야 할 것입니다."""
8,"잇단 대중교통 마스크 시비…""앞으론 안쓰면 과태료""--1","추석연휴 기간 코로나19 재확산 우려가 큰 만큼, 대중교통 이용시 마스크 착용에 각별한 주의가 필요합니다.	  장윤희입니다.	   기사문의 및 제보 :"
9,"또 카드정보 유출…수사-금융당국은 ""핑퐁게임""--0"," 국내 카드 정보 수십만건이 해외서 유통된다는 소식, 최근에 전해드렸었는데요.	 또다시 카드 정보 대량 유출 정황이 포착됐습니다.	 그런데 석 달째 실태 파악조차 되지 않고 있는데요.	 왜 그런지  가 전해드립니다.	  경찰이 금융정보 해킹 용의자로부터 압수한 외장하드에서 카드 개인정보 데이터를 무더기로 발견한 것은 올해 초쯤입니다.	하나은행 전산망에 악성 코드를 심으려다 작년 6월 구속된 이 모 씨의 여죄 수사 과정에서 카드 정보로 의심되는 데이터가 61GB 가량 나온 겁니다.	전부가 카드 개인정보인지는 미확인 상태지만 일부만 해당해도 최악의 개인정보 유출로 꼽히는 2014년 카드 정보 유출사고에 버금가는 규모일 수 있습니다.	문제는 경찰이 금융감독원에 알린 지 석 달이 되도록 제대로 된 조사가 이뤄지지 않았다는 겁니다.	<서울지방경찰청 관계자> "" 카드사별로 분류를 해달라고 요청했는데 협조가 아직까지 안 된 거죠.	 3월과 4월에 찾아가서 .	 분류 자체가 우리 쪽에선 안 되잖아요.""	금감원 입장은 다릅니다.	<금융감독원 관계자> ""저희한테 업무를 요청한 거지 자료 자체를 저희가 전달받은 바는 없습니다.	 과거에도 이런 일이 있으면 경찰 내에서 다 내용을 분석을 하시고…""전문가들은 금감원이 좀 더 적극적이었어야 한다고 지적합니다.	<김보라미 / 변호사·서울시 개인정보보호 심의위원회 위원> ""금감원이 금융회사의 개인정보 보호에 대해 책임이 있는 주무 기관인데 문제를 인지하고도 방치한 것은 법적 책임을 회피한 것으로 보입니다.""	경찰청과 금융당국은 뒤늦게 회의를 열어 정보 분석에 협력하기로 했지만, 그 긴 시간 유출정보로 인한 피해가 어느 정도인지 알 길은 없는 실정입니다.	   조성미입니다.	   기사문의 및 제보 :"
