0,바람 잘 날 없는 성남시--0,"‘코드 정권’ 프레임에 갇힌 집권세력 “나는 운동을 전면 재조직해야 한다고 생각한다.	  당의 역할과 중앙집권적 전위정당의 필요성이 도출된다.	” 은수미 성남시장이 남한사회주의노동자동맹 사건으로 함께 수감된 동료와 함께 1995년 11월 펴낸 ‘갇힌 자의 열린 사상 – 옥중서신 모음’이란 책에서 언급한 내용이다.	 은 시장은 수감 중에도 전위정당을 고민했다.	 그러면서도 레닌이 이끈 러시아 사회민주노동당을 넘어 독일 혁명가 로자 룩셈부르크를 동경했다.	 “ 1905년의 당은 주로 중앙집권을 강조했고, 이후엔 민주주의의 광범위한 확대와 중앙집권과의 결합을 명시했다.	 이와 대조적인 주장을 편 사람은 로자였다.	 로자는 당이 대중조직과 분리돼 만들어져야 하는 점과 당의 의식적 지도의 필요성에 관해선 레닌과 일치한다.	 로자는 대중투쟁의 우위성, 순차성을 강조하면서 당의 중앙집권적 측면, 위로부터의 지도의 측면을 강하게 부정했다.	 그람시는 레닌과 로자의 중간 지점에서 이 문제를 해결하려 했다."
1,공공기관 자회사서 3년간 직장 괴롭힘…“보복 두려워 참았다”--0,"“나머지 피해자는 여전히 가해자 지시 받으며 일해”공공기관 자회사 노동자들이 관리자로부터 3년간 차별과 성희롱, 폭언 등 직장 내 괴롭힘에 시달려 온 것으로 드러났다.	 피해 노동자 중 1명은 이미 가해자의 사직 권고로 퇴사했으며, 나머지 피해자는 가해자의 지시를 받으며 근무하고 있어 논란이 일고 있다.	 문제가 된 회사는 중소벤처기업부 산하 준정부기관인 ‘중소벤처기업진흥공단’의 자회사인 중진공파트너스다.	 노조에 따르면 피해자는 총 4명이며, 가해자는 진주 사업소 현장관리소장 A씨다.	 괴롭힘의 내용은 △폭언 △차별 △따돌림 △성희롱 △술자리 강요 △개인 심부름 강요 등이다.	공공운수노조는 21일 오후 1시 국가인권위  회견을 열고 “중진공파트너스 사측은 직장 내 괴롭힘을 진지하게 해결할 의지도, 피해자를 보호하기 위한 조치도 찾아볼 수 없다”고 비판했다.	 이어서 “더욱 안타까운 것은 피해노동자 중 1명은 이미 가해자의 사직 권고로 회사를 떠났고, 나머지 피해 노동자 3인은 여전히 가해자와 같은 공간에서 가해자의 업무지시를 받으며 일을 하고 있다”고 지적했다.	 이광용 공공운수노조 중진공파트너스지부 피해조합원은 지난 3일 회사를 그만두며 3년 동안의 피해 사실을 노조에 알렸다.	 이  회견에서 “지난해 현장관리소장 및 직원 2명이 집으로 찾아와 문을 발로 차고 난동을 부리면서 전화를 했다”며 “무서워서 전화를 받지 않자  경찰에 거짓 자살 신고를 했고, 경찰이 창문으로 들어와 대문을 열게 됐다”라고 말했다.	 이어 그는 “ 경찰이 가자마자 칼로 찔러 죽인다고 하면서 차에 칼을 가지러 갔고, 그걸 OO대리가 말리자, 입에 담지 못할 욕을 했다”라며 이후 트라우마에 시달리고 있다고 증언했다.	또한, 이 씨는 “ 술을 마시면 사천까지 개인차로 태워다주고, 출근 때도 모셔와야 했다”라며 “소장 집에 물이 새고 있으면 일과시간에 소장 집까지 가서 보수공사도 해야 했다”고 설명했다.	 그는 피해 신고를 하지 못한 이유에 대해 “보복이 두려워서”라 전했다.	 뿐만 아니라 노조의 지회장을 소장이 지목하는 등 노조 운영에 지배·개입된 정황도 확인됐다.	 지난해까지 지회장을 했던 이광용 피해조합원은 “ 진주지회장을 강제로 시켜서 했다”며 “소장이 말하는 걸 전달자 역할만 하면 된다고 해서 노조 운영위원회에 가서도 소장이 지시한 말을 해야 했다.	 또 본인 뜻대로 안 되면 회의를 소집해 직원이 있는 곳에서 성질을 냈다”고 말했다.	 노조는 소장이 “여성 노동자들에게 노래방 동행을 강요하고 계속해서 노래를 부르라고 시키기도 했다”고 설명했다.	이태의 공공운수노조 노동안 회견에서 “ 정규직 전환이 됐지만, 자회사로 무늬만 바뀌었다.	 준정부 기관인 회사 측에서는 아무런 책임도 지고 있지 않다”며 “직장 내 괴롭힘 금지 조항에 피해자 보호라는 문구가 있음에도 갑질을 당하던 내부 직원들은 소장의 눈초리에서 벗어나지 못하는 것이 현실”이라며 노동부에 근로감독을 촉구했다.	 중진공파트너스 노동자들은 1년 단위 용역에서 지난 2018년 7월 문재인 대통령의 정규직 전환 정책에 의해 자회사 방식으로 정규직 전환이 된 바 있다.	현재 지부는 회사 측에 △가해자와 피해자의 분리 △노사 동수의 조사위원회 구성 △재발 방지 위한 전 직원 설문조사 △노동인권교육 등을 요구하고 있다."
2,공공기관 자회사서 3년간 직장 괴롭힘…“보복 두려워 참았다”--1, 그러나 회사는 지난 16일 공문을 통해 “규정에 없는 사항”이라며 동의할 수 없다는 입장을 밝혔다.	 회사 측 담당자는 < >과의 통화에서 직장 내 괴롭힘 사건에 대해 “가해자로 지목받은 소장은 전혀 모르는 일이라 하고 있다”고 말했다.	 노조의 요구에 대해서는 “조사위원회 활동이 먼저 있어야 한다”며 “조사위원은 회사 내부 사람이어야 한다”라고 전했다.	 한편 노조는 인권위에 진정을 넣으며 인권위가 회사 측에 △노조 추천 전문가 위원을 포함한 조사위원회 구성 및 즉각 조사 시행 △가해자 자택 대기발령 조치 등 피해자 보호 △사실 확인 즉시 가해자 파면 등을 권고해야 한다고 요구했다.
3,"박원순 피해자 측 “사건은폐, 2차 가해 지속한 서울시 못 믿어”--0","여성단체, 서울시의 진상조사단 불참 밝혀… “인권위 조사가 최선”고 박원순 전 서울시장 성폭력 사건 피해자를 지원하는 여성단체와 법률대리인이 서울시의 진상조사단에 참가하지 않겠다고 밝혔다.	 그동안 서울시의 조직적 사건 은폐 시도로 피해자가 보호되기보다 오히려 2차 피해가 더욱 커졌기에, 공공기관 성희롱을 조사하는 기관인 국가인권위원회가 조사하는 것이 바람직하다는 판단에서다.	 법률대리인과 여성단체는 다음 주 인권위 진정 조사 준비를 마쳐 진정을 제출할 계획이다."
4,"중학생을 사랑한 교사, 공안탄압의 표적이 되다--0","MB정부, 무리한 국보법 적용으로 해직교사 양산…보수단체 동원해 괴롭히기도중학생을 너무도 사랑했다.	 교직에 있는 동안 여러 책을 썼는데 중학생을 전면에 내세운 책도 두 권이 있다.	 특히 <중학생, 기적을 부르는 나이>는 2013년 출간돼 현재까지 18쇄를 찍었다.	 전국의 중학생, 학부모, 나아가 한때 중학생이었던 이들에게 각기 다른 위로가 됐다는 평을 들었다.	중학생을 너무도 사랑한 교사 박미자 씨는 ‘학교는 즐거운 곳이 돼야 한다’는 신념을 갖고 30여 년간 교직 생활을 했다.	 1985년 처음 교편을 잡았으니 올해로 36년 차 교사 생활을 하고 있어야 했다.	 하지만 그는 올해 1월 대법원에서 국가보안법 위반 혐의 등이 인정돼 자동 면직됐다.	 대법원은 박미자 전 전교조 수석부위원장 등 교사 4명의 이적표현물 소지에 대해 유죄를 인정한 2심 판결을 확정했다.	 국보법이라는 낡고 수상한 법 때문에 교단을 떠난 그는, 이명박 정권이 쏘아 올린 전교조 탄압을 온몸으로 겪었다.	 그는 전교조 집행부로서는 처음으로 자택 압수수색을 당했고, MB정권의 국정원이 사주한 보수단체로부터 인신공격을 겪어야 했다.	 올해 면직된 박 전 수석부위원장은 현재 전교조 연수위원장을 맡아 교육·노조 활동을 이어가고 있다."
5,범 시민사회 “조지 플로이드 살해사건은 공권력의 ‘살인’”--0,"“한국 정부도 차별금지법 제정 등 인종차별에 대응해야 할 것”한국의 범 시민사회단체가 아프리카계 미국인 조지 플로이드 살해 사건은 미국 공권력의 인종차별 살인이라며 규탄하고 나섰다.	 아울러 이들은 미국의 반차별 시위에 대한 정부 태도 역시 인종차별적이라고 지적했다.	국가폭력에대항하는아시아공동행동은 5일 오전 10시 광화문 세종대왕상  회견을 열고 “현재 미국 정부의 태도는 인종에 따라, 사안에 따라 매우 차별적”이라며 “불과 한 달 전, 수많은 백인이 코로나19 사태에 관한 정부 정책에 항의하며 ‘록다운을 해제하라’는 시위를 하였음에도 아무런 강제진압이 없었다.	 심지어 당시 많은 시위대는 총기를 소지하고 있었고 미시간주 주 의회 건물을 점거했음에도 불구하고 강제진압과 폭력은 거의 발생하지 않았다”고 비판했다.	앞서 지난달 25일 미국 미세소타주 미니애폴리스시에서 4명의 경찰이 아프리카계 미국인 조지 플로이드를 연행하는 과정에서 사망케 한 사건이 발생했다.	 당시 고인이 저항하지 않았고 비무장 상태였음에도 경찰이 무릎으로 장시간 그의 목을 눌러 살해하면서 국제적 논란이 일었다.	 이 사건으로 현재 미국 전역에서는 인종차별 시위가 이어지고 있다.	 김경민 한국YMCA전국연맹  회견에서 “사람들은 트럼프가 미국을 분열시키는 최초의 대통령이라고 한다.	 이 가운데에서도 시민들은 광범위하게  살인사건에 대해 항의하고 민주주의와 인권을 지키기 위한 자발적 투쟁을 지속하고 있다”며 “한국 시민사회는 미국 시민들의 행동에 존경과 연대를 표한다.	 또 해당 살인사건이 전 세계적으로 경찰 개인의 우발적 사고가 아니라 미국 사회에 만연해 있는 구조적 폭력이란 것을 재차 확인하고 있다”고 전했다.	 아울러 그는 21대 국회에서 10년 넘게 제정되지 못한 차별금지법이 21대 국회에서는 통과돼야 한다고 덧붙였다.	 쌔미 민생문제 활동가는 “수많은 흑인과 유색인종이 죽어왔다.	 이번 사건으로 인해 많은 시민이 차별 반대 시위를 하고 있다.	 실제로 많은 흑인은 코로나19로 인해 제대로 된 보호를 받지 못하고 죽었다.	 해고율도 백인보다 월등히 높았고 경제 수준 또한 심각해졌다”며 “이들을 두고 트럼프 대통령은 ‘폭도’, ‘테러리스트’로 규정하는 발언을 했다.	 이는 트럼프 개인의 돌발적 행동이 아니다.	 지금도 전 세계에서 특정 인종에 대한 언어폭력, 폭행이 발생하고 있다”고 비판했다.	우다야 라이 이주노조 위원장은 “한국의 이주노동자 역시 숨을 쉬지 못하고 있다.	 우리는 모든 인종주의에 반대한다.	 국경과 인종을 넘어 국제적 연대를 해야 한다”며 “인종주의라는 억압 때문에 숨을 쉬지 못하고 사망한 조지 플로이드를 다시 한번 추모한다."
6,범 시민사회 “조지 플로이드 살해사건은 공권력의 ‘살인’”--1," 진정한 평등·평화를 위해 미국과 전 세계 운동과 연대해 함께 행동할 것”이라고 전했다.	상현 아시아공동행동 운영위원은 “을 포함해 미국이 한국에서도 폭력을 자행했다는 것을 기억하고 있다.	 이런 폭력을 직시해 누구도 차별받거나 살해되는 일이 없도록 연대해야 한다”며 “수많은 한국 시민들이 차별 문제에 고통받고 있다.	 단지 인종차별뿐 아니라 일상적인 차별들을 시정해 나가야 한다.	 아시아공동행동은 이런 차별문제를 아카이브하고 공감대를 모으는 실천을 할 것”이라고 말했다.	 한편  이들이 주최한 ‘조지 플로이드 살해사건 규탄 및 반차별 공동행동’ 기자회견에는 113개 단체, 135명이 연명했다.	 아시아공동행동은 미국을 비롯해 한국의 인종주의 문제를 알리고 해결하기 위해 토론회, 캠페인 등의 활동을 이어나갈 계획이다.	 아울러 이들은 미국 시위 상황을 감시함으로써 인권침해 문제에 적극적으로 대응할 예정이다."
7,고 문중원 기수 교섭 합의...사망 99일만에 장례치러--0,"시민대책위, “‘마사회 적폐권력 해체를 위한 대책위원회’로 전환해 투쟁 이어나갈 것”지난 6일 오후 8시 경 문중원열사대책위·시민대책위와 한국마사회 간 교섭이 합의에 이르렀다.	 고 문중원 기수가 사망한지 99일, 정부서울청사 옆에 시신을 안치한 지 71일만이다.	  열사대책위와 시민대책위는 7일 정부서울청사 옆 시민분향소에서‘문중원 기수 죽음의 재발방지를 위한 합의에 대한 입장 발표’ 기자회견을 열었다.	 이들은 “7명을 죽음에 이르게 한 마사회의 구조적인 문제를 드러내기 위해 진상규명과 책임자처벌을 요구했다”며 “비록 한계가 있는 안이지만, 시민대책위원회는 100일 전 장례를 치러야 한다는 절박함으로 이 합의안을 수용했다”고 밝혔다.	또한 “아직 합의가 지켜지도록 싸우는 일도 남았다”며 “이제 문중원 기수의 장례를 치름으로써 유가족의 결단에 의지해서가 아니라 노동자들과 시민대책위원회의 힘으로 투쟁을 이어가고자 한다”며 시민대책위원회를 ‘마사회 적폐권력 해체를 위한 대책위원회’로 전환할 것을 전했다.	‘부산경남경마공원 사망사고 재발방지를 위한 합의서’의 주된 내용은 ▲연구용역 ▲책임자 처벌 ▲제도개선 ▲유족관련 등이다.	 고 문중원 기수 부인 오은주 씨는 “나는 세상에서 가장 소중한 사람을 잃었지만, 99일 동안 잊지 못할 인연을 만났다.	 많은걸 깨닫고 배우며 한 뼘 더 성장했다.	 슬프면서도 나에게 꼭 필요했던 시간이었다”며 “한국마사회와 마지막 합의를 했다.	 쉽지 않은 교섭이었다.	 교섭위원들에게 너무 고맙다.	 그러나 문재인 정부는 한 마디 없다.	 노동존중 문재인 정부의 촛불은 꺼졌다.	 반드시 대가를 치를 것”이라고 말했다.	 마사회는 책임자 처벌과 관련해 경찰 조사 결과에 따른다는 입장을 고수하고 있었다.	 그러나 이번 합의서를 통해 마사회는 고 문중원 기수의 사망사고 책임자가 밝혀질 경우, 형사 책임과 별도로 마사회 인사위원회에 면직 등 중징계를 부의해야 한다.	 또한 합의서에 따르면 징계여부 확정 전까지 책임자에 대한 직위부여해제를 유지한다.	 또한 징계위원회 진행 시 사건관계인이 출석하여 의견을 진술할 수 있다”는 것을 명시했다.	또한 제도 개선안에는 ▲마사회가 부경공원 부가순위상금을 신설하지 않는 대신 부경 기수 상금 중 일부에 서울의 부가순위상금 공제율이 적용되도록 할 것 ▲마사회는 부경 외국인 기수 도입 시 한국인 기수와 차별이 없도록 할 것 ▲재해위로기금 증액, 운동처방사 지원 ▲정량평가를 면허취득경과기간 30점, 근속 10점, 수탁능력 40점으로 변경하는 등 조교사 개업심사의 투명성 확보 등을 합의했다.	 이밖에 기승계약서 표준안, 기수면허갱신제도 보안, 소득안정, 한국경마기수협회 부산경마지부 사무국 운영 지원, 2017년 합의 내용보완 등 총 9가지의 제도 개선안을 합의했다."
8,고 문중원 기수 교섭 합의...사망 99일만에 장례치러--1," 또 마사회는 부경기수 사망사고 재발방지대책 마련을 위해 합의일 기준 3개월 이내 연구용역 사업을 추진할 계획이다.	 연구 대상은 부경공원 경마관계자 및 계약, 관리 관계에 있는 마사회 직원이다.	 내용은 경마시스템 배경 및 현황분석, 경마관계자의 계약관계와 업무실태 등이다.	 합의서에 따르면 마사회는 연구용역 결과를 정부에 보고하고, 실행 가능한 제도개선안을 추가로 마련해야 한다.	유족과 관련해서는 마사회가 장례지원 및 경마관계자의 위로금 모금 등을 통해 유족에게 지급할 예정이다.	 기타 세부사항은 미공개로 알려졌다.	김명환 민주노총 열사대책위 위원장은 “99일, 100일되는 것으로 끝나는 것이 아니라 이 단초를 시작으로 마사회 권력을 해체하는 문중원 열사의 유지를 받들어 999일 투쟁이 될 수도 있을 것이고 9900일의 투쟁이 될 수도 있을 것”이라며 “그것을 시민대책위, 민주노총과 시민들, 유족과 함께 실현해내겠다”고 말했다.	한편 정부서울청사 옆 시민분향소에 있던 운구차는 7일 오후 4시경 서울대병원에 도착했다.	 고 문중원 기수의 장례는 ‘한국마사회 적폐권력 청산 문중원열사 노동사회장’의 이름으로 3일장으로 치러진다.	 발인은 오는 9일 오전 7시이며, 노제와 영결식은 부산경남경마공원에서 오후 2시로 계획돼있다.	 장지는 양산 솥발산 공원묘원이다.	 7일과 8일 오후 6시에는 서울대병원 장례식장 1층에서 추모제가 진행된다.	 고 문중원 기수의 빈소는 서울대병원장례식장 4호실이며, 조문은 7일 오후 6시경부터 가능하다."
9,‘2015년 이후 입사한 톨게이트 노동자도 불법파견’ 판결 나와--0,"직접고용 합의 이후에도 '15년 이후 입사자 배제', '일방적 근무지 배치' 등 문제 발발…“김진숙 사장이 직접 나서야”2015년 이후 한국도로공사에 입사한 톨게이트 요금수납원들이 한국도로공사의 소속이라는 판결이 나왔다.	대구지법 김천지원 민사합의부는 15일, 2015년 이후 입사한 톨게이트 수납원들에 대해서도 불법파견이 성립된다고 판결했다.	 지난해 8월 대법원 판결과 지난해 12월 2015년 이후 입사자를 포함한 2,000여명을 불법파견이라고 명시한 대구지법 판결에 이어 불법파견 판단이 연이어 확정되고 있다.	도로공사는 2013년 요금수납원들이 근로자지위확인소송을 제기한 뒤 2015년부터는 불법파견 요소를 제거했기 때문에 2015년 이후 입사자들은 직접고용할 수 없다고 주장해왔다.	 판결 직후 도로공사는 판결을 존중한다는 뜻을 전했다.	 기존의 노사합의·고용방침대로 해당인원 전원에 대해 현장지원직으로 직접고용을 유지하기로 했다.	하지만 도로공사는 판결 하루 전에도 2015년 이후 입사한 노동자을 향한 탄압을 지속했다.	 판결 하루 전이자, 톨게이트 노동자들이 317만에 첫 출근한 14일 도로공사의 각 지사에서는 2015년 이후 입사한 조합원들에게 해제조건부 근로계약서 작성을 요구했다.	 이에 불응하자 다시 임시직 근로계약서 작성을 요구해 조합원들의 반발을 샀다.	 심지어 경찰을 동원해 폭력적으로 지사 밖으로 끌어내는 일까지 벌어졌다.	민주일반연맹은 판결  회견을 열고 “톨게이트 수납원, 예외 없는 직접고용이 옳았음을 입증한 법원판결을 환영한다”라며 “도공은 스스로 직접고용을 거부해서 발생한 터무니없는 고소고발과 손배청구 등 지난 7개월 투쟁과정에서 벌어진 모든 문제에 대해 결자해지 해야한다”고 밝혔다.	이어 “2017년 9월부터 직접고용을 둘러싸고 실타래같이 얽혀있는 모든 문제를 빠르게 해결해야 한다”라며 “근무지와 업무배치를 둘러싼 문제, 임금차액 소송 등 톨게이트 관련 업무를 자회사로 넘기지 않으면 합리적으로 해소할 수 있다.	 소송으로 끌고 가면 도공이 부담해야할 비용만 증가할 뿐”이라고 비판했다.	민주일반연맹은 직접고용 합의 이후에도 도로공사가 노동자와 협의 없이 졸속적으로 처리한 문제를 함께 풀어야 한다고 주장했다.	 민주일반연맹에 따르면 톨게이트 노동자의 임금 및 처우는 이전보다 후퇴했고, 근무지 배치를 일방적으로 강행하며 50년간 청소하지 않던 곳을 청소시키는 등의 일이 벌어지고 있다.	 민주일반연맹은 “중장년, 여성, 장애노동자들이 노동할 수 있는 조건 따위는 고려하지도 않는다”라며 김진숙 사장과 모든 현안을 놓고 이야기하자고 면담을 요청했다."
